WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OM (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K(ton/ha),S (ppm),CaCO  (ton/ha)3
CL-cm.sk-fl,Calcaric Cambisol,"1,618.70",30.3 (±6.7)  *,24.8(±14.1),1.940(±1.333),8.6 (±0.1),0.20 (±0.06),123.753 (±85.097),0.2 (±0.1),(-)(-),2.8 (±1.3),1417.1(±978.8)
CM-ca,Calcaric Cambisol (±Yermic),70.6,32 (-),47 (-),1.099 (-),7.8(-),2.35(-),70.13 (-),0.1 (-),(-)(-),15.8 (-),2601.0(-)
CM-ca-ye,Calcaric Fluvic Cambisol,"2,846.60",44.6 (±12.1),19.1(±9.1),1.224(±0.787),8.8(±0.3),1.229(±1.24),78.0835 (±50.271),0.4 (±0.3),(-)(-),10.1 (±4.7),1705.1(±1208.3)
CM-fl.ca,Calcaric Fluvisol,177.1,34.6 (±8.8),35.7(±13.2),0.927(±0.248),8.7(±0.1),0.41(±0.18),59.128 (±15.844),0.4 (±0.3),(-)(-),5.2 (±3.4),2251.3(±1326)
CM-fl.ny,Calcaric Gleyic Fluvisol,"3,818.00",30.62(±12.5),31.3(±12.9),0.937(±0.542),9.02(±0.4),3.88(±0.09),59.785 (±34.648),0.4 (±0.3),(-)(-),12.5 (±11.1),2499.5(±1349.8)
CM-lp.ca,Calcaric Leptic Cambisol,"78,465.70",26 (-),39 (-),3.427 (-),7.7(-),1.02(-),218.63 (-),0.2 (-),(-)(-),0.2 (-),529.9(-)
CM-lp.fl-ar,Calcaric Leptic Fluvisol,"13,798.50",51.5 (±10.6),12 (±5.6),0.549(±0.136),8.4(±0.2),1.99(±0.02),35.065 (±8.74),0.5 (±0.03),(-)(-),4.8 (±3.4),2222.2(±2266.8)
CM-lp.ny,Calcaric Leptic Regosol (±Yermic),"1,484.00",68.1 (±6.6),19.9(±5.06),0.831(±0.177),8.7(±0.1),0.59(±0.13),10.797 (±5.136),233.07 (±8.1),(-)(-),(-)(-),217.4(±281.6)
CM-sk,"Calcaric Regosol (±Fluvic, Yermic)",630.8,50.8 (±17.02),16.9(±7.7),0.690(±0.453),8.6(±3.3),1.14(±0.934),84.220 (±90.70),0.4 (±0.2),(-)(-),12.9 (±10.1),2191.5(±1192.8)
FL-ca,Fluvic Calcic Solonchak,606.5,40.6 (±3.6),18.3(±2.8),0.932 ±0.248),9.07(±0.1),1.96(±0.960),11.375 (±6.260),304.8 (±73.9),(-)(-),(-)(-),144.4(±154.7)
FL-gl.ca,Fluvic Leptic Cambisol (±Arenic),95.7,59.1 (±8.9),19.6(±4.6),1.053(±0.349),8.61(±0.10),0.276(±0.074),14.520 (±8.036),228.7 (±89.9),(-)(-),(-)(-),164.3(±210.2)
FL-lp.ca,Leptic Fluvisol (±Arenic),"2,202.00",65.8 (±2.09),21.1(±3.8),1.618(±0.397),8.62(±0.099),0.400(±0.078),20.182 (±10.23),394.9 (±91.7),(-)(-),(-)(-),175(±231.2)
FL-lp-ar,"Leptic Regosol (±Fluvic, Yermic)","2,194.10",36.05(±2.737),20.7(±3.6),1.304(±0.379),8.7(±0.1),0.308(±0.074),18.403 (±11.45),260.8 (±76.8),(-)(-),(-)(-),150(±185.7)
LP-nt-ad,Nudilithic Leptosol (±Aridic),"1,666.90",34.09 (±2.3),22.5(±4.4),1.660(±0.345),8.6(±0.1),0.323(±0.078),21.714 (±10.80),298.1 (±63.5),(-)(-),(-)(-),280(±352)
RG-ca-fl.ye,Nudiyermic Fluvic Cambisol,"8,501.50",45.5 (±9.81),15.7(±3.6),0.908(±0.311),8.7(±0.09),0.272(±0.070),13.673 (±8.470),214.1 (±40.5),(-)(-),(-)(-),166.6(±198.2)
RG-lp.ca-yes,Nudiyermic Leptic Cambisol,"6,861.50",35.3 (±3.4),22.7(±3.4),0.895(±0.270),8.7(±0.1),0.691(±0.454),11.462 (±7.186),298.0 (±122.7),(-)(-),(-)(-),187.2 (±228.3)
RG.lp-fl.ye,Skeletic Cambic Calcisol (±Fluvic),"3,055.60",37.12(±4.05),19.8(±3.4),0.820 (±213),8.6(±0.1),0.944(±0.186),12.115 (±6.387),290.(±66.3),(-)(-),(-)(-),533.1(±627.6)
SC-cc.fl,Skeletic Cambisol,"4,258.70",34.4 (±3.7),23.6(±4.8),1.297(±0.310),8.6(±0.05),0.657(±0.488),16.375 (±10.36),270.2 (±51.),(-)(-),(-)(-),102.8 (±131.6)
