WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OM (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K(ton/ha),S (ppm),CaCO  (ton/ha)3
CM-ca,Calcaric Cambisol,1,49.2 (±2.8)  *,11.3(±0.7),0.219(±0.310),8.2 (±0.3),0.25 (±0.06),14 (-),1.5 (±1.9),0.9 (±1.2),14.2 (-),2255.4(±648.8)
CM-ca-ye,Calcaric Cambisol (Yermic),6.2,64.2 (±7.07),(-)(-),1.715 (±1.913),7.8(±0.07),0.09(±0.01),30 (±0),(-)(-),(±-)(±-),11.6 (-),1179.68(±670.44)
CM-fl-ca,Calcaric Fluvic Cambisol,"2,488.3",59.8 (±9.7),12.5(±3.5),0.788(±0.690),8.1(±0.3),0.60(±4.25),43.03 (±52.5),5.5 (±8.4),0.4(±0.9),28.5 (±32.5),1368.98(±1143.90)
CM-fl.sk,Calcaric Fluvisol,"3,169.2",57.6 (±9.4),12.6(±1.8),0.925(±0.938),8.2(±0.3),0.41(±0.44),71.4 (±105.7),5.4 (±5.3),0.4(±0.6),(-)(-),1258.25(±746.39)
CM-fl.ar,Calcaric Gleyic Fluvisol,671.2,60.01(±10.1),21.4(±5.4),0.600(±0.447),8.09(±0.1),0.21(±0.12),30.3 (±18.3),11.7 (±8.2),0.6(±1.6),79.8 (±71.5),954.77(±918.20)
CM-lp.ca,Calcaric Leptic Cambisol,257.9,65.6 (±48.3),15.7 (±5.1),0.760 (±0.554),8.06(±0.3),0.28(±0.28),42.5 (±29.3),5.5 (±8.8),0.2(±0.6),52.3 (±74.4),1274.43(±1039.98)
CM-lp.fl,Calcaric Leptic Fluvisol,258.5,54.3 (±9.3),19.8 (±4.2),0.921(±0.522),8.1(±0.3),0.33(±0.36),75.3 (±114.1),2.08 (±2.1),(±-)(±-),86.2 (±130.9),1038.85(±1137.39)
CM-sk.ca,Calcaric Lithic Leptosol,319.3,60.4 (±6.7),15.03(±4.1),0.876(±0.437),7.9(±0.1),0.42(±0.50),45.8 (±21.2),2.1 (±2.06),0.1(±0.2),15.5(±6.4),970.97(±1105.37)
FL-ca,Calcaric Lithic Leptosol (Aridic),185.2,67.5 (±5.3),11.1(±0.6),0.886(±0.210),7.4(±0.6),0.095(±0.04),37.1 (±10.5),9.5 (±11.2),0.1(±0.2),17.9 (±3.4),179.38(±277.90)
FL-gl.ca,Calcaric Regosol (Arenic),"1,216.5",62.1 (±10.7),15.2(±10.8),1.179 (±0.020),7.8(±0.3),0.26(±0.17),32.8 (±31.04),7.1 (±4.09),0.4(±1.2),55.8(±83.9),785.96(±709.85)
FL-lp.ca,Calcaric Regosol (Fluvic),33.8,65.4 (±6.3),10.1(±1.3),1.030(±0.658),7.9(±0.3),0.13(±0.04),26.2 (±18.6),3.7 (±2.2),0.4(±1.2),18.1(±18.5),855.38(±938.060)
FbLis-olpls. g(lCM),Calcaric Skeletic Cambisol,109.1,66.7 (±10.9),12.8(±3.8),0.877(±0.717),8.1(±0.3),0.32(±0.56),46.4 (±31.1),3.2 (±2.7),0.2(±0.2),16.1(±10.5),474.79(±661.81)
viLsPol-sli (FL),Calcaric Skeletic Regosol,108.8,69(±13.6),14(±5.4),0.431(±0.222),8.7(±0.4),0.58(±0.94),34.5 (±25.3),0.5 (±0.2),00(±0.0),(-)(-),0.00(±0.00)
tRosGo-lsc a(-LaPr ),Fluvic Cambisol (Arenic),5.7,62.9 (±10.8),13.5(±5.6),0.567(±0.610),8.1(±0.3),0.25(±0.38),33.3 (±26.3),5.3 (±3.2),0.3(±0.9),23.4(±20.8),631.44(±791.48)
oRsoGls-c (aR-flG),Fluvic Lepic Cambisol,620.2,65.7 (±11.5),12.9(±5.5),1.010(±0.667),8.1(±0.03),0.25(±0.31),62.1 (±45.2),10.2 (±9.2),0.5(±1.0),28.6(±50.2),626.80(±845.06)
"(RG-li.ca",Gleyic Leptic Fluvisol,240.7,66.9 (±8.9),13.3.7(±2.1),1.130(±0.735),7.2(±0.7),0.13(±0.07),41 (±23.4),1.03 (±0.4),0.0(±0.0),(-)(-),667 (±461.00)
RG-li.ca-ad,Lithic Leptosol,733.3,63.9(±2.9),13.3(±1.04),0.825 (±0.107),8.07(±0.2),0.18(±0.06),43.3 (±7.4),2.8(±1.2),0.2(±0.3),15.1(±7.2),266.03(±291.79)
RG-sk.ca,Skeletic Fluvic Cambisol,159.2,64.2 (±4.2),12.3(±2.1),0.306(±0.249),7.9(±0.2),0.325(±0.24),22 (±28.2),11.8 (±10.01),0.5(±0.6),14.2(-),606.30 (±127.70)
