WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OM (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K (ton/ha),S (ppm),CaCO  (ton/ha)3
AR-ay.ad,"Arenosol (Aeolic, Aridic)","1,148.40",62.1 (±2.9) *,14.3 (±1.3),0.663 (±0.151,8.01 (±0.08),0.94 (±0.14),37.6 (±9.6),34.7 (±10.9),1.3(±1.5),9.01 (±1.8),943.3(±523.7)
AR-cm.ca,Calcaric Cambic Arenosol,"1,056.70",60.4 (±4.7),13.5 (±0.7),0.760(±0.132),8.02 (±0.08),1.01 (±0.21),38.6 (±6.5),38.06(±13.03),1.0(±1.2),10.8 (±1.2),826.6(±422.4)
AR cm.sz..n,Calcaric Cambic Leptosol,"12,835.40",59.9 (±4.4),15.8 (±2.4),0.799(±0.173),7.9 (±0.08),0.68 (±0.08),25.6 (±5.7),31.1 (±9.9),1.1(±1.2),6.9 (±0.7),1211.4(±853.7)
AR-fl.ca,"Calcaric Cambic Leptosol (Arenic, Fluvic)",31,59.5 (±3.6),16.2 (±2.7),0.696(±0.221),7.9 (±0.07),0.73 (±0.08),25.4 (±5.01),30.06 (±11.1),0.7(±0.8),7.2 (±0.7),886.9(±746.2)
AR-fl.gy-ye,Calcaric Cambic Leptosol(Fluvic),"4,715.10",60.4 (±3.4),15.3 (±1.9),0.845(±0.183),7.9 (±0.07),0.68 (±0.06),26.8 (±5.7),31.2 (±7.1),1.0(±1.1),7.3 (±1.02),1160.3(±821.8)
CL-lp,Calcaric Cambic Lithic Leptosol,931.7,59.7 (±4.4),16.7 (±2.6),0.847(±0.153),7.9 (±0.05),0.67 (±0.02),22.4 (±3.5),30.7 (±9.1),1.1(±1.3),6.4 (±0.3),1155.7(±943.7)
FL-ca,Calcaric Cambic Regosol (Arenic),12.2,60.05 (±4.1),14.9 (±1.8),0.804(±0.209),7.9 (±0.1),0.75 (±0.08),28.007 (±7.2),32.9 (±10.05),0.6(±0.6),8.2 (±0.4),775.0(±491.6)
FL-ca-lo,Calcaric Fluvic Arenosol,99.6,61.2 (±4.9),14.5 (±2.09),0.815(±0.189),7.9 (±0.09),0.73 (±0.08),31.5 (±5.6),(±19.8) 40.7,1.0(±1.1),8.1 (±0.7),1071.3(±905.5)
FL-ca-ye,Calcaric Fluvisol,53.6,59.4 (±10.9),16.8 (±7.7),2.077(±0.296),8.2 (±0.2),0.62 (±0.35),2 (±-),10.2 (±6.4),4.6(±2.5),3.3 (±1.8),1775.5(±1485.5)
FL-gl,Calcaric Fluvisol (Loamic),895.2,55.3 (±8.2),14.4 (±5.6),1.037(±0.519),7.9 (±0.4),0.57 (±0.29),36.3 (±44.7),6.08 (±4.5),1.6(±1.5),4.3 (±3.8),1360.3(±1130.4)
FL-gl.ca,Calcaric Fluvisol (Yermic),169,6 1.2 (±15.09),17.6 (±10.08),1.256(±0.740),7.7 (±0.1),0.56 (±0.18),47 (±31.4),6.9 (±8.06),4.2(±3),4.08 (±2.9),1897.4(±607.3)
