WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OC (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K (ton/ha),S (ppm),CaCO  (ton/ha)3
CM-fl.sk,Calcaric Cambic Fluvisol,108.7,54.7 (±8.9) *,17.1 (±3.9),1.641(±0.778),8.2 (±0.2),0.32 (±0.32),223.1 (±265.6),17.8(±24.6),4.3(±3),6.4 (±6.06),2200(±1332.3)
CM-fl.sk-ar,Calcaric Cambic Leptosol,399,57.4 (±8.9),15.3(± 3.5),1.403(±0.151),8.1 (±0.05),0.19 (±0.19),34 (±54.2),11.9(±8.4),3.7(±4.5),7.6 (±5.2),1171.5(±667.7)
CM-sk,Calcaric Fluvisol (Yermic),153.5,46.8 (-),12.6 (-),1.896 (-),8.2 (-),0.2 (±0.2),194 (-),47 (-),1.3(-),1.2 (-),666.7(-)
FL-ca-ye,Calcaric Gypsiric Fluvisol,357.5,56.05 (±3.7),12.3 (±2.3),2.327(±1.097),8.1 (±0),0.22 (±0.22),223 (±11.3),12.2 (±12.1),8.3(±7),3.4 (±0.07),2080.7(±2647.1)
FL-cm.ca,Calcaric Leptic Fluvisol,279.6,58.9 (±15.6),16.6 (±4.5),1.724(±0.298),8.5 (±0.6),0.33 (±0.33),158 (±68.5),37.4 (±58.8),4.9(±3.2),3.4 (±2.6),2877.3(±747.1)
FL-gp.ca,Calcaric Leptic Regosol,125.3,55.10 (±2.1),17.11 (±2.1),1.474(±0.155),8.1 (±0.08),0.18 (±0.18),14.5 (±1.9),9.6 (±3.2),1.3(±0.3),8.8 (±4.8),717.4(±312.7)
FL-lp.ca,Calcaric Stagnic Fluvisol,6,50.7 (±15.5),17.009(±6.2),1.457(±1.065),8.1 (±0.2),0.34 (±0.34),140.2 (±65.6),35.2 (±59.6),3.1(±2.4),3.3 (±2.5),1229.3(±835.8)
FL-st.ca,Cambic Lithic Leptosol,325.6,53.4 (±1.4),17.1 (±2.5),1.517(±0.257),8.1 (±0.07),0.21 (±0.21),13.7 (±1.7),9.3 (±2.8),1.6(±0.2),8.6 (±4.5),797.1(±376)
LP-cm.ca,Raptic Gypsic Calcisol,82,67.7 (±5.4),16.1 (±3.9),1.178(±0.570),8.08 (±0.09),0.12 (±0.12),222.5 (±142.9),35.6 (±61.3),3.0(±2.7),1.6 (±0.4),1562.6(±1063.7)
LP-li.cm,Skeletic Cambisol,"3,847.6",53.07 (±1.7),17.2 (±2.09),1.502(±0.261),8.1 (±0.09),0.20 (±0.20),13.7 (±1.5),9.4 (±2.5),2.0(±0.9),7.6 (±5.4),1103.6(±800.2)
RG-lp.ca,Skeletic Fluvic Cambisol,"1,016.2",54.25 (±2.5),16.1 (±1.4),1.538(±0.257),8.2 (±0.08),0.15 (±0.15),12.7 (±3.2),12.8 (±9.3),1.4(±1.2),12.6 (±5.4),959.2(±905.7)
lCciMso-lfl (.CskL),Skeletic Fluvic Cambisol (Arenic),730.5,63.8 (±2.1),15.7 (±1.7),1.620(±0.265),8.3 (±0.05),0.18 (±0.18),14 (±3.3),13.4 (±9.4),2.0(±1.1),9.3 (±7.007),1372.2(±1069.1)
