WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OM (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K (ton/ha),S (ppm),CaCO  (ton/ha)3
CM-fl.sk,Calcaric Cambic Leptosol,315.0144,63.8 (±1.9),11.7 (±0.7),0.460(±0.206),8.02 (±0.04),0.23 (±0.03),40.6 (±4.7),3.4 (±0.5),(-)(-),24.3 (±6.9),793.9(±258.8)
CM-lp,Calcaric Fluvic Arenosol,33.9584,67.2 (±9.3),8.8 (±1.09),0.448(±0.279),8.1 (±0.2),0.28 (±0.30),22 (±17.5),61.4 (±72.2),(-)(-),(±-) (±-),(-)(-)
CM-lp-ar,Calcaric Fluvisol,429.1584,62.8 (±8.1),11.4 (±1.9),0.891(±0.794),8.08 (±0.1),0.24 (±0.07),63.4 (±54.07),34.005(±57.3),(-)(-),22.8 (±11.9),664(±861.9)
FL-ca,Calcaric Fluvisol (Loamic),73.8688,61.8 (±10.03),12.05 (±1.3),0.481(±0.291),8.2 (±0.3),0.28 (±0.12),29.3 (±24.3),28.1 (±24.7),0.2(±0.7),59.4 (±63.1),1341.3(±1183.4)
FL-ca-lo,Calcaric Gleyic Fluvisol,7183.315,59.6 (±10.7),11.5 (±2.1),0.695(±0.564),8.06 (±0.2),0.25 (±0.24),48.5 (±48.07),52.9 (±61.6),(-)(-),30.2 (±39.7),445.9(±770.6)
FL-gl.ca,Cambic Leptosol,171.8272,62.9 (±1.7),11.7 (±0.7),0.419(±0.113),8.05 (±0.07),0.22 (±0.04),38.01 (±5.2),3.6(±0.9),(-)(-),23.9 (±8.9),741.4(±284.8)
FL-gy-lo,Cambic Leptosol (Yermic),134.7008,64.07 (±2.6),11.3 (±0.3),0.404(±0.052),8.02 (±0.07),0.21 (±0.041),46.4 (±8.9),3.8 (±90.6),(-)(-),19.3 (±5.6),668.5(±304.3)
FL-lp,Cambic Lithic Leptosol,461.7536,63.8 (±1.6),11.1 (±0.5),0.402(±0.094),8.05 (±0.07),0.21 (±0.04),39.2 (±7.5),3.3 (±0.7),(-)(-),21.6 (±6.5),734.4(±323.5)
FL-sk-ar,Gypsiric Fluvisol (Loamic),124.1856,56.5 (±11.5),10.4 (±1.5),0.778(±0.851),7.9 (±0.1),0.76 (±0.74),41.1 (±16.6),56.5 (±32.08),(-)(-),(±-) (±-),714.3(±1165.3)
LP-cm,Leptic Cambisol,129.3504,64.4 (±2.3),12 (±0.6),0.400(±0.020),8.05 (±0.08),0.21 (±0.05),46.1 (±11.2),4.09 (±0.4),(-)(-),17.8 (±5.6),671.9(±318.5)
LP-cm.ca,Leptic Cambisol (Aridic),1335.661,64.2 (±2.8),11.06 (±0.2),0.383(±0.085),8.02 (±0.08),0.20 (±0.03),41.05 (±7.07),3.7 (±0.6),(-)(-),19.6 (±5.6),708.6(±304.2)
nLoPs-oclm (A-yRe),Leptic Fluvisol,816.3392,69.6 (±4.8),11.5 (±1.3),0.324(±0.306),8.1 (±0.2),0.29 (±0.27),31.8 (±20.5),12.2 (±12.7),(-)(-),49.4 (±62.2),826.1(±1463.6)
LP-li.cm,Lithic Leptosols (Aridic),119.9104,61.3 (±2.8),10.9 (±0.2),0.386(±0.081),8.05 (±0.09),0.20 (±0.02),35.4 (±3.6),3.8 (±0.8),(-)(-),24.6 (±6.8),732.6(±336)
LP-li.sk-ar,Nudilithic Leptosol (Arenic),176.1536,63.2 (±1.2),11.8 (±0.6),0.444(±0.140),8.08 (±0.06),0.24 (±0.06),38.8 (±5.1),3.05 (±0.5),(-)(-),26.1 (±10.8),756.3(±319.3)
LisPo-llsi -(aFdL),Skeletic Fluvic Cambisol,1924.083,63.9 (±2.1),11.7(±0.7),0.397(±0.120),8.05 (±0.08),0.22 (±0.05),39.6 (±12.6),3.7 (±0.8),(-)(-),21.4 (±7.2),687.7(±305.5)
tLosPo-nlst -(aLr P),Skeletic Fluvisol (Arenic),296.8832,73.7 (±11.7),9.3 (±0.7),0.416(±0.294),7.8 (±0.1),0.16 (±0.06),45.6 (±24.7),86.2(±106.07),(-)(-),21.9 (±19.07),295.2(±1022.5)
LP-sk,Skeletic Leptosol,74.7392,62.9 (±2.8),12.3 (±0.6),0.432(±0.151),8.01 (±0.09),0.23 (±0.04),44.2 (±6.05),4.1(±1.06),(-)(-),22.4 (±5.5),741.1(±257.5)
CM-fl.sk,Skeletic Lithic Leptosol (Arenic),554.464,63.006 (±1.8),12.02 (±0.6),0.454(±0.163),8.05 (±0.08),0.23 (±0.04),43.8 (±5.8),3.6 (±0.6),(-)(-),23.1 (±6.7),721.6(±291.7)
