Years,Control of Corruption: Estimate,Government Effectiveness: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate
2010,-1.636177,-1.454611,-2.579152,-1.532861,-1.845427
2011,-1.579174,-1.448444,-2.50206,-1.540586,-1.896546
2012,-1.419741,-1.360196,-2.418561,-1.193118,-1.643081
2013,-1.43651,-1.385382,-2.519349,-1.193137,-1.597348
2014,-1.354829,-1.332015,-2.411068,-1.118182,-1.445761
2015,-1.342216,-1.323176,-2.571222,-0.9973711,-1.504086
2016,-1.526172,-1.226401,-2.671054,-1.327688,-1.498478
2017,-1.515626,-1.325545,-2.801084,-1.336691,-1.562423
2018,-1.487624,-1.453096,-2.763864,-1.133277,-1.664038
2019,-1.400733,-1.463065,-2.655531,-1.12069,-1.713714
2020,-1.475405,-1.523115,-2.729808,-1.378587,-1.807697
