Variable:,pr
Country:,Afghanistan
Subnational-unit:,Badakhshan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,44.14,24.43,58.85,58.14,31.43,16.21,5.02,1.33,3.17,45.29,133.47,47.59
1902,71.55,69.95,75.83,51.84,126.50,52.29,14.14,10.81,17.78,2.80,17.46,16.99
1903,78.79,7.68,73.76,57.34,63.41,8.69,8.41,4.62,34.47,43.49,45.88,46.89
1904,91.93,16.64,80.26,50.66,64.11,39.79,5.97,5.50,9.36,16.30,17.73,68.59
1905,29.78,81.55,60.53,68.93,75.87,24.39,13.92,9.88,5.66,8.65,9.03,62.29
1906,75.28,34.70,46.11,74.71,58.68,43.44,10.36,5.50,14.51,39.37,16.27,11.88
1907,99.29,105.04,66.52,105.92,46.67,28.90,3.68,6.71,16.87,9.12,6.19,47.91
1908,88.00,42.43,45.42,74.13,51.41,22.26,21.21,6.35,6.13,22.72,20.14,17.49
1909,111.17,54.85,101.37,86.82,48.90,26.51,27.73,18.14,1.13,6.24,5.88,31.69
1910,57.15,54.92,75.13,50.16,50.14,11.34,3.74,1.48,2.42,22.77,36.86,40.35
1911,93.05,78.71,65.09,41.00,51.12,16.52,8.37,3.74,35.80,7.05,6.37,49.61
1912,55.55,39.26,30.32,106.73,54.60,9.45,2.99,8.73,5.00,29.62,42.14,45.28
1913,60.02,51.94,56.97,63.26,37.63,19.20,7.66,5.34,6.11,89.46,84.35,22.36
1914,5.29,62.40,57.68,107.47,13.98,13.34,15.51,3.46,4.86,14.50,14.23,13.81
1915,27.32,39.40,54.53,50.06,40.43,9.15,2.25,10.83,6.87,6.88,4.71,14.73
1916,20.22,31.45,19.80,6.16,16.54,16.77,4.24,12.05,8.62,16.31,3.44,23.14
1917,34.60,51.63,83.70,81.46,36.85,16.98,11.32,5.41,7.50,17.95,54.91,56.45
1918,67.17,57.93,116.27,53.46,42.58,12.14,7.95,11.32,7.54,16.86,17.83,73.03
1919,87.76,56.90,99.52,77.46,52.90,22.73,8.04,5.57,12.93,19.26,56.56,33.65
1920,36.15,41.61,101.07,101.01,58.68,35.58,9.33,12.96,4.54,32.26,27.95,103.79
1921,48.33,111.17,75.61,52.80,82.77,21.74,11.96,8.52,11.27,23.75,23.46,40.17
1922,74.93,95.96,90.24,63.13,68.60,21.64,9.87,14.32,6.45,40.94,20.68,29.53
1923,42.62,74.21,89.64,50.56,104.47,12.48,9.89,5.94,14.79,17.27,35.97,85.49
1924,66.36,46.57,56.25,69.70,51.21,2.98,9.22,9.25,8.49,41.40,32.81,5.89
1925,27.64,33.02,119.30,82.76,43.66,28.78,14.33,4.65,10.09,8.64,21.29,32.94
1926,53.36,41.61,95.32,66.83,58.88,15.55,6.09,4.93,6.98,10.26,32.10,80.26
1927,40.33,69.69,78.89,60.76,33.67,31.00,12.01,8.71,8.95,10.85,87.82,60.98
1928,57.42,81.04,61.89,42.38,29.37,17.15,14.73,14.33,3.62,19.06,52.04,44.85
1929,57.23,105.46,55.41,102.94,67.99,27.24,9.32,9.01,11.62,20.55,11.50,29.85
1930,77.49,44.20,50.20,92.77,124.58,49.16,26.33,7.71,4.47,23.11,77.47,52.85
1931,104.50,46.96,60.38,47.21,51.85,27.34,7.54,12.92,2.06,30.41,22.98,41.82
