Variable:,pr
Country:,Afghanistan
Subnational-unit:,Badghis
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,48.16,46.16,61.98,34.23,10.27,0.00,0.00,0.00,0.00,15.60,24.86,29.94
1902,48.78,47.58,78.84,32.42,27.54,0.00,0.00,0.00,0.00,2.93,9.25,26.52
1903,57.06,43.18,64.12,33.49,23.25,0.00,0.00,0.00,0.00,5.90,11.00,18.90
1904,29.36,17.33,38.14,21.68,6.22,0.00,0.00,0.00,0.00,0.52,7.10,28.25
1905,33.16,36.05,61.99,47.77,8.73,0.00,0.00,0.00,0.00,0.49,12.12,29.52
1906,46.24,44.55,60.72,58.53,18.14,0.00,0.00,0.00,0.00,5.62,14.98,3.46
1907,62.18,40.14,55.06,37.76,12.32,0.00,0.00,0.00,0.00,5.61,3.42,36.48
1908,37.62,47.39,63.33,47.91,13.20,0.00,0.00,0.00,0.00,5.33,9.34,23.98
1909,50.65,45.48,75.96,29.52,12.42,0.00,0.00,0.00,0.00,4.11,9.34,28.58
1910,46.09,44.82,67.21,32.59,30.08,0.00,0.00,0.00,0.00,1.00,16.71,13.65
1911,26.93,27.74,60.32,62.25,12.57,0.00,0.00,0.00,0.00,6.77,13.81,19.75
1912,44.90,62.99,45.88,49.31,12.23,0.00,0.00,0.00,0.00,23.93,28.70,40.04
1913,29.69,61.27,57.62,59.15,5.39,0.00,0.00,0.00,0.00,13.79,58.47,22.11
1914,10.79,30.02,57.34,111.93,2.80,0.00,0.00,0.00,0.00,2.29,2.05,15.84
1915,83.00,26.26,100.28,75.36,7.90,0.00,0.00,0.00,0.00,2.56,1.65,5.60
1916,26.90,22.05,29.30,3.31,1.44,0.00,0.00,0.00,0.00,7.99,3.87,7.81
1917,35.75,45.22,91.44,19.36,3.13,0.00,0.00,0.00,0.00,6.14,15.76,34.94
1918,35.70,50.00,48.36,37.51,15.99,0.00,0.00,0.00,0.00,3.93,10.77,31.01
1919,42.64,56.95,48.00,44.30,14.41,0.00,0.00,0.00,0.00,6.83,16.53,25.59
1920,32.71,42.57,70.82,38.41,12.26,0.00,0.00,0.00,0.00,3.36,21.55,34.71
1921,46.48,57.06,82.38,26.74,24.56,0.00,0.00,0.00,0.00,4.34,14.58,35.58
