Variable:,pr
Country:,Afghanistan
Subnational-unit:,Baghlan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.13,32.88,77.74,47.99,17.85,6.53,6.10,4.95,4.10,32.56,59.70,22.69
1902,56.55,73.89,88.66,64.13,94.20,11.59,7.34,9.39,12.57,4.81,24.72,26.13
1903,77.97,21.53,107.23,56.04,65.57,2.63,7.23,5.61,19.30,45.00,26.84,42.27
1904,63.20,33.76,86.83,55.40,38.70,8.33,6.13,5.88,8.93,5.07,7.29,60.48
1905,25.93,108.12,59.23,79.44,43.53,6.94,7.53,7.96,5.82,9.37,10.91,57.37
1906,67.59,63.16,61.12,85.16,90.01,34.11,7.98,5.58,10.18,42.62,17.18,13.48
1907,93.06,64.69,79.04,98.17,28.66,5.45,5.40,7.90,6.11,6.32,7.96,44.01
1908,40.96,57.32,67.24,60.00,69.70,7.50,13.01,6.11,4.48,11.04,12.52,28.52
1909,103.28,55.63,83.46,67.79,38.74,5.33,18.63,16.82,3.32,5.52,7.63,29.93
1910,61.51,46.15,133.85,59.39,48.27,3.78,5.06,4.56,3.44,11.33,14.70,25.04
1911,76.87,64.62,103.09,81.15,31.96,9.08,8.50,6.56,24.61,8.54,10.27,50.81
1912,43.10,46.80,32.24,58.93,44.67,4.82,5.85,7.69,5.21,35.58,22.34,75.44
1913,41.64,68.61,96.38,72.69,28.02,13.72,10.74,5.75,7.33,57.96,68.05,28.30
1914,13.52,94.30,65.97,124.85,18.55,6.70,8.57,4.54,6.27,8.03,8.88,19.53
1915,31.07,35.64,88.83,83.66,34.60,8.34,5.82,14.53,4.89,5.77,6.60,16.39
1916,37.67,48.42,48.10,21.31,19.04,4.85,6.11,9.73,10.03,5.46,6.79,26.62
1917,40.03,94.38,110.66,90.28,29.02,9.64,6.23,6.59,6.84,12.95,17.54,39.54
1918,72.64,55.35,80.10,64.87,36.62,6.66,7.49,14.72,5.09,11.27,16.11,102.10
1919,87.81,56.64,102.68,70.00,34.70,9.19,6.72,5.77,4.33,11.74,17.02,27.66
1920,45.99,48.14,68.34,58.91,28.61,5.75,8.23,8.33,3.67,16.24,21.57,98.31
1921,45.83,85.91,76.00,53.26,41.68,11.67,9.13,10.21,9.48,18.92,15.90,35.75
1922,54.38,83.45,85.52,65.61,52.99,5.95,6.32,14.43,6.32,25.35,15.69,30.12
1923,40.55,81.06,80.53,76.61,87.31,6.70,10.18,5.92,13.09,11.86,25.26,42.14
1924,45.89,68.40,66.46,62.11,52.61,4.63,10.38,7.74,9.69,42.74,29.72,21.72
1925,32.53,59.50,126.12,98.58,39.86,12.31,7.71,7.23,7.90,5.13,15.24,32.11
1926,31.91,42.85,63.54,71.92,32.05,2.86,4.83,5.37,4.57,5.05,22.07,68.66
1927,42.53,79.37,71.90,50.84,24.44,4.32,6.72,6.38,3.12,5.11,22.94,55.86
1928,60.44,90.82,64.20,49.78,18.63,6.23,12.31,7.73,2.10,7.66,16.38,43.51
1929,42.85,101.73,58.56,90.06,44.07,9.75,6.80,3.67,9.32,17.17,11.88,39.27
1930,73.15,52.04,62.14,79.35,93.00,22.58,12.85,7.92,4.22,18.53,50.39,53.96
1931,93.32,51.86,78.22,58.12,40.72,8.43,7.14,12.00,2.63,17.90,15.12,36.30
1932,44.43,51.39,139.89,76.15,39.31,14.03,4.43,9.82,5.11,7.10,18.06,98.58
1933,48.62,108.51,70.15,109.03,91.92,12.00,2.88,3.41,4.86,10.03,12.58,58.12
1934,68.05,82.97,71.19,64.50,40.42,35.52,7.41,4.70,4.83,15.21,55.56,23.96
1935,22.75,71.35,88.45,90.77,29.34,4.09,3.27,5.56,5.64,8.75,19.42,59.85
1936,50.45,72.95,73.25,113.39,46.59,2.78,3.95,2.49,3.42,26.10,13.74,39.80
1937,84.90,86.02,116.01,58.36,12.57,5.72,7.31,4.44,3.35,4.67,27.25,47.60
1938,71.54,91.41,107.40,67.38,27.29,3.50,6.82,3.57,1.74,21.60,20.82,26.22
1939,56.81,49.16,101.37,59.33,34.90,9.10,3.16,4.10,8.90,31.25,16.62,51.60
1940,69.00,72.75,84.81,112.41,29.65,3.10,3.69,3.46,3.47,5.88,15.39,68.73
1941,83.46,87.60,75.58,78.28,50.27,17.37,6.04,3.86,2.30,24.98,37.78,25.98
1942,50.82,51.89,105.88,77.45,64.79,3.52,3.62,6.09,3.33,44.26,37.96,42.85
1943,54.89,70.09,49.18,71.55,30.58,3.53,3.32,4.68,3.12,21.15,30.33,24.55
1944,61.14,76.68,111.14,75.60,62.59,20.82,3.02,6.55,2.55,5.18,59.66,34.80
1945,56.19,78.06,75.04,26.04,15.98,9.31,9.94,2.81,1.38,6.28,20.24,37.32
1946,61.80,86.51,59.04,50.70,22.72,4.48,10.15,3.15,3.50,7.03,12.89,22.47
1947,29.32,46.41,103.01,85.72,23.23,13.24,2.20,4.60,6.29,19.10,13.38,95.70
1948,60.58,66.11,88.42,57.16,29.74,37.86,2.60,11.87,3.05,7.79,14.11,36.54
1949,70.78,40.18,67.90,74.28,48.66,7.02,3.24,6.63,1.16,11.72,32.62,11.28
1950,59.46,74.84,97.95,51.07,96.66,4.87,4.60,2.92,1.23,36.00,15.46,46.12
1951,48.29,100.51,91.00,88.45,50.29,8.55,5.07,2.54,1.52,3.64,17.97,36.47
1952,53.58,79.78,138.10,68.60,79.89,33.51,3.71,3.04,3.35,49.12,32.70,67.07
1953,87.04,81.76,100.69,57.89,23.51,7.04,7.56,4.27,1.80,10.25,28.63,38.72
1954,11.54,28.99,115.33,44.79,101.61,16.04,8.39,4.79,2.59,4.74,7.53,51.51
1955,35.15,86.18,125.62,125.62,10.17,12.99,7.01,4.73,4.14,23.02,18.14,45.18
1956,75.63,67.58,113.74,90.09,52.91,23.92,4.30,2.84,0.99,42.90,74.20,54.37
1957,54.38,39.90,81.31,90.15,75.67,4.72,2.87,5.85,6.44,7.17,24.15,67.69
1958,44.14,69.48,75.12,61.52,80.09,4.13,2.80,4.82,3.61,4.72,39.43,62.75
1959,68.28,65.00,95.09,123.81,98.00,4.66,5.22,3.69,4.63,6.34,55.63,25.13
1960,64.08,41.24,101.39,119.05,38.53,7.25,5.38,29.45,1.66,9.25,48.34,33.26
1961,22.23,63.46,60.14,89.19,51.17,8.72,3.38,2.32,3.08,20.56,33.66,44.10
1962,11.02,57.54,96.77,124.84,112.69,14.48,6.37,4.53,2.13,11.63,45.53,38.15
1963,71.26,86.75,85.13,105.62,38.35,2.83,41.55,3.41,2.14,5.77,29.08,29.21
1964,92.17,106.33,77.67,113.12,73.84,2.81,35.42,9.32,6.72,9.07,33.36,24.86
1965,9.64,90.80,138.03,67.77,21.12,2.02,5.48,6.46,6.42,37.80,6.20,21.50
1966,25.23,98.42,85.06,104.25,46.40,14.03,8.66,1.23,9.18,68.85,31.86,54.77
1967,47.47,40.74,98.21,117.27,69.53,4.19,4.66,3.33,0.74,22.36,21.06,102.33
1968,76.83,53.65,119.51,119.40,105.29,25.32,25.86,6.18,6.83,36.27,59.64,15.65
1969,47.20,34.64,84.15,49.54,16.27,2.65,16.90,2.36,5.81,7.02,6.19,26.62
1970,15.31,68.80,67.67,63.89,8.42,2.74,3.71,1.48,12.84,5.30,7.57,23.43
1971,89.94,82.48,98.83,86.82,86.32,15.91,7.70,1.81,5.49,17.09,19.84,71.05
1972,42.92,80.13,158.02,103.56,25.88,1.46,7.01,1.89,22.87,4.44,8.13,19.41
1973,44.60,70.16,61.92,57.44,37.32,5.11,4.78,5.56,18.28,1.84,9.14,56.16
1974,36.45,75.87,98.28,117.54,37.83,5.09,3.39,5.52,5.06,16.77,19.38,55.52
1975,57.02,113.73,99.15,98.34,32.32,1.68,4.69,3.39,2.04,30.56,5.19,25.23
1976,123.04,19.58,27.75,107.19,31.19,5.63,5.51,6.32,1.83,27.95,51.37,48.11
1977,63.97,45.12,109.44,50.52,84.47,3.63,6.86,3.23,1.46,3.83,49.21,18.98
1978,43.16,75.66,88.43,77.38,91.06,7.91,2.50,19.90,2.20,4.57,15.50,38.00
1979,75.48,91.10,116.35,47.98,19.95,7.53,6.12,12.50,1.43,26.50,21.04,26.22
1980,67.96,111.91,83.68,73.42,42.08,4.83,40.09,8.61,3.66,34.32,10.33,43.08
1981,36.10,57.93,120.32,17.76,38.96,7.90,6.34,2.98,6.11,33.78,92.21,53.11
1982,43.20,46.60,141.85,66.00,46.63,19.43,4.82,4.00,4.55,1.74,4.06,26.62
1983,17.05,69.19,110.70,60.55,20.61,4.12,5.81,2.96,2.56,15.12,33.83,56.35
1984,66.65,27.11,40.12,63.04,38.49,1.34,2.00,14.38,0.80,8.70,7.17,61.19
1985,23.04,33.90,112.49,45.97,46.95,8.91,8.50,13.22,6.37,9.89,41.45,91.42
1986,7.84,49.60,143.04,107.27,36.74,37.99,13.78,3.91,3.32,83.45,18.05,14.12
1987,83.50,72.97,142.54,45.95,18.94,7.38,1.35,13.86,5.10,3.10,1.74,71.35
1988,45.82,67.64,108.14,34.47,75.96,13.33,27.92,33.58,15.82,8.64,36.31,41.49
1989,97.91,82.54,59.88,85.15,9.20,9.21,2.24,20.03,1.26,8.22,12.38,72.87
1990,73.88,74.52,141.75,90.01,125.57,7.58,7.52,3.40,24.46,9.12,19.35,59.08
1991,92.87,62.56,74.13,99.73,57.23,24.00,18.41,13.58,5.68,16.09,21.06,39.72
1992,31.34,53.44,99.14,62.34,79.34,18.28,6.50,6.32,3.70,22.76,44.93,46.74
1993,66.01,70.17,79.10,57.06,47.25,8.16,9.62,4.98,8.55,55.01,23.11,58.58
1994,24.66,94.17,70.79,106.75,28.94,13.75,7.60,5.33,3.76,20.31,11.83,24.07
1995,29.50,77.33,119.25,91.01,42.61,17.99,5.40,6.97,3.88,29.08,24.29,9.51
1996,26.60,34.40,108.38,122.72,72.67,16.93,4.87,3.60,3.91,25.27,23.56,43.59
1997,75.48,120.18,91.16,111.87,92.84,21.51,7.82,6.78,5.52,13.29,9.63,17.60
1998,53.63,82.98,115.45,71.24,28.99,11.03,32.52,3.86,11.90,10.46,74.14,11.84
1999,61.97,71.26,64.18,27.42,15.57,7.16,12.48,9.81,18.09,46.58,31.85,35.37
2000,32.29,44.11,61.50,39.39,19.78,13.49,13.28,8.89,5.50,16.07,26.76,35.63
2001,37.29,84.15,70.02,82.94,31.31,18.38,5.47,9.06,4.36,8.84,30.42,63.62
2002,28.07,105.52,101.10,85.18,35.58,9.09,10.11,12.81,8.71,10.35,43.37,37.80
2003,81.04,51.91,32.17,66.43,29.13,8.79,7.61,9.70,6.12,19.76,34.19,80.16
2004,78.06,100.40,74.93,54.97,101.53,7.00,7.39,6.83,5.65,16.26,27.63,17.16
2005,86.83,76.99,83.24,54.09,15.63,5.89,12.16,13.56,5.82,25.57,70.49,94.50
2006,23.56,88.16,135.18,43.51,33.66,16.61,8.17,7.80,6.96,5.51,14.11,54.79
2007,87.23,50.20,20.34,84.53,23.39,8.73,22.12,22.48,6.32,17.03,17.54,46.43
2008,73.39,128.95,75.21,131.86,50.64,21.65,4.06,5.51,2.40,10.07,32.01,48.00
2009,44.25,114.40,67.15,55.66,57.75,16.95,24.15,17.00,9.01,11.74,16.18,11.90
2010,30.87,125.60,72.45,57.21,42.98,8.15,8.99,10.85,5.65,30.39,31.09,15.16
2011,61.11,87.51,96.34,93.37,80.19,4.30,9.26,10.48,10.88,23.49,36.07,69.16
2012,50.93,129.16,83.73,103.72,42.98,13.60,13.69,14.73,5.28,64.16,39.87,26.38
2013,34.95,73.86,55.89,76.53,49.33,6.73,9.86,10.98,9.10,26.89,64.87,14.86
2014,53.03,187.06,75.73,83.15,60.63,9.11,14.44,22.12,4.61,39.90,46.57,30.88
2015,80.33,35.09,128.24,125.41,59.00,8.99,13.73,9.00,3.98,7.32,43.06,54.29
2016,75.70,74.20,85.64,70.26,44.11,4.01,7.00,5.00,7.90,5.09,14.50,21.59
2017,19.16,68.80,86.40,63.55,65.40,4.35,6.81,7.85,6.19,13.00,35.21,25.68
2018,78.66,79.78,77.43,109.69,41.11,7.20,7.29,6.06,1.92,18.95,61.07,18.51
2019,74.05,71.57,124.50,122.03,49.85,3.98,5.65,8.67,5.66,9.30,53.04,36.22
2020,,,,,,,,,,,,
