Variable:,pr
Country:,Afghanistan
Subnational-unit:,Balkh
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.79,22.27,53.53,29.44,3.70,0.08,0.33,1.46,0.23,19.82,45.65,12.37
1902,49.94,55.41,44.18,35.47,48.34,0.63,1.55,1.03,0.57,0.22,12.79,8.02
1903,46.71,8.18,43.99,27.26,40.86,0.03,0.38,0.72,1.38,16.18,12.96,28.05
1904,40.56,11.98,22.13,24.95,9.03,0.49,0.44,0.99,0.20,0.22,4.95,25.52
1905,26.43,52.73,34.84,63.43,19.38,1.93,1.11,0.77,0.29,0.26,5.60,30.99
1906,53.64,38.61,52.39,65.36,57.56,7.22,0.44,0.64,0.53,23.34,19.67,2.53
1907,75.99,36.56,57.72,25.96,19.16,0.50,0.31,2.12,0.37,1.38,2.35,32.85
1908,33.04,24.78,54.79,37.74,33.81,0.13,0.66,0.77,0.20,1.60,1.34,3.17
1909,38.28,28.10,79.92,18.99,13.13,0.16,0.70,0.63,0.40,0.74,0.61,21.37
1910,35.48,32.96,68.50,33.99,27.25,0.15,0.86,0.87,0.43,1.63,6.10,9.25
1911,37.39,46.17,73.68,61.40,12.94,0.26,0.45,0.59,1.19,6.38,6.10,42.20
1912,45.45,55.50,7.00,27.07,16.84,0.02,0.31,0.61,0.25,23.01,9.96,46.37
1913,29.96,47.52,65.85,38.38,7.44,4.21,0.31,0.59,0.20,18.30,60.89,11.22
1914,5.09,39.52,47.64,71.40,6.47,0.30,0.72,0.55,0.21,3.78,3.29,12.54
1915,32.01,18.67,75.26,46.67,10.66,4.26,0.31,0.55,0.31,2.97,1.46,6.70
1916,20.74,26.02,16.35,0.94,1.66,0.06,0.42,0.55,0.20,0.58,1.86,5.70
1917,30.73,72.26,55.82,36.89,21.63,0.04,0.64,0.56,0.58,6.38,12.98,27.91
1918,34.11,47.01,63.66,45.14,21.86,0.90,0.33,0.56,0.38,4.88,12.06,24.37
1919,35.17,48.71,59.00,41.49,22.67,1.26,0.64,1.03,1.18,7.71,17.01,24.34
1920,32.66,38.74,60.48,49.36,16.21,1.42,1.02,1.27,0.45,6.20,14.59,26.77
1921,38.26,42.00,54.30,45.90,27.82,1.48,0.74,0.61,0.40,5.55,12.02,22.21
1922,30.82,81.63,71.63,75.54,9.98,1.48,0.31,0.61,0.20,18.68,6.61,22.80
1923,43.25,54.05,54.35,77.24,9.77,3.00,0.32,0.61,0.22,5.84,11.09,60.59
1924,31.42,28.14,38.96,45.66,7.75,0.34,0.38,0.61,0.20,19.49,9.59,9.14
1925,35.97,53.19,52.73,38.20,13.29,7.54,1.62,0.25,0.20,0.32,13.75,24.45
1926,26.15,21.71,30.89,28.08,11.57,0.03,0.02,0.20,0.02,0.14,13.13,51.07
1927,35.06,34.00,29.82,24.21,14.06,0.28,0.72,1.39,0.02,0.26,10.91,25.04
1928,48.63,77.92,33.23,19.66,5.04,0.76,0.02,0.22,0.23,0.26,6.23,24.90
1929,22.09,64.61,26.38,29.15,20.94,0.91,0.09,0.11,0.81,5.50,6.73,32.88
1930,57.55,32.91,35.25,42.26,43.30,2.91,1.32,2.50,0.21,0.26,35.68,45.46
1931,63.07,25.31,41.51,39.44,14.14,0.62,0.45,1.13,0.02,8.58,9.18,24.80
1932,32.09,34.94,99.20,37.53,18.05,2.71,0.09,0.43,0.15,0.63,15.64,63.52
1933,30.45,62.05,38.93,71.76,47.57,2.09,0.05,0.10,0.10,2.08,6.52,43.44
1934,44.62,50.21,38.25,21.00,18.26,5.26,0.70,0.16,0.15,2.38,47.62,11.94
1935,5.51,41.73,48.36,58.05,9.62,0.04,0.02,0.40,0.02,1.59,2.98,39.08
1936,37.37,56.65,51.05,51.37,26.28,0.05,0.02,0.05,0.03,11.03,2.69,28.72
1937,64.94,61.86,70.44,32.08,0.87,0.04,1.44,0.11,0.09,0.21,16.60,27.65
1938,62.94,56.51,65.20,44.41,12.72,0.07,0.25,0.11,0.01,11.54,14.92,15.86
1939,43.67,45.42,60.59,20.49,13.59,0.05,0.05,0.05,0.88,21.04,10.15,39.14
1940,60.44,53.71,68.28,77.37,12.89,0.02,0.02,0.18,0.03,0.39,6.71,55.62
1941,79.52,35.34,54.30,45.43,35.39,1.68,0.05,0.41,0.01,7.77,21.91,12.39
1942,33.54,33.72,75.14,37.60,42.08,0.05,0.02,0.05,0.01,15.07,24.24,28.52
1943,38.20,34.87,22.34,29.77,5.72,0.05,0.00,0.05,0.00,6.38,10.90,11.61
1944,41.01,59.61,78.70,42.14,31.99,2.23,0.00,0.81,0.00,0.37,42.42,26.49
1945,36.89,48.43,45.51,9.32,2.93,0.61,0.74,0.36,0.00,0.38,4.45,23.80
1946,51.63,60.29,38.52,28.29,8.00,0.06,0.51,0.00,0.10,0.88,4.78,7.42
1947,18.93,25.79,63.62,52.79,8.51,0.74,0.00,0.58,0.47,6.23,5.37,54.16
1948,49.07,41.64,69.59,45.80,7.72,5.33,0.00,3.51,0.00,1.46,9.59,25.49
1949,49.28,18.44,42.46,41.28,21.82,0.11,0.00,0.39,0.00,2.57,19.23,8.06
1950,39.80,41.12,44.22,33.47,47.04,0.38,0.75,0.00,0.00,15.24,4.71,30.76
1951,29.39,74.39,49.62,54.69,35.27,0.36,0.10,0.00,0.00,0.14,16.15,22.20
1952,23.60,63.27,91.73,36.82,37.29,4.87,0.00,0.00,0.29,20.06,24.60,51.34
1953,58.94,37.21,64.58,29.96,3.23,0.34,0.68,1.29,0.24,0.56,23.85,21.94
1954,2.49,25.39,71.93,19.61,43.71,3.83,0.05,0.00,0.00,0.37,2.50,32.00
1955,16.98,73.14,75.71,60.31,1.21,0.50,0.00,0.00,0.00,4.66,9.28,30.41
1956,52.39,36.69,59.37,39.75,22.04,4.41,0.16,0.00,0.00,20.17,39.47,30.60
1957,53.03,22.88,40.38,57.27,33.81,0.11,0.00,0.83,0.78,0.59,15.13,38.22
1958,22.24,50.09,64.41,26.10,24.95,1.39,0.00,0.03,0.00,3.18,22.29,40.47
1959,44.17,40.22,72.72,75.32,53.82,0.15,0.00,0.00,0.03,3.87,41.15,6.82
1960,41.14,16.02,65.27,65.31,20.02,0.95,0.00,7.06,0.00,2.30,25.91,29.03
1961,22.50,41.60,32.90,58.42,26.15,0.29,0.00,0.00,0.07,9.92,28.34,33.67
1962,9.11,44.91,53.66,82.52,43.20,2.73,0.62,0.91,0.16,2.40,21.44,38.62
1963,38.29,52.92,63.79,67.70,23.41,0.62,4.68,0.00,0.02,2.11,12.47,18.24
1964,54.92,62.51,42.20,32.73,18.64,0.24,3.74,1.53,2.06,1.86,12.30,8.25
1965,6.71,51.14,80.18,26.26,3.83,0.23,1.74,0.21,0.83,20.17,3.83,14.93
1966,15.81,60.16,46.84,42.63,18.66,1.28,0.00,0.00,3.21,26.69,22.33,22.05
1967,29.04,21.17,53.35,71.80,27.50,0.15,0.10,0.30,0.00,6.82,10.46,68.37
1968,69.36,35.25,104.11,72.18,52.66,3.99,3.94,0.12,2.82,12.50,38.04,18.07
1969,42.38,20.22,57.63,34.36,2.00,0.01,4.24,0.00,0.00,0.73,2.82,17.40
1970,13.71,35.16,30.43,29.66,0.17,0.01,0.00,0.00,0.00,1.73,7.15,20.19
1971,58.98,45.93,67.21,47.35,33.61,1.52,0.17,0.00,0.25,3.47,3.39,38.64
1972,21.30,42.49,130.42,48.27,8.25,0.01,0.00,0.00,1.75,0.17,4.36,14.75
1973,29.78,29.75,41.37,27.18,14.81,0.86,0.18,0.82,2.39,0.76,7.36,26.63
1974,27.13,43.55,59.91,57.41,12.29,0.17,0.09,0.00,0.36,5.30,10.11,30.82
1975,41.11,68.85,61.38,56.68,17.01,0.02,0.00,0.00,0.00,15.48,2.52,13.21
1976,83.23,18.43,16.29,35.06,13.47,0.86,0.00,2.78,0.00,13.64,23.65,36.32
1977,41.06,29.81,68.36,25.82,48.67,0.12,0.00,0.00,0.00,0.32,34.78,23.52
1978,33.78,54.97,55.11,35.88,35.02,0.88,0.00,3.20,0.00,0.31,7.94,28.18
1979,56.12,53.09,58.61,34.63,5.68,0.13,0.00,2.04,0.00,3.16,11.45,18.15
1980,39.51,57.79,46.29,42.91,14.90,0.68,5.63,0.43,0.23,12.36,5.36,26.70
1981,33.25,30.95,77.69,9.10,14.95,2.91,0.98,0.02,0.58,16.93,52.61,25.68
1982,34.33,21.20,82.65,30.67,24.74,2.49,0.08,0.00,0.44,0.03,3.65,20.44
1983,12.12,51.29,76.73,26.03,6.72,0.01,0.00,0.00,0.00,6.95,21.31,34.75
1984,65.48,19.56,29.99,35.71,17.28,0.01,0.06,1.10,0.00,3.10,2.37,35.52
1985,15.42,17.49,50.03,25.20,19.33,1.75,0.05,0.07,2.08,5.21,11.24,64.67
1986,6.15,32.72,86.25,76.48,6.03,4.27,2.65,0.07,0.62,36.91,14.82,9.51
1987,54.56,51.48,72.37,33.81,18.62,0.12,0.00,0.14,0.33,0.49,0.88,50.05
1988,39.10,37.36,70.07,12.71,36.74,0.24,1.85,2.43,1.02,2.97,22.44,24.95
1989,85.59,54.59,31.89,56.54,3.67,0.56,0.67,0.00,0.00,2.41,2.62,39.54
1990,34.58,37.64,94.19,48.39,53.83,0.86,0.41,0.04,2.97,2.87,14.99,56.12
1991,69.03,36.14,43.96,59.97,29.28,4.26,2.13,2.26,0.27,1.03,11.37,27.57
1992,11.68,52.90,66.82,44.56,44.60,3.06,0.60,1.69,0.01,10.61,32.25,43.36
1993,42.67,40.83,46.87,13.33,20.85,0.55,0.02,0.03,0.79,21.51,18.31,33.27
1994,20.70,66.17,38.60,49.79,4.56,1.20,0.17,0.03,0.45,3.61,4.26,9.54
1995,18.33,50.10,74.10,46.85,5.33,1.69,0.23,0.03,0.55,7.55,9.50,0.63
1996,31.47,20.91,75.45,64.30,43.24,1.96,0.02,0.04,0.09,7.04,19.86,34.69
1997,56.24,75.35,59.18,57.36,50.06,3.57,0.26,4.17,0.84,5.04,7.78,14.26
1998,30.15,43.29,75.36,38.96,8.95,1.21,7.19,0.05,2.40,3.26,51.41,4.75
1999,39.06,55.46,41.37,13.76,0.91,1.95,0.95,1.00,3.36,22.21,23.16,22.80
2000,29.84,42.82,46.40,5.40,1.94,0.27,0.88,4.45,0.35,8.18,17.90,44.28
2001,45.11,61.72,29.60,64.03,22.99,0.83,0.48,0.68,0.32,1.17,15.74,69.59
2002,19.88,59.56,76.85,51.52,15.78,1.38,0.48,0.73,0.38,1.82,25.43,42.88
2003,68.22,25.42,29.40,29.17,8.41,0.29,2.03,0.70,0.34,2.34,37.75,68.50
2004,30.70,46.34,67.77,26.79,55.87,1.59,0.92,0.99,0.30,1.12,20.34,18.01
2005,48.62,64.60,53.98,41.86,1.22,0.23,1.13,0.74,0.66,7.31,39.69,31.85
2006,45.71,55.63,78.13,34.71,8.80,0.66,0.28,0.68,0.33,0.48,11.81,62.64
2007,56.21,50.82,22.11,49.43,9.22,0.32,1.51,2.99,0.54,9.56,8.83,25.61
2008,54.51,79.77,56.03,76.73,36.56,2.27,0.26,1.26,0.17,3.36,19.41,49.19
2009,26.50,59.75,56.61,31.86,32.29,1.26,0.93,3.65,0.68,3.87,10.54,4.56
2010,29.96,70.58,35.79,11.07,18.16,3.58,0.51,1.04,0.33,10.75,25.76,18.66
2011,47.21,57.51,79.84,60.46,45.72,0.22,0.55,0.72,0.76,5.34,28.40,44.06
2012,32.26,41.36,55.05,78.30,8.40,1.02,0.57,0.78,0.37,29.56,5.74,34.13
2013,46.86,51.88,77.92,50.26,12.13,0.22,0.63,0.79,0.89,12.99,55.49,16.81
2014,39.42,125.21,60.65,33.47,15.94,0.73,0.76,2.17,0.53,15.02,28.75,19.57
2015,56.61,16.00,67.02,55.37,19.48,0.65,1.76,1.28,0.20,2.13,36.23,60.84
2016,40.00,21.99,67.96,45.32,18.25,0.15,0.57,0.67,1.82,1.52,12.06,6.95
2017,15.90,41.91,37.75,33.53,27.70,0.40,0.40,0.45,0.74,7.93,33.97,18.01
2018,68.54,46.36,54.95,86.73,34.52,1.69,0.28,0.30,0.30,2.97,30.25,18.92
2019,40.04,59.93,58.36,78.67,25.99,0.06,1.11,2.29,0.63,0.92,27.68,33.37
2020,,,,,,,,,,,,
