Variable:,pr
Country:,Afghanistan
Subnational-unit:,Bamyan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,36.39,44.57,90.66,55.05,20.07,3.40,0.79,1.03,0.31,29.02,46.43,21.06
1902,55.91,81.58,80.33,64.73,71.08,2.93,0.76,1.14,0.40,6.57,29.95,29.09
1903,71.14,33.91,92.57,59.75,68.30,2.61,0.80,1.13,0.41,38.55,24.90,45.05
1904,52.38,38.41,64.01,57.36,25.16,2.70,0.72,1.04,0.42,6.57,11.80,45.61
1905,40.12,85.65,65.55,81.25,38.05,5.45,0.77,1.16,0.32,7.55,14.83,51.67
1906,65.57,65.89,69.91,79.39,92.19,25.97,0.85,1.13,0.28,40.41,23.49,20.33
1907,83.50,60.62,87.32,69.39,30.65,2.97,0.73,1.31,0.32,6.87,12.11,46.71
1908,48.86,52.95,84.59,58.75,71.31,3.22,1.00,1.05,0.33,7.74,10.98,26.50
1909,62.97,59.96,104.07,56.71,31.05,2.66,1.11,1.73,0.28,6.58,10.90,36.41
1910,53.16,56.52,119.05,62.02,43.79,2.76,0.70,1.03,0.28,7.83,15.60,22.30
1911,71.32,61.96,117.09,87.01,26.86,3.81,0.74,1.23,0.36,10.50,15.38,56.10
1912,53.31,55.39,43.43,40.13,39.03,3.12,0.78,1.14,0.36,36.92,17.25,83.69
1913,40.91,71.87,107.59,61.14,23.76,8.89,1.12,1.14,0.47,36.98,68.28,29.72
1914,26.00,82.59,66.55,107.22,21.03,3.41,0.75,1.03,0.34,9.07,11.50,29.37
1915,40.06,39.60,103.58,82.72,28.19,7.70,0.77,2.03,0.35,7.71,11.00,23.31
1916,50.73,55.05,56.21,32.68,19.58,2.83,0.72,1.54,0.61,6.97,11.17,27.65
1917,53.70,103.33,94.17,74.33,35.33,3.74,0.69,1.09,0.36,14.00,22.83,42.07
1918,60.47,63.19,87.47,70.18,37.02,5.51,0.77,1.62,0.30,13.73,22.64,54.52
1919,63.77,63.41,91.85,71.19,36.53,5.85,0.73,1.03,0.27,13.79,22.64,39.83
1920,54.85,62.05,85.38,68.98,35.74,5.34,0.80,1.19,0.26,14.40,23.92,53.43
1921,54.37,69.06,87.86,67.50,38.37,6.10,0.86,1.32,0.46,14.98,22.64,41.41
1922,55.13,77.15,89.48,79.16,36.91,5.40,0.70,1.57,0.33,21.03,20.47,39.45
1923,55.95,72.37,87.43,85.16,41.40,6.86,0.89,1.04,0.56,13.92,22.97,50.42
1924,52.80,65.37,81.53,69.60,38.50,4.91,1.03,1.14,0.45,22.31,24.23,35.61
1925,52.17,68.27,89.72,74.29,35.51,10.31,0.72,1.35,0.45,6.57,17.56,40.32
1926,38.88,50.50,73.17,67.53,29.64,2.61,0.62,1.09,0.27,6.57,23.53,64.57
1927,51.52,67.45,62.21,51.74,25.82,2.75,0.61,1.05,0.21,6.57,20.71,40.91
1928,69.38,100.34,65.63,51.12,21.59,3.29,1.05,1.21,0.19,6.96,15.60,40.27
1929,47.15,95.28,63.61,71.68,38.01,4.67,0.82,0.97,0.36,13.72,14.98,44.74
1930,75.66,61.66,74.97,66.94,74.15,7.57,0.82,1.12,0.31,11.11,52.98,63.54
1931,87.44,48.49,78.09,59.76,32.16,4.59,0.80,1.33,0.21,16.14,15.16,41.80
1932,51.94,61.27,125.71,65.01,37.58,8.64,0.64,1.31,0.30,7.10,23.03,79.16
1933,52.82,92.02,73.12,93.98,60.29,7.60,0.60,1.00,0.28,10.26,15.28,64.67
1934,70.08,80.75,65.85,57.47,33.30,21.67,0.65,1.15,0.27,9.35,35.42,28.13
1935,29.64,72.54,86.21,90.73,28.22,2.90,0.60,1.03,0.21,10.52,15.94,59.61
1936,54.14,84.74,85.82,88.78,42.77,2.64,0.67,0.96,0.21,20.04,13.01,43.51
1937,81.30,92.31,103.67,59.87,17.69,3.22,0.65,1.07,0.20,6.64,25.61,45.34
1938,73.68,85.74,102.04,71.63,29.77,2.69,0.68,0.98,0.20,18.72,20.76,32.06
1939,62.29,62.81,100.59,51.78,26.54,3.50,0.62,1.02,0.40,31.05,22.82,50.05
1940,72.65,77.42,90.37,110.97,31.29,2.68,0.64,1.05,0.25,7.09,15.67,70.56
1941,93.62,70.57,73.97,77.56,44.22,6.01,0.81,1.00,0.24,20.48,31.87,29.27
1942,48.78,56.35,97.63,67.63,58.79,2.86,0.66,1.13,0.23,31.90,33.76,45.96
1943,59.65,62.57,61.31,55.27,23.28,2.70,0.55,1.25,0.16,15.08,18.83,30.08
1944,58.39,86.76,103.20,74.54,49.55,10.62,0.49,1.15,0.17,6.86,57.23,44.13
1945,56.74,75.20,78.51,39.02,19.25,4.16,0.76,1.01,0.14,7.45,14.94,38.42
1946,71.90,89.32,68.81,54.41,22.09,2.81,0.78,0.81,0.18,7.19,17.43,24.02
1947,34.02,52.08,94.86,74.47,23.34,4.83,0.40,0.85,0.23,13.57,13.87,82.63
1948,64.69,67.68,94.48,60.60,27.69,18.73,0.44,1.05,0.17,6.28,16.47,37.78
1949,76.63,40.96,69.28,74.16,41.01,3.04,0.54,1.07,0.11,7.55,24.41,20.83
1950,55.26,58.21,91.19,62.72,72.39,3.10,0.44,0.87,0.10,23.88,15.88,42.21
1951,45.27,94.46,79.92,78.50,44.60,3.98,0.53,0.71,0.15,6.53,21.42,34.72
1952,48.98,76.43,100.33,60.62,57.58,15.63,0.55,0.78,0.31,29.78,25.77,56.08
1953,89.15,67.68,93.34,51.86,22.15,3.78,0.68,0.73,0.14,9.01,26.94,35.35
1954,25.90,40.74,106.42,45.31,72.34,7.56,0.58,1.30,0.24,5.79,10.19,46.35
1955,45.78,78.09,115.11,99.76,14.80,6.35,1.15,1.03,0.21,22.38,21.08,35.81
1956,70.92,70.99,106.92,86.19,41.33,14.46,0.57,0.76,0.13,33.26,51.65,48.34
1957,59.69,48.51,85.73,79.82,54.73,3.15,0.46,1.04,0.35,7.48,21.69,63.70
1958,49.81,71.29,80.94,65.50,51.66,5.19,0.53,0.93,0.35,8.43,32.06,58.20
1959,80.32,69.06,91.83,113.02,76.87,3.53,0.67,1.00,0.26,8.63,47.75,37.09
1960,71.71,47.79,111.02,115.22,39.00,3.58,0.68,2.86,0.14,7.14,45.03,35.41
1961,24.91,64.77,55.32,86.65,42.21,5.74,0.28,0.50,0.26,18.51,28.37,50.42
1962,13.99,55.57,87.83,127.79,103.37,7.94,0.47,0.75,0.14,10.80,40.22,41.05
1963,78.70,80.66,84.59,97.63,35.06,1.84,2.91,0.62,0.10,5.28,25.64,28.57
1964,105.80,108.67,68.72,111.01,52.77,2.37,3.43,1.56,0.36,4.50,32.62,27.37
1965,14.94,94.60,113.13,61.68,16.81,1.38,0.75,1.09,0.46,30.33,7.62,21.51
1966,18.64,97.55,76.29,104.73,29.25,8.52,1.02,0.18,0.71,54.62,30.39,51.42
1967,54.15,48.20,83.66,103.20,51.03,1.57,0.16,0.46,0.03,16.46,18.53,92.90
1968,86.42,50.96,104.74,103.02,84.86,19.47,2.11,0.24,0.63,32.32,57.87,20.18
1969,56.57,37.62,77.92,49.32,11.22,1.32,1.39,0.52,0.21,4.32,6.43,27.66
1970,20.25,66.81,63.42,49.68,9.28,1.64,0.40,0.31,0.81,4.61,11.99,24.80
1971,100.91,75.07,96.97,80.65,66.55,8.43,0.60,0.29,0.21,11.46,21.38,66.15
1972,36.73,81.96,154.10,83.53,18.33,1.24,0.87,0.27,1.05,2.80,6.74,20.06
1973,41.81,62.19,56.41,55.72,32.40,3.31,0.32,0.46,0.90,2.30,9.92,57.55
1974,43.26,75.62,94.23,95.80,34.79,2.06,0.39,0.87,0.28,10.39,13.58,44.63
1975,59.52,105.22,93.45,81.00,27.78,1.08,0.53,0.58,0.14,19.84,5.26,22.87
1976,122.52,23.57,26.84,79.05,20.49,2.43,0.65,0.74,0.12,20.93,49.26,51.23
1977,67.89,41.56,98.25,53.04,69.77,2.35,0.58,0.64,0.12,3.56,49.78,23.10
1978,50.28,73.91,83.54,53.48,70.08,4.50,0.18,1.25,0.12,5.18,12.58,39.94
1979,80.37,84.38,117.45,48.65,15.52,4.81,0.50,1.05,0.05,24.45,18.11,27.07
1980,74.87,92.45,84.19,67.20,30.78,1.62,3.01,0.28,0.11,28.21,9.07,45.54
1981,39.16,69.36,121.18,18.47,33.94,6.20,0.35,0.70,0.26,36.86,88.74,45.65
1982,43.62,56.67,121.93,53.26,53.19,8.22,0.14,0.64,0.17,2.25,6.01,28.73
1983,20.92,59.43,94.78,51.33,13.77,3.33,0.66,0.71,0.11,7.76,29.87,60.31
1984,78.75,28.51,37.11,64.39,29.50,0.80,0.22,1.17,0.03,5.90,6.59,52.89
1985,19.98,38.14,102.23,47.85,45.52,5.52,0.47,1.54,0.30,10.38,28.92,74.22
1986,11.19,41.69,128.52,90.76,31.15,20.70,0.38,0.30,0.04,58.97,18.46,16.82
1987,75.67,68.36,126.88,42.80,24.90,4.24,0.13,1.96,0.24,2.65,3.67,79.94
1988,58.72,54.71,112.23,33.58,58.51,8.58,2.24,4.41,0.83,6.97,31.71,46.22
1989,107.32,82.75,53.71,89.02,12.69,3.41,0.51,3.90,0.11,5.39,15.93,69.22
1990,77.42,71.58,139.51,73.02,107.16,4.04,0.34,0.58,1.43,8.07,19.42,61.70
1991,95.83,58.42,69.50,98.05,43.92,13.13,1.89,1.73,0.29,11.44,19.74,38.96
1992,39.76,56.51,104.17,62.03,60.19,8.39,0.60,0.69,0.24,16.82,33.78,53.18
1993,66.70,65.50,83.33,49.96,40.82,4.46,1.16,0.82,0.39,41.24,23.76,52.08
1994,33.70,93.73,75.98,95.37,22.04,5.12,0.76,1.03,0.24,14.85,11.75,26.80
1995,38.31,72.21,115.70,72.52,41.00,10.13,0.47,1.22,0.25,21.51,21.20,17.47
1996,40.79,40.85,108.81,105.37,60.79,9.56,0.47,0.82,0.20,22.11,25.09,50.51
1997,76.59,101.13,94.88,96.18,70.22,9.05,0.80,0.87,0.35,12.64,14.02,23.14
1998,56.02,76.96,105.86,56.87,26.16,6.02,1.93,0.79,0.58,10.99,59.68,17.91
1999,55.08,79.10,66.32,30.94,16.48,5.06,0.90,0.92,0.64,41.34,27.29,33.06
2000,44.59,48.31,67.82,39.10,22.99,6.63,1.12,0.97,0.31,15.58,23.34,42.96
2001,45.28,81.19,67.38,75.64,31.45,7.93,0.46,1.23,0.25,11.22,32.28,60.82
2002,36.94,90.84,93.91,66.48,26.73,4.59,0.94,1.53,0.51,8.27,34.30,43.79
2003,82.87,49.49,44.98,58.44,26.94,5.73,0.68,1.56,0.33,10.69,33.94,78.68
2004,75.04,89.45,76.84,42.12,86.48,5.10,0.75,1.04,0.34,10.00,18.11,25.37
2005,76.26,82.81,90.47,50.84,19.21,4.65,1.06,1.77,0.37,21.82,62.81,80.02
2006,36.46,95.11,116.81,39.45,26.17,8.23,0.94,1.25,0.42,6.94,19.67,67.65
2007,67.86,57.42,22.67,74.99,24.97,4.99,2.09,3.93,0.36,13.76,10.83,41.71
2008,74.76,108.87,66.81,111.05,36.92,16.06,0.45,0.87,0.11,12.05,18.69,55.23
2009,46.31,103.44,76.52,56.75,46.15,6.39,2.09,1.56,0.47,11.50,22.62,19.57
2010,41.62,104.04,83.30,56.19,39.15,5.36,0.93,1.59,0.38,16.88,25.50,18.85
2011,67.05,93.93,105.24,100.46,69.83,3.60,0.90,1.71,0.63,23.32,38.90,70.95
2012,59.54,103.09,70.46,107.98,40.60,8.11,1.20,2.26,0.32,69.10,41.70,34.35
2013,42.01,85.27,71.91,70.66,39.61,4.72,0.93,1.49,0.61,22.10,65.56,20.31
2014,53.26,173.24,70.95,84.18,53.52,5.94,1.41,2.24,0.33,31.16,27.47,35.02
2015,93.94,31.39,122.58,119.55,56.15,3.36,1.03,1.42,0.30,8.01,50.75,55.27
2016,71.86,58.58,80.96,70.43,45.24,2.86,0.79,0.88,0.28,6.10,19.48,24.46
2017,29.12,71.59,92.75,63.93,54.75,3.61,0.65,1.23,0.34,12.48,30.74,29.82
2018,71.66,72.77,82.33,97.93,38.40,4.55,0.95,1.13,0.12,15.13,42.15,25.13
2019,75.08,76.60,96.39,102.85,49.24,2.66,0.46,0.86,0.30,5.52,48.48,43.55
2020,,,,,,,,,,,,
