Variable:,pr
Country:,Afghanistan
Subnational-unit:,Farah
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,38.22,39.55,41.70,26.65,5.03,0.03,1.22,0.85,0.88,2.80,7.45,23.73
1902,37.92,39.33,43.31,26.55,5.38,0.03,1.25,0.80,0.88,2.41,7.07,23.50
1903,38.25,40.23,42.79,26.52,5.40,0.03,1.22,0.80,0.66,1.59,4.77,16.16
1904,26.93,27.28,34.77,19.47,3.22,0.01,1.22,0.82,0.66,1.38,5.95,22.58
1905,32.89,38.81,42.04,27.42,3.58,0.03,1.22,0.90,0.66,1.38,7.36,23.12
1906,35.50,39.65,32.53,23.11,3.85,0.01,1.22,0.80,0.66,1.41,4.12,13.84
1907,37.56,38.92,41.44,27.05,4.09,0.05,1.22,0.80,0.69,1.57,4.17,27.13
1908,37.41,39.00,41.63,26.86,5.05,0.03,1.22,0.80,0.88,2.49,7.09,23.55
1909,37.97,39.55,43.00,26.69,5.15,0.03,1.22,0.80,0.95,2.43,7.09,23.60
1910,37.91,39.25,42.11,24.47,8.47,0.01,1.22,0.80,0.66,1.40,8.63,17.79
1911,30.79,27.41,40.54,28.30,4.73,0.04,1.22,0.80,0.66,2.45,7.36,14.95
1912,34.80,37.97,41.57,26.86,5.07,0.01,1.22,0.80,0.66,5.38,11.52,29.90
1913,27.51,48.80,43.59,29.98,3.38,0.01,1.22,0.80,0.66,2.75,19.02,19.39
1914,22.52,29.67,35.90,56.95,2.79,0.03,1.33,0.80,0.66,1.38,4.07,17.73
1915,60.96,32.44,58.43,38.63,4.04,0.03,1.32,0.80,0.66,1.40,4.09,14.34
1916,30.01,30.53,34.25,15.57,2.79,0.01,1.22,0.84,0.66,2.80,4.20,16.25
1917,31.73,30.07,47.35,19.69,3.13,0.01,1.25,0.82,0.66,2.49,7.25,23.65
1918,37.88,39.62,42.00,26.95,5.14,0.03,1.25,0.82,0.91,2.49,7.25,23.65
1919,38.20,40.37,41.75,27.20,5.34,0.03,1.22,0.83,0.98,2.46,7.42,23.23
1920,37.29,39.29,42.30,26.85,5.19,0.03,1.22,0.84,0.66,2.00,8.95,25.55
1921,33.08,41.27,50.71,20.79,7.51,0.01,1.22,0.80,0.66,2.43,7.36,23.63
1922,37.95,31.13,47.01,38.91,5.05,0.01,1.22,0.80,0.66,7.17,5.56,15.36
1923,41.10,47.88,34.27,38.37,4.12,0.03,1.22,0.80,0.66,1.99,4.62,35.08
1924,32.39,30.05,31.84,16.69,2.79,0.01,1.22,0.86,0.66,2.57,7.43,13.84
1925,35.19,43.65,36.60,29.70,5.12,0.01,1.22,0.80,0.66,2.41,7.20,23.33
1926,37.16,29.80,30.85,18.72,3.05,0.01,1.24,0.80,0.67,1.38,4.38,32.28
1927,42.89,31.90,33.76,21.27,4.34,0.01,1.33,0.80,0.66,1.38,4.63,30.97
1928,31.91,63.91,29.86,16.88,3.09,0.01,1.24,0.80,0.66,1.67,4.11,26.26
1929,40.40,24.96,35.93,28.07,3.53,0.01,1.22,0.80,0.80,1.39,5.28,20.29
1930,63.09,42.21,30.56,31.26,4.78,0.01,1.50,0.80,0.66,1.39,13.45,30.76
1931,51.79,27.22,46.63,24.21,3.95,0.02,1.29,0.80,0.66,1.64,4.45,19.71
1932,34.65,36.11,47.23,22.76,4.64,0.02,1.22,0.83,0.66,1.40,9.22,19.94
1933,38.13,26.21,33.38,41.93,10.47,0.01,1.22,0.80,0.70,1.40,4.58,29.25
1934,28.21,40.76,29.49,19.96,3.14,0.03,1.22,0.80,0.66,4.02,7.53,17.62
1935,23.77,35.27,37.53,30.63,5.13,0.02,1.22,0.80,0.71,7.82,5.08,23.33
1936,31.68,40.61,37.08,22.66,9.80,0.01,1.22,0.80,0.66,2.78,4.61,17.47
1937,50.42,36.89,42.08,17.54,2.99,0.01,1.27,0.80,0.66,1.63,10.70,15.97
1938,40.34,57.96,46.57,31.83,7.40,0.01,1.22,0.80,0.66,2.11,5.24,22.54
1939,39.30,34.70,37.12,16.65,3.77,0.01,1.26,0.80,0.67,5.96,6.57,15.93
1940,31.28,35.82,38.48,38.88,3.18,0.01,0.69,0.44,0.46,1.26,4.98,28.25
1941,47.24,49.15,43.32,26.17,3.49,0.01,1.09,0.70,0.66,2.23,11.29,20.46
1942,40.74,34.74,49.01,20.95,4.72,0.01,1.25,0.82,0.66,1.99,7.58,25.17
1943,32.49,35.99,38.68,32.98,2.79,0.01,0.79,0.52,0.46,1.26,4.86,17.09
1944,46.12,34.54,45.25,21.64,6.80,0.04,1.09,0.70,0.66,1.80,9.40,25.14
1945,46.32,30.72,37.88,18.15,3.35,0.03,1.09,0.70,0.66,2.77,5.91,20.08
1946,38.03,38.33,45.44,17.72,3.53,0.03,0.69,0.44,0.46,1.26,10.37,21.61
1947,28.36,27.45,28.33,31.17,2.60,0.01,0.79,0.52,5.02,1.82,4.18,28.55
1948,35.89,32.93,49.18,27.61,3.60,0.01,0.69,0.45,0.46,1.26,5.95,25.26
1949,43.83,30.97,30.28,19.06,6.17,0.01,0.69,0.44,0.46,1.36,5.46,15.41
1950,31.20,58.30,37.54,21.51,9.74,0.01,0.69,0.44,0.46,1.83,5.17,22.38
1951,48.16,51.39,35.95,23.32,7.70,0.01,0.70,0.44,0.46,1.29,3.94,18.16
1952,27.62,51.16,36.74,29.13,5.15,0.11,0.77,0.50,0.49,1.69,7.19,29.89
1953,35.98,51.75,41.79,25.99,2.80,0.01,1.36,0.61,0.46,1.70,10.95,16.37
1954,33.13,24.26,53.83,22.76,7.40,0.02,1.21,0.80,0.19,0.96,3.13,29.33
1955,34.27,31.70,71.05,29.79,2.25,0.00,0.31,0.17,0.20,1.04,2.86,17.39
1956,81.23,41.08,49.83,40.70,5.44,0.12,0.29,0.17,0.19,1.48,23.60,32.21
1957,46.15,18.22,35.58,20.40,4.75,0.18,0.69,0.17,0.47,1.66,5.29,24.35
1958,55.27,44.33,41.73,19.70,10.59,0.01,0.30,0.19,0.19,1.00,6.35,23.59
1959,35.35,28.08,52.86,41.43,8.41,0.00,0.29,0.17,0.19,1.47,6.15,9.51
1960,34.63,19.16,55.08,53.97,5.63,0.08,0.34,0.17,0.23,0.45,18.05,20.41
1961,16.25,16.83,32.36,26.78,6.33,0.06,0.29,0.17,0.19,0.84,2.43,9.47
1962,6.42,59.27,26.51,32.32,16.24,0.00,0.84,0.19,0.23,0.97,9.36,22.72
1963,30.96,81.43,49.92,23.20,0.91,0.00,0.96,0.17,0.19,0.29,3.95,7.59
1964,59.11,17.79,9.49,39.31,7.27,0.01,0.31,0.18,0.63,1.86,16.34,9.29
1965,10.91,58.63,16.57,40.75,1.02,0.00,0.29,0.17,0.26,6.70,0.76,5.02
1966,19.40,73.15,26.25,49.33,2.46,0.02,0.28,0.17,0.82,6.65,3.03,16.69
1967,29.32,55.48,24.78,28.84,9.02,0.04,0.28,0.17,0.19,0.60,7.52,58.53
1968,46.80,26.09,24.06,42.91,6.11,0.01,0.91,0.18,0.26,4.35,13.23,7.25
1969,53.50,9.89,68.01,7.63,1.36,0.00,5.47,2.58,0.22,0.87,0.83,6.66
1970,10.58,24.98,32.60,15.43,0.95,0.00,0.83,0.17,0.19,0.29,13.25,16.96
1971,57.39,32.80,81.14,41.95,8.12,0.16,0.28,0.25,0.25,0.49,11.36,30.49
1972,24.54,24.97,23.57,8.85,0.76,0.00,0.30,0.17,0.19,0.29,0.90,9.76
1973,93.80,54.58,28.80,26.45,1.21,0.07,0.28,0.17,0.19,0.29,0.77,52.48
1974,79.81,27.17,34.73,33.88,16.89,0.00,0.28,0.19,0.19,0.80,12.65,16.49
1975,25.57,72.47,81.55,57.12,7.03,0.00,4.02,0.17,0.23,1.62,3.65,15.11
1976,65.95,12.52,10.69,37.64,2.71,0.06,0.68,5.87,0.19,4.36,10.39,18.07
1977,46.87,36.40,25.71,11.78,1.87,0.00,0.32,0.17,0.19,0.29,22.92,14.42
1978,34.16,33.33,42.18,12.01,11.60,0.02,0.28,0.17,0.20,2.62,2.71,37.80
1979,52.30,51.20,83.08,8.23,0.95,0.02,0.28,0.17,0.20,5.55,3.45,13.46
1980,50.90,40.38,57.55,25.39,4.40,0.05,0.33,0.67,0.19,5.88,2.69,12.91
1981,55.69,71.23,76.70,17.01,5.83,0.03,0.39,0.17,0.79,5.86,28.38,41.50
1982,28.89,25.07,34.05,47.14,11.52,0.00,0.29,3.57,0.66,0.29,1.18,27.11
1983,28.92,18.94,29.44,10.56,2.16,0.00,0.44,0.17,0.57,4.68,2.99,68.14
1984,38.34,11.80,25.07,11.03,0.85,0.01,0.28,0.96,0.19,0.29,1.89,27.91
1985,11.38,46.22,78.69,22.26,2.00,0.06,0.56,0.30,0.26,0.92,8.41,32.45
1986,9.46,25.86,36.24,11.54,4.16,0.11,0.48,0.26,0.21,5.49,2.01,9.74
1987,34.93,49.98,85.99,16.48,1.38,0.00,7.32,6.44,0.56,0.33,2.56,22.67
1988,21.77,30.93,31.28,16.27,2.99,0.03,0.30,0.43,0.20,0.61,6.08,37.32
1989,44.88,62.34,21.89,39.54,4.22,0.07,0.30,0.23,0.19,3.00,3.51,54.90
1990,44.71,37.14,108.89,14.48,6.91,0.03,0.29,0.17,0.31,1.08,6.02,33.99
1991,47.94,23.24,60.37,42.00,13.82,0.22,0.30,0.18,0.19,1.25,2.70,49.88
1992,46.69,47.92,50.56,19.89,4.64,0.08,0.31,0.23,0.20,0.62,4.30,8.41
1993,61.66,22.18,97.71,14.00,4.29,0.00,0.30,0.17,0.47,2.96,6.98,28.21
1994,20.20,41.19,43.03,52.12,1.57,0.01,0.36,0.17,0.27,2.36,3.87,59.45
1995,50.51,37.65,97.42,28.53,6.40,0.09,0.29,0.17,0.70,2.63,2.42,8.05
1996,27.34,12.73,60.30,47.49,5.18,0.05,0.29,0.17,0.19,3.71,15.16,30.06
1997,50.36,59.94,26.09,23.52,5.07,0.03,0.81,0.33,0.19,0.88,2.19,5.41
1998,38.23,68.83,45.80,8.85,1.64,0.00,2.21,0.30,0.90,0.92,19.12,7.67
1999,37.26,14.90,29.08,6.10,1.53,0.01,0.29,0.17,0.24,4.69,9.17,17.12
2000,11.95,13.06,24.89,7.87,2.03,0.00,0.29,0.22,0.19,0.79,4.24,21.14
2001,36.03,35.14,15.92,24.45,2.59,0.00,0.31,0.17,0.19,0.78,13.82,18.19
2002,41.93,31.60,32.23,11.15,4.69,0.01,1.39,0.17,0.19,0.95,8.96,8.30
2003,32.84,23.44,15.86,12.67,3.44,0.00,2.45,0.17,0.19,0.88,3.00,79.35
2004,42.80,75.89,57.86,9.18,6.69,0.02,0.29,0.31,0.19,0.78,7.08,6.50
2005,36.67,16.22,16.63,14.88,2.76,0.00,0.39,0.18,0.21,2.11,15.71,20.18
2006,29.52,44.32,41.62,15.57,2.27,0.07,0.85,0.17,0.25,0.78,3.21,14.00
2007,38.68,13.97,11.55,11.18,2.01,0.00,0.29,0.18,0.19,1.54,4.13,31.95
2008,33.80,16.63,36.75,45.04,8.25,0.02,0.35,0.17,0.34,0.79,4.39,39.87
2009,19.97,27.25,20.26,12.67,22.87,0.01,0.29,0.17,0.33,1.04,2.28,6.29
2010,21.78,50.71,30.22,11.73,3.75,0.06,0.29,0.17,0.21,1.78,7.02,6.91
2011,17.37,55.50,14.15,27.37,4.87,0.02,0.29,0.17,0.82,2.49,18.59,29.11
2012,21.40,58.26,32.49,26.49,3.39,0.03,0.77,1.79,0.57,2.32,10.82,13.54
2013,28.06,34.22,41.54,26.42,4.87,0.03,0.77,0.50,0.57,2.54,7.49,19.67
2014,36.21,39.44,47.50,23.64,4.62,0.03,0.78,0.50,0.57,2.71,8.02,32.97
2015,33.47,32.71,45.81,24.52,5.23,0.03,0.96,0.50,0.66,2.11,18.45,19.62
2016,37.86,40.45,40.61,22.94,5.08,0.03,0.77,0.61,0.57,2.11,6.27,19.43
2017,31.38,35.51,37.69,24.84,4.82,0.03,0.77,0.50,0.57,2.54,6.36,19.44
2018,37.09,38.44,52.04,28.33,6.97,0.08,0.77,0.50,0.57,2.74,7.35,23.18
2019,50.55,34.93,39.99,31.20,5.37,0.03,0.89,0.56,0.57,2.11,7.53,22.00
2020,,,,,,,,,,,,
