Variable:,pr
Country:,Afghanistan
Subnational-unit:,Faryab
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,36.27,32.85,56.98,29.48,6.02,0.01,0.00,0.00,0.00,16.07,32.95,19.14
1902,44.82,49.42,60.88,30.31,34.07,0.01,0.06,0.00,0.00,1.59,10.65,16.64
1903,50.64,21.79,48.59,28.75,29.72,0.01,0.00,0.00,0.00,8.41,10.43,23.63
1904,31.83,18.41,33.22,24.52,7.80,0.01,0.00,0.00,0.00,1.09,8.27,27.46
1905,29.11,39.77,53.49,52.09,11.50,0.02,0.04,0.00,0.00,1.09,10.61,28.38
1906,47.49,39.66,57.17,58.61,30.26,0.15,0.00,0.00,0.00,11.15,17.71,6.52
1907,69.53,32.93,52.19,28.60,14.40,0.01,0.00,0.00,0.00,3.92,4.11,34.33
1908,34.79,35.34,59.37,44.57,19.93,0.01,0.01,0.00,0.00,3.17,3.97,10.93
1909,43.41,33.71,76.73,19.39,9.88,0.01,0.00,0.00,0.00,2.56,3.99,22.30
1910,40.77,37.81,70.27,32.35,26.22,0.01,0.03,0.00,0.00,1.49,12.07,12.48
1911,32.98,35.95,65.02,60.16,11.56,0.01,0.00,0.00,0.00,6.16,8.05,31.41
1912,43.86,58.87,25.70,39.78,12.42,0.01,0.00,0.00,0.00,21.65,20.62,41.34
1913,35.55,53.32,59.84,47.57,6.61,0.10,0.00,0.00,0.00,14.74,54.14,18.87
1914,13.21,36.48,52.70,80.17,5.72,0.01,0.02,0.00,0.00,3.29,3.89,16.58
1915,52.42,25.68,82.34,60.66,8.38,0.09,0.00,0.00,0.00,3.14,3.13,9.03
1916,28.92,23.57,27.65,7.42,3.42,0.01,0.00,0.00,0.00,4.78,4.32,9.47
1917,36.85,56.25,82.52,26.04,6.95,0.01,0.01,0.00,0.00,5.97,15.18,31.65
1918,31.27,43.67,45.71,35.55,16.68,0.03,0.00,0.00,0.00,3.69,10.15,27.79
1919,35.43,48.24,44.30,40.44,12.68,0.03,0.04,0.00,0.00,7.08,15.06,23.24
1920,28.77,36.97,66.83,37.22,11.04,0.04,0.07,0.00,0.00,4.06,19.04,30.36
1921,43.34,42.99,69.90,31.75,22.63,0.04,0.04,0.00,0.00,4.20,12.51,31.28
1922,44.28,70.37,71.52,77.82,8.08,0.02,0.00,0.00,0.00,20.99,5.79,18.06
1923,57.34,61.25,48.64,80.44,7.11,0.07,0.00,0.00,0.00,4.12,8.23,61.30
1924,27.09,20.24,31.59,34.55,4.11,0.01,0.00,0.00,0.00,23.29,11.46,5.66
