Variable:,pr
Country:,Afghanistan
Subnational-unit:,Ghazni
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,39.55,48.61,71.73,54.47,26.34,9.67,13.17,12.77,4.89,13.59,16.05,27.03
1902,52.26,50.59,85.50,57.30,42.00,7.31,12.49,14.24,6.11,9.44,15.22,34.39
1903,68.86,47.80,103.44,56.35,30.59,6.54,13.30,14.47,5.95,14.26,15.24,29.69
1904,54.60,60.20,90.58,55.09,36.30,6.54,11.57,12.89,6.98,9.44,13.51,45.08
1905,39.88,79.46,73.19,57.22,29.37,7.25,12.69,15.11,5.01,11.65,13.65,38.40
1906,54.34,66.92,75.28,72.99,31.60,10.85,14.67,14.60,3.64,11.61,14.10,27.10
1907,71.69,59.74,71.34,84.59,28.70,7.85,12.84,17.68,5.15,10.11,13.58,33.66
1908,41.83,63.43,71.21,64.67,30.18,9.33,17.63,13.08,5.22,9.80,13.50,39.47
1909,78.93,52.99,72.87,62.36,32.70,8.27,19.34,24.35,4.08,9.44,13.50,28.82
1910,70.65,52.80,106.48,57.80,31.26,7.07,11.39,12.66,4.20,12.28,16.89,31.61
1911,57.20,59.65,70.48,69.56,30.22,11.20,12.18,16.27,3.97,10.90,13.78,30.36
1912,41.38,57.86,70.24,55.40,27.12,9.07,12.80,14.87,6.04,11.91,15.49,36.20
1913,45.22,70.66,78.64,72.65,30.91,14.56,21.37,14.68,8.34,20.41,18.70,35.45
1914,38.97,76.80,78.80,84.44,27.54,9.70,12.44,12.66,5.36,10.88,13.50,28.11
1915,47.28,57.47,74.99,66.25,32.67,9.68,12.78,31.17,5.66,9.44,13.50,27.12
1916,46.54,49.12,78.98,49.85,27.64,7.31,11.53,21.89,11.24,9.79,13.57,35.23
1917,41.29,52.76,91.18,68.05,26.08,11.42,11.36,13.69,5.44,10.14,14.04,33.43
1918,60.28,53.93,74.17,56.44,28.94,7.20,13.01,22.76,4.46,9.56,13.70,60.80
1919,68.30,54.61,85.67,58.25,27.94,8.38,11.94,12.73,3.88,9.70,13.70,27.82
1920,46.48,50.74,68.59,53.22,25.57,6.61,13.35,16.06,3.61,11.22,15.66,57.69
1921,46.60,69.00,73.01,51.05,30.53,9.52,14.07,17.36,7.13,12.25,13.70,31.34
1922,51.21,65.74,76.57,53.96,36.26,6.61,11.57,21.80,5.34,13.60,13.70,28.36
1923,41.55,73.75,74.24,66.60,51.29,6.61,15.33,13.02,9.77,9.56,16.99,32.92
