Variable:,pr
Country:,Afghanistan
Subnational-unit:,Ghor
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,49.27,52.82,73.37,49.75,19.05,0.21,0.00,0.00,0.00,12.84,25.80,32.60
1902,54.31,60.90,72.46,51.08,29.93,0.21,0.00,0.00,0.00,6.53,18.86,32.97
1903,57.52,49.36,71.14,49.58,28.55,0.21,0.00,0.00,0.00,8.64,11.82,25.55
1904,36.26,32.54,53.43,35.74,12.66,0.21,0.00,0.00,0.00,3.74,13.27,35.26
1905,43.29,58.22,67.47,57.13,15.57,0.28,0.00,0.00,0.00,3.74,17.59,36.47
1906,52.64,56.97,54.89,49.04,26.01,1.08,0.00,0.00,0.00,9.23,12.17,16.54
1907,61.05,55.14,72.74,49.80,17.35,0.21,0.00,0.00,0.00,4.52,8.79,44.59
1908,51.00,53.00,72.90,51.78,27.63,0.21,0.00,0.00,0.00,6.96,15.52,31.89
1909,52.87,54.62,77.97,47.90,20.78,0.21,0.00,0.00,0.00,6.75,15.52,36.03
1910,51.41,54.99,76.57,46.40,36.40,0.21,0.00,0.00,0.00,3.76,20.41,23.24
1911,43.80,38.10,76.56,60.95,19.39,0.21,0.00,0.00,0.00,8.35,16.84,25.95
1912,50.96,54.94,61.56,47.81,22.27,0.21,0.00,0.00,0.00,20.85,28.82,55.40
1913,35.82,73.80,79.78,58.28,13.09,0.50,0.00,0.00,0.00,12.70,58.82,27.56
1914,23.93,43.37,57.72,119.46,10.93,0.21,0.00,0.00,0.00,4.45,8.56,25.25
1915,87.03,40.03,106.71,79.85,16.36,0.50,0.00,0.00,0.00,4.22,8.34,18.14
1916,39.87,40.26,52.49,23.50,10.41,0.21,0.00,0.00,0.00,8.45,8.75,21.03
1917,43.18,49.28,84.71,35.39,13.03,0.21,0.00,0.00,0.00,8.34,18.90,37.53
1918,53.09,56.99,72.86,53.33,22.75,0.36,0.00,0.00,0.00,8.21,18.64,37.36
1919,53.26,57.19,72.75,53.58,22.47,0.36,0.00,0.00,0.00,8.41,18.87,37.13
1920,52.93,56.65,73.90,53.33,22.42,0.36,0.00,0.00,0.00,6.55,24.44,41.35
1921,44.57,56.97,92.54,38.51,34.03,0.29,0.00,0.00,0.00,8.23,18.77,37.57
1922,52.88,48.19,82.93,83.91,20.73,0.31,0.00,0.00,0.00,26.09,12.94,22.45
1923,61.08,71.09,57.98,83.55,16.21,0.43,0.00,0.00,0.00,6.76,11.25,62.95
1924,42.93,37.90,51.50,32.39,11.47,0.27,0.00,0.00,0.00,11.40,18.68,17.51
1925,48.45,65.90,61.75,57.40,21.19,0.70,0.00,0.00,0.00,6.55,17.82,36.71
1926,48.00,38.80,49.47,35.58,12.74,0.21,0.00,0.00,0.00,3.74,11.76,57.51
1927,60.21,44.56,51.63,38.68,18.02,0.21,0.00,0.00,0.00,3.74,11.64,47.58
1928,48.72,103.76,46.03,29.05,11.95,0.21,0.00,0.00,0.00,4.43,9.26,40.63
1929,53.54,42.28,57.03,54.41,16.91,0.22,0.00,0.00,0.00,4.59,11.93,32.91
1930,97.76,61.84,48.89,60.47,26.89,0.31,0.00,0.00,0.00,3.84,42.62,57.60
1931,80.37,33.38,79.56,45.41,16.03,0.26,0.00,0.00,0.00,6.61,9.95,31.36
1932,48.27,51.94,90.32,42.65,20.27,0.47,0.00,0.00,0.00,3.80,24.65,40.09
1933,53.39,43.70,53.17,87.37,46.56,0.40,0.00,0.00,0.00,4.48,10.57,53.03
1934,41.96,61.66,45.93,35.57,13.65,0.98,0.00,0.00,0.00,11.73,27.07,23.74
1935,25.79,50.85,63.99,66.72,20.71,0.21,0.00,0.00,0.00,22.96,11.11,40.79
1936,42.75,63.97,63.58,46.87,40.72,0.21,0.00,0.00,0.00,10.27,9.94,27.40
1937,79.04,60.69,75.94,33.03,10.83,0.21,0.00,0.00,0.00,4.45,26.98,25.11
1938,62.34,87.74,82.09,62.96,29.63,0.21,0.00,0.00,0.00,8.41,13.26,33.84
1939,56.88,50.72,66.28,28.16,15.59,0.21,0.00,0.00,0.00,22.43,17.40,26.27
1940,47.18,55.73,68.24,84.26,15.04,0.21,0.00,0.00,0.00,3.80,12.38,49.25
1941,83.18,47.49,73.34,51.23,18.05,0.28,0.00,0.00,0.00,8.83,31.43,29.42
1942,55.03,47.79,88.50,41.56,25.51,0.21,0.00,0.00,0.00,10.27,22.35,40.64
1943,45.06,46.24,53.89,67.36,10.52,0.21,0.00,0.00,0.00,4.98,12.47,27.17
1944,70.40,55.39,82.26,45.03,32.03,0.54,0.00,0.00,0.00,5.10,34.02,40.79
1945,59.93,47.90,64.37,27.22,10.60,0.22,0.00,0.00,0.00,8.15,8.66,29.25
1946,56.87,58.44,65.58,32.85,14.73,0.21,0.00,0.00,0.00,3.77,16.70,20.78
1947,39.70,32.00,52.31,65.55,11.71,0.28,0.00,0.00,0.00,5.18,10.65,49.21
1948,60.70,53.19,84.08,64.42,15.48,0.83,0.00,0.00,0.00,3.88,10.30,45.12
1949,64.14,47.30,47.97,43.89,29.40,0.22,0.00,0.00,0.00,4.45,17.12,21.18
1950,44.13,64.48,61.93,40.65,46.46,0.22,0.00,0.00,0.00,7.27,17.18,34.02
1951,67.57,80.63,57.51,48.97,35.48,0.26,0.00,0.00,0.00,3.77,11.94,31.35
1952,42.59,68.24,74.76,48.83,19.01,0.76,0.00,0.00,0.00,8.53,21.64,59.13
1953,57.50,58.53,79.95,43.73,10.56,0.24,0.00,0.00,0.00,3.88,31.09,29.08
1954,31.60,35.72,96.26,46.24,35.93,0.35,0.00,0.00,0.00,3.75,9.00,39.25
1955,42.49,69.41,117.57,63.44,11.09,0.31,0.00,0.00,0.00,6.02,12.56,32.41
1956,93.32,50.92,81.64,69.03,17.02,0.58,0.00,0.00,0.00,11.33,47.24,43.96
1957,64.55,33.15,70.50,55.59,29.16,0.22,0.00,0.00,0.00,5.94,19.36,34.00
1958,64.53,74.16,74.68,35.18,28.04,0.27,0.00,0.00,0.00,3.93,15.95,44.43
1959,43.68,44.43,96.43,57.06,38.47,0.23,0.00,0.00,0.00,5.95,21.20,17.86
1960,45.92,31.08,105.73,95.01,24.69,0.35,0.00,0.00,0.00,3.39,40.13,32.55
1961,28.49,44.16,50.18,55.64,27.28,0.47,0.00,0.00,0.00,6.84,15.59,28.51
1962,21.50,43.31,52.97,68.89,67.26,0.35,0.00,0.00,0.00,6.42,26.43,47.47
1963,50.56,81.79,78.60,59.09,12.87,0.14,0.00,0.00,0.00,2.65,14.93,18.19
1964,82.66,43.99,36.68,60.60,33.14,0.14,0.00,0.00,0.00,5.25,20.08,23.48
1965,22.58,75.47,58.53,83.19,9.51,0.14,0.00,0.00,0.00,19.38,6.67,19.04
1966,31.76,73.09,65.17,93.88,18.94,0.60,0.00,0.00,0.00,20.47,16.04,32.47
1967,45.74,60.75,54.08,70.74,30.43,0.13,0.00,0.00,0.00,5.66,16.16,85.70
1968,70.98,43.66,62.34,76.65,36.79,1.09,0.00,0.00,0.00,16.19,37.22,21.84
1969,61.34,25.57,76.55,30.54,7.33,0.13,0.00,0.00,0.00,2.87,6.73,19.81
1970,24.32,49.30,53.86,35.42,6.88,0.14,0.00,0.00,0.00,3.37,22.34,31.00
1971,82.66,51.35,121.15,45.94,43.39,0.40,0.00,0.00,0.00,3.73,26.60,50.53
1972,37.35,49.12,84.75,36.54,9.43,0.13,0.00,0.00,0.00,2.59,6.46,26.91
1973,88.19,67.96,52.52,58.27,13.07,0.22,0.00,0.00,0.00,2.61,7.21,55.31
1974,56.88,55.85,71.39,63.12,41.37,0.14,0.00,0.00,0.00,4.30,28.34,33.83
1975,47.14,91.81,112.18,84.29,29.82,0.13,0.00,0.00,0.00,7.44,11.31,27.58
1976,92.36,27.83,30.91,49.69,14.45,0.16,0.00,0.00,0.00,12.87,28.17,44.94
1977,56.48,49.92,57.99,30.75,25.27,0.14,0.00,0.00,0.00,2.64,47.78,34.75
1978,52.53,63.25,74.06,31.54,33.30,0.25,0.00,0.00,0.00,6.51,8.15,50.91
1979,74.62,86.39,116.50,34.19,10.33,0.26,0.00,0.00,0.00,8.80,12.78,24.47
1980,62.92,67.34,84.51,69.00,18.00,0.16,0.00,0.00,0.00,13.13,11.54,35.53
1981,63.76,100.59,138.54,28.58,26.09,0.43,0.00,0.00,0.00,12.33,54.28,44.20
1982,51.12,45.68,67.81,56.20,41.70,0.52,0.00,0.00,0.00,2.57,8.44,37.45
1983,35.18,44.16,56.15,31.51,13.75,0.17,0.00,0.00,0.00,24.02,12.39,51.84
1984,62.02,29.50,46.54,37.85,11.27,0.13,0.00,0.00,0.00,3.07,7.83,43.07
1985,26.69,60.23,77.02,38.52,18.61,0.31,0.00,0.00,0.00,6.02,18.59,43.80
1986,20.56,43.58,88.23,50.97,13.01,0.88,0.00,0.00,0.00,30.66,11.95,22.48
1987,65.60,67.25,102.30,41.36,13.73,0.22,0.00,0.00,0.00,2.59,9.21,51.46
1988,52.79,54.22,71.55,35.95,24.38,0.53,0.00,0.00,0.00,3.79,18.41,41.46
1989,91.10,62.77,47.96,57.35,16.67,0.59,0.00,0.00,0.00,13.76,9.54,53.30
1990,62.64,52.41,116.36,46.12,45.45,0.26,0.00,0.00,0.00,5.04,19.73,44.31
1991,77.99,58.66,65.28,85.58,22.55,0.93,0.00,0.00,0.00,4.58,14.25,56.14
1992,40.43,72.77,93.44,55.39,34.60,0.43,0.00,0.00,0.00,5.74,19.88,37.26
1993,52.86,45.13,88.04,36.10,23.54,0.24,0.00,0.00,0.00,10.84,13.43,39.74
1994,32.28,73.00,76.30,63.42,10.85,0.28,0.00,0.00,0.00,10.68,17.19,39.79
1995,69.12,47.70,98.81,42.90,22.28,0.55,0.00,0.00,0.00,8.62,12.52,19.53
1996,40.36,30.40,82.91,53.08,35.02,0.36,0.00,0.00,0.00,12.13,16.31,47.81
1997,60.26,59.36,59.02,79.21,30.26,0.35,0.00,0.00,0.00,7.50,16.02,18.66
1998,43.50,52.14,84.40,33.37,12.04,0.32,0.00,0.00,0.00,6.36,33.92,23.78
1999,46.87,48.74,62.16,24.28,10.65,0.28,0.00,0.00,0.00,23.20,20.72,33.40
2000,49.39,51.46,65.81,42.69,17.87,0.29,0.00,0.00,0.00,8.59,19.26,40.16
2001,51.91,60.14,64.55,55.90,24.02,0.38,0.00,0.00,0.00,6.68,20.23,47.10
2002,49.18,62.69,74.20,50.67,22.06,0.33,0.00,0.00,0.00,7.36,23.54,37.49
2003,60.32,50.47,63.00,48.70,19.90,0.30,0.00,0.00,0.00,7.01,23.02,51.33
2004,52.63,64.20,72.19,43.77,32.94,0.36,0.00,0.00,0.00,6.60,17.02,32.99
2005,55.09,61.10,70.95,47.13,17.71,0.26,0.00,0.00,0.00,8.94,27.02,39.12
2006,49.53,63.52,76.33,44.40,18.41,0.39,0.00,0.00,0.00,6.44,17.39,45.63
2007,52.47,54.63,57.34,48.73,19.24,0.29,0.00,0.00,0.00,8.14,11.34,35.47
2008,58.25,51.13,60.11,65.02,22.09,0.83,0.00,0.00,0.00,7.48,18.32,42.65
2009,48.13,57.24,69.32,47.43,29.19,0.36,0.00,0.00,0.00,6.75,18.26,30.15
2010,48.54,65.12,65.69,45.18,20.43,0.30,0.00,0.00,0.00,8.95,20.13,31.04
2011,52.33,61.59,68.91,59.35,29.55,0.24,0.00,0.00,0.00,9.02,24.63,42.08
2012,49.03,54.79,67.86,61.46,19.23,0.33,0.00,0.00,0.00,19.97,18.07,36.65
2013,49.47,59.87,74.57,50.56,20.39,0.27,0.00,0.00,0.00,10.50,31.49,32.37
2014,51.99,81.45,68.54,51.63,20.73,0.29,0.00,0.00,0.00,11.22,21.39,33.85
2015,59.54,48.00,74.75,59.04,22.89,0.21,0.00,0.00,0.00,6.66,52.25,43.80
2016,53.76,54.28,70.03,52.76,22.13,0.22,0.00,0.00,0.00,6.58,17.85,30.71
2017,46.47,55.15,69.50,49.63,25.68,0.24,0.00,0.00,0.00,10.23,21.95,32.88
2018,54.16,63.43,70.24,63.95,21.47,0.33,0.00,0.00,0.00,7.31,21.72,33.64
2019,55.33,62.30,72.25,63.59,24.89,0.22,0.00,0.00,0.00,6.51,23.00,38.56
2020,,,,,,,,,,,,
