Variable:,pr
Country:,Afghanistan
Subnational-unit:,Hilmand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.26,25.08,27.89,18.51,3.79,0.01,1.34,0.73,0.24,1.56,8.72,16.63
1902,33.08,31.56,33.53,18.05,6.13,0.01,1.91,0.65,0.24,1.55,4.53,16.63
1903,33.08,31.54,33.53,14.96,2.85,0.01,1.34,0.65,0.24,1.41,7.62,12.65
1904,52.45,37.37,40.77,18.21,2.51,0.01,1.34,0.65,0.24,1.41,3.65,16.52
1905,29.28,55.70,39.22,16.56,2.54,0.01,1.45,0.84,0.24,1.41,3.84,13.82
1906,32.80,31.62,32.16,17.44,3.00,0.01,1.91,0.93,0.31,1.41,4.12,15.50
1907,38.25,25.08,34.51,29.05,2.66,0.01,4.25,0.65,0.24,1.41,3.40,22.30
1908,31.17,43.17,34.30,30.86,2.85,0.01,2.66,0.65,0.24,1.55,3.78,31.46
1909,40.75,26.29,28.64,15.56,2.84,0.01,1.53,0.99,0.24,1.55,3.78,16.63
1910,54.36,28.93,37.93,15.07,4.37,0.01,1.34,0.65,0.24,1.41,4.70,18.05
1911,47.14,23.81,27.24,18.21,5.07,0.01,2.08,0.89,0.24,1.55,4.19,26.90
1912,29.65,35.61,36.14,14.81,2.85,0.01,1.48,0.99,0.24,1.93,5.13,24.31
1913,36.51,35.32,31.81,30.44,2.78,0.01,4.57,0.65,0.31,1.56,6.16,13.03
1914,24.42,24.08,33.69,36.68,2.82,0.01,2.66,0.65,0.24,1.41,3.40,17.34
1915,42.95,29.29,29.08,33.72,5.73,0.01,1.49,2.50,0.24,1.41,3.40,12.48
1916,32.37,24.14,45.32,15.29,4.17,0.01,1.34,1.14,0.31,1.58,3.40,16.76
1917,26.59,24.66,46.25,16.98,3.07,0.01,1.34,0.65,0.24,1.56,3.79,27.23
1918,30.10,30.04,31.44,20.78,3.75,0.01,2.28,1.34,0.24,1.56,3.79,26.68
1919,32.12,32.09,36.07,14.82,4.17,0.01,1.46,0.65,0.24,1.56,3.79,15.50
1920,26.51,25.08,27.94,17.37,2.84,0.01,1.99,1.97,0.24,1.49,4.77,16.87
1921,34.35,34.01,31.07,14.11,4.09,0.01,1.58,0.65,0.31,1.56,3.79,17.47
1922,40.51,32.54,33.58,19.81,3.75,0.01,1.34,0.86,0.24,2.20,3.59,12.60
1923,39.26,45.13,29.07,35.03,4.39,0.01,1.39,0.83,0.31,1.49,3.59,34.47
1924,26.50,26.73,29.24,13.60,4.80,0.01,1.99,0.73,0.24,1.56,5.95,12.84
