Variable:,pr
Country:,Afghanistan
Subnational-unit:,Hirat
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,50.50,46.81,51.96,29.97,6.83,0.09,0.16,0.31,0.12,13.61,16.56,32.12
1902,44.43,41.82,81.32,27.51,18.60,0.09,0.38,0.06,0.12,2.28,6.59,27.66
1903,51.58,56.57,68.90,28.53,18.48,0.12,0.16,0.06,0.04,4.80,12.40,14.92
1904,23.45,14.28,38.79,17.12,4.15,0.03,0.16,0.17,0.04,0.49,5.45,26.12
1905,33.47,29.75,57.93,39.09,8.44,0.21,0.16,0.60,0.04,0.41,9.17,33.22
1906,37.40,40.96,46.41,43.30,9.17,0.03,0.16,0.06,0.04,1.46,5.00,3.24
1907,43.88,35.45,44.68,38.64,9.14,0.49,0.16,0.06,0.10,4.90,2.85,30.90
1908,34.67,42.14,51.02,39.05,7.19,0.09,0.16,0.06,0.12,5.09,7.76,27.81
1909,47.08,47.64,72.30,30.53,9.77,0.16,0.16,0.06,0.40,3.23,7.76,28.67
1910,43.75,41.93,58.90,30.03,22.96,0.03,0.16,0.06,0.04,1.02,15.71,14.46
1911,27.29,16.47,47.82,44.52,8.94,0.39,0.16,0.06,0.04,3.79,14.05,11.72
1912,32.26,49.43,45.72,41.70,8.01,0.03,0.16,0.06,0.04,18.48,22.19,37.47
1913,18.67,52.19,49.01,53.27,4.22,0.04,0.16,0.06,0.04,12.19,41.06,21.20
1914,7.36,22.28,51.81,111.47,1.06,0.25,0.93,0.06,0.04,0.59,1.07,14.04
1915,88.22,28.73,93.57,65.48,6.35,0.24,0.87,0.06,0.04,1.30,1.41,4.46
1916,23.91,24.90,28.79,3.45,0.84,0.03,0.16,0.28,0.04,7.34,3.39,9.30
1917,35.08,31.43,78.57,19.15,1.92,0.03,0.38,0.17,0.04,4.91,11.75,31.85
1918,39.70,48.04,49.02,35.87,10.45,0.10,0.38,0.17,0.24,3.97,9.92,30.24
1919,46.80,59.64,46.90,42.07,13.96,0.10,0.16,0.23,0.52,4.62,14.52,23.40
1920,32.73,41.56,61.20,35.40,10.45,0.24,0.16,0.28,0.04,2.42,15.40,33.44
1921,41.04,70.64,74.41,23.21,17.55,0.09,0.16,0.06,0.04,3.27,13.17,31.83
1922,47.90,50.30,74.11,72.28,7.73,0.03,0.16,0.06,0.04,18.76,5.14,8.58
1923,52.05,72.35,43.19,70.13,7.60,0.28,0.16,0.06,0.04,2.26,4.06,50.06
1924,27.01,24.07,25.05,13.52,0.94,0.03,0.16,0.35,0.04,9.29,9.69,2.86
1925,34.41,69.55,46.84,41.98,9.13,0.03,0.16,0.06,0.04,2.38,10.29,23.17
1926,28.86,33.40,21.68,15.64,3.37,0.04,0.23,0.06,0.06,0.48,3.36,53.80
1927,53.25,35.45,30.35,15.77,6.29,0.03,1.00,0.06,0.04,0.41,3.80,43.70
1928,28.90,94.80,22.35,6.96,4.36,0.03,0.24,0.06,0.04,3.00,1.85,35.71
1929,55.54,19.95,43.54,41.19,9.25,0.03,0.16,0.06,0.51,1.01,4.57,22.74
1930,90.24,58.87,29.58,40.68,10.20,0.03,2.22,0.06,0.04,0.63,29.69,58.10
1931,79.53,16.52,68.53,27.46,6.92,0.09,0.62,0.06,0.04,1.77,4.96,19.41
1932,35.53,33.84,63.91,29.67,7.17,0.11,0.16,0.23,0.04,1.00,20.11,23.56
1933,40.00,19.14,30.87,73.46,24.99,0.04,0.16,0.06,0.14,0.92,3.09,38.98
1934,18.57,40.42,34.40,14.62,1.94,0.31,0.16,0.06,0.04,10.65,19.08,11.55
1935,9.75,36.62,43.95,47.73,9.30,0.05,0.16,0.06,0.18,17.18,3.85,28.11
1936,37.06,50.09,41.64,30.74,22.82,0.03,0.16,0.06,0.04,6.00,2.65,15.12
1937,73.39,40.28,56.13,13.32,2.56,0.03,0.49,0.06,0.04,1.34,20.69,10.17
1938,48.87,80.56,73.29,59.04,16.39,0.03,0.16,0.06,0.04,4.94,7.06,27.55
1939,45.42,31.30,38.08,10.89,6.10,0.03,0.41,0.06,0.06,14.69,7.84,14.17
1940,24.65,50.01,49.46,71.18,2.54,0.03,0.07,0.03,0.04,0.74,5.32,37.29
1941,60.59,29.52,57.10,37.05,5.56,0.05,0.07,0.03,0.04,6.16,20.08,16.88
1942,53.66,34.35,90.42,31.97,19.09,0.03,0.38,0.17,0.04,5.56,11.81,29.22
1943,35.05,35.13,38.85,58.68,0.92,0.03,0.34,0.14,0.04,0.69,4.89,16.34
