Variable:,pr
Country:,Afghanistan
Subnational-unit:,Jawzjan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.97,21.01,45.08,21.81,2.08,0.00,0.02,0.95,0.02,11.76,32.39,13.51
1902,41.32,42.48,43.64,24.10,31.52,0.00,1.04,0.51,0.02,0.21,8.63,8.48
1903,40.01,9.25,36.39,21.10,29.02,0.00,0.03,0.46,0.17,7.67,9.01,22.19
1904,28.75,11.50,20.80,18.72,6.19,0.00,0.05,0.53,0.02,0.21,6.76,22.15
1905,21.51,36.44,40.79,48.80,11.94,0.02,0.65,0.46,0.04,0.17,5.74,25.73
1906,45.26,30.60,47.91,53.42,33.55,0.05,0.02,0.46,0.02,11.59,15.88,2.44
1907,65.26,26.48,45.28,19.80,14.15,0.01,0.02,1.25,0.04,1.96,1.98,28.49
1908,30.24,23.11,48.36,34.69,18.79,0.00,0.18,0.46,0.02,1.18,0.61,3.83
1909,32.93,22.78,69.43,13.17,7.41,0.00,0.03,0.43,0.08,0.68,0.59,17.30
1910,36.45,29.84,61.86,27.69,20.48,0.00,0.52,0.51,0.08,1.01,6.35,8.40
1911,29.33,36.05,55.92,48.15,7.90,0.00,0.02,0.43,0.02,3.48,4.99,33.18
1912,36.16,51.87,12.93,27.48,9.70,0.00,0.02,0.39,0.02,16.54,12.38,35.03
1913,31.86,38.79,49.86,33.10,4.73,0.04,0.02,0.39,0.02,11.50,44.98,11.70
1914,7.45,30.63,45.08,55.54,4.60,0.00,0.33,0.39,0.02,2.16,2.32,11.42
1915,30.53,20.37,63.90,40.71,5.91,0.04,0.02,0.39,0.04,2.03,1.23,5.52
1916,21.61,18.08,15.71,1.38,0.98,0.00,0.09,0.39,0.02,1.26,1.85,5.00
1917,28.97,52.64,57.81,26.73,10.77,0.00,0.23,0.39,0.18,3.99,10.83,25.64
1918,28.21,37.88,46.29,32.14,14.09,0.01,0.03,0.43,0.14,2.68,8.71,22.43
1919,30.92,40.14,44.66,32.66,13.02,0.01,0.53,0.59,0.25,4.96,13.03,20.21
1920,26.47,30.41,53.12,36.13,9.07,0.02,0.91,0.66,0.14,3.40,12.25,23.64
1921,36.29,34.54,48.05,33.96,17.94,0.02,0.59,0.43,0.12,3.02,9.26,21.42
1922,30.96,69.12,64.11,65.21,4.50,0.01,0.02,0.43,0.02,12.71,4.00,16.33
1923,45.50,53.84,40.11,67.08,4.94,0.03,0.06,0.43,0.02,2.64,7.41,55.49
1924,23.48,19.55,24.54,36.99,1.91,0.00,0.03,0.39,0.02,18.71,7.26,3.05
1925,35.66,56.54,42.52,28.56,6.33,0.08,1.08,0.39,0.02,0.50,11.55,20.55
1926,21.62,20.43,27.28,20.35,5.87,0.00,0.00,0.12,0.00,0.18,9.09,47.69
1927,33.33,30.35,23.60,16.69,9.64,0.00,0.23,0.68,0.00,0.18,7.59,22.97
1928,43.69,67.32,31.28,14.82,3.05,0.01,0.00,0.18,0.02,0.25,4.36,22.44
1929,21.17,48.01,25.13,22.05,15.02,0.00,0.00,0.12,0.14,3.54,5.14,28.74
1930,60.93,29.50,28.36,35.29,28.69,0.02,1.02,1.53,0.02,0.28,29.38,48.39
1931,57.13,18.09,39.34,28.53,7.57,0.00,0.13,0.19,0.00,5.35,6.68,22.27
1932,29.35,31.25,82.11,25.83,9.85,0.03,0.00,0.08,0.00,0.21,15.65,51.18
1933,28.63,47.98,33.78,56.16,28.35,0.02,0.00,0.12,0.02,1.41,5.85,38.52
1934,37.20,38.44,31.69,14.24,10.82,0.04,0.00,0.13,0.02,1.75,41.46,7.74
1935,6.33,35.43,38.83,47.33,6.97,0.00,0.00,0.26,0.00,1.39,2.33,31.37
1936,29.44,47.58,43.31,33.16,17.36,0.00,0.00,0.08,0.00,5.79,2.19,26.53
1937,56.24,50.22,58.98,24.14,0.94,0.00,1.22,0.08,0.00,0.23,11.88,21.42
1938,60.07,45.96,55.00,39.38,10.03,0.00,0.08,0.10,0.00,7.79,14.54,15.89
1939,42.64,42.83,44.87,12.09,12.40,0.00,0.02,0.08,0.14,14.61,7.84,30.39
1940,50.98,45.60,60.88,61.26,8.38,0.00,0.00,0.21,0.00,0.32,5.60,50.96
1941,69.00,24.76,47.22,33.49,24.16,0.02,0.00,0.17,0.00,4.22,16.06,9.87
1942,31.97,29.15,65.90,30.41,27.47,0.00,0.00,0.08,0.00,8.14,19.16,25.59
1943,38.11,31.78,18.11,20.53,1.62,0.00,0.00,0.10,0.00,3.46,6.10,9.97
1944,35.90,47.35,62.22,30.52,18.38,0.02,0.00,0.33,0.00,0.32,30.36,23.23
1945,28.80,41.35,37.93,6.92,2.42,0.00,0.02,0.39,0.00,0.58,2.95,23.55
1946,47.88,48.11,31.59,22.22,5.74,0.00,0.28,0.08,0.06,0.68,4.04,6.42
1947,19.21,21.63,45.97,41.42,5.45,0.00,0.00,0.51,0.04,2.20,4.34,45.23
1948,40.94,29.67,69.24,52.20,5.37,0.05,0.00,1.13,0.00,1.07,7.49,22.96
1949,51.71,20.17,32.89,32.78,13.40,0.00,0.00,0.19,0.00,1.12,13.99,8.41
1950,36.72,33.27,32.35,27.56,30.82,0.00,0.01,0.06,0.00,7.23,5.43,23.18
1951,27.18,66.57,50.21,34.41,27.07,0.00,0.00,0.06,0.00,0.16,14.71,20.76
1952,20.40,53.28,71.26,29.05,16.70,0.03,0.00,0.06,0.08,7.90,25.54,45.90
1953,53.12,30.07,54.26,29.00,1.04,0.00,0.88,0.62,0.08,0.33,21.39,17.64
1954,3.27,27.12,64.83,16.47,22.43,0.03,0.09,0.06,0.00,0.34,2.37,28.85
1955,18.18,66.80,65.43,42.05,0.79,0.00,0.00,0.06,0.00,2.74,7.66,25.90
1956,47.93,32.59,51.14,28.96,10.78,0.03,0.06,0.15,0.00,11.56,28.83,30.13
1957,56.91,17.48,42.77,50.83,18.77,0.01,0.00,1.13,0.06,0.62,12.04,32.54
1958,25.72,45.87,64.05,12.95,10.55,0.02,0.00,0.08,0.00,1.59,14.62,33.21
1959,29.68,30.94,70.65,56.67,25.14,0.00,0.00,0.06,0.02,1.83,31.36,5.10
1960,28.91,10.13,55.25,48.02,10.54,0.00,0.00,3.62,0.00,1.37,20.92,24.14
1961,19.09,31.32,35.26,45.99,14.19,0.00,0.00,0.06,0.02,4.40,17.90,27.55
1962,8.52,39.12,39.01,61.67,33.37,0.01,0.20,0.79,0.06,1.47,11.78,39.19
1963,30.72,43.47,48.02,62.38,12.93,0.00,1.69,0.06,0.02,0.21,8.64,17.49
1964,51.54,42.35,29.00,23.30,7.07,0.00,2.35,1.04,0.41,1.86,5.23,9.20
1965,9.48,40.51,61.21,22.21,1.83,0.00,1.38,0.25,0.23,10.91,2.90,10.35
1966,17.06,42.81,47.26,42.42,13.91,0.01,0.00,0.06,0.81,12.40,21.51,18.65
1967,22.87,17.68,48.65,55.52,11.92,0.00,0.18,0.31,0.00,3.76,8.54,59.01
1968,76.65,31.27,87.76,55.05,29.02,0.03,1.64,0.85,0.88,7.63,31.68,19.74
1969,45.73,19.23,46.79,28.01,0.80,0.00,4.34,0.06,0.02,0.36,3.93,22.61
1970,18.10,30.61,27.02,19.44,0.40,0.00,0.00,0.06,0.00,1.26,7.60,19.27
1971,58.15,32.11,70.18,36.22,28.61,0.02,0.18,0.06,0.19,1.32,1.61,33.50
1972,19.26,43.55,114.36,24.77,8.74,0.00,0.00,0.06,0.47,0.22,3.92,15.21
1973,39.21,23.30,32.11,40.61,10.90,0.01,0.00,0.93,0.51,0.50,5.70,16.79
1974,26.14,30.62,55.47,26.32,5.81,0.00,0.00,0.06,0.12,2.13,10.23,24.98
1975,37.20,52.99,44.95,49.89,13.80,0.00,0.00,0.06,0.00,7.82,2.71,12.97
1976,60.17,19.95,17.94,7.52,10.98,0.03,0.00,2.45,0.00,7.38,13.37,38.46
1977,34.31,27.22,58.90,21.93,26.98,0.00,0.00,0.06,0.00,0.33,33.90,27.43
1978,36.55,45.79,44.01,25.71,15.22,0.01,0.00,2.46,0.00,0.72,6.85,29.75
1979,45.91,52.89,54.17,30.82,8.93,0.00,0.00,2.70,0.02,1.87,10.25,18.00
1980,34.59,50.20,47.92,36.90,14.96,0.00,4.21,0.06,0.25,7.01,9.17,27.89
1981,32.06,35.44,65.17,6.81,9.82,0.04,1.24,0.12,0.38,16.53,46.05,15.56
1982,33.82,20.53,59.85,27.52,14.93,0.02,0.00,0.06,0.02,0.20,9.20,20.06
1983,13.88,40.29,71.78,19.68,4.93,0.00,0.00,0.06,0.00,7.32,17.14,26.05
1984,58.56,15.95,32.29,33.11,16.61,0.00,0.08,0.06,0.00,2.40,1.21,30.19
1985,13.15,15.72,32.54,20.53,15.98,0.02,0.43,0.06,0.58,4.08,6.00,55.07
1986,7.71,22.45,74.85,57.69,2.50,0.03,1.65,0.06,0.45,22.27,9.51,15.32
1987,41.79,45.42,56.66,29.72,16.06,0.00,0.00,0.06,0.04,0.36,2.30,43.05
1988,40.01,26.48,52.40,10.21,22.05,0.00,1.19,0.32,0.08,1.16,16.36,28.80
1989,73.50,43.20,23.29,51.96,2.97,0.01,0.51,0.06,0.00,2.86,2.54,36.31
1990,31.26,28.89,75.75,32.66,35.50,0.01,0.15,0.06,0.78,1.19,13.74,50.52
1991,61.46,31.69,40.59,48.70,21.25,0.04,1.72,1.42,0.10,0.92,9.15,27.52
1992,13.31,51.07,66.20,38.17,29.53,0.03,0.23,1.10,0.00,5.12,24.64,40.05
1993,39.20,29.66,44.05,17.06,16.79,0.00,0.00,0.06,0.23,11.38,16.20,26.74
1994,20.46,54.41,40.97,40.27,4.50,0.01,0.00,0.06,0.19,1.89,4.11,9.77
1995,20.01,38.05,59.19,31.62,4.01,0.01,0.14,0.06,0.19,3.40,7.24,1.40
1996,38.85,20.94,56.90,46.11,29.35,0.01,0.00,0.28,0.02,4.60,15.22,34.92
1997,47.24,62.14,54.55,48.07,31.56,0.03,0.18,3.09,0.20,2.25,8.46,12.31
1998,26.18,33.04,60.14,32.42,5.99,0.01,5.60,0.06,0.66,2.41,39.77,5.04
1999,33.45,46.92,34.73,10.22,0.58,0.02,0.49,0.46,0.72,12.80,18.92,21.39
2000,30.63,36.25,46.50,4.35,1.05,0.00,0.77,3.21,0.06,4.77,17.89,42.87
2001,41.41,51.81,40.63,49.93,16.61,0.00,0.18,0.43,0.06,1.25,10.43,60.99
2002,23.61,47.49,65.99,41.92,14.07,0.02,0.18,0.43,0.06,1.55,21.22,40.15
2003,66.33,21.04,31.82,27.85,4.52,0.00,2.67,0.43,0.06,1.76,28.36,53.38
2004,28.20,35.98,59.26,22.12,31.35,0.03,1.77,0.50,0.06,0.41,17.87,16.99
2005,42.95,46.04,46.08,41.06,1.03,0.00,1.91,0.43,0.14,3.76,25.45,20.00
2006,46.08,40.15,68.25,29.78,5.73,0.00,0.18,0.43,0.06,0.34,10.07,50.06
2007,44.60,36.59,25.79,34.07,4.92,0.00,0.63,1.24,0.14,6.22,8.24,22.63
2008,44.83,73.21,55.19,57.83,24.70,0.01,0.18,0.87,0.06,0.97,17.45,41.68
2009,20.15,39.11,47.78,28.10,21.96,0.01,0.35,1.61,0.27,1.52,7.83,6.30
2010,25.13,49.79,25.31,6.59,10.78,0.04,0.18,0.50,0.21,9.93,21.55,16.64
2011,40.81,48.59,61.76,35.80,23.78,0.00,0.18,0.43,0.14,4.55,21.21,37.52
2012,27.66,27.80,52.02,51.06,3.36,0.01,0.18,0.43,0.06,14.90,2.64,32.26
2013,36.51,35.87,67.46,38.61,5.10,0.00,0.21,0.43,0.27,10.04,43.96,14.17
2014,32.16,101.89,52.82,19.32,11.11,0.00,0.35,0.86,0.12,10.06,24.78,16.53
2015,39.41,18.48,52.27,45.60,12.56,0.01,0.93,0.60,0.06,1.11,26.23,47.14
2016,37.31,30.42,63.27,30.61,13.16,0.00,0.21,0.45,0.47,0.95,10.30,5.39
2017,14.66,41.38,27.05,21.69,16.18,0.00,0.19,0.43,0.16,6.26,27.94,14.51
2018,60.84,50.08,44.35,75.14,21.34,0.02,0.18,0.43,0.08,1.23,19.78,16.84
2019,37.81,50.60,40.94,61.98,22.48,0.00,0.92,1.08,0.16,0.37,16.70,30.20
2020,,,,,,,,,,,,
