Variable:,pr
Country:,Afghanistan
Subnational-unit:,Kabul
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.81,25.23,57.73,43.69,15.33,19.33,18.10,6.97,12.68,27.02,23.01,12.25
1902,59.67,40.37,108.17,58.57,91.07,11.75,14.36,19.14,28.84,4.25,13.81,35.89
1903,112.74,19.13,172.89,53.95,41.78,3.42,20.04,15.98,34.26,32.06,13.73,23.98
1904,66.34,62.61,125.17,47.85,62.47,6.54,10.01,7.93,31.63,4.25,5.29,80.46
1905,15.30,146.35,56.41,59.54,33.36,7.05,16.28,20.33,15.08,14.76,6.54,55.67
1906,68.08,92.62,65.71,119.74,49.61,33.73,27.12,15.90,10.45,20.03,8.48,9.86
1907,124.31,71.45,55.57,163.88,27.91,10.74,11.22,32.55,16.47,7.45,5.70,35.43
1908,25.36,78.84,51.38,79.35,41.13,17.24,47.07,9.15,15.26,7.60,6.91,50.33
1909,151.05,44.12,61.28,80.14,47.92,13.69,64.29,74.30,6.79,4.45,5.51,18.25
1910,112.80,41.52,188.31,59.84,41.31,6.42,7.65,6.54,7.63,17.91,19.48,26.99
1911,76.76,70.89,58.70,105.08,32.22,27.87,14.92,24.63,26.77,11.03,6.49,24.27
1912,24.44,57.42,41.56,54.74,25.98,13.59,15.72,18.50,21.11,19.68,16.25,47.89
1913,35.63,106.20,84.41,112.68,37.26,43.05,60.47,17.11,37.33,62.42,33.89,40.53
1914,11.73,135.96,79.31,165.62,20.94,19.87,15.49,6.54,18.09,10.81,5.75,13.32
1915,38.04,55.38,70.97,89.45,40.96,19.34,15.53,96.41,18.47,4.36,5.17,10.82
1916,37.77,30.99,72.28,21.81,19.65,8.04,9.63,52.71,58.31,5.80,5.48,38.74
1917,22.16,47.99,134.56,108.24,12.25,30.62,7.62,12.68,18.83,7.51,7.07,32.27
1918,93.83,43.80,61.19,49.43,26.93,7.04,16.74,63.77,10.54,4.25,5.17,152.05
1919,125.51,46.35,112.56,61.52,20.61,14.38,11.29,7.04,5.66,4.95,5.23,10.87
1920,39.51,30.52,36.53,35.44,10.92,3.47,19.68,21.87,3.39,13.59,14.80,140.20
1921,38.37,111.71,56.24,25.91,35.62,21.50,25.13,34.33,32.39,19.36,5.17,25.81
1922,55.94,96.87,71.64,38.38,65.97,3.45,9.00,59.77,17.88,26.87,5.17,13.85
1923,20.51,122.01,61.83,86.18,144.29,3.42,33.88,8.14,54.07,4.25,21.76,28.38
1924,38.42,76.90,34.56,40.75,90.90,3.42,49.14,19.04,35.93,65.22,30.64,8.92
1925,18.27,62.86,129.34,131.16,32.09,6.76,7.61,36.67,39.71,4.25,6.59,17.06
1926,16.42,42.38,60.08,70.68,17.79,3.44,12.10,12.75,20.78,4.25,10.01,62.05
1927,32.18,125.81,105.54,44.15,19.75,4.08,7.31,8.99,7.27,4.25,20.42,83.21
1928,45.56,63.41,72.79,54.95,13.65,9.93,98.27,39.59,3.40,8.11,9.07,46.64
1929,56.49,74.89,62.05,130.65,31.73,10.69,47.95,8.48,32.19,17.38,6.91,28.56
1930,82.75,56.02,55.47,70.48,88.08,19.71,39.27,14.46,11.65,42.43,25.67,35.91
1931,97.63,56.94,117.01,39.69,41.79,14.28,36.92,31.82,8.36,13.91,8.36,25.85
1932,39.01,60.62,122.65,72.16,28.55,22.49,15.16,49.54,23.98,7.01,9.84,45.20
1933,43.31,84.41,100.64,93.63,70.03,11.14,7.26,12.99,19.84,10.77,10.11,37.32
1934,87.96,88.28,74.81,103.55,34.56,32.15,18.06,29.46,14.93,18.06,27.63,15.12
1935,32.60,125.12,97.79,92.83,24.76,12.16,7.53,15.61,13.34,9.54,43.81,48.99
1936,38.82,82.20,74.91,128.29,27.05,4.33,22.78,6.54,10.54,22.39,8.78,42.59
1937,67.46,60.21,110.57,55.18,17.05,19.07,18.19,22.48,6.17,4.25,14.76,41.27
1938,46.63,116.74,172.40,51.55,22.39,4.24,19.04,10.59,3.67,23.73,9.73,16.83
1939,83.85,49.22,109.67,65.90,32.09,27.60,11.45,15.91,15.12,18.57,10.74,25.94
1940,46.95,53.43,72.76,83.33,29.59,6.15,14.85,18.45,13.53,9.08,13.36,55.37
1941,58.30,126.62,56.95,62.56,39.53,20.13,45.38,10.41,14.19,19.90,25.30,21.32
1942,71.96,36.11,94.03,110.50,49.15,7.88,19.66,30.51,11.40,30.76,24.28,25.91
1943,53.00,104.62,72.86,83.95,29.17,5.02,26.10,44.82,12.81,17.18,21.92,18.78
1944,69.57,53.71,96.87,77.26,41.18,25.18,15.02,25.90,12.03,6.93,35.58,21.86
1945,53.17,101.44,67.83,29.48,18.64,8.72,24.58,11.56,6.37,16.30,21.39,34.21
1946,47.12,95.11,68.97,36.29,23.17,9.96,30.57,19.21,11.56,9.09,16.23,29.88
1947,30.24,59.76,90.57,82.51,19.96,18.83,22.23,19.04,5.25,12.42,7.04,85.64
1948,54.15,61.28,106.66,44.86,30.02,46.00,12.07,14.68,11.07,7.49,7.16,16.11
1949,108.07,46.54,70.83,101.87,46.59,11.57,19.60,22.07,4.53,9.39,15.88,3.52
1950,48.10,68.40,132.76,55.73,90.02,5.64,15.72,16.87,3.56,24.61,21.82,27.49
1951,50.18,99.40,96.95,68.21,34.94,12.53,23.64,13.39,7.23,6.68,12.33,26.95
1952,71.24,72.57,107.11,67.49,70.04,32.20,23.81,17.35,18.36,25.50,18.63,46.39
1953,116.32,134.40,97.60,59.42,21.64,12.61,37.99,15.82,7.34,19.32,15.01,22.40
1954,13.81,18.47,109.70,33.46,93.47,13.32,36.85,35.38,13.27,8.05,4.19,43.78
1955,42.27,54.84,156.42,147.00,6.72,33.23,67.04,29.82,18.20,41.78,13.22,24.82
1956,93.24,65.59,141.29,141.67,48.68,28.30,22.18,17.43,8.52,29.86,64.34,61.46
1957,47.59,32.52,93.38,72.99,52.58,11.30,19.27,18.05,18.32,9.53,19.54,100.29
1958,89.41,89.83,69.88,94.10,86.62,7.95,23.18,21.21,24.39,18.40,39.15,63.09
1959,72.06,69.19,108.78,146.27,71.00,10.59,32.31,22.26,19.13,5.56,29.57,49.99
1960,84.01,64.25,100.94,147.71,28.73,18.17,35.99,25.37,12.06,22.55,39.47,13.73
1961,15.33,62.07,77.42,78.25,44.98,19.88,18.94,16.98,16.88,21.14,19.22,51.47
1962,6.18,48.79,124.85,126.28,151.02,15.14,19.42,13.85,7.78,14.78,48.27,32.41
1963,87.46,79.66,77.34,97.89,34.09,6.93,93.27,18.21,12.95,9.72,20.07,32.77
1964,96.63,111.43,75.43,195.01,112.25,9.51,94.23,23.62,6.62,8.64,40.39,31.68
1965,5.65,109.32,147.40,103.80,22.22,4.14,16.11,29.62,17.98,27.53,2.71,10.34
1966,12.03,96.14,131.47,129.21,41.88,19.44,38.81,12.05,16.37,53.53,22.60,99.90
1967,58.42,57.66,96.80,101.96,63.92,5.88,19.14,21.23,2.30,22.03,21.36,72.44
1968,54.62,61.99,75.55,104.08,79.83,25.27,57.20,8.27,10.42,40.74,36.54,5.49
1969,46.94,45.54,74.13,41.30,17.27,9.84,37.50,17.76,29.07,7.83,2.88,23.32
1970,9.94,71.00,62.84,71.19,19.81,11.84,23.41,13.34,49.90,5.52,3.75,13.24
1971,99.27,86.21,99.95,94.16,84.63,30.14,31.88,10.95,22.85,15.96,25.79,76.63
1972,44.19,98.13,121.31,85.64,43.66,3.76,42.53,12.35,38.48,6.83,4.06,17.35
1973,34.99,94.21,39.83,73.47,41.99,9.02,17.60,21.84,24.60,0.61,3.29,55.65
1974,27.14,78.35,106.12,110.55,50.31,10.98,25.80,33.20,13.03,11.87,8.88,36.50
1975,45.99,118.52,96.76,87.31,30.11,10.91,26.39,36.23,13.00,19.41,2.38,15.91
1976,126.12,14.67,20.10,114.94,28.97,9.78,43.77,15.47,14.16,17.73,44.33,30.94
1977,62.24,38.97,154.12,61.21,38.71,10.60,45.84,20.03,8.35,6.58,37.26,8.74
1978,67.51,89.70,98.65,72.46,87.51,12.31,13.33,57.88,10.53,8.54,26.27,29.39
1979,69.05,102.79,142.97,36.47,27.93,25.98,32.33,46.77,8.32,42.96,22.12,22.80
1980,68.57,104.08,112.45,64.63,50.89,5.94,70.28,16.50,4.94,31.39,7.78,27.45
1981,31.76,73.29,111.05,22.33,47.29,6.53,13.89,23.04,9.88,36.86,89.79,52.81
1982,41.80,60.76,130.55,107.54,47.70,20.67,20.67,37.71,9.11,4.28,4.19,20.17
1983,16.23,58.12,93.61,72.03,16.20,14.00,38.46,29.84,13.01,5.47,30.86,42.33
1984,52.41,19.96,29.00,66.15,39.59,1.96,13.58,25.91,1.93,12.13,7.38,71.19
1985,19.47,59.14,143.00,60.67,55.68,14.51,33.05,51.56,10.39,6.98,66.97,65.81
