Variable:,pr
Country:,Afghanistan
Subnational-unit:,Kandahar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.64,15.04,20.74,23.09,8.67,0.89,1.93,2.75,0.19,2.30,20.18,18.59
1902,38.31,35.27,40.07,21.41,23.49,0.36,6.50,1.74,0.19,2.30,5.13,18.59
1903,38.31,35.27,40.07,10.33,2.68,0.36,1.93,1.74,0.19,2.30,17.89,8.06
1904,105.20,58.08,68.51,25.24,2.68,0.36,1.93,1.74,0.19,2.30,2.44,18.59
1905,28.04,110.72,59.58,15.73,2.68,0.89,2.71,4.42,0.19,2.30,2.45,9.48
1906,38.30,35.27,40.06,21.41,5.24,0.89,6.50,5.57,0.48,2.30,5.12,18.58
1907,54.75,15.04,43.42,60.80,2.68,0.36,25.45,1.74,0.19,2.30,2.44,36.04
1908,32.22,71.54,42.69,67.27,2.68,3.02,12.55,1.74,0.19,2.30,2.44,67.71
1909,62.74,18.84,23.30,12.47,2.68,0.60,3.52,6.28,0.19,2.30,2.44,18.59
1910,106.02,27.07,55.15,11.59,8.67,0.36,1.93,1.74,0.19,2.30,5.13,25.58
1911,86.40,15.04,18.62,21.41,17.49,0.36,7.82,4.94,0.19,2.30,3.97,56.52
1912,28.23,48.82,49.06,9.79,2.68,5.05,3.02,6.49,0.19,2.30,5.13,41.83
1913,53.28,43.37,33.10,65.44,4.25,3.30,28.13,1.74,0.48,2.30,5.14,8.06
1914,16.15,15.04,43.61,75.89,5.05,0.36,12.55,1.74,0.19,2.30,2.44,23.17
1915,61.18,30.71,17.44,73.17,22.69,0.36,3.09,26.46,0.19,2.30,2.44,8.06
1916,38.95,15.04,84.37,16.26,13.86,0.36,1.93,8.43,0.48,2.30,2.44,21.77
1917,19.85,16.86,82.35,20.75,6.31,0.36,1.93,1.74,0.19,2.30,2.44,53.71
1918,28.82,30.56,32.90,31.17,8.36,0.36,9.41,10.90,0.19,2.30,2.44,51.87
1919,35.26,36.96,48.78,9.79,11.03,0.36,2.81,1.74,0.19,2.30,2.44,14.84
1920,17.41,15.04,20.92,18.96,2.68,0.36,7.23,19.25,0.19,2.30,5.13,18.59
1921,44.42,42.98,27.75,9.80,7.89,0.36,3.79,1.74,0.48,2.30,2.44,21.35
1922,61.96,41.94,38.25,22.55,8.36,0.36,1.93,4.55,0.19,2.31,2.44,8.06
1923,56.98,75.58,28.20,78.20,13.86,0.36,2.23,4.09,0.48,2.30,2.90,74.04
1924,19.07,23.50,29.40,9.79,17.96,0.89,7.23,2.87,0.19,2.30,10.17,9.47
1925,69.64,23.12,79.30,34.39,5.24,1.05,1.93,3.60,0.48,2.30,2.44,44.39
1926,35.44,50.25,26.36,21.29,3.15,0.36,15.72,1.74,0.19,2.30,2.44,45.36
1927,37.69,38.79,36.41,17.16,3.95,0.36,3.09,4.01,0.19,2.30,5.12,19.51
1928,37.98,38.02,17.42,18.41,10.71,0.36,23.58,1.74,0.19,2.30,7.45,18.59
1929,56.79,24.70,35.49,64.91,5.05,0.50,18.85,1.74,0.19,2.30,3.66,9.19
1930,44.15,113.55,26.99,27.57,5.52,5.27,2.05,1.74,0.19,2.30,2.90,9.90
1931,28.24,18.69,77.17,13.93,4.25,0.36,21.11,14.64,0.19,2.30,2.44,18.09
1932,65.37,32.29,53.76,53.60,14.66,0.36,17.86,9.69,0.19,2.30,2.45,29.53
1933,31.45,15.04,36.60,48.58,9.94,1.65,3.59,20.19,0.19,2.30,5.17,18.59
1934,73.83,100.65,31.89,74.06,3.95,0.89,3.90,1.74,0.19,2.30,2.44,8.75
1935,45.86,71.69,43.88,11.59,26.62,1.28,3.52,1.74,0.48,2.31,2.44,18.59
1936,49.29,73.51,61.68,47.14,3.96,0.36,15.41,1.74,0.19,2.30,2.44,20.64
1937,113.21,41.95,22.13,35.29,2.68,1.88,12.27,6.08,0.19,2.30,4.72,30.67
1938,45.87,117.75,77.17,69.94,3.95,0.36,1.93,1.74,0.19,2.30,2.44,23.88
1939,78.03,59.43,27.94,21.64,16.69,2.34,2.12,2.07,0.19,2.31,7.89,15.55
1940,33.50,21.85,34.30,51.57,2.68,0.36,4.07,1.74,0.19,2.29,2.44,13.63
1941,147.56,40.05,38.54,17.16,25.83,4.82,15.99,1.87,0.19,2.30,2.45,50.72
1942,141.66,17.66,42.69,35.29,15.13,0.36,2.23,3.60,0.63,2.30,2.45,8.06
1943,110.18,108.64,55.88,17.96,5.23,0.36,23.34,24.93,0.19,2.29,9.62,67.79
1944,62.19,20.66,21.38,30.26,2.68,1.74,29.67,1.74,0.19,2.30,5.17,27.13
1945,29.80,24.46,23.78,9.79,2.68,0.89,1.93,19.06,0.19,2.30,2.44,13.14
