Variable:,pr
Country:,Afghanistan
Subnational-unit:,Kapisa
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.21,27.45,63.44,46.93,17.47,18.56,15.58,6.05,10.82,33.13,40.53,18.15
1902,64.53,51.76,111.66,64.74,105.06,19.13,13.55,21.96,33.21,4.63,16.93,35.12
1903,111.88,19.14,166.36,57.46,49.12,3.51,18.78,13.81,45.99,40.56,19.84,30.76
1904,74.53,57.21,128.90,53.31,64.93,12.09,10.32,7.12,31.25,4.66,5.73,86.84
1905,16.67,152.32,59.35,66.93,39.34,7.73,15.39,19.73,14.66,15.78,8.22,61.22
1906,74.08,88.01,67.06,119.28,61.15,41.54,24.83,13.72,17.67,28.82,10.60,11.07
1907,125.98,75.58,63.89,162.99,29.88,11.53,9.81,27.83,16.30,8.10,6.42,40.23
1908,31.68,78.64,54.52,79.94,50.00,18.25,46.78,8.45,13.12,11.26,10.64,48.18
1909,157.99,48.32,64.89,85.80,52.17,14.62,68.08,73.87,5.80,5.35,6.52,22.13
1910,107.38,43.44,184.56,63.19,47.92,6.79,6.67,5.69,6.52,19.51,20.42,30.13
1911,84.06,74.90,70.31,102.86,37.03,27.08,17.75,21.09,48.38,11.45,7.47,32.57
1912,31.39,56.50,40.10,68.02,35.37,12.80,13.59,17.97,18.01,25.69,22.01,55.80
1913,42.29,100.35,89.17,112.61,39.07,40.01,51.54,14.84,31.71,75.12,47.19,39.95
1914,11.78,133.16,81.20,168.34,21.48,19.06,18.39,5.71,17.61,11.35,7.27,14.48
1915,37.96,52.62,76.00,94.19,44.54,17.96,13.34,81.86,15.72,5.00,5.58,12.54
1916,38.18,37.44,68.55,21.47,21.64,9.22,9.98,45.09,49.47,6.38,5.89,38.13
1917,25.76,58.20,144.02,118.08,12.63,31.25,6.80,11.88,18.48,8.67,8.71,35.90
1918,103.32,45.53,65.67,52.19,29.45,7.63,15.87,63.13,10.28,4.68,5.58,172.64
1919,138.52,48.07,120.59,66.16,22.40,15.92,10.43,6.25,5.58,5.51,6.38,11.20
1920,42.24,30.69,38.49,37.91,11.48,3.95,18.97,21.49,2.99,16.27,17.11,159.48
1921,41.16,120.37,58.65,26.18,40.30,23.95,24.42,33.63,32.09,23.11,5.58,28.49
1922,61.76,103.65,75.88,40.40,74.36,3.77,8.16,59.27,17.45,32.59,5.58,14.65
1923,25.54,119.17,65.15,85.07,163.92,3.51,33.03,7.36,53.68,4.63,25.84,31.64
1924,41.68,80.88,34.64,42.86,89.83,3.53,43.48,18.45,35.42,79.16,36.26,9.00
1925,18.93,62.62,151.48,141.80,37.16,11.20,7.95,30.87,37.87,4.68,8.45,20.63
1926,19.32,44.38,64.59,77.34,22.09,3.68,10.87,11.72,19.19,4.63,13.70,70.31
1927,35.96,127.22,107.02,47.99,21.68,4.71,7.68,8.22,6.75,4.63,23.95,87.20
1928,52.38,75.14,75.09,57.86,15.18,10.78,84.89,35.29,3.03,10.10,13.42,50.79
1929,56.75,91.34,66.36,134.82,41.58,14.34,38.70,8.41,31.24,20.77,8.67,32.85
1930,87.41,57.03,58.03,80.19,103.46,30.42,42.82,17.36,11.31,43.12,37.79,42.45
1931,108.93,60.07,114.76,44.60,47.58,15.71,30.71,36.99,7.28,17.49,11.17,30.30
1932,43.19,59.87,138.34,80.68,33.36,24.30,14.23,47.00,22.40,8.58,13.22,69.43
1933,48.07,102.81,96.37,108.88,88.11,13.30,6.38,10.50,17.81,12.08,11.21,44.42
1934,88.52,92.57,80.70,103.19,39.86,45.81,16.97,23.74,14.05,21.51,43.68,17.60
1935,32.72,113.83,102.77,97.52,30.18,11.20,6.60,13.35,15.85,10.83,41.64,54.15
1936,44.97,80.94,75.53,138.58,35.43,4.64,18.32,5.69,10.47,28.94,13.49,43.32
1937,81.82,72.43,122.17,58.35,16.09,18.25,22.24,18.94,6.76,4.68,20.24,46.17
1938,59.63,116.72,161.78,57.05,26.43,5.66,20.98,10.12,3.15,26.96,13.98,19.46
1939,77.79,49.93,112.89,69.56,39.47,27.41,9.67,13.91,19.74,24.72,12.51,36.49
1940,55.68,61.29,76.83,95.20,31.94,5.84,12.06,14.89,11.97,9.01,15.81,63.29
1941,68.33,128.07,65.24,68.40,45.17,27.70,36.74,8.39,11.11,25.72,32.21,23.32
1942,70.64,42.14,106.51,114.39,57.11,7.36,15.45,25.33,10.27,42.93,32.32,31.99
1943,58.09,103.83,68.68,94.65,34.35,6.40,20.76,32.94,12.61,21.87,30.77,22.49
1944,73.49,61.21,105.96,82.70,50.29,30.32,12.56,21.42,10.38,7.07,45.43,25.35
1945,57.68,102.52,72.81,27.97,19.48,12.12,27.28,8.95,5.45,16.49,24.77,38.74
1946,52.54,96.59,68.22,39.95,24.49,10.12,31.78,16.02,10.91,11.43,12.36,33.67
1947,32.98,58.65,100.71,90.95,26.88,24.10,17.73,17.48,5.57,16.18,11.18,96.85
1948,60.15,62.34,116.31,51.65,38.50,59.88,9.88,18.94,11.00,10.39,10.99,21.25
1949,108.62,53.19,77.29,101.95,55.01,14.13,17.33,18.86,4.28,15.41,24.53,6.05
1950,58.83,84.45,133.59,54.88,99.05,6.49,19.39,13.33,3.65,32.80,24.66,34.35
1951,58.51,106.42,113.97,78.81,41.22,16.43,20.05,10.64,6.92,6.87,16.09,33.70
1952,83.50,76.31,135.75,75.25,81.94,42.16,20.71,14.27,16.73,33.65,29.57,58.90
1953,119.12,136.42,105.76,65.60,24.88,16.10,35.67,14.97,5.82,23.04,19.61,30.62
1954,13.11,22.11,117.93,43.45,97.56,21.65,41.82,29.22,11.05,10.69,6.79,46.76
1955,45.52,62.30,156.60,158.28,10.76,36.19,56.70,24.86,18.44,39.26,15.34,36.03
1956,95.55,72.39,149.50,138.65,53.30,31.61,18.35,14.27,6.03,39.46,80.47,63.09
1957,54.29,35.04,99.71,84.85,64.53,12.44,14.27,17.57,24.32,12.01,22.35,96.35
1958,88.25,88.57,76.65,90.30,96.83,8.37,17.29,20.30,21.59,17.79,46.65,69.17
1959,73.35,75.72,109.30,150.80,86.99,12.15,28.84,19.21,21.90,7.92,38.52,48.42
1960,92.03,65.14,103.07,151.35,31.40,19.74,31.55,21.29,11.46,24.45,47.66,15.90
1961,16.66,67.41,86.54,88.79,49.12,18.24,18.75,14.69,15.58,20.97,26.32,54.66
1962,11.60,57.53,137.97,125.61,152.45,17.82,21.48,13.72,8.01,17.94,56.82,37.37
1963,87.75,86.46,84.84,109.93,40.56,7.63,92.23,19.33,13.35,12.85,24.18,38.39
1964,103.86,118.80,84.64,189.43,130.13,10.08,101.24,28.71,5.75,14.09,45.75,36.44
1965,5.95,107.88,169.29,102.45,24.44,4.75,13.31,23.70,16.06,35.28,3.98,15.15
1966,28.29,101.44,134.09,132.47,52.31,22.21,34.06,9.65,14.23,68.59,23.45,96.70
1967,57.20,51.25,110.84,118.23,73.23,4.70,25.34,21.37,2.65,25.22,25.35,84.13
1968,58.82,62.42,90.59,118.42,87.36,25.31,66.26,7.04,10.63,47.63,43.21,6.91
1969,47.47,41.91,80.57,46.74,22.67,11.02,34.75,14.04,30.03,10.33,5.10,26.04
1970,10.47,79.34,77.02,82.25,16.47,11.11,20.51,10.46,40.91,7.51,3.50,15.65
1971,100.22,94.56,106.03,96.95,91.13,29.54,30.18,9.89,23.71,20.63,25.32,84.84
1972,54.07,97.29,130.22,102.80,43.55,4.21,33.63,11.77,42.13,9.01,5.43,19.48
1973,49.31,97.88,47.01,73.85,44.18,7.74,15.49,22.03,33.06,1.24,4.15,61.12
1974,30.53,81.00,108.54,125.07,59.58,7.58,20.05,31.41,13.37,18.40,16.15,46.95
1975,51.59,125.97,101.27,98.24,34.97,8.97,25.59,33.02,11.05,22.33,4.31,24.83
1976,136.49,20.02,25.43,144.16,38.94,7.85,40.10,15.70,11.57,23.09,50.27,35.42
1977,62.77,46.88,159.59,64.36,51.77,11.39,43.90,19.38,6.83,8.31,44.77,8.85
1978,60.09,92.47,100.88,92.07,105.51,14.95,13.50,67.15,9.06,5.25,24.19,31.89
1979,73.08,109.64,146.41,40.81,36.00,25.29,33.16,58.43,6.30,44.08,27.02,27.62
1980,67.93,119.97,113.14,81.35,56.43,8.46,78.13,14.12,5.16,37.61,12.17,31.05
1981,28.85,69.73,107.38,22.34,47.70,10.24,17.72,19.95,8.74,30.74,97.04,58.38
1982,52.04,53.83,142.90,96.53,52.84,32.58,23.36,33.76,7.45,5.27,4.80,21.72
1983,18.52,68.18,110.03,77.46,24.75,12.04,34.00,26.12,12.90,9.29,39.29,44.64
1984,57.25,20.66,35.08,66.89,47.57,2.91,11.80,23.59,1.91,15.12,9.55,84.65
1985,24.76,58.33,145.58,62.50,50.47,20.35,32.97,54.19,10.60,6.86,73.84,79.09
1986,4.54,60.93,169.26,83.02,59.60,65.89,18.92,12.79,5.84,90.35,7.32,14.12
1987,86.27,63.37,195.14,37.50,17.10,21.76,7.70,54.71,7.62,7.12,2.34,60.23
1988,45.29,63.24,106.13,38.29,68.04,30.01,78.02,74.21,40.07,12.09,26.34,43.68
1989,85.27,95.70,70.69,76.37,14.07,14.94,8.70,77.65,9.22,23.50,19.43,87.40
1990,79.38,97.83,143.21,96.63,142.94,13.24,18.11,9.59,56.78,9.60,14.32,31.41
1991,117.78,86.37,88.98,121.39,70.39,22.74,31.47,38.35,20.77,31.81,22.58,34.61
1992,40.01,36.39,115.29,57.43,64.86,26.56,23.27,14.51,16.60,20.14,37.15,24.98
1993,68.99,83.39,81.04,89.35,56.00,18.88,54.28,21.22,30.76,72.11,15.52,62.46
1994,12.23,91.95,87.63,149.90,48.40,27.24,35.36,26.28,16.17,32.15,12.81,21.71
1995,34.31,85.86,130.65,86.16,67.32,35.49,17.60,32.89,11.91,43.93,32.46,6.90
1996,20.91,31.97,99.91,160.85,69.69,40.54,18.92,12.41,11.29,42.98,16.47,39.90
1997,75.70,141.64,89.36,129.89,86.36,38.04,35.78,21.64,15.62,13.11,4.48,6.81
1998,67.16,96.43,107.77,59.40,30.86,14.06,62.44,13.01,20.92,11.12,69.70,5.57
1999,68.43,63.11,63.98,19.33,16.00,15.59,41.48,22.81,35.45,44.59,32.33,33.87
2000,28.97,39.09,62.09,53.63,24.54,37.36,44.78,22.97,13.67,12.52,25.20,20.33
2001,30.94,98.24,82.33,81.43,21.86,37.58,12.43,26.74,11.57,12.48,38.99,50.13
2002,26.96,131.62,102.95,107.88,37.78,15.46,36.27,42.69,25.69,13.09,46.55,28.47
2003,97.41,66.28,20.36,79.60,30.83,19.81,20.10,31.31,18.60,38.61,25.73,74.81
2004,105.86,140.81,87.94,66.91,104.84,10.62,25.28,19.84,18.88,22.80,31.67,6.73
2005,99.90,63.73,86.63,73.50,21.69,13.73,40.28,42.53,14.16,33.07,78.20,121.49
2006,12.04,107.90,177.37,44.75,44.68,39.04,34.42,21.71,21.53,4.69,13.74,36.32
2007,112.55,42.25,16.06,111.96,27.59,22.05,72.71,83.99,19.07,14.79,18.76,51.24
2008,86.05,142.36,90.29,159.14,57.04,47.80,15.19,19.63,8.26,16.34,32.80,31.48
2009,48.39,138.08,61.16,60.20,59.62,34.98,100.28,56.46,24.53,11.43,10.57,9.06
2010,25.66,161.65,82.72,74.39,54.90,16.36,28.14,36.51,22.48,41.56,32.48,4.23
2011,72.11,96.85,102.79,103.11,78.21,8.29,27.89,34.90,30.54,33.35,29.96,81.88
