Variable:,pr
Country:,Afghanistan
Subnational-unit:,Khost
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.98,11.87,31.37,31.20,9.64,36.86,34.33,8.98,24.95,23.54,3.59,3.81
1902,53.66,7.95,110.60,44.35,88.37,11.37,23.55,30.10,46.26,2.23,4.24,34.72
1903,118.73,8.91,205.37,41.02,19.05,2.81,36.09,33.07,43.47,20.80,4.06,9.56
1904,60.31,72.65,141.62,31.73,78.01,2.87,11.68,10.94,61.06,2.23,1.98,79.96
1905,5.06,155.40,44.71,39.90,24.13,8.73,27.13,40.08,27.55,17.56,1.99,47.58
1906,59.19,101.56,60.35,132.13,14.34,26.41,53.12,32.78,3.56,2.26,1.98,3.77
1907,128.98,66.20,27.94,191.58,24.04,17.22,17.70,77.67,29.90,6.90,1.98,25.76
1908,10.37,82.82,28.63,82.29,13.56,30.44,92.53,13.75,30.98,4.25,2.00,55.06
1909,163.54,28.32,33.60,76.18,50.52,23.29,121.06,165.47,11.24,2.18,1.98,7.73
1910,128.55,28.91,211.82,48.55,33.26,8.75,8.91,7.82,13.28,21.97,17.50,23.58
1911,65.21,66.16,14.29,109.34,29.71,54.49,17.30,55.87,9.94,12.44,2.04,5.64
1912,8.90,58.24,36.91,44.84,8.84,24.95,28.55,35.71,44.37,6.89,10.07,24.52
1913,26.41,121.19,63.38,128.37,40.83,88.45,136.78,35.70,82.07,67.37,12.83,41.07
1914,5.00,149.84,79.68,176.69,18.87,38.05,18.57,7.71,33.31,12.31,1.99,5.56
1915,35.61,59.87,46.87,80.19,42.67,37.52,28.52,246.36,38.30,2.24,1.98,3.77
1916,28.76,9.69,77.63,12.81,15.95,11.45,10.76,130.59,130.87,4.73,2.31,38.78
1917,7.73,14.33,129.67,99.52,7.11,57.19,8.72,22.16,34.63,5.75,3.49,25.14
1918,81.44,36.20,51.44,39.76,23.38,8.66,28.26,141.16,17.78,2.18,2.00,134.24
1919,110.49,38.83,106.23,51.84,16.44,20.54,16.42,8.99,7.90,2.95,1.99,5.55
1920,31.06,22.48,25.27,25.32,5.58,2.87,34.49,43.65,3.55,12.64,9.81,123.36
1921,29.95,105.76,46.41,15.97,32.75,32.20,45.76,72.39,62.49,18.85,1.98,19.32
1922,46.21,90.85,62.69,28.80,66.53,2.73,11.90,132.00,32.70,27.15,1.98,8.50
1923,10.84,125.75,52.29,83.13,152.62,2.72,64.63,11.51,106.08,2.17,15.51,21.88
1924,29.98,70.27,23.43,30.85,104.14,2.95,106.37,36.99,69.27,69.40,22.92,3.77
1925,11.33,58.36,113.88,122.54,28.34,4.11,8.32,88.30,77.56,2.17,1.98,5.97
1926,6.17,32.46,39.68,56.89,8.83,2.78,19.09,22.41,41.04,2.17,1.98,51.11
1927,19.56,136.81,115.81,31.86,15.09,4.05,7.64,13.73,12.21,2.17,16.15,88.13
1928,28.14,29.93,69.41,47.35,7.65,16.10,242.48,98.63,3.48,6.98,2.00,41.34
1929,57.15,38.24,52.51,142.67,13.26,10.53,122.26,10.57,65.28,16.09,1.98,17.17
1930,80.61,47.02,33.95,51.49,82.40,16.23,61.81,12.44,18.30,63.35,5.36,18.47
1931,88.22,48.95,135.07,21.24,40.97,24.10,100.01,50.09,13.89,8.00,2.04,13.91
