Variable:,pr
Country:,Afghanistan
Subnational-unit:,Kunar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.63,17.85,44.89,44.21,18.61,35.17,26.10,6.52,18.80,35.12,53.47,23.88
1902,76.62,39.11,130.27,65.43,120.40,50.68,42.59,49.66,75.04,3.04,4.58,31.52
1903,126.99,7.39,186.74,50.00,25.65,3.52,35.83,33.00,104.38,33.24,26.37,28.11
1904,97.75,55.55,146.60,42.78,81.39,33.57,18.02,8.86,72.53,4.48,1.31,105.91
1905,8.60,170.83,50.53,46.42,61.04,14.15,19.25,51.25,32.59,16.55,3.67,55.93
1906,70.11,91.23,60.56,138.26,19.54,44.81,42.98,29.04,40.03,13.18,2.66,4.69
1907,132.62,91.78,40.61,202.78,43.69,23.19,23.93,62.69,58.65,9.10,1.34,46.57
1908,40.07,80.91,38.73,75.84,23.00,33.70,104.95,22.22,39.57,19.58,10.98,47.40
1909,185.74,38.95,39.58,114.56,55.22,35.97,133.36,141.04,6.77,3.97,2.70,17.86
1910,131.75,37.93,175.68,64.34,42.80,10.45,6.43,7.46,12.21,23.05,28.32,33.22
1911,104.38,98.22,37.99,91.67,43.98,46.46,32.47,39.10,118.10,10.23,2.17,26.71
1912,33.53,60.57,41.72,106.08,29.13,22.44,22.29,50.99,35.48,13.05,24.73,29.99
1913,49.83,116.76,67.68,120.57,43.26,63.24,87.39,39.80,60.78,100.25,45.49,40.67
1914,5.56,136.26,79.98,174.73,14.89,33.61,44.78,9.25,32.34,19.43,4.33,4.60
1915,37.89,80.01,54.68,82.19,52.87,26.04,20.65,147.06,31.02,1.86,0.92,5.85
1916,32.32,24.21,59.85,12.95,18.37,30.61,18.66,107.73,95.28,18.56,1.26,39.96
1917,10.31,18.29,133.26,130.76,3.57,52.69,17.82,19.79,40.07,8.32,31.58,41.83
1918,120.41,55.11,122.43,41.90,24.71,7.84,21.96,108.19,31.72,3.65,1.02,155.09
1919,143.93,49.18,139.54,80.63,26.29,24.51,13.41,12.37,40.43,3.08,23.73,4.81
1920,38.29,22.68,86.16,69.86,20.96,26.05,37.79,71.04,9.26,30.55,11.96,162.75
1921,40.46,176.04,58.21,24.31,67.66,36.74,43.24,57.02,77.75,22.22,0.92,28.19
1922,93.97,140.83,91.27,44.08,88.91,11.61,24.31,122.35,31.85,44.63,1.31,9.39
1923,34.07,139.77,78.99,85.12,172.05,1.08,50.85,14.62,109.17,1.04,29.53,41.40
1924,57.22,73.38,22.17,44.92,96.54,3.94,72.81,51.36,64.77,79.21,31.12,1.56
1925,23.76,57.52,159.24,142.24,44.22,24.64,9.30,54.01,86.24,1.05,1.57,12.59
1926,28.31,46.79,70.52,57.47,19.57,20.44,17.33,25.55,42.36,1.84,2.78,70.37
1927,22.66,155.91,126.23,42.88,12.96,7.41,8.19,21.95,53.12,0.95,33.69,100.01
1928,45.01,72.08,62.71,47.14,12.19,17.62,182.33,128.55,3.76,25.30,11.90,48.51
1929,66.69,86.29,66.67,163.49,43.06,24.32,82.00,19.99,62.39,21.68,2.61,19.60
1930,100.85,56.94,35.99,85.94,122.92,39.87,116.63,29.22,21.57,66.35,31.75,32.18
1931,117.00,58.30,129.49,29.04,50.80,38.97,72.17,62.09,11.89,15.96,5.99,23.21
1932,44.33,58.22,135.80,77.50,19.71,38.22,33.84,107.88,51.77,13.26,7.04,66.42
1933,54.89,114.18,108.07,116.60,85.13,16.32,4.59,31.43,42.04,13.16,7.02,39.65
1934,103.57,94.22,92.62,123.14,40.67,44.72,40.61,51.91,31.43,38.14,43.74,10.52
1935,37.17,141.42,121.71,96.63,35.40,21.53,8.04,19.79,45.59,8.50,54.96,49.12
1936,40.35,74.89,68.50,160.91,31.55,4.45,38.19,2.13,31.72,31.16,16.97,43.78
1937,90.89,61.37,129.60,64.61,16.38,40.36,72.53,39.16,16.04,2.90,10.49,46.39
1938,63.99,139.24,189.45,40.79,24.42,10.67,46.72,23.62,2.30,32.65,10.55,10.19
1939,82.25,48.85,108.47,76.10,52.91,57.43,14.78,31.17,38.60,19.01,7.02,33.22
1940,44.23,53.38,81.91,88.63,33.65,7.44,21.93,24.91,31.27,9.50,15.42,64.61
1941,59.83,168.32,61.53,58.96,48.35,44.75,88.83,12.91,27.52,23.53,28.00,21.29
1942,77.22,32.38,110.94,135.81,57.04,10.30,28.26,51.46,25.57,35.46,24.12,28.49
1943,61.29,133.92,65.23,118.99,31.95,10.93,42.36,77.94,43.80,28.50,34.18,26.24
1944,75.91,60.45,115.16,73.96,45.25,41.38,19.84,48.87,29.84,12.74,27.96,19.76
1945,63.35,122.36,68.03,26.39,22.76,9.70,31.73,13.19,11.99,24.45,28.10,46.00
1946,45.92,91.22,63.40,23.44,34.72,22.92,51.85,35.89,28.24,15.19,10.91,46.61
1947,38.87,74.26,120.24,104.18,41.24,45.97,50.77,52.91,12.93,12.52,11.81,109.36
1948,58.50,60.79,141.33,67.55,50.49,51.77,19.18,49.07,33.01,14.16,12.61,27.66
1949,132.38,64.60,94.16,111.68,63.33,26.64,38.43,54.40,11.60,23.61,24.35,4.09
1950,59.97,95.88,144.34,55.84,79.64,16.03,50.53,33.94,11.07,32.78,32.18,22.94
1951,61.19,124.50,141.00,73.54,32.32,24.40,51.27,22.06,29.45,6.45,17.46,36.50
1952,97.82,90.08,142.08,90.02,60.56,44.46,47.54,33.73,47.79,28.70,32.55,71.03
1953,132.01,169.76,105.62,80.68,31.85,30.16,97.78,36.23,18.46,37.49,15.11,31.47
1954,17.87,17.85,154.76,42.31,85.07,31.41,112.27,66.30,24.46,20.33,9.71,50.35
1955,53.51,71.98,179.85,164.72,11.93,64.94,131.37,62.80,51.45,59.51,14.98,40.80
1956,117.79,79.98,159.47,165.61,71.96,28.07,37.20,39.30,28.19,49.56,83.34,96.05
1957,55.75,27.41,109.05,104.64,53.84,27.20,27.89,32.76,79.76,19.21,22.74,124.11
1958,105.02,118.49,97.20,97.92,119.63,14.98,50.01,38.58,52.39,26.90,56.73,77.71
1959,64.52,94.11,125.40,160.84,70.35,22.38,61.65,41.12,71.29,12.06,36.50,58.32
1960,94.39,78.73,90.52,156.15,30.40,37.73,69.32,41.42,34.20,36.57,40.68,17.07
1961,15.80,72.70,101.32,90.11,58.08,35.97,55.79,40.01,42.92,21.01,23.60,56.71
1962,12.59,71.17,169.19,121.22,163.43,21.30,61.84,36.37,25.08,24.94,60.47,39.13
1963,89.80,99.86,90.71,130.60,40.36,18.13,91.23,53.81,34.97,18.41,16.09,54.53
1964,107.58,137.74,104.93,217.01,158.17,21.64,139.79,96.90,13.96,27.53,61.95,42.88
1965,14.21,132.26,208.42,137.18,44.53,12.53,37.11,47.31,45.31,41.69,1.25,16.00
1966,42.89,110.60,166.88,141.18,70.99,39.18,61.46,24.29,30.70,70.22,24.33,125.56
1967,58.89,56.47,131.69,114.09,71.61,12.03,66.37,65.38,6.91,36.68,26.12,77.51
1968,59.29,71.12,91.25,114.24,78.26,21.45,64.47,17.29,20.37,67.31,30.24,7.18
1969,45.28,53.99,86.15,61.68,37.89,24.47,83.96,34.08,91.06,16.48,5.94,29.08
1970,8.98,91.20,92.99,90.21,27.30,22.02,47.23,27.12,85.68,10.25,4.45,13.53
1971,94.91,96.13,128.23,100.34,99.31,55.59,62.98,25.18,61.51,20.29,29.29,103.61
1972,66.18,112.30,128.58,101.95,73.00,8.10,73.91,30.99,63.17,13.39,5.90,21.08
1973,64.54,119.86,44.21,85.45,53.13,19.94,40.53,53.42,50.91,1.65,4.05,66.36
1974,31.70,78.14,107.49,116.73,78.15,19.00,49.59,77.65,22.96,18.33,17.25,48.71
1975,58.67,134.54,98.88,102.04,37.83,24.33,56.83,87.36,28.93,16.78,4.73,29.86
1976,128.85,22.62,38.02,137.03,58.77,22.10,92.18,41.89,29.73,30.36,48.32,37.72
1977,59.06,57.23,195.02,71.27,26.64,21.74,114.86,48.55,18.58,12.71,41.15,15.88
1978,68.22,100.46,117.07,120.74,99.16,22.35,36.77,157.70,24.47,7.18,31.93,31.59
1979,68.32,136.11,176.43,50.57,54.30,46.40,80.76,154.15,19.45,53.18,37.50,28.00
1980,67.21,140.28,136.64,116.26,68.46,18.82,88.02,35.17,14.73,48.14,14.78,27.42
1981,31.72,82.00,106.26,32.86,47.81,16.35,32.28,48.04,15.92,39.25,91.80,60.99
1982,62.39,53.23,136.91,138.49,48.96,35.39,88.48,85.07,20.97,8.89,5.08,19.19
1983,19.40,75.43,138.42,97.40,47.84,24.39,79.13,72.13,34.30,8.92,41.56,39.35
1984,49.83,22.15,50.16,73.88,58.59,12.59,35.69,55.37,4.96,25.54,11.68,113.34
1985,27.41,73.90,162.30,86.17,57.57,44.74,93.42,115.31,35.63,7.39,97.15,89.63
1986,6.07,72.62,186.54,72.94,78.19,73.86,58.14,49.88,16.50,107.86,2.49,20.10
1987,84.78,64.58,237.01,40.10,18.78,39.63,24.82,123.09,18.27,13.18,3.09,63.43
1988,45.10,63.30,103.53,47.83,51.69,51.82,161.67,131.63,70.17,13.89,28.90,51.28
1989,77.63,109.13,83.42,75.22,21.11,33.03,21.40,141.14,27.77,34.78,22.17,95.56
1990,73.11,124.22,143.60,104.56,140.37,23.03,36.64,24.95,97.57,9.08,12.23,15.72
1991,128.64,100.08,105.65,120.33,80.70,20.62,43.68,78.14,54.20,41.60,23.71,35.58
1992,45.91,34.65,129.93,49.76,59.14,49.35,62.98,34.77,39.23,18.14,34.12,6.37
1993,68.60,104.77,91.73,107.90,64.15,35.36,121.88,48.70,74.26,58.79,12.16,76.89
1994,7.51,88.27,100.47,168.60,62.98,52.87,86.71,59.26,39.14,41.38,18.03,27.42
1995,41.20,102.40,165.87,105.83,98.39,56.82,42.34,74.51,26.04,55.24,32.17,7.59
1996,19.43,33.28,98.92,167.77,63.09,67.29,46.83,51.45,27.26,55.20,17.94,40.52
1997,76.46,168.38,89.44,162.22,85.73,61.29,71.87,51.97,35.55,12.73,2.02,2.07
1998,76.51,105.94,97.52,90.49,33.26,19.68,89.56,38.44,45.21,11.49,66.90,3.51
1999,76.88,50.55,63.26,24.28,21.39,36.02,88.27,56.74,73.39,37.15,27.01,37.10
2000,23.39,34.65,73.03,62.91,29.40,70.53,85.26,51.23,29.49,11.56,40.19,15.72
2001,28.46,115.91,93.97,87.46,17.76,65.16,26.92,64.66,25.17,13.19,37.38,38.39
2002,25.59,182.45,124.38,125.09,65.72,27.73,75.25,88.57,60.02,20.68,46.03,32.36
2003,99.06,81.12,21.27,113.91,39.41,38.09,37.77,68.00,35.65,55.45,18.45,72.14
2004,130.66,167.79,100.16,97.27,98.29,14.86,48.79,37.59,38.61,31.27,42.92,2.89
2005,118.64,66.29,81.95,92.36,24.04,26.55,83.56,108.25,31.16,40.83,76.98,142.53
2006,5.15,113.82,213.47,50.41,52.54,67.37,74.04,44.35,46.22,4.57,9.41,20.31
2007,124.38,35.25,17.83,132.11,41.74,45.11,121.90,153.48,42.28,21.33,23.10,73.66
2008,93.07,159.69,102.39,178.65,62.68,76.20,30.00,41.72,24.65,17.28,35.89,30.50
2009,41.82,160.11,68.79,72.37,74.40,66.24,199.95,148.77,50.69,15.19,5.46,10.79
2010,33.72,191.36,97.46,82.30,63.27,34.54,57.58,74.14,50.49,53.70,30.12,0.85
2011,74.88,95.74,132.42,95.90,69.71,14.18,49.40,69.40,64.67,37.38,25.08,92.44
2012,53.09,256.66,114.28,78.38,68.63,62.20,88.91,110.49,32.97,30.77,69.83,8.11
2013,20.24,70.00,57.68,127.73,83.49,28.73,58.52,68.44,53.48,35.21,41.34,0.86
2014,60.56,217.43,172.93,139.05,104.18,34.97,98.21,153.83,25.67,65.09,48.60,36.00
2015,72.64,51.23,207.04,161.88,100.14,44.53,79.10,54.56,28.10,7.36,21.29,26.72
