Variable:,pr
Country:,Afghanistan
Subnational-unit:,Kunduz
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.45,22.67,59.24,34.55,9.46,0.93,3.25,6.61,1.89,24.09,66.58,23.71
1902,51.67,64.93,58.23,44.01,73.96,6.25,9.28,8.34,8.52,1.04,15.72,11.47
1903,47.58,10.69,57.45,36.39,51.58,0.36,4.06,3.51,16.48,27.52,21.55,36.83
1904,54.16,11.30,51.59,39.28,21.06,4.90,4.69,6.77,3.74,1.35,6.21,33.74
1905,24.97,71.70,43.17,73.51,33.45,5.46,9.04,6.29,3.60,2.44,6.70,45.26
1906,57.72,36.89,47.32,55.12,68.76,14.49,5.28,3.03,7.87,31.82,16.44,6.34
1907,71.23,49.02,71.74,48.87,23.26,2.62,2.85,9.90,3.81,3.28,3.98,35.26
1908,38.01,36.28,52.10,39.37,47.52,1.89,7.93,6.11,1.81,7.55,8.77,6.79
1909,67.73,45.66,78.26,39.32,26.78,1.96,11.18,6.81,2.04,2.30,2.97,24.69
1910,33.00,33.53,80.22,42.80,39.55,1.38,4.84,4.02,2.50,6.26,6.71,19.65
1911,53.88,53.42,81.75,46.93,26.25,1.95,5.66,2.91,20.25,4.30,6.54,47.01
1912,44.00,42.98,13.18,55.53,33.74,0.41,2.92,5.65,2.24,25.95,19.32,53.25
1913,37.44,37.90,66.47,42.73,16.64,4.74,3.57,2.79,2.21,35.92,63.58,12.53
1914,5.12,50.20,54.26,81.52,9.53,1.62,7.17,2.60,3.12,3.24,5.64,12.07
1915,27.58,22.31,75.51,52.35,20.85,4.98,2.91,3.95,2.25,3.57,2.73,9.90
1916,18.51,37.29,18.05,4.75,7.14,1.06,3.98,3.32,2.50,1.32,2.72,9.53
1917,29.81,81.50,66.81,50.08,34.60,1.13,6.36,4.75,4.09,10.57,16.23,33.04
1918,39.30,56.72,77.49,58.30,34.54,2.43,5.15,5.61,3.05,7.90,15.33,36.02
1919,40.81,58.74,74.65,52.31,37.38,3.73,5.32,7.01,6.11,12.77,23.28,29.49
1920,35.68,45.78,71.91,63.05,27.14,4.35,6.83,8.23,3.52,11.75,19.08,39.00
1921,39.95,52.04,67.20,56.17,40.31,4.21,6.59,5.92,3.94,10.54,15.93,27.85
1922,37.02,69.03,81.45,68.79,27.16,4.32,5.58,6.35,3.45,17.97,15.26,29.80
1923,35.62,54.05,69.71,62.43,30.60,5.17,5.92,5.53,4.12,10.69,18.41,47.14
1924,38.41,39.38,62.56,56.59,19.82,1.12,4.43,5.68,3.73,19.53,16.88,13.88
1925,29.05,46.63,90.90,58.16,23.53,10.21,10.78,1.73,2.13,1.12,16.39,27.13
1926,30.75,26.73,39.82,40.56,22.67,0.33,1.22,1.40,0.98,0.90,19.19,55.85
1927,36.29,42.53,42.81,34.83,18.72,1.58,5.98,8.59,0.78,1.42,17.54,31.70
1928,52.41,83.73,46.52,30.31,10.24,1.83,1.27,1.93,1.82,2.60,11.96,27.58
1929,25.84,83.83,36.29,50.22,30.92,3.36,0.85,1.10,6.53,9.42,9.04,32.14
1930,57.12,36.10,44.88,59.72,72.31,9.87,11.35,9.54,1.82,2.45,48.30,49.25
1931,74.89,34.36,39.81,47.25,28.66,3.33,3.42,8.69,0.84,12.15,12.31,29.90
1932,35.32,36.81,116.42,52.78,29.77,5.51,1.15,4.40,1.73,2.53,13.06,95.72
1933,33.59,92.99,46.79,90.95,78.18,6.05,0.52,0.58,1.33,3.46,7.27,53.70
1934,46.39,63.34,48.80,34.00,32.16,14.99,6.90,0.93,2.21,8.45,59.16,19.76
1935,8.08,46.04,61.87,66.89,17.29,0.48,0.95,3.89,3.42,3.30,6.77,49.62
1936,42.67,54.99,54.47,76.82,38.62,0.50,0.60,0.21,1.50,18.02,7.66,29.09
1937,73.05,76.85,92.15,39.22,2.00,0.48,4.83,0.89,2.03,0.56,22.26,37.97
1938,62.49,67.99,73.11,50.36,15.91,0.62,4.27,0.62,0.17,14.37,18.40,19.75
1939,40.17,37.95,71.68,35.17,22.22,1.12,0.63,0.30,6.60,27.48,11.66,50.19
1940,62.62,63.51,69.96,93.60,19.32,0.20,0.35,0.66,0.96,1.11,8.61,57.88
1941,73.49,51.90,69.57,64.74,46.41,9.31,0.67,2.75,0.13,18.10,36.64,17.22
1942,27.15,44.60,85.50,46.25,58.08,0.63,0.23,0.38,0.51,32.07,30.63,39.27
1943,39.78,42.14,28.64,44.53,19.59,0.77,0.11,0.21,0.14,15.61,22.38,17.15
1944,46.48,66.07,89.66,48.70,54.08,9.10,0.15,5.65,0.18,1.57,53.02,28.85
1945,41.88,51.23,58.15,15.00,4.45,3.23,5.47,1.48,0.09,0.81,9.81,24.42
1946,52.64,61.52,39.08,43.33,15.57,0.48,4.38,0.09,1.62,1.21,8.98,10.79
1947,19.83,29.44,81.82,67.78,13.32,4.42,0.10,2.91,6.34,13.90,7.49,72.37
1948,49.67,51.96,58.51,45.68,16.92,16.07,0.04,22.70,0.12,2.69,9.58,35.06
1949,39.55,20.48,47.49,48.31,28.25,2.71,0.03,4.02,0.02,5.14,26.43,9.04
1950,46.81,54.40,60.10,35.80,73.82,1.90,3.05,0.03,0.03,28.55,7.62,41.37
1951,32.45,76.51,62.04,69.94,42.50,2.77,1.30,0.07,0.01,0.10,11.65,27.41
1952,29.40,59.71,122.25,52.18,62.57,17.95,0.03,0.02,1.04,47.61,27.01,57.08
1953,58.37,49.45,77.18,41.40,13.80,1.97,2.93,3.49,0.66,0.94,26.84,28.47
1954,2.15,20.06,89.40,32.19,79.03,8.60,0.57,0.03,0.01,0.04,5.31,43.54
1955,15.11,83.86,88.95,79.56,3.37,1.53,0.03,0.24,0.17,7.42,7.25,38.13
1956,53.96,41.67,69.61,53.00,36.50,12.02,1.99,0.03,0.01,28.71,56.14,38.49
1957,42.08,30.69,47.93,73.41,59.84,0.76,0.50,4.08,1.88,1.69,17.27,44.33
1958,19.04,50.87,62.34,36.32,56.92,1.18,0.03,1.73,0.01,1.58,26.78,41.91
1959,44.35,40.17,74.43,82.48,81.22,0.24,0.11,0.01,0.07,2.61,49.58,5.92
1960,39.50,19.95,65.41,72.00,29.31,2.05,0.09,52.46,0.01,3.64,37.80,37.64
1961,26.02,48.89,35.37,68.52,45.17,1.12,0.13,0.01,0.28,15.75,34.98,34.07
1962,6.99,49.91,64.43,90.83,60.42,8.99,5.10,4.24,0.69,1.89,28.06,36.93
1963,39.49,65.45,72.41,80.27,27.94,1.46,48.71,0.01,0.30,1.58,21.89,19.85
1964,50.60,72.26,56.14,43.64,37.42,0.25,23.01,9.32,13.16,5.70,11.59,8.99
1965,6.73,61.21,105.53,42.86,11.19,0.32,5.34,1.36,3.25,35.72,5.57,20.68
1966,17.89,75.21,59.25,51.47,41.85,5.45,0.41,0.02,10.81,44.51,28.94,29.78
1967,32.76,21.79,66.26,84.78,51.96,2.76,0.03,0.89,0.01,16.08,16.01,87.84
1968,64.85,45.56,122.15,96.38,91.07,12.89,25.15,6.51,10.11,19.64,49.92,16.02
1969,38.94,22.96,71.49,39.35,8.71,0.05,24.26,0.05,0.12,3.25,4.21,20.82
1970,14.07,44.86,37.89,56.67,0.70,0.17,0.03,0.01,0.76,2.91,6.48,24.07
1971,59.17,58.07,78.17,60.69,55.84,5.73,2.83,0.41,0.45,8.84,9.08,43.80
1972,30.87,53.80,142.57,71.64,18.84,0.03,0.16,0.03,19.13,0.34,6.41,15.50
1973,33.67,40.53,58.15,31.26,21.04,2.82,2.49,6.93,17.47,1.30,9.12,37.14
1974,27.71,53.91,69.33,85.73,26.87,2.76,0.93,0.13,2.80,12.14,18.49,50.01
1975,45.65,85.91,81.02,85.52,20.23,0.29,0.17,0.01,0.01,34.12,4.16,14.63
1976,92.92,15.11,24.57,57.04,25.14,2.84,0.24,7.04,0.01,24.62,31.40,44.06
1977,46.91,37.86,73.40,25.82,75.58,0.68,0.13,0.04,0.01,0.04,41.73,22.60
1978,30.57,58.44,63.31,60.21,58.28,2.78,0.03,9.70,0.51,1.52,11.20,29.31
1979,60.84,63.76,69.62,40.25,7.05,1.03,0.20,0.89,0.14,2.38,13.99,16.97
1980,52.84,81.81,63.94,56.17,28.44,3.84,47.27,16.33,5.08,18.78,6.03,32.43
1981,38.60,36.87,101.44,18.04,20.42,3.74,5.28,0.01,5.73,20.12,59.42,38.45
1982,37.72,21.70,116.96,58.72,30.89,8.25,3.48,0.04,5.14,0.04,4.00,22.74
1983,11.89,68.42,86.96,44.45,13.52,0.01,0.16,0.01,0.53,19.96,23.58,44.13
1984,60.48,27.13,43.96,46.72,28.77,0.27,0.10,12.15,0.83,5.53,4.88,43.31
1985,24.05,21.07,71.81,26.39,29.00,2.67,3.14,3.44,10.47,7.55,20.87,82.66
1986,8.57,46.84,112.53,96.72,10.60,10.47,19.39,4.49,3.91,62.83,18.73,8.05
1987,67.27,64.55,89.44,41.87,11.91,0.19,0.03,4.01,3.86,1.42,0.25,52.12
1988,35.17,60.04,82.59,24.34,60.82,0.52,19.20,25.53,6.52,4.88,32.44,24.09
1989,86.02,58.03,45.91,63.18,3.05,4.42,0.94,1.24,0.01,7.35,3.33,47.09
1990,41.99,43.26,112.37,64.28,75.48,3.67,8.89,2.27,21.25,6.65,19.01,70.89
1991,64.51,49.88,52.05,68.47,38.53,11.51,15.26,13.85,3.00,2.20,13.94,36.42
1992,17.15,54.43,72.10,52.52,72.51,8.78,5.54,9.61,0.28,19.25,45.51,48.72
1993,48.60,52.43,57.19,29.29,30.32,3.16,0.59,0.59,6.74,37.56,22.47,46.38
1994,22.55,77.41,47.82,62.35,7.70,5.72,1.85,0.41,1.56,7.76,5.24,14.85
1995,17.35,62.08,96.89,76.04,12.65,5.59,2.43,0.59,3.00,13.89,13.10,1.34
1996,20.19,24.68,91.89,83.68,60.66,5.97,1.33,0.32,2.16,12.64,23.72,34.85
1997,65.40,99.49,73.08,85.08,82.75,10.37,2.58,13.09,4.64,8.70,8.32,16.63
