Variable:,pr
Country:,Afghanistan
Subnational-unit:,Laghman
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.55,18.02,46.13,38.88,12.66,24.73,20.53,4.56,16.43,31.55,32.30,14.75
1902,62.27,36.11,117.80,58.62,109.70,25.59,18.79,33.06,55.08,2.09,8.62,32.63
1903,115.10,9.70,187.48,49.30,32.49,1.76,25.76,20.01,76.37,33.20,14.92,22.79
1904,75.17,59.74,143.68,43.69,74.39,15.47,11.46,6.28,53.11,2.36,2.11,93.76
1905,7.58,169.42,50.46,54.17,35.75,7.87,18.75,31.02,23.19,16.28,4.11,57.36
1906,68.34,91.41,61.76,130.20,37.05,36.98,35.73,19.26,26.94,17.64,4.78,5.56
1907,127.71,77.70,47.58,186.80,27.83,14.21,12.20,45.43,29.31,6.71,2.56,35.85
1908,24.16,81.93,38.39,80.55,31.32,23.83,73.96,10.82,22.85,10.92,7.54,49.49
1909,169.08,38.11,44.60,90.28,54.28,20.10,106.78,123.04,6.93,3.02,3.09,15.23
1910,115.70,35.04,196.07,57.54,43.28,6.83,4.78,4.16,8.47,21.21,19.02,28.86
1911,80.71,79.00,44.44,102.48,36.37,36.80,22.98,32.27,79.51,10.69,3.02,22.33
1912,23.19,56.71,34.01,74.42,26.91,15.98,17.29,29.29,29.55,16.60,18.87,39.77
1913,38.67,109.82,75.16,123.89,39.69,55.30,80.95,23.03,53.85,82.53,35.13,39.14
1914,5.22,142.77,81.17,179.76,17.16,25.16,26.05,4.31,27.54,11.74,3.84,7.44
1915,34.63,57.81,60.39,89.52,45.97,22.88,16.24,139.77,25.34,2.38,1.99,6.65
1916,30.21,25.75,66.48,11.84,17.57,12.16,11.08,78.30,85.39,6.15,2.31,37.27
1917,13.97,35.44,143.99,120.54,6.27,42.99,6.91,15.07,30.33,6.70,9.64,32.44
1918,99.44,43.07,72.19,44.59,25.29,6.93,19.83,102.25,17.54,2.42,1.99,167.71
1919,132.81,44.08,123.91,63.58,19.05,18.08,11.34,6.19,12.30,2.98,6.73,5.79
1920,34.99,23.39,40.62,37.95,8.10,5.86,26.82,37.22,3.16,16.92,12.69,157.63
1921,34.97,134.92,52.10,17.50,43.38,28.29,35.21,52.19,55.39,22.12,1.99,24.25
1922,61.63,112.34,74.58,34.95,77.37,3.67,8.77,98.61,27.51,34.63,2.07,9.31
1923,20.05,127.87,62.41,83.89,174.64,1.64,47.15,7.84,90.88,1.90,22.50,28.92
1924,38.44,78.23,23.55,36.87,96.30,2.01,66.70,29.32,58.07,82.83,30.47,3.49
1925,14.04,59.76,154.09,145.41,34.39,12.00,5.55,49.70,66.71,1.91,3.35,11.97
1926,11.76,38.96,55.16,69.35,12.86,4.02,12.82,15.82,33.97,1.99,6.05,67.21
1927,25.86,147.14,120.17,39.02,15.85,3.17,4.97,9.78,15.45,1.90,21.59,97.33
1928,41.13,62.89,71.99,52.49,8.30,12.13,156.40,68.62,2.05,11.15,8.89,49.55
1929,55.75,81.15,62.21,151.55,35.57,14.77,66.71,10.19,53.77,19.61,4.02,24.56
1930,85.37,53.95,45.45,77.35,105.25,29.49,73.79,22.84,16.88,53.71,26.85,33.45
1931,103.32,58.20,126.03,32.38,46.63,20.51,51.95,53.57,11.00,14.95,6.77,23.33
1932,36.65,57.47,132.34,76.35,24.37,28.24,19.87,84.26,40.84,7.58,7.39,56.57
1933,42.64,99.78,103.56,105.80,82.16,12.05,4.13,16.79,32.46,11.14,7.57,34.94
1934,85.75,92.56,80.69,113.34,37.50,38.99,26.70,41.05,23.75,25.49,33.85,11.65
1935,30.65,130.39,104.02,94.16,26.67,14.58,4.93,18.00,29.57,8.41,43.62,47.26
1936,35.93,75.79,67.33,146.38,27.65,3.47,28.06,3.63,18.66,26.27,10.68,40.64
1937,73.18,58.59,120.85,54.34,14.10,25.77,38.58,30.60,9.64,2.08,12.66,41.75
1938,49.92,126.24,184.00,43.73,21.19,5.32,31.29,14.08,2.33,27.49,8.99,12.27
1939,78.35,46.08,109.51,69.44,40.82,37.75,10.91,21.52,27.58,19.30,7.35,28.06
1940,43.28,51.95,69.43,84.61,29.99,6.00,16.25,22.14,20.92,8.64,12.72,57.22
1941,54.20,142.55,58.00,58.40,42.50,30.39,63.92,10.17,19.33,22.15,25.10,19.20
1942,71.33,33.13,105.20,124.92,52.40,8.29,23.15,42.71,17.16,34.81,23.84,25.21
1943,51.35,116.10,66.74,103.47,30.59,6.09,33.45,60.93,24.16,21.68,26.27,18.37
1944,67.94,49.56,104.59,76.76,42.88,32.35,17.19,34.68,18.88,6.67,31.27,16.78
1945,55.91,109.18,65.43,22.97,18.50,10.82,35.19,11.73,8.08,19.01,22.58,37.66
1946,42.85,92.46,64.18,28.59,24.04,12.60,44.53,26.20,17.57,11.30,9.46,33.29
1947,34.55,62.18,99.63,90.95,28.20,29.46,32.25,34.10,6.16,13.55,8.56,90.58
1948,50.93,59.70,124.96,50.31,40.77,51.45,15.54,30.79,20.02,10.98,8.01,16.34
1949,110.09,56.59,79.13,105.37,54.49,17.22,28.46,34.42,7.41,16.69,18.81,3.86
1950,51.00,83.64,141.49,55.62,88.63,7.68,32.71,22.68,5.83,28.58,23.65,26.51
1951,53.14,103.61,119.22,69.91,35.04,18.47,34.33,18.71,12.48,5.97,13.21,29.47
1952,81.94,79.04,128.04,75.80,72.03,38.74,35.37,26.17,30.41,25.40,24.43,52.97
1953,114.06,155.19,103.27,68.83,26.24,19.32,66.75,26.41,10.86,26.19,13.76,25.89
1954,11.94,18.32,117.44,40.23,94.55,22.28,72.90,52.22,19.59,12.16,5.39,44.47
1955,43.09,52.21,163.73,163.98,9.90,44.90,98.93,45.74,33.58,42.81,12.06,32.08
1956,97.87,69.78,153.72,151.53,58.54,30.93,28.82,25.75,16.17,33.84,70.19,66.03
1957,48.81,29.59,101.71,84.09,56.30,16.15,25.04,26.53,45.67,13.39,17.64,100.52
1958,89.79,96.08,72.76,96.61,100.10,10.42,29.86,29.86,37.96,23.34,42.88,65.61
1959,64.41,77.85,116.87,151.22,73.87,15.34,50.11,32.81,41.81,8.25,28.25,51.15
1960,81.79,70.36,96.69,150.93,29.91,26.04,54.72,29.60,20.94,30.52,36.25,10.89
1961,13.29,65.74,93.17,78.52,52.51,24.74,34.57,28.26,28.08,22.08,18.75,50.09
1962,10.34,59.73,144.50,119.34,157.24,18.54,39.66,25.16,16.07,19.80,48.05,31.13
1963,81.22,87.09,83.11,110.04,36.05,10.08,114.02,35.63,24.79,14.45,17.88,38.53
1964,91.09,112.49,87.49,208.42,141.08,13.76,112.17,51.84,10.24,17.07,45.08,36.62
1965,7.98,112.31,171.67,121.49,31.72,6.78,24.27,39.37,26.99,29.80,1.83,12.27
1966,30.37,101.44,145.72,133.37,54.02,28.07,54.27,19.99,23.95,61.59,19.62,99.96
1967,50.81,52.78,117.30,107.47,66.31,7.37,41.84,41.69,4.77,27.95,20.72,71.46
1968,51.47,63.11,83.20,106.81,74.36,19.45,84.00,12.08,12.18,50.90,31.35,6.02
1969,41.44,45.17,77.15,50.36,27.62,15.41,54.90,25.28,58.05,11.54,4.41,24.24
1970,8.69,77.58,81.91,81.60,21.77,14.76,35.05,19.35,67.50,7.40,2.97,12.13
1971,89.09,89.62,110.44,94.43,90.04,38.69,48.40,17.22,43.09,19.73,23.26,85.46
1972,51.25,99.61,112.56,95.60,54.27,5.62,56.98,20.57,50.06,9.95,4.66,16.92
1973,49.02,104.06,44.10,76.68,44.14,11.43,27.20,38.04,35.29,1.30,2.54,56.77
1974,25.93,74.99,104.30,113.84,64.81,11.72,36.04,53.59,16.51,15.61,13.47,42.57
1975,45.93,122.69,97.17,94.16,34.05,13.31,41.98,58.12,20.47,16.84,3.76,24.02
1976,118.49,20.08,30.37,137.26,44.37,15.88,67.41,27.41,21.43,21.58,41.98,29.69
1977,54.80,48.31,169.91,65.30,31.61,14.93,76.19,34.22,12.74,9.48,35.42,9.40
1978,57.62,89.02,104.36,95.98,99.13,15.49,23.23,103.11,17.16,6.51,23.64,28.42
1979,62.41,117.35,154.44,42.58,40.15,32.82,54.98,95.89,12.21,47.33,25.70,24.71
1980,60.35,122.60,118.43,87.97,59.45,11.27,76.15,24.14,9.89,38.44,10.40,25.59
1981,28.76,75.22,100.30,23.90,45.80,8.38,21.61,35.10,12.82,33.47,79.30,54.45
1982,49.73,53.10,133.78,110.10,46.66,27.03,50.39,58.86,14.34,6.16,3.88,17.53
1983,16.78,65.67,113.18,82.96,30.89,17.31,56.86,47.61,23.25,7.47,33.45,36.31
