Variable:,pr
Country:,Afghanistan
Subnational-unit:,Logar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.65,23.73,49.88,41.54,15.18,23.93,21.78,9.25,14.52,23.89,12.57,10.28
1902,60.94,27.92,109.52,54.25,84.04,10.41,16.63,19.67,26.36,4.45,10.46,38.91
1903,121.85,19.74,184.29,50.91,31.80,4.26,22.93,19.97,26.62,25.02,9.87,19.02
1904,67.04,71.11,131.29,43.51,67.04,5.13,11.31,10.24,32.61,4.45,5.32,83.02
1905,14.42,148.02,55.39,52.55,29.76,8.08,18.67,23.55,15.93,15.97,5.76,54.40
1906,67.83,98.84,67.07,124.26,33.25,28.04,31.06,19.84,5.83,11.34,6.68,9.85
1907,132.48,71.01,46.89,172.33,27.61,12.79,13.84,39.69,17.30,7.94,5.50,33.27
1908,21.33,82.90,46.07,81.96,29.01,20.48,50.54,11.50,17.40,6.50,5.67,56.50
1909,162.53,40.20,53.07,78.93,48.16,16.30,65.56,81.52,7.95,4.47,5.38,15.67
1910,127.49,39.58,194.32,57.21,37.41,7.79,9.73,8.74,8.90,19.24,20.64,28.17
1911,75.02,70.75,41.98,107.28,31.56,34.31,14.59,30.26,11.98,12.05,5.85,16.99
1912,20.07,61.18,45.46,51.27,19.04,17.04,19.02,21.52,23.98,13.46,14.39,38.57
1913,34.62,114.84,77.20,119.06,39.11,53.79,70.65,21.27,42.15,58.64,23.64,44.38
1914,12.82,142.04,82.06,166.14,22.15,24.64,15.24,8.74,19.00,11.84,5.41,12.53
1915,41.73,61.30,63.40,85.58,41.54,24.28,18.82,115.74,21.01,4.46,5.29,10.26
1916,38.04,24.86,78.76,23.11,19.99,9.37,10.85,63.68,65.62,6.17,5.61,42.38
1917,18.95,34.92,129.65,102.24,12.97,36.38,9.61,15.32,19.70,7.45,6.90,31.53
1918,91.51,44.03,60.68,48.22,26.66,8.08,19.12,70.24,11.33,4.45,5.29,144.37
1919,121.80,46.44,108.97,59.26,20.73,15.79,13.45,9.25,6.40,5.11,5.29,11.36
1920,39.56,31.49,37.59,35.18,11.66,4.26,22.16,25.15,4.16,13.07,14.04,133.15
1921,38.44,108.35,56.22,26.55,34.70,23.32,27.84,38.58,33.35,18.42,5.29,25.44
1922,55.15,94.32,70.60,37.97,63.12,4.26,11.07,65.91,18.75,25.31,5.29,14.21
1923,19.12,124.65,61.41,86.53,136.31,4.26,36.98,10.42,55.23,4.45,20.37,27.85
1924,38.44,75.49,35.94,40.17,93.27,4.26,56.48,22.09,36.98,60.80,28.48,9.55
1925,19.20,64.02,117.50,123.54,30.86,5.74,9.42,44.75,41.03,4.45,5.84,14.26
1926,15.44,41.48,55.13,65.69,15.52,4.26,14.58,15.44,22.75,4.45,7.23,58.94
1927,30.12,130.76,111.40,42.16,19.76,5.03,9.08,11.36,8.23,4.45,20.00,89.05
1928,40.34,49.23,74.32,54.23,13.65,11.97,119.00,48.69,4.16,8.10,6.61,47.00
1929,61.89,57.73,61.29,133.85,23.84,9.97,61.30,10.26,34.67,16.28,5.93,25.59
1930,86.79,55.37,50.42,62.36,81.48,15.41,38.52,12.69,11.88,48.64,16.55,30.52
1931,97.32,55.37,125.87,33.75,40.69,16.59,48.87,29.94,9.40,11.43,6.27,22.75
1932,37.35,63.26,109.61,65.60,24.12,24.85,17.86,57.62,26.22,6.75,7.14,23.98
1933,39.27,61.91,112.93,80.66,58.25,11.16,9.34,16.67,22.19,10.07,9.54,31.10
1934,98.19,86.14,72.87,114.30,31.77,24.67,21.03,40.55,15.15,17.72,17.87,12.69
1935,35.71,147.78,96.62,89.38,22.25,15.94,9.60,20.61,11.87,9.10,53.68,44.91
1936,35.46,85.70,75.80,122.60,19.91,4.94,31.33,8.74,11.47,17.95,6.44,44.94
1937,59.36,45.85,102.03,51.57,18.32,24.72,18.08,29.13,6.05,4.45,10.44,39.36
1938,36.62,120.66,191.19,45.10,20.65,4.50,19.71,13.56,4.49,23.49,6.85,14.82
1939,97.42,50.06,107.01,63.35,27.21,34.99,15.25,19.84,10.33,13.89,8.78,17.45
1940,39.26,44.75,67.90,68.42,29.16,7.32,18.48,25.76,15.31,10.02,12.13,51.70
1941,51.98,135.81,49.29,55.24,37.29,18.29,61.89,13.49,18.78,16.23,21.94,20.05
1942,80.09,29.60,84.21,113.80,43.56,10.04,26.55,38.66,12.36,20.82,18.20,20.13
1943,51.70,115.25,81.19,81.37,27.88,5.09,36.39,66.95,13.70,15.07,16.35,16.33
1944,74.26,42.83,88.36,72.33,34.10,24.45,18.38,34.71,14.26,7.13,27.63,17.52
1945,51.68,106.82,61.34,29.13,17.45,7.37,20.93,15.68,7.69,19.38,20.59,31.97
1946,42.95,96.25,71.25,30.16,22.86,11.56,28.91,24.59,12.11,8.16,26.39,29.41
1947,37.48,74.12,81.13,76.12,15.08,17.23,34.11,23.67,3.30,7.98,3.45,79.84
1948,45.41,61.92,104.14,37.77,24.71,32.53,17.89,16.01,10.64,5.68,3.84,12.00
1949,124.02,42.11,69.62,109.88,39.96,11.70,24.86,28.54,5.15,5.12,8.59,1.79
1950,39.30,48.60,132.74,61.25,78.91,5.53,16.25,25.90,3.47,17.01,24.76,19.42
1951,43.89,93.27,83.23,53.43,29.93,10.68,33.17,20.94,7.57,6.57,8.91,18.80
1952,68.33,73.38,69.58,69.51,56.76,30.60,30.88,26.03,19.81,16.22,10.87,33.34
1953,121.33,153.29,90.39,64.92,23.66,12.09,42.57,17.71,10.66,18.27,12.23,12.39
1954,21.00,13.03,110.88,23.97,96.50,10.39,37.44,50.25,17.83,7.05,2.97,52.21
1955,45.14,46.11,174.03,141.58,3.70,34.84,88.35,42.06,17.81,52.83,8.10,13.65
1956,108.62,56.91,130.91,155.39,47.99,29.24,28.46,21.76,11.30,22.25,60.68,76.87
1957,45.20,31.04,87.60,54.85,39.08,14.06,33.04,22.66,17.14,8.67,18.88,122.89
1958,100.50,104.72,66.94,112.49,82.41,9.27,33.21,26.44,28.13,25.78,36.58,57.21
1959,69.72,58.89,116.38,146.12,53.40,10.78,42.03,29.30,20.57,4.25,21.38,60.77
1960,78.36,70.53,97.96,150.89,26.73,21.66,48.10,18.50,13.99,26.18,33.25,10.50
1961,15.18,57.13,80.94,65.47,43.11,26.28,22.61,24.36,20.19,24.67,12.35,53.61
1962,2.06,42.06,121.14,130.70,162.07,12.82,19.20,15.44,8.19,13.61,49.37,29.59
1963,98.17,71.29,69.43,80.95,28.07,8.03,83.19,26.83,13.59,8.64,15.08,28.36
1964,90.72,101.79,66.96,226.86,106.81,11.43,84.28,30.46,8.52,5.93,41.20,32.26
1965,5.36,116.27,122.52,120.93,22.29,5.73,22.35,41.83,21.26,22.03,1.39,5.29
1966,6.05,90.76,148.86,130.54,33.87,20.90,45.10,19.12,18.68,43.68,24.43,124.35
1967,64.96,72.06,87.95,81.03,58.53,9.86,13.16,26.15,1.99,21.16,18.23,60.84
1968,45.46,64.10,54.31,85.64,69.40,22.78,42.05,12.22,10.42,37.31,28.54,3.64
1969,49.02,61.31,70.08,38.06,17.25,12.11,41.72,27.47,31.15,6.48,1.79,20.57
1970,11.45,61.35,56.00,59.21,33.99,17.03,31.24,21.36,62.41,4.19,4.01,9.63
1971,104.58,73.13,93.76,94.17,80.88,37.83,33.76,14.59,21.36,12.72,31.65,90.54
1972,38.80,95.94,98.08,65.43,53.99,4.08,60.76,15.53,31.16,5.52,2.60,19.33
1973,33.18,103.37,32.19,77.76,44.36,12.96,22.37,22.98,12.29,0.32,1.50,50.96
1974,22.62,70.97,102.93,89.05,43.19,21.07,40.39,38.14,14.14,6.51,4.76,32.48
1975,41.99,113.16,97.69,79.09,29.07,16.76,30.91,46.65,16.91,19.78,1.39,11.92
1976,120.05,10.74,19.60,97.26,24.56,15.81,51.67,19.70,20.48,11.38,41.53,22.64
1977,67.01,33.92,154.22,59.62,17.72,12.49,50.20,23.42,11.26,5.94,30.61,9.00
1978,94.43,88.25,110.63,59.09,70.57,11.22,15.29,48.02,13.67,16.85,35.85,29.81
1979,69.62,110.21,155.72,32.14,24.09,32.67,33.93,36.51,12.52,50.67,24.26,19.12
1980,71.25,97.57,119.61,51.73,52.16,5.05,53.84,24.00,4.93,29.98,4.90,23.18
1981,42.15,83.23,122.39,26.86,52.29,3.83,10.00,32.06,8.35,54.78,92.32,58.04
1982,35.71,73.40,112.61,146.12,43.12,12.59,20.68,50.95,12.17,4.08,3.51,18.59
1983,15.40,45.73,71.74,70.65,12.09,20.57,49.00,40.51,13.10,2.57,25.36,38.61
1984,45.58,20.59,25.51,68.24,34.64,2.15,18.72,23.79,2.08,12.01,5.87,69.41
1985,15.59,64.01,146.70,65.16,67.92,13.93,34.82,51.13,10.03,7.76,68.69,50.40
1986,4.62,65.85,158.95,41.45,61.52,41.59,11.30,11.27,4.15,49.93,1.74,10.40
1987,61.43,37.08,176.51,23.89,13.03,20.95,18.06,63.98,12.19,5.72,1.69,63.89
1988,43.95,39.90,123.74,34.31,39.37,31.73,104.91,97.06,44.26,6.25,12.79,52.84
1989,77.83,81.19,62.81,56.45,31.62,15.84,13.19,104.62,23.81,18.46,17.20,72.08
1990,68.85,101.39,113.67,114.25,128.58,18.38,13.91,11.15,54.28,13.19,11.22,16.18
1991,114.74,92.39,83.01,151.48,65.00,9.43,30.84,42.68,23.86,31.91,22.84,28.38
1992,40.50,20.00,106.40,50.68,32.58,18.97,36.31,13.19,20.57,9.94,15.18,7.38
1993,49.93,72.04,71.21,82.45,38.95,36.55,63.21,27.25,37.97,46.56,8.83,50.15
1994,3.70,72.20,93.19,160.77,49.38,22.52,46.11,37.77,19.49,34.06,8.39,17.57
1995,39.97,75.87,113.14,54.69,73.51,34.51,19.04,40.99,14.79,33.96,23.26,6.13
1996,20.77,21.46,100.25,167.25,58.92,49.80,25.77,19.81,8.65,51.36,10.22,35.31
1997,60.57,117.76,64.72,95.72,53.26,33.72,44.98,23.76,20.39,11.42,1.78,1.65
1998,74.86,75.88,68.99,26.61,29.83,7.62,37.34,15.53,20.41,6.76,36.96,0.82
1999,52.22,44.33,50.33,6.86,13.26,18.08,48.79,17.75,24.87,22.26,20.82,21.60
2000,28.87,30.28,53.50,59.66,25.60,47.22,47.83,20.80,14.30,6.12,14.99,14.75
2001,20.02,96.89,74.59,72.29,12.88,37.19,12.91,26.04,18.51,17.04,44.65,35.80
2002,23.88,120.95,77.02,88.83,24.25,11.57,45.57,48.16,28.58,8.00,30.12,18.04
2003,104.49,61.05,11.99,65.96,21.34,22.78,22.44,36.86,25.01,31.41,19.39,67.73
2004,91.23,160.58,97.70,56.01,88.80,10.00,42.71,25.17,25.92,14.38,19.85,1.94
2005,75.70,42.57,85.43,85.91,35.45,24.65,42.84,39.49,16.91,26.16,65.12,113.10
2006,8.06,130.91,161.03,30.54,43.02,33.99,50.75,23.44,23.76,2.78,12.02,28.53
2007,95.14,38.02,12.14,103.79,28.27,25.25,81.11,98.91,21.81,7.83,10.33,45.42
2008,74.70,120.13,87.14,131.64,42.34,48.99,25.78,24.73,11.62,21.30,17.59,22.17
2009,45.00,105.16,56.39,44.97,46.04,28.42,111.12,62.49,24.12,7.84,5.40,6.65
2010,19.07,152.38,74.95,69.83,44.82,16.03,31.21,42.04,32.72,37.03,24.63,0.82
2011,59.89,85.08,80.63,107.56,54.19,14.32,32.19,45.45,37.93,22.23,17.66,75.90
2012,43.23,202.70,106.30,67.55,46.62,54.97,37.50,55.71,15.42,30.28,64.09,6.88
2013,11.92,78.31,85.77,108.52,64.57,18.20,31.48,31.22,27.87,20.84,48.37,1.19
2014,67.37,182.12,100.44,98.75,82.51,28.15,49.43,80.24,24.67,42.62,30.85,22.92
2015,73.02,13.67,174.81,140.39,78.97,17.60,50.68,36.88,17.87,4.92,16.83,37.25
2016,93.53,81.13,63.58,50.67,37.26,14.44,29.56,24.02,10.94,1.96,42.99,14.63
2017,4.84,86.59,105.68,57.93,54.31,29.77,21.31,26.49,13.44,7.97,11.55,18.01
2018,73.78,77.59,102.22,131.42,62.28,23.95,38.97,37.48,3.22,28.87,71.60,7.87
2019,103.83,63.00,193.92,141.05,80.39,15.40,14.93,16.34,13.28,2.08,59.47,27.24
2020,,,,,,,,,,,,
