Variable:,pr
Country:,Afghanistan
Subnational-unit:,Nangarhar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.65,11.18,34.80,34.65,10.85,34.73,30.81,5.33,24.13,28.27,19.17,8.44
1902,61.54,17.05,123.16,52.26,103.97,23.71,33.92,41.71,67.17,1.66,4.09,34.20
1903,124.06,4.97,210.75,43.51,21.47,1.70,36.17,34.17,79.66,26.52,10.59,15.94
1904,73.55,68.00,150.86,35.04,80.97,13.26,12.16,6.92,75.66,1.78,0.81,94.21
1905,4.50,175.36,46.54,42.53,33.11,9.28,23.15,46.38,33.39,17.04,1.65,52.53
1906,63.78,103.35,60.51,140.49,16.88,33.05,50.43,30.82,20.84,6.39,1.45,2.32
1907,132.38,77.05,31.12,207.97,28.20,17.36,18.27,77.15,39.47,7.06,0.82,33.54
1908,18.54,86.42,29.84,81.79,16.57,29.96,105.71,14.23,36.50,8.99,4.06,54.07
1909,175.80,32.31,33.22,91.44,53.07,25.40,138.41,171.84,8.81,1.60,1.28,10.07
1910,133.02,31.01,210.75,54.63,36.85,8.07,4.32,4.74,13.04,22.44,21.17,26.65
1911,78.69,79.39,21.94,107.84,34.29,49.24,23.92,50.73,65.53,11.12,1.30,11.86
1912,15.80,59.91,34.92,67.45,15.41,22.09,24.21,42.22,44.40,8.91,15.33,27.53
1913,33.33,125.52,66.12,132.37,41.61,76.30,123.10,37.18,81.87,83.02,24.64,41.93
1914,2.74,154.59,81.47,187.95,15.35,34.17,29.41,4.52,37.02,13.39,1.75,3.73
1915,34.89,67.29,48.92,84.26,46.02,31.28,24.50,223.98,37.93,1.02,0.60,2.78
1916,28.50,13.59,71.38,9.62,15.30,16.56,11.77,129.71,131.61,8.37,0.97,39.54
1917,6.60,15.08,141.11,118.03,3.27,54.96,9.34,20.61,40.02,5.94,9.86,30.81
1918,97.38,42.49,71.61,41.00,23.02,7.12,24.92,142.69,23.65,1.35,0.66,154.91
1919,125.30,42.35,124.70,61.36,18.30,20.60,12.86,7.46,19.07,2.05,6.18,3.75
1920,34.20,21.52,39.41,35.72,6.10,8.17,35.67,57.65,4.56,18.70,10.61,147.17
1921,32.75,134.03,48.62,16.09,41.73,32.48,45.35,70.95,77.52,20.67,0.60,21.57
1922,60.79,112.63,73.00,31.68,77.99,3.69,14.41,142.65,35.50,33.84,0.79,7.62
1923,16.91,138.12,60.03,87.49,169.93,0.72,62.88,10.87,123.00,0.63,20.33,26.68
1924,37.54,76.22,19.09,34.57,104.83,2.04,97.65,44.31,77.28,78.63,27.37,1.10
1925,12.95,59.98,139.28,140.11,34.05,10.51,5.54,78.85,92.73,0.67,0.82,6.20
1926,10.29,36.96,46.13,58.90,9.82,6.14,17.57,22.98,46.24,0.84,1.31,60.32
1927,19.77,156.48,125.82,35.94,12.75,2.97,4.09,16.02,29.41,0.63,21.09,99.75
1928,33.19,43.66,68.24,47.73,7.04,15.40,242.97,123.38,2.64,12.95,4.26,46.31
1929,59.64,59.30,58.06,160.98,23.61,13.57,111.19,11.72,74.12,18.40,1.28,17.28
1930,87.00,53.07,32.44,72.53,97.22,24.35,102.14,17.19,20.71,63.84,14.00,25.37
1931,98.27,55.61,140.00,22.15,42.30,25.98,85.45,50.46,13.86,11.55,2.42,15.40
1932,30.33,56.76,120.90,69.15,15.27,36.81,30.11,123.68,55.29,6.82,2.96,28.24
