Variable:,pr
Country:,Afghanistan
Subnational-unit:,Nimroz
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.60,25.26,22.91,12.28,0.67,0.00,3.98,1.87,1.61,0.70,2.42,12.14
1902,25.89,25.54,23.12,12.27,0.68,0.00,4.03,1.86,1.61,0.70,2.29,12.14
1903,25.89,25.54,23.12,12.15,0.66,0.00,3.98,1.86,1.58,0.67,2.31,11.70
1904,26.23,25.32,23.15,12.03,0.62,0.00,3.98,1.86,1.58,0.67,2.23,12.10
1905,25.51,26.60,23.35,12.23,0.63,0.00,3.99,1.88,1.58,0.67,2.27,11.99
1906,25.78,25.57,22.68,12.09,0.65,0.00,4.03,1.88,1.59,0.67,2.20,11.74
1907,26.10,25.26,23.16,12.70,0.64,0.00,4.23,1.86,1.58,0.67,2.17,12.52
1908,25.81,26.05,23.16,12.77,0.66,0.00,4.09,1.86,1.61,0.70,2.27,12.74
1909,26.21,25.31,22.93,12.17,0.66,0.00,4.00,1.88,1.61,0.70,2.27,12.14
1910,26.79,25.43,23.29,12.07,0.72,0.00,3.98,1.86,1.58,0.67,2.33,11.98
1911,26.19,24.71,22.83,12.32,0.67,0.00,4.04,1.88,1.58,0.70,2.28,12.23
1912,25.64,25.64,23.23,12.14,0.66,0.00,4.00,1.88,1.58,0.78,2.43,12.69
1913,25.61,26.15,23.14,12.84,0.63,0.00,4.25,1.86,1.59,0.70,2.66,11.83
1914,24.87,24.81,22.88,13.99,0.62,0.00,4.09,1.86,1.58,0.67,2.17,11.94
1915,27.31,25.15,23.55,13.28,0.66,0.00,4.00,1.98,1.58,0.67,2.17,11.63
1916,25.53,24.84,23.34,11.81,0.63,0.00,3.98,1.89,1.59,0.71,2.17,11.87
1917,25.34,24.84,23.81,11.99,0.63,0.00,3.98,1.86,1.58,0.70,2.27,12.56
1918,25.76,25.47,23.04,12.37,0.66,0.00,4.06,1.91,1.61,0.70,2.27,12.55
1919,25.85,25.56,23.22,12.14,0.67,0.00,3.99,1.86,1.61,0.70,2.27,12.10
1920,25.61,25.26,22.91,12.24,0.66,0.00,4.03,1.94,1.58,0.70,2.35,12.22
1921,25.72,25.65,23.35,11.91,0.71,0.00,4.00,1.86,1.59,0.70,2.27,12.17
1922,26.20,25.18,23.29,12.72,0.66,0.00,3.98,1.88,1.58,0.83,2.21,11.68
1923,26.29,26.46,22.64,13.32,0.66,0.00,3.99,1.88,1.59,0.70,2.20,13.32
1924,25.40,24.94,22.59,11.75,0.64,0.00,4.03,1.87,1.58,0.70,2.34,11.63
1925,26.19,25.53,23.34,12.51,0.66,0.00,3.98,1.88,1.59,0.70,2.27,12.45
1926,25.85,25.26,22.52,11.95,0.62,0.00,4.12,1.86,1.58,0.67,2.18,12.82
1927,26.12,25.21,22.75,12.03,0.65,0.00,4.00,1.88,1.58,0.67,2.21,12.47
1928,25.61,26.73,22.37,11.86,0.63,0.00,4.20,1.86,1.58,0.67,2.21,12.25
1929,26.22,24.69,22.81,12.77,0.63,0.00,4.16,1.86,1.58,0.67,2.22,11.89
1930,27.23,26.74,22.48,12.51,0.66,0.00,3.99,1.86,1.58,0.67,2.46,12.31
1931,26.40,24.75,23.73,12.09,0.65,0.00,4.18,1.92,1.58,0.68,2.18,11.98
1932,26.10,25.37,23.52,12.44,0.67,0.00,4.15,1.91,1.58,0.67,2.32,12.11
1933,25.82,24.63,22.74,13.14,0.75,0.00,4.00,1.95,1.58,0.67,2.21,12.38
1934,25.92,26.54,22.49,12.58,0.63,0.00,4.00,1.86,1.58,0.74,2.27,11.78
1935,25.31,25.85,22.98,12.31,0.68,0.00,4.00,1.86,1.59,0.86,2.20,12.13
1936,25.71,26.11,23.15,12.37,0.74,0.00,4.12,1.86,1.58,0.71,2.19,11.90
1937,27.48,25.51,22.92,12.07,0.62,0.00,4.09,1.88,1.58,0.68,2.39,11.98
1938,26.10,27.55,23.70,12.96,0.70,0.00,3.98,1.86,1.58,0.70,2.20,12.16
1939,26.50,25.67,22.80,11.88,0.66,0.00,3.99,1.87,1.58,0.80,2.30,11.78
1940,25.52,25.16,22.90,19.95,0.29,0.00,0.81,0.37,0.35,0.27,0.86,19.22
1941,20.33,79.83,23.20,12.16,0.65,0.00,4.12,1.87,1.58,0.70,2.41,12.43
1942,27.39,25.08,23.41,12.17,0.66,0.00,3.99,1.88,1.59,0.69,2.27,12.08
1943,26.50,29.90,33.70,4.87,0.62,0.00,1.00,0.48,0.35,0.27,0.93,4.92
1944,17.27,25.10,23.03,12.17,0.69,0.00,4.27,1.86,1.58,0.69,2.38,12.30
1945,26.02,25.01,22.76,11.77,0.62,0.00,3.98,1.94,1.58,0.71,2.17,11.87
1946,26.50,25.56,23.05,8.32,0.29,0.00,0.81,0.45,0.35,0.27,7.56,20.34
