Variable:,pr
Country:,Afghanistan
Subnational-unit:,Nuristan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.12,24.79,52.49,46.44,21.05,26.58,15.56,5.48,11.16,39.72,71.87,31.61
1902,78.09,52.18,118.24,67.92,124.54,48.00,21.47,31.41,48.22,4.56,10.97,32.48
1903,121.02,13.82,158.32,54.78,36.06,4.34,22.27,17.43,72.92,39.73,33.33,35.18
1904,99.47,49.71,134.76,49.81,77.28,32.07,13.56,6.98,41.49,6.35,4.37,105.52
1905,13.16,154.03,53.29,56.25,60.59,12.70,14.19,29.03,18.88,17.98,8.11,63.25
1906,76.82,77.92,61.05,123.19,37.90,44.73,26.55,16.08,31.24,24.26,7.82,10.11
1907,132.22,90.07,54.25,172.90,42.11,20.85,14.46,31.58,36.75,9.90,4.83,49.07
1908,47.55,74.52,45.15,77.19,36.78,28.89,61.44,14.29,20.85,21.77,16.55,46.81
1909,181.88,43.20,50.68,104.95,56.67,29.70,84.77,83.81,5.16,6.58,6.35,23.97
1910,116.91,42.16,156.93,63.72,49.41,9.85,6.23,5.93,6.94,23.92,30.26,37.69
1911,105.53,91.05,54.51,85.72,45.75,37.00,23.56,21.86,87.26,11.90,5.51,36.60
1912,40.25,56.21,40.99,103.31,40.37,17.87,14.55,29.66,19.93,21.03,32.09,43.02
1913,56.06,98.35,72.91,110.45,43.01,48.69,48.95,21.57,33.17,101.59,60.06,40.28
1914,10.12,120.05,77.87,160.22,19.06,26.69,30.17,7.24,19.66,18.40,8.93,10.38
1915,39.87,66.58,62.44,83.73,53.67,20.85,12.69,76.78,18.21,4.79,4.06,11.86
1916,35.34,34.16,56.99,17.42,22.53,23.29,13.67,54.70,50.90,16.41,4.36,39.86
1917,20.15,38.30,127.18,124.48,9.22,42.69,11.80,13.07,25.06,10.36,36.05,43.76
1918,121.60,53.22,114.64,45.01,28.69,8.57,15.76,64.38,19.64,6.21,4.15,167.27
1919,151.56,48.89,128.50,76.60,28.25,22.39,10.95,9.19,23.19,5.25,28.80,9.01
1920,39.48,25.17,82.87,68.94,23.68,21.20,24.60,39.57,5.98,29.01,16.77,171.40
1921,43.73,163.69,59.30,26.10,69.01,32.97,28.84,35.43,45.25,24.89,4.13,32.42
1922,95.40,130.43,87.79,47.23,86.86,11.39,13.47,69.63,20.57,46.88,4.32,13.01
1923,37.06,121.69,78.20,78.67,174.06,3.05,32.35,9.80,65.03,3.78,35.22,48.35
1924,60.35,71.74,29.93,46.50,89.85,4.55,42.62,28.83,39.72,85.46,38.60,6.22
1925,25.65,56.25,161.33,138.04,44.99,23.57,9.63,29.31,47.96,3.82,7.33,20.61
1926,33.06,46.83,76.38,68.06,27.69,15.66,11.32,14.57,24.64,4.57,11.69,80.27
1927,31.59,134.86,114.15,46.61,19.02,10.87,10.67,13.24,24.91,3.71,41.31,98.00
1928,53.80,82.59,66.73,51.83,15.88,16.22,93.53,60.82,3.18,22.86,20.70,54.19
1929,64.93,97.54,68.17,146.02,52.92,24.90,42.78,14.59,38.59,24.11,7.53,29.41
1930,101.09,53.48,45.33,87.20,128.55,47.21,70.21,23.20,14.05,57.23,50.10,41.89
1931,125.44,59.21,111.72,36.22,54.14,30.97,36.21,47.69,7.05,21.25,11.89,30.99
1932,50.23,52.82,140.49,81.81,27.54,30.93,19.48,59.27,30.05,14.66,12.97,88.70
1933,58.28,122.55,92.98,122.09,99.87,15.58,3.61,15.79,22.63,14.24,10.26,48.24
1934,100.17,91.10,89.68,108.56,45.54,54.44,24.54,24.71,17.70,36.85,59.51,16.42
1935,34.78,115.61,107.66,92.63,40.14,16.70,7.42,14.17,27.26,11.10,55.99,55.51
1936,49.70,72.48,64.80,155.67,37.90,4.24,19.61,2.82,18.73,35.74,22.19,45.43
1937,102.25,71.46,129.67,61.76,15.75,30.01,43.34,21.42,12.47,4.72,20.90,53.21
1938,72.82,122.07,158.39,48.10,28.98,11.19,30.60,14.86,2.87,34.35,18.22,17.91
1939,77.14,46.36,102.52,71.79,54.41,44.06,10.75,16.53,31.33,27.39,10.51,48.01
1940,56.10,61.21,79.34,97.77,34.97,6.63,10.78,13.55,15.48,8.89,19.16,73.88
1941,68.18,146.07,68.12,62.83,51.09,47.46,44.61,6.07,14.47,30.24,38.64,24.47
1942,73.94,41.02,115.68,120.47,63.54,8.44,14.11,27.02,14.84,45.03,33.71,37.76
1943,62.71,112.05,60.27,116.21,36.35,9.46,21.44,35.41,22.34,35.27,42.95,30.60
1944,78.59,65.92,115.49,72.81,51.26,40.92,11.50,24.18,15.08,12.15,43.94,24.94
1945,71.29,107.84,70.35,29.08,22.94,12.30,23.35,6.39,6.83,21.61,31.17,49.59
1946,56.43,85.01,57.31,28.58,32.92,17.03,30.96,16.83,16.11,16.26,16.34,45.36
1947,36.38,65.65,112.58,103.54,42.36,39.87,23.48,27.85,9.55,15.76,15.54,120.38
1948,66.39,57.35,133.12,75.47,55.40,62.24,9.82,34.47,15.69,15.17,16.95,35.18
1949,124.18,58.03,85.80,100.71,67.01,24.16,19.10,31.16,4.88,26.06,33.26,5.72
1950,65.85,97.05,127.19,51.96,89.16,10.44,32.20,15.28,5.78,43.00,35.56,33.93
1951,67.81,124.35,141.64,83.87,40.56,22.93,27.27,11.07,17.68,6.50,21.42,41.51
1952,98.60,87.69,155.26,87.62,74.54,45.71,23.51,18.51,26.52,33.21,49.20,79.92
1953,131.56,151.49,105.16,80.50,33.37,27.15,58.34,19.81,8.13,34.97,23.88,39.79
1954,15.74,19.61,139.74,47.34,91.79,38.02,69.23,31.42,13.32,17.52,13.05,57.01
