Variable:,pr
Country:,Afghanistan
Subnational-unit:,Paktika
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.69,32.70,51.78,41.27,20.01,16.78,30.15,25.04,13.03,12.24,9.27,16.08
1902,44.00,31.81,79.80,44.82,46.09,9.87,27.86,30.05,17.49,6.33,7.83,27.64
1903,70.75,32.19,112.41,42.88,21.10,7.73,30.61,30.84,16.92,11.44,9.21,17.88
1904,49.56,55.92,92.26,41.74,37.69,7.73,24.49,25.29,20.63,6.33,6.97,44.52
1905,24.27,87.05,59.52,43.18,22.51,9.37,28.55,33.43,13.47,10.58,6.97,31.57
1906,46.28,64.50,62.45,73.67,20.08,14.00,35.84,31.47,8.52,6.33,7.06,16.08
1907,74.03,50.86,52.66,96.27,22.51,11.38,31.59,41.99,13.91,7.61,6.97,25.49
1908,26.48,60.23,52.80,62.49,19.56,16.33,47.19,25.99,14.29,6.88,6.97,37.98
1909,87.91,38.38,52.80,54.16,29.99,12.94,52.24,65.88,10.08,6.33,6.97,17.56
1910,76.27,39.18,114.14,45.41,26.69,9.21,23.82,24.44,10.50,11.79,12.19,24.07
1911,50.57,50.86,45.97,66.19,28.00,20.78,27.27,37.61,9.71,9.17,7.13,19.68
1912,25.75,50.43,56.06,44.00,18.13,16.26,28.97,32.93,17.19,7.61,9.76,25.45
1913,33.82,71.14,63.42,76.92,27.61,31.19,62.15,31.56,26.05,24.27,10.63,29.10
1914,23.67,78.75,69.68,93.48,21.72,16.61,28.74,24.44,14.78,9.09,6.97,17.48
1915,37.87,49.77,56.67,62.72,33.05,16.49,28.88,92.56,15.88,6.33,6.97,15.84
1916,34.08,31.93,72.58,34.57,23.19,9.87,24.26,57.61,36.90,6.97,7.08,29.25
1917,24.91,33.61,89.43,62.41,18.72,21.44,23.75,28.08,15.08,7.30,7.45,26.46
1918,54.04,41.83,59.50,44.93,23.80,9.21,30.41,61.08,11.46,6.33,6.97,65.26
1919,65.83,43.14,78.84,46.23,22.54,12.21,25.90,24.74,9.34,6.55,6.97,16.93
1920,33.89,36.21,49.87,38.97,17.33,7.73,31.42,38.79,8.41,9.17,9.68,60.75
1921,34.77,66.00,57.39,34.89,26.35,15.12,33.51,40.89,21.59,10.94,6.97,22.21
1922,41.94,60.86,63.63,40.38,35.88,7.73,24.49,56.73,14.67,13.22,6.97,17.46
1923,27.87,74.80,59.36,64.19,61.60,7.73,37.80,26.11,31.38,6.33,11.38,26.54
1924,33.52,52.78,49.97,39.61,49.08,7.83,49.55,32.17,22.48,24.91,14.47,15.93
1925,28.75,48.78,83.91,71.41,24.12,8.49,23.63,45.40,25.02,6.33,6.97,19.03
1926,25.06,41.92,55.04,49.21,18.33,7.73,29.61,28.16,16.45,6.33,6.97,35.10
1927,30.41,76.04,81.00,40.68,20.32,8.06,23.76,26.59,10.18,6.33,11.78,46.67
1928,33.76,40.27,64.12,45.85,20.03,11.03,87.57,47.36,8.41,7.61,7.48,29.97
1929,46.02,42.09,60.05,81.26,20.05,9.76,56.26,25.18,21.61,10.16,7.11,20.72
1930,56.80,50.05,53.39,41.05,42.64,12.62,29.46,25.45,11.25,26.35,8.07,19.39
1931,60.14,43.19,91.60,36.26,29.82,14.06,59.20,42.79,10.54,6.79,6.98,21.27
1932,36.41,53.68,73.36,50.14,23.67,14.99,31.85,54.41,17.98,7.10,6.97,17.26
1933,29.42,33.72,92.50,54.91,29.60,9.45,24.03,32.02,14.75,6.78,7.99,20.74
1934,68.11,62.44,60.33,87.36,23.83,10.50,30.42,50.38,9.90,10.58,8.32,16.01
1935,34.32,93.11,74.09,57.28,26.47,13.56,24.11,31.47,11.46,7.61,25.57,26.94
1936,33.52,62.42,68.19,73.25,18.31,7.73,41.11,24.44,11.54,10.24,6.97,29.72
1937,42.83,38.74,69.31,43.48,19.79,19.84,30.14,37.76,9.05,6.33,7.92,27.19
1938,31.58,76.99,118.16,46.94,20.19,7.73,28.54,27.32,8.58,12.65,6.97,18.06
1939,62.81,49.13,74.24,45.86,22.45,22.82,27.54,27.29,9.79,6.79,7.92,16.57
