Variable:,pr
Country:,Afghanistan
Subnational-unit:,Paktya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.16,18.59,39.71,37.44,13.12,31.57,27.90,10.32,19.00,23.35,6.43,7.55
1902,60.82,15.69,112.89,50.19,85.48,11.20,20.20,24.22,33.60,3.71,6.88,39.49
1903,128.56,15.58,200.45,46.95,22.81,4.09,29.17,26.05,32.07,21.20,6.59,13.82
1904,67.62,76.39,141.45,38.26,75.08,4.25,12.50,11.75,43.43,3.71,4.06,86.50
1905,10.12,156.44,51.50,46.24,26.76,8.92,23.07,30.78,20.54,17.59,4.13,53.22
1906,66.82,104.23,65.97,132.74,19.22,24.41,40.81,25.89,4.67,4.57,4.20,7.49
1907,139.45,70.95,36.71,188.91,26.47,15.80,16.49,54.97,22.41,7.92,4.08,30.46
1908,15.76,86.56,37.11,85.21,18.07,26.41,67.56,13.52,23.01,5.62,4.12,60.10
1909,175.12,34.55,42.11,79.88,50.52,20.63,87.45,113.56,9.72,3.72,4.07,11.77
1910,138.17,35.04,207.16,54.05,35.12,8.90,10.65,9.58,11.01,21.53,20.87,27.97
1911,73.09,70.90,24.58,111.41,31.50,45.96,16.40,41.10,9.36,12.94,4.12,10.00
1912,14.36,62.74,43.85,50.26,12.77,22.00,23.95,27.85,32.30,8.61,13.03,29.94
1913,32.37,123.23,69.79,129.11,41.37,73.40,97.94,27.95,57.93,62.82,16.68,45.92
1914,9.94,151.03,83.89,175.80,21.66,32.60,17.33,9.58,24.71,12.65,4.08,9.42
1915,41.87,64.23,54.43,84.39,43.28,32.20,23.69,166.43,28.16,3.71,4.06,7.52
1916,35.01,16.82,81.89,19.39,18.91,11.01,11.88,90.10,91.01,5.79,4.44,43.69
1917,13.18,21.99,131.06,102.29,11.00,48.17,10.43,18.99,25.73,6.95,5.71,29.66
1918,90.07,41.78,57.89,45.50,25.75,8.92,23.74,97.46,14.18,3.71,4.06,143.94
