Variable:,pr
Country:,Afghanistan
Subnational-unit:,Samangan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.85,29.89,76.60,42.64,8.74,0.94,0.54,0.79,0.53,34.90,64.98,14.08
1902,56.35,80.89,64.54,55.93,83.70,2.50,0.76,0.81,0.93,1.17,24.28,14.22
1903,65.51,11.87,70.05,43.84,70.45,0.38,0.59,0.59,1.36,39.34,22.44,41.80
1904,53.39,17.69,42.70,42.04,16.72,1.74,0.57,0.73,0.60,1.13,3.87,40.81
1905,29.79,83.20,45.74,87.32,34.05,4.38,0.66,0.73,0.56,2.17,8.55,46.90
1906,66.95,54.18,61.02,85.08,105.09,26.22,0.59,0.57,0.87,46.91,24.13,5.85
1907,91.87,52.48,77.53,52.90,25.71,1.15,0.54,0.91,0.52,1.82,3.84,44.14
1908,41.09,37.95,70.90,49.67,69.96,1.20,0.75,0.70,0.52,4.33,4.72,9.96
1909,63.73,45.27,97.74,39.16,23.99,0.85,0.90,0.85,0.51,1.48,2.49,29.65
1910,41.15,43.66,104.63,47.89,42.62,0.67,0.60,0.59,0.54,3.13,8.69,11.92
1911,64.22,59.09,112.56,88.52,20.47,1.45,0.65,0.60,1.63,9.51,8.57,59.41
1912,54.08,56.12,10.89,33.97,35.32,0.68,0.54,0.71,0.54,41.65,13.70,80.73
1913,36.19,65.52,99.28,54.45,13.42,10.83,0.60,0.58,0.59,40.95,88.11,17.37
1914,6.65,71.39,54.54,108.25,10.84,1.08,0.67,0.56,0.55,6.41,4.94,17.96
1915,30.71,21.10,97.01,74.72,20.47,10.34,0.54,0.74,0.55,4.49,2.53,10.78
1916,33.44,42.03,27.31,5.98,6.84,0.78,0.58,0.65,0.64,1.28,2.99,12.59
1917,45.40,113.96,83.19,65.00,34.32,1.13,0.60,0.66,0.75,12.83,21.00,38.33
1918,50.26,58.68,82.72,66.28,35.05,3.77,0.56,0.79,0.63,11.95,20.44,43.61
1919,52.22,59.70,85.34,65.40,36.38,4.14,0.67,0.72,0.75,12.94,21.78,36.37
1920,47.86,56.23,81.71,67.02,33.12,3.95,0.75,0.79,0.63,12.98,21.74,44.28
1921,48.92,60.46,80.66,65.01,37.97,4.56,0.76,0.75,0.76,12.98,20.47,36.60
1922,45.84,93.06,86.92,92.33,27.69,4.14,0.54,0.81,0.55,27.88,14.18,34.68
1923,53.34,66.73,81.05,94.03,29.14,7.61,0.59,0.68,0.71,12.64,18.78,63.52
1924,43.91,55.57,66.85,66.26,26.91,2.62,0.62,0.71,0.64,26.99,19.20,23.47
1925,43.54,64.71,84.29,66.34,30.19,15.27,0.77,0.42,0.50,1.26,17.02,34.65
1926,32.82,33.80,48.08,52.80,24.31,0.40,0.17,0.36,0.19,1.12,21.04,69.21
1927,44.76,52.62,42.46,38.85,21.89,1.17,0.51,0.78,0.16,1.25,18.16,35.20
1928,65.74,106.29,47.42,33.77,11.16,2.24,0.23,0.34,0.25,1.70,11.23,34.78
1929,32.12,98.74,41.82,54.31,37.90,4.05,0.21,0.19,0.92,11.38,10.35,43.90
1930,71.69,46.72,54.75,63.49,76.59,9.65,0.90,1.25,0.44,2.94,54.00,59.30
1931,87.81,41.57,56.11,60.55,29.49,2.80,0.39,0.98,0.18,15.51,14.49,35.54
1932,43.81,48.31,135.14,59.52,34.67,7.27,0.22,0.52,0.36,2.72,19.72,95.27
1933,42.66,95.65,55.59,105.62,82.96,7.00,0.16,0.16,0.27,4.76,10.02,63.07
1934,60.95,74.53,54.76,37.99,35.55,19.94,0.63,0.22,0.31,6.13,59.06,21.30
1935,9.60,58.62,71.58,85.84,19.03,0.51,0.16,0.28,0.25,4.18,7.12,57.09
1936,52.59,77.18,71.83,85.04,45.85,0.54,0.14,0.14,0.17,21.73,5.27,38.30
1937,84.60,90.00,101.22,50.83,3.79,0.55,0.69,0.20,0.25,1.28,26.59,42.30
1938,79.03,80.15,90.50,65.83,22.38,0.58,0.39,0.16,0.13,18.64,21.31,23.51
1939,55.58,56.36,89.78,38.21,22.69,0.60,0.15,0.16,1.08,35.19,16.29,54.81
1940,77.91,76.44,89.63,117.63,24.06,0.44,0.15,0.18,0.25,1.79,9.94,72.93
1941,99.79,59.05,73.99,73.47,56.70,5.70,0.17,0.35,0.13,17.79,36.77,20.54
1942,40.62,50.18,100.79,55.16,70.02,0.64,0.14,0.15,0.15,31.77,36.26,42.22
1943,51.46,49.84,35.11,51.26,16.80,0.60,0.05,0.15,0.04,13.68,20.13,19.48
1944,56.19,84.54,107.83,66.91,59.62,9.44,0.05,0.64,0.04,1.62,64.81,37.17
1945,54.18,65.52,64.96,18.70,7.05,3.47,0.60,0.23,0.04,1.48,8.63,30.76
1946,69.49,84.02,53.52,44.68,15.44,0.47,0.43,0.05,0.12,2.07,8.98,11.98
1947,25.31,38.93,95.36,79.99,15.96,4.28,0.05,0.39,0.83,13.77,9.80,79.54
1948,66.68,64.92,80.99,59.65,17.53,18.41,0.08,1.78,0.06,2.89,13.98,37.78
1949,60.14,26.42,59.43,63.24,37.65,1.38,0.09,0.41,0.05,5.06,29.66,11.69
1950,54.04,58.50,71.29,50.34,82.43,1.78,0.49,0.09,0.05,29.50,7.41,45.04
1951,39.90,97.32,64.10,89.15,52.69,1.88,0.18,0.08,0.06,1.00,20.54,31.22
1952,33.86,86.53,126.46,56.47,69.43,18.31,0.09,0.09,0.35,43.82,30.94,66.69
1953,78.43,56.81,89.75,42.24,11.56,1.58,0.26,0.48,0.14,2.52,31.36,33.34
1954,6.19,29.73,96.30,31.86,85.18,11.07,0.11,0.13,0.12,1.25,4.47,43.97
1955,23.14,96.54,103.62,96.52,4.52,2.45,0.17,0.10,0.08,10.91,15.39,43.32
1956,67.59,52.64,86.04,67.18,44.43,17.14,0.21,0.04,0.04,37.64,62.62,42.62
1957,61.29,35.36,54.29,82.53,63.60,0.83,0.08,0.43,0.65,2.05,21.23,55.56
1958,27.39,67.94,78.60,44.89,55.48,4.20,0.05,0.22,0.15,5.46,34.93,56.41
1959,62.45,58.23,89.45,109.76,96.37,0.84,0.11,0.11,0.11,6.94,61.97,11.96
1960,55.22,24.56,94.54,100.10,37.46,3.47,0.12,4.20,0.07,4.32,42.58,39.38
1961,27.86,60.12,40.51,82.89,46.03,2.27,0.04,0.07,0.10,18.66,37.87,44.17
1962,11.63,58.00,74.81,125.58,82.64,9.88,0.49,0.62,0.23,6.39,36.57,46.58
1963,57.49,80.22,86.29,100.07,37.89,1.75,3.67,0.08,0.04,3.56,22.39,26.09
1964,75.07,92.09,62.20,67.35,40.71,0.84,2.72,1.19,1.96,3.12,23.47,12.70
1965,9.17,76.67,113.03,44.89,10.56,0.39,1.04,0.45,0.98,35.31,5.98,20.82
1966,19.07,91.57,65.07,72.78,33.46,5.90,0.50,0.04,2.77,53.52,29.49,33.84
1967,41.28,33.32,76.55,109.74,51.55,1.31,0.04,0.14,0.04,16.09,14.76,93.56
1968,86.17,49.57,130.01,105.64,98.03,15.22,2.18,0.16,1.83,24.10,60.82,20.84
1969,50.09,28.27,77.43,50.05,6.68,0.14,2.36,0.10,0.15,2.44,3.69,21.55
1970,16.15,54.32,51.01,49.68,2.15,0.18,0.05,0.05,1.36,2.77,9.21,26.46
1971,79.36,72.09,86.55,75.41,64.00,6.25,0.41,0.05,0.11,9.78,10.80,56.18
1972,30.29,62.89,167.88,81.43,13.82,0.14,0.20,0.05,2.32,0.53,6.39,17.15
1973,35.47,47.69,56.59,40.55,26.77,2.64,0.25,0.29,2.33,1.20,9.80,44.40
1974,34.72,66.92,83.74,94.65,23.76,1.44,0.19,0.19,0.36,10.28,14.13,46.77
