Variable:,pr
Country:,Afghanistan
Subnational-unit:,Sar-e-Pul
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.15,35.30,73.09,42.98,9.79,0.31,0.00,0.01,0.00,27.70,53.91,15.53
1902,56.62,73.27,59.18,50.28,60.44,0.32,0.00,0.00,0.00,2.22,21.30,15.82
1903,61.72,17.64,58.38,39.98,54.34,0.32,0.00,0.00,0.00,22.11,16.34,35.17
1904,43.50,22.44,36.09,36.68,12.13,0.31,0.00,0.00,0.00,2.21,8.26,35.57
1905,35.48,66.77,50.11,75.51,23.11,1.19,0.00,0.00,0.00,2.21,12.70,39.10
1906,60.69,52.68,63.43,76.42,70.38,7.62,0.00,0.00,0.00,28.66,23.57,9.21
1907,89.84,45.76,71.85,38.95,22.55,0.32,0.00,0.01,0.00,2.78,5.58,43.96
1908,41.93,34.99,72.64,51.15,49.93,0.31,0.00,0.00,0.00,3.27,4.51,10.91
1909,47.22,40.86,97.12,29.81,18.51,0.31,0.00,0.00,0.00,2.33,4.56,30.44
1910,42.33,45.22,88.31,44.37,38.28,0.31,0.00,0.00,0.00,2.36,13.06,13.03
1911,50.34,50.12,98.25,84.66,18.25,0.31,0.00,0.00,0.00,10.60,10.68,49.14
1912,56.21,62.23,19.61,32.06,25.06,0.31,0.00,0.00,0.00,33.01,17.90,68.19
1913,37.04,69.13,91.21,54.92,11.23,3.99,0.00,0.00,0.00,24.91,80.28,20.60
1914,13.66,55.29,56.60,103.74,10.62,0.31,0.00,0.00,0.00,6.21,6.16,21.77
1915,48.45,25.90,100.24,75.24,15.80,3.95,0.00,0.00,0.00,4.88,4.88,13.21
1916,36.85,36.92,35.16,12.20,7.24,0.31,0.00,0.00,0.00,4.29,5.40,13.75
1917,47.01,90.05,82.93,50.09,22.65,0.31,0.00,0.00,0.00,10.06,20.62,37.58
1918,48.39,54.26,74.42,57.35,28.19,1.37,0.00,0.00,0.00,9.56,19.72,36.83
1919,49.10,55.16,74.45,57.96,27.73,1.38,0.00,0.00,0.01,10.26,20.72,36.20
1920,48.07,53.01,77.75,58.17,26.95,1.41,0.00,0.00,0.00,9.02,22.90,38.33
1921,48.16,53.94,82.85,52.34,33.91,1.30,0.00,0.00,0.00,9.66,20.01,37.10
1922,45.50,88.61,83.01,97.35,16.36,1.23,0.00,0.00,0.00,30.15,10.29,29.01
1923,62.53,68.86,68.82,105.21,15.35,2.84,0.00,0.00,0.00,9.13,13.78,74.12
1924,39.32,45.02,52.07,52.12,13.73,0.67,0.00,0.00,0.00,27.87,17.04,15.12
1925,46.07,70.11,64.66,52.65,19.00,6.66,0.01,0.00,0.00,2.37,17.60,35.87
1926,31.49,35.15,48.48,42.27,16.68,0.31,0.00,0.00,0.00,2.24,17.19,66.27
1927,49.29,47.17,40.08,35.47,20.75,0.36,0.00,0.00,0.00,2.21,15.17,35.41
1928,64.59,106.37,45.75,30.50,10.55,0.63,0.00,0.00,0.00,2.42,9.62,34.29
1929,37.89,77.95,45.17,47.30,28.37,0.79,0.00,0.00,0.00,7.26,10.73,41.56
1930,82.73,52.32,50.05,57.98,55.49,2.23,0.01,0.01,0.00,2.40,53.96,64.80
1931,82.81,31.83,64.90,50.23,18.93,0.80,0.00,0.00,0.00,11.86,11.44,34.94
1932,44.75,51.01,117.79,47.38,24.87,2.93,0.00,0.00,0.00,2.28,25.22,73.68
1933,45.41,76.25,52.35,90.29,57.59,2.09,0.00,0.00,0.00,4.86,11.01,58.93
1934,57.06,65.83,48.81,32.91,22.97,5.68,0.00,0.00,0.00,5.60,57.80,17.76
1935,15.63,57.43,64.06,79.94,17.53,0.31,0.00,0.00,0.00,7.55,7.09,49.86
1936,45.84,74.62,69.29,63.36,37.77,0.31,0.00,0.00,0.00,14.40,6.97,37.77
1937,81.52,80.04,86.45,44.01,6.54,0.31,0.01,0.00,0.00,2.37,22.26,34.27
1938,78.20,75.54,83.65,62.18,23.04,0.33,0.00,0.00,0.00,15.55,20.60,25.62
1939,58.18,62.72,76.23,29.43,20.87,0.31,0.00,0.00,0.00,29.17,17.19,44.01
1940,70.17,69.73,84.07,101.33,20.16,0.31,0.00,0.00,0.00,2.40,11.53,70.66
1941,96.30,46.90,67.72,60.42,42.10,1.19,0.00,0.00,0.00,11.59,28.95,19.82
1942,45.24,45.97,90.87,51.82,52.23,0.31,0.00,0.00,0.00,19.78,31.71,39.73
1943,53.11,48.05,38.14,41.00,9.41,0.31,0.00,0.00,0.00,8.58,13.12,19.73
1944,53.08,75.95,93.60,55.57,39.63,2.36,0.00,0.00,0.00,2.60,54.53,38.01
1945,47.63,64.01,61.86,19.55,8.64,0.54,0.00,0.00,0.00,3.29,7.58,34.28
1946,67.83,76.39,52.67,39.72,13.02,0.33,0.00,0.00,0.00,2.78,10.36,13.30
1947,29.51,35.99,74.74,69.21,15.56,0.86,0.00,0.00,0.00,8.41,10.00,65.35
1948,62.63,52.07,89.89,68.57,14.05,5.39,0.00,0.01,0.00,3.39,14.58,35.65
1949,64.61,33.50,53.93,56.58,31.85,0.34,0.00,0.00,0.00,4.95,24.17,17.94
1950,49.58,55.11,58.29,49.20,61.64,0.51,0.00,0.00,0.00,16.60,10.20,39.70
1951,41.76,95.16,67.56,62.71,48.56,0.66,0.00,0.00,0.00,2.21,22.12,32.30
1952,34.48,75.53,103.32,48.62,43.22,4.28,0.00,0.00,0.00,20.42,33.37,63.94
1953,75.40,48.71,80.88,44.09,6.93,0.58,0.00,0.01,0.00,2.45,32.82,30.57
