Variable:,pr
Country:,Afghanistan
Subnational-unit:,Takhar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,34.26,28.67,71.38,48.21,19.59,6.25,3.47,3.43,2.53,38.23,96.30,35.32
1902,63.42,78.98,84.96,62.18,116.57,22.83,10.39,10.71,18.35,3.30,22.74,21.07
1903,70.90,15.43,90.37,53.58,68.79,2.04,5.47,3.22,34.53,49.19,34.57,48.60
1904,74.75,22.43,89.21,57.34,45.61,16.74,5.54,6.39,8.51,7.93,11.89,59.96
1905,28.72,101.33,63.86,85.51,52.35,11.89,11.69,8.01,6.05,8.66,10.58,65.84
1906,73.04,49.50,55.37,75.00,87.99,34.77,8.18,3.02,15.50,48.01,17.36,11.85
1907,92.34,72.99,85.67,95.01,32.01,8.98,2.48,8.18,7.84,6.87,6.83,46.37
1908,50.98,54.18,58.63,58.69,68.67,9.48,15.21,6.68,3.03,16.78,17.39,20.47
1909,111.74,63.18,87.36,71.36,47.78,8.71,23.74,14.05,1.73,5.45,6.84,31.80
1910,52.55,44.71,113.41,58.31,57.18,5.05,3.62,2.48,2.56,14.76,15.14,31.84
1911,79.54,69.65,95.54,59.41,42.78,9.77,8.35,3.37,43.15,6.12,8.82,56.29
1912,49.27,44.14,25.60,85.50,55.01,3.87,2.78,7.63,3.90,36.93,33.23,69.54
1913,51.03,53.06,82.04,67.69,31.44,12.00,7.12,2.94,5.36,73.99,81.82,22.92
1914,8.46,79.58,68.18,117.63,16.40,6.98,10.98,1.80,5.97,6.34,10.13,15.89
1915,30.29,33.33,82.50,73.71,38.15,6.98,2.60,9.70,3.79,5.59,5.27,15.41
1916,26.77,48.61,32.42,12.81,17.46,5.78,4.26,6.26,7.62,5.10,5.02,21.06
1917,38.42,88.21,101.55,85.35,41.12,9.93,8.37,6.29,7.02,17.15,26.57,45.15
1918,65.85,64.21,96.25,71.65,47.05,7.63,7.91,11.54,5.56,14.44,20.19,84.75
1919,75.98,65.08,104.08,73.42,49.98,11.38,7.48,6.91,7.31,17.96,30.65,34.18
1920,44.33,52.06,85.60,79.83,39.85,11.86,8.95,9.84,4.53,21.99,26.58,88.16
1921,47.92,86.61,82.51,63.22,56.56,13.31,9.93,9.16,9.02,21.99,21.06,39.18
1922,56.77,85.12,95.21,72.42,58.28,9.63,7.64,12.17,6.60,29.11,21.11,34.93
1923,36.32,77.65,88.11,65.03,86.36,8.76,10.26,6.40,11.96,16.13,30.57,52.12
1924,51.41,62.40,74.32,70.64,45.40,1.83,8.14,7.83,8.98,43.30,32.28,8.78
1925,23.17,49.15,148.32,98.41,41.75,16.77,12.15,4.03,6.80,6.17,21.36,35.04
1926,40.68,41.74,64.11,70.57,41.45,3.91,4.38,3.43,4.10,6.09,28.76,71.76
1927,44.75,70.78,72.69,55.96,30.08,7.92,9.95,8.60,2.93,6.96,34.13,56.36
1928,63.54,92.30,64.32,47.81,19.44,7.62,10.39,6.31,2.48,9.06,22.09,43.94
1929,41.02,109.96,57.05,94.30,52.28,12.55,4.46,2.71,11.83,19.45,13.04,38.65
1930,76.45,48.37,53.24,90.87,112.98,30.68,17.25,6.89,3.50,15.43,67.21,60.10
1931,101.74,50.34,68.42,58.30,47.98,10.78,6.01,11.34,2.01,21.95,18.60,39.80
1932,44.31,44.25,144.88,78.68,41.44,16.16,2.83,8.17,4.11,5.89,19.86,129.17
1933,46.39,126.53,60.73,123.85,113.78,14.38,0.94,1.66,4.27,9.37,13.56,60.17
1934,63.67,81.25,76.87,62.90,45.60,40.54,11.38,2.38,4.94,20.92,80.70,25.25
1935,18.65,58.32,83.56,80.88,36.95,4.20,2.87,5.76,7.84,8.05,19.06,60.25
1936,50.63,61.01,57.10,116.92,53.88,2.48,1.93,0.51,4.06,31.02,21.24,34.51
1937,94.55,90.77,121.33,52.64,10.20,6.33,9.39,2.46,5.09,2.59,30.33,52.20
1938,78.53,89.61,90.57,58.19,27.07,4.43,8.32,2.26,0.64,26.79,24.84,24.81
1939,46.20,38.70,86.51,56.71,47.31,11.49,1.97,2.63,11.70,37.96,15.31,66.14
1940,70.47,74.80,82.56,105.00,29.19,2.66,1.93,1.17,2.65,4.08,20.41,72.00
1941,72.91,84.54,89.76,76.92,66.06,28.36,3.15,2.96,0.91,29.74,52.38,25.05
1942,45.42,57.13,117.73,80.72,70.85,3.20,1.12,3.51,2.91,54.91,43.79,52.88
1943,50.41,64.93,38.17,81.14,39.14,4.99,1.35,1.12,3.92,33.52,45.67,29.32
1944,58.65,69.24,108.07,64.16,70.25,25.67,1.76,5.74,2.28,5.94,61.46,32.77
1945,54.76,68.64,76.17,24.25,14.95,11.98,10.43,1.01,0.96,5.94,23.93,41.51
1946,59.74,61.66,46.41,55.08,29.13,4.66,9.82,1.85,3.61,10.13,18.55,29.40
1947,33.16,48.94,109.52,97.75,33.49,18.23,1.05,2.58,7.55,24.18,16.39,100.02
1948,58.61,61.93,91.11,65.24,40.56,45.45,0.78,19.64,2.09,9.67,16.41,42.81
1949,61.98,42.86,69.43,66.58,49.04,10.27,0.97,5.71,0.45,21.35,42.17,12.57
1950,64.28,89.76,82.88,42.13,101.34,6.17,5.98,0.86,0.60,50.15,20.31,54.59
1951,56.42,99.50,105.36,94.36,56.31,13.12,3.71,0.96,0.60,2.81,22.04,44.08
1952,69.67,75.32,180.48,78.44,82.00,40.75,1.48,1.60,1.23,70.03,49.46,83.32
1953,73.56,92.75,98.23,72.18,26.52,12.03,8.51,4.12,1.45,9.89,34.83,43.82
1954,7.33,23.72,123.72,59.30,113.73,25.84,9.68,1.48,0.99,6.12,13.44,64.08
1955,30.18,99.06,122.78,125.10,13.22,11.61,2.21,2.32,3.97,10.76,9.80,59.55
1956,76.44,57.97,97.48,76.46,52.61,27.93,4.00,1.69,0.70,38.86,87.67,67.63
1957,54.63,40.13,74.01,103.14,92.55,5.63,1.57,4.93,8.59,8.08,26.31,60.08
1958,34.59,69.84,80.27,59.72,96.21,1.98,1.55,2.80,0.80,2.15,43.09,57.09
1959,46.30,58.82,86.91,108.65,104.25,4.28,3.01,1.10,4.77,5.36,65.64,12.68
1960,50.48,34.80,79.25,94.55,32.88,9.02,2.48,35.46,1.03,9.76,54.22,43.05
1961,28.92,63.70,70.50,93.32,60.94,8.10,3.14,1.94,1.39,20.33,45.11,41.61
1962,14.68,71.49,102.23,95.32,103.67,16.36,9.06,1.72,2.36,9.71,52.23,39.36
1963,57.51,93.07,92.20,114.59,40.16,5.32,58.11,2.79,2.60,5.21,31.30,30.97
1964,68.74,86.44,78.46,86.90,83.26,1.87,24.92,9.14,7.43,19.62,36.51,19.55
1965,12.66,79.48,147.72,78.28,30.62,2.73,4.94,4.35,6.24,57.27,6.58,34.72
1966,43.82,95.43,85.03,93.70,83.06,20.20,4.45,0.92,6.78,71.26,37.23,53.00
1967,44.44,29.81,109.35,101.63,84.04,8.72,7.11,4.05,0.74,28.56,22.47,111.19
1968,79.33,57.91,137.37,124.90,107.81,24.94,33.24,7.88,10.15,36.15,62.91,19.13
1969,49.23,40.29,92.82,57.77,25.81,3.65,24.35,1.14,8.22,10.75,11.24,29.23
1970,18.15,66.20,71.69,85.68,10.75,2.60,1.96,0.76,6.74,8.20,9.51,25.62
1971,74.58,71.18,97.91,79.32,89.11,21.31,8.17,1.43,6.45,20.12,22.50,74.95
1972,54.05,76.11,138.92,101.16,46.30,1.14,2.95,1.36,25.93,4.27,10.85,20.13
1973,64.12,70.69,75.13,54.07,36.16,10.98,5.22,11.55,21.00,3.40,13.50,57.17
1974,39.57,66.79,86.13,118.73,57.83,10.26,2.01,3.13,3.82,27.02,38.10,72.77
1975,59.58,114.66,104.56,124.56,36.51,3.34,3.25,2.14,1.13,52.13,9.78,31.88
1976,112.77,26.44,46.35,107.89,56.66,14.75,3.33,5.67,1.07,38.79,48.12,58.39
1977,60.74,57.65,101.23,44.20,87.63,3.06,5.87,1.58,0.54,3.21,56.90,31.73
