Variable:,pr
Country:,Afghanistan
Subnational-unit:,Wardak
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,32.99,43.19,78.86,56.12,24.71,10.99,10.79,7.76,5.51,23.16,25.84,22.25
1902,57.26,58.37,96.53,64.49,67.12,7.08,9.43,10.35,8.14,8.92,21.76,37.40
1903,88.26,38.81,129.74,62.67,49.78,5.58,11.07,10.59,8.01,30.12,19.57,34.84
1904,58.95,58.29,98.51,59.20,44.25,5.68,8.03,8.03,9.72,8.92,12.61,59.40
1905,33.97,103.22,71.02,68.95,37.30,7.50,9.96,11.44,5.83,13.26,13.65,51.48
1906,64.20,78.42,74.63,92.60,59.80,24.57,13.16,10.55,3.27,25.05,16.54,22.54
1907,95.04,66.51,75.87,110.82,32.60,7.91,8.74,15.74,6.14,10.23,13.07,40.27
1908,40.28,68.67,74.41,71.50,50.96,9.98,18.06,8.34,6.20,10.03,12.57,43.39
1909,101.56,56.47,83.94,72.24,40.16,7.93,21.76,26.37,3.97,8.92,12.51,29.99
1910,84.10,53.73,143.39,65.64,40.92,6.54,7.69,7.63,4.19,14.50,19.64,30.06
1911,71.46,66.13,86.18,89.70,32.47,13.81,8.80,13.26,4.33,11.97,14.15,37.48
1912,39.57,57.88,59.81,53.48,33.83,9.09,10.09,10.92,7.76,23.60,17.71,57.72
1913,41.87,84.48,94.42,84.97,34.55,19.40,23.44,10.89,12.09,39.89,37.56,39.09
1914,29.14,101.70,79.55,119.99,27.39,11.16,8.98,7.63,6.55,11.82,12.55,26.44
1915,43.65,55.45,87.05,82.37,36.99,11.34,10.04,35.62,7.06,8.97,12.51,23.64
1916,48.62,48.60,75.97,42.49,26.48,6.96,7.91,22.01,17.67,9.60,12.64,38.15
1917,40.81,68.33,111.03,88.42,26.31,14.21,7.63,9.33,6.69,11.59,15.25,37.36
1918,77.43,54.59,76.18,61.07,32.86,7.50,10.07,23.47,4.75,10.13,14.36,99.92
1919,94.45,55.82,100.58,66.66,30.02,10.13,8.60,7.76,3.60,10.45,14.36,26.20
1920,48.28,48.29,64.51,54.46,25.70,6.17,10.83,11.87,3.06,14.31,19.17,93.71
1921,47.61,86.95,73.91,50.11,36.69,12.70,12.29,15.33,9.90,16.89,14.36,33.98
1922,56.93,80.25,81.30,56.42,50.05,6.20,7.98,22.36,6.47,20.44,14.33,27.83
1923,36.88,95.41,76.67,81.21,84.66,6.29,14.62,8.07,15.03,10.18,22.61,35.73
1924,47.58,70.43,63.71,57.15,64.68,6.16,19.73,11.08,10.74,37.44,27.06,25.14
