Variable:,pr
Country:,Afghanistan
Subnational-unit:,Zabul
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,35.19,37.80,51.51,42.03,20.91,4.72,10.47,12.54,2.55,6.14,18.30,25.33
1902,44.04,46.73,62.00,40.97,38.48,3.72,13.33,11.74,2.58,6.06,9.18,25.60
1903,44.73,46.74,62.67,33.78,13.95,3.70,10.47,11.74,2.57,6.14,16.91,20.60
1904,70.11,57.41,76.92,43.45,14.16,3.70,10.40,11.68,2.59,6.06,7.56,25.98
1905,39.62,81.43,71.75,37.28,13.96,4.64,10.94,14.00,2.55,6.13,7.56,21.52
1906,44.09,47.44,61.65,41.51,16.88,4.70,13.43,14.96,3.25,6.06,9.16,25.33
1907,51.03,38.13,63.28,67.36,13.96,3.75,25.47,11.86,2.51,6.07,7.56,33.50
1908,41.30,63.47,62.88,71.02,13.93,8.53,17.41,11.69,2.55,6.07,7.56,48.19
1909,54.41,39.59,52.85,35.35,14.05,4.14,11.69,15.93,2.52,6.06,7.56,25.36
1910,70.98,43.29,70.35,34.63,20.99,3.71,10.40,11.68,2.52,6.14,9.25,28.70
1911,62.84,38.13,50.29,41.38,31.29,3.83,14.18,14.51,2.51,6.11,8.46,42.74
1912,39.72,53.19,66.24,33.44,13.90,12.12,11.15,15.75,2.58,6.07,9.21,36.13
1913,49.61,51.13,58.10,70.08,15.85,9.15,27.48,11.75,3.41,6.34,9.24,20.81
1914,34.99,38.63,63.64,77.08,16.71,3.79,17.22,11.68,2.56,6.11,7.56,27.50
1915,52.77,45.09,49.88,74.87,37.39,3.79,11.19,33.25,2.56,6.06,7.56,20.57
1916,44.04,37.79,84.80,37.51,26.99,3.72,10.40,17.66,3.50,6.07,7.56,27.05
1917,36.45,38.63,84.03,40.83,18.15,3.84,10.40,11.72,2.56,6.07,7.56,41.57
1918,40.55,44.90,57.94,47.32,20.58,3.71,15.23,19.78,2.52,6.06,7.56,41.46
1919,43.28,47.78,66.48,33.47,23.69,3.75,10.98,11.68,2.51,6.07,7.56,23.69
1920,35.68,37.88,51.57,39.31,13.90,3.70,13.86,26.61,2.50,6.11,9.21,26.36
1921,46.18,50.85,55.23,33.29,20.07,3.78,11.69,11.84,3.35,6.13,7.56,26.74
1922,53.14,50.29,60.77,41.69,20.74,3.70,10.40,14.36,2.55,6.17,7.56,20.60
1923,50.93,65.55,55.52,78.16,27.48,3.70,10.71,13.67,3.46,6.06,7.90,50.85
1924,36.33,41.94,55.96,33.37,32.10,4.62,14.04,12.72,2.61,6.35,12.35,21.21
1925,55.87,41.68,82.35,49.83,16.95,4.93,10.40,13.44,3.41,6.06,7.56,37.18
1926,42.49,53.66,54.48,40.98,14.46,3.70,19.25,11.72,2.57,6.06,7.56,37.95
1927,43.49,49.15,60.12,38.18,15.43,3.71,11.15,13.60,2.52,6.06,9.25,26.35
1928,43.67,48.19,50.00,39.06,23.30,3.72,24.82,11.90,2.50,6.07,10.59,25.64
1929,51.22,42.28,59.30,69.80,16.69,3.98,21.51,11.68,2.60,6.12,8.30,21.16
1930,46.54,82.04,54.79,44.88,17.55,12.49,10.51,11.68,2.52,6.39,7.85,21.44
1931,40.47,39.61,81.40,36.01,15.90,3.77,23.01,22.76,2.52,6.06,7.56,25.26
1932,54.39,45.90,68.93,61.96,27.93,3.77,20.64,18.69,2.58,6.07,7.56,30.37
1933,41.01,37.81,60.44,58.78,22.50,6.00,11.45,27.32,2.55,6.06,9.21,25.43
1934,58.36,76.53,57.40,75.88,15.47,4.65,11.71,11.96,2.50,6.13,7.57,20.88
1935,46.73,64.15,63.86,34.81,41.89,5.38,11.42,11.75,3.27,6.07,7.84,25.57
1936,48.06,64.41,72.97,58.15,15.40,3.70,19.17,11.68,2.52,6.12,7.56,26.56
1937,73.08,49.90,52.52,49.97,13.93,6.52,17.04,15.45,2.50,6.06,8.95,31.07
1938,46.68,84.36,81.84,72.54,15.43,3.70,10.45,11.71,2.50,6.15,7.56,27.82
1939,59.83,57.92,55.61,41.14,30.30,7.35,10.56,11.97,2.51,6.06,10.87,23.98
1940,41.83,40.91,58.57,60.75,13.99,3.70,11.80,11.80,2.54,6.10,7.56,23.26
1941,88.23,49.41,60.74,38.23,41.05,11.66,19.80,11.80,2.59,6.08,7.63,40.12
1942,84.38,38.98,63.04,50.51,28.50,3.72,10.71,13.26,3.66,6.06,7.56,20.59
1943,71.93,80.94,70.03,39.03,16.93,3.70,24.45,31.92,2.52,6.11,12.01,48.31
1944,53.71,40.29,51.89,46.83,13.93,6.22,28.19,11.86,2.52,6.07,9.29,29.29
1945,40.59,42.63,53.08,33.28,13.90,4.62,10.40,26.40,2.52,6.20,7.60,23.04
1946,63.14,52.51,59.18,33.26,24.57,3.71,11.47,7.61,0.74,1.46,18.92,24.50
1947,30.26,71.51,53.95,37.96,5.43,6.75,14.93,11.40,0.78,2.78,2.31,37.72
1948,18.52,34.59,75.48,23.28,6.96,2.24,10.21,9.88,0.86,1.46,2.40,13.92
1949,79.21,46.95,69.05,48.75,13.79,1.41,23.72,14.06,0.97,1.46,2.66,6.60
1950,23.38,35.16,92.45,52.05,47.36,1.35,4.90,15.68,0.63,11.99,12.27,14.38
1951,37.17,56.27,36.33,27.60,11.35,6.13,15.68,9.87,0.82,2.91,2.31,18.07
1952,44.31,55.18,18.75,31.75,27.80,6.08,13.32,26.57,0.98,2.12,5.16,12.10
1953,62.99,108.61,46.17,39.09,8.11,2.36,8.44,6.02,2.20,3.57,8.24,6.61
1954,55.04,14.94,65.88,13.24,28.13,2.22,7.03,21.28,2.93,2.06,2.31,45.27
1955,56.26,32.79,109.92,49.81,4.14,6.18,26.28,14.14,1.46,21.94,2.31,8.82
1956,105.53,37.15,70.06,74.60,41.08,5.00,6.93,5.12,1.48,2.44,33.64,78.92
1957,36.57,34.63,42.58,17.37,16.82,3.96,15.70,7.31,2.06,2.29,9.41,72.37
1958,44.92,74.35,33.49,53.67,25.36,1.92,39.65,15.29,3.86,4.65,48.74,34.88
