Variable:,pr
Country:,Afghanistan
Subnational-unit:,Daykundi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,50.42,54.51,75.75,52.95,22.70,2.24,0.12,0.79,0.00,10.40,19.97,32.27
1902,52.58,59.85,73.70,54.10,27.76,2.22,0.12,0.80,0.00,8.25,18.35,33.20
1903,54.36,53.21,74.89,53.69,28.01,2.21,0.12,0.80,0.00,10.53,16.39,33.46
1904,49.41,51.12,70.04,51.39,21.96,2.16,0.12,0.79,0.00,7.83,15.89,34.62
1905,50.07,59.23,72.14,55.81,23.42,2.25,0.12,0.81,0.00,7.86,16.72,35.70
1906,53.32,57.06,69.64,53.12,28.25,3.26,0.13,0.80,0.00,10.62,16.07,30.43
1907,55.77,56.42,75.21,53.89,23.12,2.17,0.12,0.81,0.00,7.84,15.20,36.49
1908,52.34,55.33,74.79,52.92,28.51,2.23,0.13,0.79,0.00,8.36,15.92,32.64
1909,52.55,56.86,77.34,53.13,23.71,2.21,0.13,0.84,0.00,8.25,15.92,34.35
1910,51.47,56.15,78.48,53.37,27.18,2.17,0.12,0.79,0.00,7.87,17.08,31.44
1911,53.21,53.55,78.09,56.07,23.28,2.20,0.12,0.81,0.00,8.48,16.46,34.26
1912,51.97,55.00,69.29,50.88,24.85,2.18,0.12,0.80,0.00,12.39,18.54,41.42
1913,48.71,59.76,77.72,54.10,22.13,2.29,0.13,0.81,0.00,11.22,26.00,32.47
1914,46.15,56.23,70.45,67.64,21.58,2.19,0.12,0.79,0.00,7.92,15.09,32.32
1915,56.81,52.60,81.61,59.83,22.95,2.26,0.12,0.87,0.00,7.88,15.07,30.85
1916,50.79,54.19,69.46,47.85,21.52,2.17,0.12,0.83,0.00,8.60,15.08,31.60
1917,51.29,58.52,77.22,51.60,22.49,2.20,0.12,0.80,0.00,9.00,17.32,34.93
1918,53.20,56.98,74.92,54.83,24.44,2.37,0.12,0.84,0.00,8.99,17.31,35.48
1919,53.37,56.99,75.13,54.86,24.42,2.38,0.12,0.79,0.00,8.99,17.31,34.82
1920,52.92,56.92,74.82,54.77,24.38,2.36,0.12,0.81,0.00,8.65,18.35,36.17
1921,51.11,57.26,78.59,51.82,26.76,2.28,0.13,0.81,0.00,9.04,17.31,34.89
1922,52.90,54.79,76.77,60.39,24.39,2.26,0.12,0.83,0.00,12.81,16.34,32.08
1923,54.07,60.00,71.62,60.61,23.68,2.30,0.13,0.79,0.00,8.65,15.97,39.56
1924,51.11,53.72,70.65,50.34,22.49,2.25,0.13,0.81,0.00,9.46,17.53,31.35
1925,51.99,58.34,72.76,56.24,24.31,2.36,0.12,0.82,0.00,8.25,16.58,34.90
1926,50.74,53.11,71.21,52.08,22.19,2.16,0.12,0.80,0.00,7.83,16.40,39.33
1927,54.17,55.41,69.95,51.62,22.91,2.17,0.12,0.79,0.00,7.83,15.81,36.10
