Variable:,pr
Country:,Afghanistan
Subnational-unit:,Panjsher
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.76,35.17,73.60,54.25,24.06,17.72,11.24,5.97,7.25,39.89,64.71,29.29
1902,71.39,66.81,111.84,72.91,115.82,27.34,11.33,18.72,26.55,7.24,23.14,37.26
1903,109.02,25.34,148.08,63.83,58.75,5.16,14.24,10.19,40.28,49.50,30.71,42.24
1904,84.29,52.80,124.89,61.88,65.95,18.87,9.91,6.75,21.74,7.68,9.31,92.07
1905,24.04,144.89,66.66,77.24,50.57,9.86,12.15,15.28,10.81,17.73,12.97,69.29
1906,80.70,81.10,70.75,112.36,74.42,47.66,17.39,10.08,18.39,39.63,15.81,16.84
1907,124.29,80.11,76.11,148.43,36.17,13.30,8.63,17.42,13.22,10.63,10.06,49.35
1908,43.39,76.90,63.53,78.97,61.66,19.30,33.06,8.20,9.00,17.44,17.81,47.88
1909,158.08,56.84,73.39,90.91,56.25,15.58,49.25,48.94,4.57,8.54,10.58,30.75
1910,99.55,49.24,165.86,68.96,56.18,8.43,6.59,5.82,4.93,21.69,24.43,36.95
1911,93.63,79.82,86.36,96.03,44.25,25.25,16.30,13.86,49.01,13.20,11.42,46.22
1912,43.15,57.20,45.37,82.50,48.31,12.66,10.36,14.62,11.17,33.48,31.23,67.59
1913,52.53,91.43,94.64,105.33,42.54,34.22,29.97,11.04,18.37,85.31,65.81,41.97
1914,17.18,122.28,83.05,157.21,25.59,18.18,17.13,5.91,12.57,13.81,11.93,20.21
1915,41.24,53.43,84.02,96.08,49.89,16.35,10.00,44.90,9.97,7.86,8.87,18.93
1916,42.66,48.25,66.49,28.24,27.37,12.02,9.79,26.81,27.65,9.84,9.18,40.45
1917,35.63,74.55,141.75,121.68,18.03,28.95,7.28,9.84,13.60,11.95,17.91,43.61
1918,112.44,51.74,80.87,57.40,34.93,9.31,12.55,41.51,8.70,7.87,9.10,185.65
1919,147.60,52.97,124.02,73.03,28.93,17.88,9.27,6.58,6.41,8.33,14.63,16.31
1920,47.16,35.58,54.95,50.75,19.32,7.99,15.05,17.21,3.44,21.30,22.16,174.55
1921,47.42,128.77,65.71,33.78,50.83,25.87,18.40,23.39,22.59,27.08,9.10,35.48
1922,73.80,109.80,83.68,48.92,81.03,6.67,7.91,39.75,12.62,39.12,9.10,19.92
1923,35.59,112.46,73.97,82.72,169.53,5.24,23.08,7.14,36.07,7.41,33.89,40.68
1924,50.71,82.05,42.61,50.39,85.39,5.27,26.95,14.60,24.02,86.79,43.96,13.68
1925,25.27,63.38,163.32,140.23,45.56,16.70,10.15,18.17,22.80,7.51,14.72,30.37
1926,31.09,50.29,73.58,83.78,33.44,6.40,8.82,9.30,11.67,7.48,21.88,81.11
1927,44.45,117.21,102.99,57.34,28.18,7.81,10.23,7.79,5.99,7.41,31.34,88.13
1928,62.54,88.20,78.12,62.35,22.46,13.20,44.67,22.60,3.36,14.33,20.90,57.30
1929,59.10,104.93,72.40,128.56,52.91,18.78,21.58,8.04,21.32,24.95,13.60,41.23
