Variable:,pr
Country:,Afghanistan
Subnational-unit:,Parwan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.36,37.43,78.70,53.94,21.99,11.75,11.38,6.88,7.15,29.41,36.86,19.98
1902,58.87,62.78,101.17,67.06,86.29,10.28,10.27,13.11,15.91,7.36,23.40,35.31
1903,94.12,30.38,139.20,63.03,58.86,4.70,12.58,10.40,20.32,40.22,22.18,36.22
1904,63.12,53.27,104.45,59.55,48.89,7.44,8.70,7.35,15.81,7.36,10.00,67.39
1905,27.69,119.70,66.94,73.89,41.28,7.47,11.08,12.64,8.58,13.51,12.04,56.91
1906,68.31,80.24,70.61,100.84,74.79,35.67,15.30,10.35,8.69,33.55,15.93,17.50
1907,104.18,69.69,76.48,125.79,32.43,8.20,8.73,16.77,9.18,9.26,10.74,41.95
1908,38.39,70.15,71.15,73.25,61.39,11.22,24.29,7.84,8.15,10.56,11.84,42.32
1909,116.25,56.39,83.96,77.31,44.19,8.25,32.77,35.80,4.83,7.61,10.20,28.40
1910,86.33,51.12,159.14,66.88,46.52,6.14,7.37,6.75,5.14,15.44,19.48,28.40
1911,78.01,68.91,91.88,95.81,34.09,15.64,11.51,13.72,19.81,11.35,12.24,40.34
1912,37.85,55.00,49.33,56.74,38.54,9.10,10.49,11.85,10.46,30.07,19.82,65.75
1913,40.84,87.38,98.74,91.21,35.26,22.27,27.75,10.83,16.83,55.34,49.49,37.61
1914,20.83,112.46,77.66,140.08,24.73,11.97,11.72,6.75,9.88,11.16,10.50,22.34
1915,38.85,50.71,89.03,90.36,39.47,11.85,10.42,41.46,9.39,7.53,9.81,19.16
1916,45.22,47.20,69.51,33.51,24.37,7.02,8.57,24.57,25.07,8.26,10.00,36.40
1917,37.53,75.44,125.88,102.71,21.80,16.87,7.38,9.35,10.25,10.94,12.93,37.43
1918,88.87,51.06,71.98,59.17,32.50,7.47,11.31,31.28,6.60,8.48,11.39,133.36
1919,113.94,52.90,109.70,68.10,27.88,11.78,8.95,6.97,4.46,9.01,11.41,20.31
1920,45.99,41.36,53.92,48.70,20.79,5.34,12.55,13.33,3.47,15.53,19.37,123.83
1921,45.06,100.52,68.43,41.74,38.80,15.95,14.91,18.67,16.19,19.87,11.39,32.25
1922,58.81,90.06,79.87,51.60,60.73,5.38,7.94,29.57,9.80,25.74,11.39,22.82
1923,32.71,103.92,72.72,84.00,117.42,5.50,18.61,7.42,25.62,8.56,25.09,34.75
1924,45.06,75.20,52.72,52.97,74.20,5.32,23.78,12.10,17.69,54.43,32.38,18.75
1925,29.29,64.02,126.25,117.79,37.41,8.95,8.16,18.00,18.30,7.38,12.99,29.10
1926,29.24,49.61,73.37,76.95,29.14,4.72,8.87,9.23,9.58,7.36,18.95,63.99
1927,42.43,99.38,90.13,54.22,25.82,5.31,7.87,7.81,4.84,7.36,22.31,65.38
1928,57.60,80.98,75.24,59.78,21.96,8.14,35.82,18.02,3.48,9.86,15.25,45.86
1929,52.99,89.89,68.75,107.70,40.78,10.91,19.58,7.54,14.41,18.62,12.74,37.43
1930,78.03,59.09,69.87,75.88,85.82,21.25,19.96,11.45,7.15,29.78,38.17,46.53
1931,94.28,58.23,100.84,55.26,42.75,11.05,16.78,20.14,5.07,17.16,14.21,34.68
1932,46.53,61.40,129.33,76.82,37.70,17.37,9.98,22.42,10.73,9.49,17.14,67.38
1933,49.72,92.58,90.73,99.11,74.48,12.21,7.13,8.57,9.10,12.60,14.40,49.39
1934,80.92,86.58,77.51,88.27,38.33,35.26,10.63,13.89,7.78,16.56,38.25,23.76
1935,34.07,97.10,97.78,94.59,31.05,8.04,7.17,9.80,7.54,11.88,33.01,55.27
1936,48.79,81.96,82.86,117.95,39.13,5.19,11.76,6.65,5.94,25.41,13.81,43.76
1937,75.45,76.56,113.58,62.97,20.80,11.20,11.74,11.87,4.75,7.40,23.02,45.89
1938,60.56,101.35,137.57,66.37,29.57,5.38,12.23,8.01,3.51,22.77,17.03,26.10
1939,71.59,54.65,110.16,66.58,34.20,15.70,8.39,9.70,10.80,25.08,17.20,39.28
1940,60.02,65.93,83.71,100.07,32.84,5.77,9.32,10.37,6.91,9.91,16.73,62.03
1941,75.50,104.81,70.47,75.32,44.35,17.77,18.98,7.74,6.76,23.41,31.50,27.73
1942,63.27,49.44,100.20,95.85,55.08,6.60,10.68,14.70,6.18,37.01,31.34,36.24
1943,58.16,88.47,70.89,79.18,33.27,5.49,12.06,17.84,6.34,19.27,26.01,25.95
1944,67.77,69.29,104.57,81.95,50.18,22.38,8.88,13.61,5.99,8.45,48.00,32.25
1945,58.00,90.92,77.76,37.85,22.61,9.48,16.22,7.93,3.95,13.54,22.25,38.43
1946,58.47,93.98,72.32,49.83,25.74,7.63,17.71,10.06,6.45,10.04,14.37,30.47
