Variable:,pr
Country:,Afghanistan
Subnational-unit:,Uruzgan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,47.43,49.13,62.19,42.89,16.92,1.70,1.06,2.06,0.00,5.47,13.42,29.20
1902,48.45,50.16,63.32,42.78,18.69,1.66,1.10,2.05,0.00,5.47,12.15,29.20
1903,48.46,50.16,63.32,41.97,16.23,1.66,1.06,2.05,0.00,5.34,12.83,28.12
1904,50.40,50.37,64.17,42.42,15.98,1.66,1.06,2.05,0.00,5.34,11.86,29.14
1905,47.64,54.03,64.44,42.44,15.99,1.69,1.09,2.09,0.00,5.34,11.98,28.70
1906,48.29,50.21,62.38,42.33,16.33,1.69,1.10,2.10,0.00,5.34,11.85,28.47
1907,49.24,49.13,63.52,45.61,16.08,1.66,1.24,2.05,0.00,5.34,11.69,30.36
1908,48.16,52.02,63.46,46.08,16.23,1.80,1.15,2.05,0.00,5.47,11.93,31.99
1909,49.60,49.33,62.37,42.16,16.23,1.68,1.09,2.10,0.00,5.47,11.93,29.20
1910,51.63,49.73,64.18,41.96,17.34,1.66,1.06,2.05,0.00,5.34,12.28,29.15
1911,49.93,48.41,62.12,42.90,17.77,1.66,1.10,2.10,0.00,5.47,12.06,30.52
1912,47.86,50.67,63.84,41.95,16.23,1.93,1.09,2.10,0.00,5.79,12.60,30.83
1913,48.34,51.28,63.14,45.80,16.17,1.84,1.28,2.05,0.00,5.47,13.37,28.37
1914,46.47,48.58,62.96,48.72,16.20,1.66,1.15,2.05,0.00,5.34,11.69,29.06
1915,51.10,49.46,63.48,47.06,18.22,1.66,1.09,2.39,0.00,5.34,11.69,28.04
1916,47.92,48.62,64.98,41.53,17.14,1.66,1.06,2.14,0.00,5.49,11.69,28.88
1917,47.21,48.64,65.84,42.12,16.38,1.66,1.06,2.05,0.00,5.47,11.93,31.19
1918,48.00,49.93,62.90,43.46,16.90,1.66,1.12,2.18,0.00,5.47,11.93,31.09
1919,48.31,50.24,63.80,41.95,17.22,1.66,1.09,2.05,0.00,5.47,11.93,28.98
1920,47.49,49.13,62.21,42.58,16.23,1.66,1.10,2.28,0.00,5.41,12.32,29.35
1921,48.35,50.53,63.39,41.51,17.13,1.66,1.09,2.05,0.00,5.47,11.93,29.35
1922,49.56,49.79,63.57,43.81,16.90,1.66,1.06,2.09,0.00,6.01,11.80,28.09
1923,49.48,52.53,62.04,47.36,17.28,1.66,1.06,2.09,0.00,5.41,11.75,32.84
1924,47.30,48.97,61.98,41.19,17.56,1.69,1.10,2.06,0.00,5.47,12.55,28.10
1925,49.59,49.83,64.84,43.84,16.53,1.69,1.06,2.08,0.00,5.47,11.93,30.65
1926,48.32,50.10,61.75,42.09,16.00,1.66,1.16,2.05,0.00,5.34,11.71,31.15
1927,48.80,49.73,62.48,42.07,16.30,1.66,1.09,2.09,0.00,5.34,11.89,29.77
1928,48.03,52.06,61.21,41.79,16.81,1.66,1.24,2.05,0.00,5.36,12.07,29.40
1929,49.35,48.60,62.56,45.65,16.26,1.68,1.21,2.05,0.00,5.34,11.87,28.49
1930,50.59,53.86,61.71,43.57,16.52,1.94,1.06,2.05,0.00,5.35,12.53,29.24
1931,49.02,48.55,65.54,42.09,16.24,1.66,1.23,2.22,0.00,5.39,11.71,28.94
1932,49.35,49.81,64.45,44.46,17.46,1.66,1.19,2.15,0.00,5.34,12.11,29.51
1933,48.22,48.29,62.46,45.75,17.81,1.74,1.09,2.30,0.00,5.34,11.92,29.65
1934,49.27,53.25,61.85,45.61,16.12,1.69,1.09,2.05,0.00,5.64,11.93,28.31
1935,47.75,51.50,63.14,42.48,18.81,1.71,1.09,2.05,0.00,6.09,11.76,29.20
1936,48.41,51.96,64.02,44.05,17.07,1.66,1.15,2.05,0.00,5.50,11.73,28.88
1937,52.46,50.30,62.40,42.92,15.96,1.74,1.15,2.10,0.00,5.39,12.44,29.30
1938,48.95,55.22,65.52,46.22,16.74,1.66,1.06,2.05,0.00,5.41,11.76,29.40
1939,50.20,50.93,62.33,41.95,17.55,1.78,1.06,2.05,0.00,5.88,12.31,28.51
1940,47.80,49.26,62.71,45.60,16.02,1.66,1.09,2.05,0.00,5.34,11.79,29.10
1941,54.12,49.96,63.39,42.35,18.49,1.90,1.16,2.05,0.00,5.45,12.41,30.66
1942,52.92,49.03,63.96,43.14,17.47,1.66,1.06,2.08,0.00,5.41,11.98,28.77
1943,50.92,53.11,63.50,43.40,16.18,1.66,1.24,2.39,0.00,5.34,12.35,31.45
1944,50.39,49.15,62.59,42.92,16.53,1.76,1.28,2.05,0.00,5.41,12.40,29.72
1945,48.49,49.08,62.18,41.23,15.94,1.69,1.06,2.28,0.00,5.53,11.69,28.58
1946,50.42,50.49,63.03,41.30,17.03,1.66,1.09,1.42,0.00,3.34,16.36,28.18
1947,34.77,56.41,52.33,36.53,10.31,2.24,1.16,1.59,0.00,4.02,7.16,34.87
1948,33.00,39.66,74.58,33.48,11.43,1.17,0.84,1.53,0.00,3.26,7.22,22.19
1949,63.98,48.37,67.38,41.87,15.67,1.10,1.65,1.83,0.00,3.26,7.60,17.59
1950,37.46,45.52,76.05,42.68,36.59,1.02,0.63,2.05,0.00,9.69,11.23,22.16
1951,43.78,57.56,48.29,31.93,13.36,2.12,1.10,1.58,0.00,4.14,7.29,23.21
1952,43.96,52.51,39.45,34.48,22.37,1.66,1.17,2.67,0.00,3.62,10.32,20.75
1953,53.40,81.69,51.55,38.87,11.22,1.15,0.83,1.32,0.00,4.14,12.15,17.49
1954,48.43,30.62,63.16,27.46,20.43,1.21,0.72,2.53,0.00,3.43,7.12,38.16
1955,50.79,42.61,85.10,41.67,9.64,2.16,1.54,1.76,0.00,12.16,7.13,18.66
1956,75.12,47.46,68.70,55.12,26.34,1.68,0.68,1.20,0.00,3.63,30.32,56.89
1957,42.77,41.60,53.70,29.82,15.20,1.40,0.97,1.45,0.00,3.69,10.24,49.21
1958,43.32,63.67,46.52,41.98,21.37,1.21,2.67,2.05,0.00,3.64,40.36,34.65
1959,45.65,40.61,68.63,53.65,13.36,1.27,1.07,1.65,0.00,3.47,12.53,32.44
1960,41.51,47.14,60.35,69.93,14.89,3.56,1.17,1.30,0.00,3.25,17.41,27.99
1961,29.38,36.26,65.29,50.96,15.23,2.25,0.78,1.30,0.00,4.20,7.47,25.97
1962,26.27,40.91,55.92,55.50,47.96,1.00,0.24,0.41,0.00,4.50,24.20,23.23
1963,74.13,53.12,62.90,33.97,5.35,1.02,0.75,0.84,0.00,3.27,5.09,19.64
1964,66.77,31.14,26.24,117.76,22.95,1.07,1.15,0.98,0.00,3.23,27.58,30.27
1965,10.15,79.42,35.84,75.34,4.66,1.12,0.82,1.58,0.00,11.80,1.37,16.57
1966,10.25,59.82,71.87,103.96,4.62,1.91,0.84,0.50,0.00,7.13,7.05,44.40
1967,45.48,75.70,28.45,29.42,35.06,1.14,0.18,0.56,0.00,4.51,4.41,42.28
