Variable:,tas
Country:,Afghanistan
Subnational-unit:,Badakhshan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-11.23,-9.75,-2.41,1.40,5.04,8.25,13.34,13.42,9.59,1.52,-0.96,-6.65
1902,-8.93,-9.08,-4.70,0.23,6.67,11.29,13.15,13.38,9.46,3.53,-2.72,-7.23
1903,-12.44,-9.99,-9.23,-0.66,4.17,9.78,12.61,13.30,10.15,4.26,-3.30,-8.80
1904,-15.18,-8.11,-3.90,0.59,5.57,10.75,13.45,13.51,8.68,1.45,-1.13,-6.44
1905,-12.53,-13.98,-8.96,0.14,5.77,10.25,13.83,13.24,9.86,5.23,-1.50,-8.24
1906,-13.00,-11.16,-4.93,-0.58,6.06,11.02,13.51,14.50,9.25,4.34,-1.58,-5.56
1907,-9.67,-11.25,-6.24,1.73,3.77,8.11,13.32,13.62,8.87,1.60,-3.04,-7.80
1908,-9.94,-10.45,-6.20,1.43,5.00,9.77,14.78,13.53,9.28,1.38,-1.42,-7.62
1909,-13.56,-10.38,-3.96,3.25,5.72,10.38,13.07,14.17,8.90,2.81,0.50,-6.09
1910,-9.43,-8.77,-6.33,0.21,6.91,10.18,14.51,14.22,9.45,3.03,-3.47,-11.72
1911,-11.24,-9.39,-5.59,1.14,6.28,11.49,13.18,13.51,9.67,2.23,-4.44,-9.53
1912,-10.75,-7.56,-5.00,2.76,5.39,10.63,14.47,13.01,7.90,4.44,-3.18,-7.81
1913,-9.36,-10.51,-7.20,-0.26,6.44,10.32,14.48,12.99,9.02,3.74,-3.20,-6.60
1914,-7.34,-9.26,-4.37,1.87,5.72,12.46,14.57,13.77,11.00,2.83,-2.21,-9.54
1915,-10.03,-10.64,-1.45,1.88,8.29,11.27,13.22,14.60,11.26,4.27,-0.82,-6.63
1916,-9.27,-11.56,-2.98,3.07,5.84,9.63,13.84,15.10,9.62,3.45,-6.26,-8.52
1917,-8.01,-6.18,-4.00,1.47,7.68,10.09,13.59,13.95,9.65,2.69,-3.60,-8.94
1918,-11.56,-9.80,-5.56,-0.06,7.39,11.11,13.96,14.28,9.24,3.47,-4.66,-11.05
1919,-14.46,-11.45,-5.99,1.85,5.49,10.62,13.95,13.69,7.93,3.57,-2.66,-7.64
1920,-9.73,-12.98,-5.75,-1.07,3.26,9.33,13.19,12.73,9.04,3.92,-4.20,-11.51
1921,-11.01,-11.06,-5.49,2.48,4.94,8.99,13.67,12.56,8.96,3.15,-2.77,-6.92
1922,-10.03,-8.71,-3.30,2.05,5.29,9.92,13.60,13.71,9.52,3.44,-1.96,-6.58
1923,-11.03,-9.89,-4.08,1.30,5.07,10.57,12.33,14.07,7.49,2.69,-3.72,-9.63
1924,-10.98,-9.16,-4.17,1.41,2.45,9.45,14.25,13.94,8.75,3.80,-3.12,-8.40
1925,-12.61,-12.86,-2.90,1.94,6.15,10.85,14.25,13.27,9.52,4.33,-3.46,-5.75
1926,-9.34,-8.28,-3.66,-0.72,5.57,9.53,13.46,14.93,10.18,3.14,-6.32,-7.16
1927,-13.27,-10.68,-6.49,2.13,5.54,10.34,14.58,13.96,9.36,5.60,-2.87,-7.41
1928,-13.08,-9.69,-7.17,1.08,6.60,10.91,12.96,12.77,7.92,3.64,-1.93,-8.75
1929,-14.76,-12.20,-3.34,3.61,4.97,9.87,13.42,13.37,10.50,1.96,-3.14,-13.11
1930,-16.12,-12.28,-4.76,0.00,5.83,10.70,14.82,13.33,7.96,3.15,-0.91,-9.54
1931,-10.49,-13.62,-4.14,2.76,4.03,9.08,12.52,14.12,10.52,4.05,-3.81,-9.07
1932,-10.03,-10.56,-3.00,3.46,4.40,10.48,14.85,12.59,9.85,2.62,-3.64,-11.20
1933,-15.17,-8.89,-6.26,0.79,6.62,10.29,15.06,13.92,9.20,3.41,-2.13,-6.80
1934,-16.05,-7.39,-4.96,0.44,2.48,10.19,13.28,13.91,8.70,2.54,-4.23,-6.96
1935,-15.11,-8.77,-5.02,-0.08,5.11,8.34,13.71,14.03,8.90,3.22,-4.03,-8.78
1936,-12.59,-8.02,-6.80,0.43,7.23,11.10,13.65,12.96,10.27,4.96,-2.90,-9.06
1937,-13.49,-8.79,-6.36,-0.78,5.68,10.80,13.69,13.99,9.73,2.81,-5.00,-9.66
1938,-10.88,-9.87,-6.36,2.59,8.51,9.63,12.98,13.67,8.76,3.42,-4.21,-7.79
1939,-10.39,-9.90,-7.12,-1.49,6.09,11.52,14.27,13.55,9.76,3.63,-2.01,-5.17
1940,-8.99,-7.60,-5.74,1.98,5.57,11.42,14.23,13.15,9.37,5.02,-1.77,-6.90
1941,-11.53,-6.77,-2.07,2.57,7.65,12.27,13.58,14.61,9.62,6.56,-1.89,-7.37
1942,-11.43,-10.56,-3.38,1.95,6.22,10.07,14.37,13.41,9.11,4.26,-0.29,-8.11
1943,-11.43,-9.43,-5.64,0.17,4.54,9.69,14.37,14.09,9.71,2.82,-2.98,-6.30
1944,-10.42,-8.74,-1.74,1.89,7.49,10.33,15.86,14.22,8.77,3.16,-2.55,-11.42
1945,-12.98,-12.06,-6.30,0.86,4.69,10.25,13.63,14.37,10.40,4.33,-2.46,-8.49
1946,-10.55,-6.63,-3.70,4.10,8.20,10.27,13.66,13.71,9.97,5.52,-4.73,-11.29
1947,-11.03,-9.00,-1.16,2.89,6.16,9.92,13.54,14.94,10.08,3.29,-0.43,-7.89
1948,-9.25,-8.84,-5.82,0.93,6.27,9.40,14.36,13.83,9.30,3.42,-3.33,-10.41
1949,-13.02,-10.07,-5.29,1.61,5.83,7.98,14.02,13.01,9.31,1.57,-4.80,-8.46
1950,-12.25,-12.45,-4.48,-0.72,6.06,10.82,14.14,13.68,8.63,3.27,-5.40,-11.33
1951,-12.04,-12.57,-5.94,0.62,5.44,8.29,12.68,13.51,10.35,5.51,-2.17,-5.64
1952,-9.86,-7.24,-5.22,2.27,5.16,10.25,13.45,13.77,9.23,3.42,-4.46,-8.23
1953,-10.02,-6.50,-4.37,1.08,6.16,10.35,14.49,13.24,9.82,1.73,-4.03,-7.61
1954,-12.08,-10.63,-5.92,2.04,5.85,9.24,12.74,13.30,9.91,3.24,-3.67,-9.87
1955,-10.82,-6.56,-3.31,-0.12,4.47,10.21,13.37,14.51,9.68,3.03,-1.19,-6.04
1956,-11.60,-9.02,-4.91,2.25,8.16,9.71,14.97,13.42,9.88,3.18,-1.90,-8.87
1957,-13.40,-12.83,-4.56,-0.83,4.16,9.35,12.67,13.05,8.82,2.28,-4.22,-8.33
1958,-8.62,-8.36,-2.96,2.24,3.58,10.10,14.31,12.57,9.62,3.41,-4.80,-6.11
1959,-10.74,-11.56,-5.00,2.42,4.76,10.33,12.90,14.37,11.38,4.84,-3.55,-9.62
