Variable:,tas
Country:,Afghanistan
Subnational-unit:,Badghis
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.08,2.30,8.24,12.60,16.96,20.76,24.60,22.21,17.53,7.93,7.28,3.79
1902,1.86,1.14,5.89,10.74,18.38,23.54,24.12,23.21,17.11,10.80,5.48,3.00
1903,-2.61,2.06,0.13,9.99,15.87,22.41,24.06,22.81,17.96,12.41,4.23,-0.11
1904,-7.87,3.75,6.28,9.83,16.73,21.53,24.22,22.82,16.88,8.99,7.89,3.31
1905,-2.92,-2.22,1.92,11.98,17.15,22.65,24.36,22.69,17.34,13.28,6.12,0.98
1906,-1.92,-0.17,5.72,8.96,17.18,22.67,24.05,23.82,16.96,12.46,6.08,3.22
1907,-0.48,-0.68,5.54,12.41,14.91,20.08,24.57,22.22,16.71,8.28,3.51,2.21
1908,-0.38,0.55,4.17,11.16,15.62,21.88,25.02,22.67,17.34,8.86,6.81,1.88
1909,-3.24,1.70,6.94,13.43,16.77,21.75,23.85,23.12,17.13,10.36,9.37,3.50
1910,0.66,2.23,4.23,10.70,18.14,21.36,25.02,22.82,16.75,10.85,4.83,-3.05
1911,-3.28,1.79,4.49,11.07,17.10,22.95,23.97,22.75,17.34,9.30,3.76,-0.55
1912,-1.04,3.76,5.83,11.92,16.35,22.41,24.82,21.72,15.41,12.48,4.84,0.96
1913,0.73,-1.23,3.64,9.29,18.62,21.54,25.71,21.92,17.61,11.56,5.94,3.91
1914,3.92,1.27,7.24,12.21,16.71,24.07,24.76,22.91,18.40,12.06,5.76,-0.87
1915,2.17,1.21,10.38,11.49,19.33,22.91,23.75,24.18,19.28,11.13,7.52,3.26
1916,1.33,-1.10,5.98,12.19,16.97,19.71,24.12,24.71,17.37,9.74,1.21,1.76
1917,3.50,4.42,6.36,12.81,20.05,21.57,24.05,22.95,17.19,9.48,4.42,-0.10
1918,-0.14,1.25,3.95,9.50,17.50,21.10,24.76,22.05,17.46,11.16,4.61,0.13
1919,-2.99,0.55,4.40,12.33,15.16,21.97,24.65,22.63,16.64,11.07,5.57,1.80
1920,0.91,-3.25,6.00,8.68,14.99,20.92,23.18,21.73,17.48,11.84,2.28,-4.63
1921,-0.29,0.54,3.02,12.40,14.77,21.13,24.56,21.10,16.26,11.14,5.08,2.29
