Variable:,tas
Country:,Afghanistan
Subnational-unit:,Baghlan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.32,-2.20,4.64,8.29,12.41,16.19,20.25,19.55,15.77,7.69,5.42,-0.31
1902,-1.65,-1.77,2.50,6.86,14.02,19.22,19.98,19.69,15.49,9.71,3.56,-0.94
1903,-5.74,-2.25,-2.36,5.98,11.34,17.67,19.61,19.66,16.36,10.67,2.71,-2.88
1904,-9.27,-0.38,2.97,6.83,12.58,18.31,20.18,19.75,14.87,7.41,5.48,-0.09
1905,-5.88,-6.37,-1.66,7.29,12.97,17.97,20.39,19.56,15.76,11.62,4.35,-2.16
1906,-5.97,-3.86,2.11,5.54,12.98,18.63,20.05,20.88,15.27,10.73,4.41,0.26
1907,-3.37,-3.97,1.18,8.52,10.84,15.77,20.10,19.57,15.21,7.59,2.72,-1.44
1908,-3.21,-3.01,1.24,7.91,11.93,17.59,21.39,19.63,15.29,7.65,4.92,-1.73
1909,-6.68,-2.86,3.31,10.03,12.84,18.16,19.92,20.31,15.12,9.03,6.92,0.05
1910,-2.72,-1.55,1.09,6.92,14.24,17.91,21.31,20.39,15.63,9.34,2.85,-6.00
1911,-4.76,-2.06,1.43,7.52,13.19,19.17,19.97,19.80,15.90,8.55,1.44,-3.93
1912,-3.97,-0.27,1.94,9.01,12.17,18.24,21.02,19.04,13.79,10.83,2.92,-1.91
1913,-2.35,-3.51,0.24,6.20,13.82,17.92,21.21,19.17,15.31,9.98,3.25,-0.09
1914,-0.06,-1.90,3.02,8.51,12.84,20.20,21.26,19.94,17.08,9.34,3.98,-3.80
1915,-2.71,-3.00,6.62,8.36,15.54,18.98,20.01,20.80,17.25,10.32,5.26,-0.71
1916,-2.25,-4.40,3.71,9.30,12.83,17.09,20.26,21.11,15.60,9.28,-0.03,-2.15
1917,-0.55,0.93,3.04,8.34,14.44,17.63,20.11,19.81,15.46,8.42,2.25,-2.99
1918,-4.38,-2.38,1.34,6.57,13.99,18.32,20.81,19.96,15.35,9.68,1.94,-4.25
1919,-6.93,-3.88,1.57,8.42,12.26,18.37,20.68,19.60,14.24,9.59,3.38,-1.74
1920,-3.17,-5.70,1.92,5.69,10.46,17.05,19.87,18.97,15.38,10.16,1.65,-5.29
1921,-4.00,-3.55,1.46,9.14,11.97,16.93,20.42,18.55,14.79,9.30,3.25,-0.86
1922,-2.97,-1.83,3.53,8.64,12.25,17.63,20.30,19.68,15.47,9.65,4.14,-0.68
1923,-3.96,-2.60,3.05,7.63,12.09,18.07,19.04,19.94,13.43,8.90,2.04,-3.63
1924,-4.00,-2.00,3.05,7.76,9.69,16.99,20.57,19.82,14.54,9.83,2.99,-2.65
1925,-6.02,-5.38,4.15,8.61,13.23,18.47,20.82,19.31,15.41,10.38,2.76,0.39
1926,-2.61,-1.17,2.98,5.51,12.66,17.25,20.24,20.94,16.20,9.43,-0.22,-1.14
1927,-6.74,-3.55,0.34,8.63,12.79,17.90,21.21,20.05,15.60,11.92,3.06,-1.11
1928,-5.89,-2.46,0.21,8.09,13.59,18.33,19.54,18.66,13.99,9.74,4.06,-2.70
1929,-8.45,-4.84,3.89,10.42,12.03,17.41,19.91,19.22,16.65,8.19,2.79,-6.53
1930,-9.38,-4.88,2.45,6.70,12.91,18.43,21.54,19.38,13.94,9.35,5.29,-3.70
1931,-3.59,-6.41,3.23,9.55,11.18,16.85,19.50,20.44,16.52,10.09,2.39,-2.97
1932,-3.26,-2.71,4.01,10.18,11.62,18.20,21.54,18.78,15.88,8.93,2.45,-4.89
1933,-7.95,-1.39,1.02,7.23,13.53,18.01,21.71,19.91,15.25,9.75,3.97,-0.78
1934,-9.26,0.39,2.40,7.49,9.80,17.95,20.07,20.10,14.89,8.77,2.00,-1.10
1935,-7.98,-1.30,2.36,6.57,12.31,16.27,20.49,20.13,15.17,9.48,2.21,-2.53
1936,-5.56,-0.53,0.71,7.21,14.78,18.86,20.59,19.51,16.54,11.29,3.27,-3.01
1937,-6.48,-1.58,0.47,6.05,13.08,18.74,20.66,20.43,16.02,9.05,1.81,-3.42
1938,-3.94,-2.48,1.31,9.24,15.83,17.39,19.99,20.03,15.16,9.82,1.81,-1.79
1939,-3.36,-2.75,-0.13,5.25,13.04,19.12,20.98,19.92,16.08,10.11,4.27,0.69
1940,-2.40,-0.56,1.23,8.30,12.91,19.08,21.15,19.42,15.47,11.22,4.54,-0.84
1941,-4.47,0.48,5.22,9.52,14.79,19.60,20.25,20.65,15.68,12.84,4.44,-1.02
1942,-4.49,-3.42,4.16,8.95,13.44,17.84,20.88,19.55,15.32,10.59,6.01,-2.36
1943,-4.71,-1.98,1.75,6.95,11.81,17.57,20.78,20.13,15.82,9.32,3.42,-0.05
