Variable:,tas
Country:,Afghanistan
Subnational-unit:,Balkh
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.83,4.55,11.54,16.43,21.72,25.26,29.42,27.21,22.54,12.52,11.08,6.08
1902,4.73,4.20,9.01,14.49,23.27,28.61,28.93,27.84,22.01,15.10,8.99,5.49
1903,0.05,4.38,3.47,13.71,20.58,27.05,28.66,27.52,22.84,16.29,7.83,2.88
1904,-4.45,6.52,9.53,13.94,21.72,27.06,29.04,27.66,21.58,12.69,11.27,6.24
1905,-0.14,-0.03,4.91,15.81,22.16,27.32,29.03,27.28,22.10,17.23,9.55,3.80
1906,0.56,2.57,8.96,12.94,22.07,28.02,28.75,28.70,21.81,16.31,9.79,6.00
1907,2.47,2.32,8.51,16.64,19.89,25.06,29.21,27.14,21.33,12.37,7.23,4.89
1908,2.83,3.02,7.39,15.31,20.92,26.84,30.18,27.35,21.94,12.78,10.36,4.16
1909,-0.72,4.16,10.18,18.05,22.03,27.06,28.83,28.06,21.91,14.44,12.72,6.41
1910,3.76,5.17,7.42,14.68,23.41,26.83,30.26,27.96,21.69,14.64,8.25,-0.56
1911,0.81,4.70,8.23,15.25,22.33,28.35,28.50,27.48,22.30,13.48,7.02,1.88
1912,1.92,6.23,8.67,16.82,21.37,27.50,29.71,26.70,20.22,16.52,8.23,4.05
1913,3.94,2.11,6.81,13.37,23.52,26.91,30.43,26.90,22.21,15.67,9.06,6.43
1914,6.64,4.33,10.26,16.50,22.04,29.52,30.13,27.84,23.70,15.42,9.27,1.71
1915,4.79,3.91,13.86,16.08,24.59,28.41,28.85,28.85,23.93,15.32,11.04,6.07
1916,4.32,1.74,9.79,16.92,22.15,25.42,29.12,29.29,22.20,13.98,4.88,4.29
1917,6.41,7.54,9.82,16.89,25.01,26.75,29.02,27.79,22.10,13.99,8.11,3.16
1918,2.09,3.91,7.58,14.21,22.98,27.25,29.78,27.62,22.10,15.21,7.04,1.39
1919,-1.60,2.59,7.82,16.46,21.14,27.12,29.61,27.51,20.75,15.24,8.98,4.66
1920,3.51,-0.08,8.65,12.89,19.71,26.13,28.47,26.59,21.98,15.70,6.33,-0.71
1921,2.22,2.86,6.98,16.68,20.33,25.93,29.33,26.10,21.18,15.14,8.56,5.14
1922,3.71,4.24,10.09,16.46,21.38,26.72,29.07,27.25,22.12,15.65,10.00,5.76
1923,2.25,3.90,9.73,14.70,21.28,26.83,27.90,28.07,19.32,14.67,7.22,1.89
1924,2.68,4.51,9.67,15.21,18.82,25.60,29.19,27.76,21.18,15.30,8.40,2.93
1925,-0.14,0.47,11.01,15.97,22.80,28.00,30.10,27.45,22.06,16.17,8.34,7.82
1926,4.14,5.23,10.13,13.23,22.50,26.25,28.75,29.23,23.12,15.15,4.96,5.52
1927,-0.75,2.70,6.57,16.73,22.44,27.37,30.24,27.94,22.40,17.72,8.33,5.01
1928,-0.50,3.54,5.81,15.88,22.60,27.47,27.94,25.96,20.16,14.70,9.40,3.45
1929,-2.87,1.72,10.18,18.48,21.24,26.22,28.66,26.48,23.36,13.39,7.85,-1.34
1930,-4.01,1.55,8.80,14.47,21.95,27.61,30.47,26.90,20.20,14.74,10.85,1.95
1931,1.97,-1.44,9.90,17.06,19.89,25.58,28.52,27.83,23.25,15.24,7.06,2.63
1932,2.44,4.21,10.50,17.98,20.83,27.07,30.31,26.25,22.14,14.04,7.16,-0.55
1933,-2.14,5.16,6.82,15.03,22.96,26.57,30.44,27.97,21.47,14.97,9.36,5.10
1934,-4.12,6.23,8.81,14.53,18.61,27.00,28.47,27.92,20.64,14.02,6.53,4.57
1935,-2.37,5.32,8.69,15.07,21.26,24.70,29.44,28.39,21.40,15.41,6.49,3.29
1936,0.63,5.83,7.13,14.87,23.51,28.09,29.26,27.10,23.17,17.32,9.02,2.80
1937,-0.60,4.82,6.67,13.45,22.15,27.48,29.73,28.09,22.78,14.81,6.49,2.46
1938,3.24,4.96,7.61,17.48,24.63,26.27,28.32,27.51,21.70,15.22,7.21,3.92
1939,3.06,4.04,7.08,12.76,22.14,28.63,29.79,27.46,22.47,15.41,9.87,7.36
1940,4.03,6.14,7.69,16.89,21.74,28.40,29.92,27.44,22.44,17.12,10.01,5.99
