Variable:,tas
Country:,Afghanistan
Subnational-unit:,Bamyan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.40,-5.47,0.90,4.18,8.21,12.28,16.64,15.73,11.65,3.27,1.24,-3.50
1902,-4.78,-5.28,-1.14,2.84,9.77,15.05,16.23,15.94,11.21,5.21,-0.56,-4.15
1903,-9.06,-5.27,-6.42,1.73,7.10,13.79,15.90,15.64,12.12,6.31,-1.74,-6.27
1904,-13.00,-3.51,-0.87,2.25,7.99,13.74,16.42,15.94,10.77,2.90,1.41,-3.19
1905,-9.18,-9.51,-5.15,3.65,8.86,14.15,16.33,15.65,11.13,6.95,-0.12,-5.60
1906,-8.75,-7.14,-1.53,1.26,8.60,14.55,16.05,16.98,11.01,6.45,0.23,-3.37
1907,-6.64,-7.14,-1.97,4.40,6.46,11.87,16.34,15.42,10.92,2.97,-1.95,-4.65
1908,-6.41,-6.35,-2.58,3.43,7.42,13.76,17.29,15.47,10.90,3.16,0.45,-5.31
1909,-9.78,-6.01,-0.50,5.71,8.34,13.88,16.02,16.27,10.77,4.53,2.61,-3.35
1910,-6.03,-5.01,-2.86,2.63,9.70,13.57,17.20,16.16,11.03,4.79,-1.47,-9.26
1911,-8.45,-5.36,-2.34,3.26,8.84,15.01,15.95,15.84,11.60,4.02,-2.65,-6.99
1912,-7.27,-3.46,-1.70,4.43,7.81,13.99,17.08,15.05,9.37,6.34,-1.32,-5.32
1913,-5.59,-7.35,-3.62,1.76,9.66,13.64,17.41,15.24,11.21,5.60,-0.64,-3.15
1914,-2.78,-5.55,-0.37,4.46,8.44,16.26,17.21,15.95,12.79,5.54,-0.43,-7.46
1915,-5.29,-6.15,3.05,4.06,11.13,14.88,16.12,17.02,12.87,5.53,1.16,-3.67
1916,-4.99,-7.46,-0.56,4.72,8.36,12.63,16.26,17.41,11.37,4.25,-4.44,-5.22
1917,-3.84,-2.76,-0.72,4.37,10.34,13.64,16.28,15.94,11.25,4.01,-1.78,-6.19
1918,-7.30,-5.71,-2.48,2.20,9.51,13.83,17.03,15.87,11.16,5.18,-1.74,-6.66
1919,-9.25,-6.82,-1.99,4.20,7.69,14.20,16.88,15.62,10.36,5.10,-1.01,-5.16
1920,-6.41,-8.98,-1.47,1.70,6.36,12.96,16.11,15.10,11.37,5.73,-2.71,-8.45
1921,-7.05,-6.67,-2.37,4.94,7.53,13.07,16.67,14.63,10.56,4.88,-1.01,-4.23
1922,-6.09,-5.50,-0.42,4.41,7.90,13.57,16.47,15.67,11.26,5.36,-0.05,-4.02
1923,-7.16,-5.89,-0.71,3.19,7.75,13.80,15.33,16.02,9.06,4.57,-2.19,-6.79
1924,-6.93,-5.45,-0.72,3.41,5.63,12.71,16.59,15.86,10.28,5.27,-1.22,-5.97
1925,-9.20,-8.60,0.33,4.46,8.90,14.49,17.05,15.50,11.20,5.82,-1.36,-2.80
1926,-5.91,-4.72,-0.84,1.45,8.45,13.10,16.32,16.99,11.99,5.04,-4.42,-4.21
1927,-9.54,-6.99,-3.46,4.37,8.63,13.79,17.42,16.19,11.49,7.44,-1.26,-4.31
1928,-8.98,-5.86,-3.61,4.13,9.09,14.13,15.54,14.50,9.70,5.05,-0.37,-5.79
1929,-11.51,-7.91,0.01,6.21,7.80,12.97,15.85,14.66,12.45,3.76,-1.75,-9.44
1930,-13.29,-8.10,-1.57,2.44,8.23,14.18,17.48,15.09,9.45,4.81,1.01,-6.98
1931,-7.02,-10.53,-0.61,5.26,6.78,12.67,15.85,16.49,12.32,5.48,-1.97,-6.28
1932,-6.72,-5.24,-0.12,5.87,7.27,13.94,17.50,14.88,11.49,4.49,-1.91,-8.62
1933,-10.94,-4.63,-3.00,2.67,8.99,13.66,17.63,15.86,10.68,5.14,-0.30,-4.07
1934,-12.53,-3.18,-1.57,3.09,5.65,13.91,16.00,16.15,10.41,4.24,-2.53,-4.70
1935,-10.94,-4.70,-1.34,2.37,7.84,12.07,16.60,16.31,10.93,5.16,-2.48,-5.84
1936,-8.62,-4.06,-3.11,2.95,10.48,14.62,16.76,15.68,12.21,6.73,-1.10,-6.35
1937,-9.69,-5.05,-3.42,1.85,8.80,14.56,16.85,16.54,11.76,4.50,-2.41,-6.55
1938,-7.06,-5.85,-2.41,5.01,11.45,13.29,16.35,16.20,11.02,5.27,-2.40,-5.09
1939,-6.54,-6.11,-3.86,1.04,8.47,15.07,17.20,16.16,11.89,5.62,-0.02,-2.72
1940,-5.70,-3.99,-2.61,4.02,8.61,15.02,17.50,15.65,11.31,6.74,0.28,-4.00
1941,-7.59,-2.90,1.44,5.38,10.46,15.43,16.46,16.79,11.45,8.31,0.06,-4.28
1942,-7.52,-6.82,0.41,4.75,9.24,13.85,17.07,15.67,11.06,6.18,1.76,-5.64
1943,-7.97,-5.46,-2.08,2.76,7.53,13.51,16.96,16.25,11.52,4.85,-0.89,-3.29
1944,-6.32,-4.63,1.53,4.05,10.00,14.01,18.46,16.22,10.54,5.03,-0.53,-9.16
1945,-9.20,-7.59,-2.20,3.11,7.42,13.93,16.54,16.57,12.11,5.84,-0.59,-5.46
1946,-7.10,-2.71,-0.40,7.05,11.27,13.86,16.77,15.98,11.93,7.11,-2.86,-8.22
1947,-6.50,-4.93,1.79,5.46,9.21,13.98,16.33,17.25,12.34,5.46,2.03,-4.79
1948,-5.28,-4.69,-1.77,4.21,10.05,13.55,17.63,16.07,11.63,5.15,-1.56,-6.81
1949,-9.11,-5.89,-1.36,4.76,9.50,11.99,17.15,15.24,11.86,3.41,-2.76,-5.01
1950,-8.50,-8.53,-1.72,1.59,8.72,14.26,17.11,15.91,10.45,5.29,-3.01,-8.04
1951,-7.77,-7.63,-2.42,2.60,8.35,12.04,16.21,15.74,12.19,7.96,0.02,-2.85
1952,-6.23,-3.53,-1.41,5.09,8.22,14.15,16.55,15.81,11.00,4.99,-2.69,-5.42
1953,-6.40,-2.36,-0.28,4.12,8.96,14.11,17.37,15.70,11.44,4.09,-1.28,-4.22
1954,-7.61,-6.04,-1.80,4.43,9.24,13.45,16.24,15.97,11.72,4.40,-1.59,-6.01
1955,-6.66,-2.82,0.55,2.71,6.66,13.40,17.09,16.54,11.85,4.81,0.97,-3.31
1956,-7.04,-4.65,-1.46,4.65,11.02,13.09,16.93,15.27,11.69,4.67,-0.29,-5.96
1957,-9.38,-7.66,-1.21,1.47,6.59,12.82,15.96,15.31,10.70,4.31,-2.12,-5.13
1958,-4.53,-4.50,0.66,5.76,6.96,13.96,17.38,15.73,11.72,5.46,-2.45,-3.41
1959,-7.14,-7.39,-0.94,4.75,7.85,14.15,15.85,16.82,13.41,6.70,-1.83,-6.67
1960,-6.06,-1.83,-3.55,1.65,7.12,14.43,16.75,16.51,11.50,5.33,-1.70,-5.86
1961,-5.71,-7.09,-0.48,3.71,9.78,13.73,17.07,15.93,12.77,4.33,-1.74,-4.95
1962,-7.10,-3.45,0.63,4.09,8.02,13.32,16.92,15.87,10.12,4.43,-2.81,-5.77
1963,-5.06,-1.95,-0.61,4.44,7.20,14.91,16.74,15.46,11.13,6.72,-0.72,-5.35
1964,-11.58,-5.67,0.69,3.19,7.77,13.25,16.21,15.97,11.33,3.06,-1.62,-8.03
1965,-5.72,-5.69,-1.36,1.96,7.64,13.04,16.44,14.80,10.43,7.12,0.92,-6.04
1966,-3.46,-1.34,-0.73,2.72,7.94,14.83,16.15,15.80,10.43,4.34,-2.84,-5.37
1967,-8.47,-4.57,-1.51,2.70,6.63,13.21,16.72,15.18,11.15,4.07,-0.61,-5.14
1968,-7.41,-7.10,-0.35,3.69,6.30,13.89,16.32,15.25,11.31,4.68,-0.58,-4.96
1969,-9.16,-8.22,1.45,3.11,7.04,13.69,16.66,15.35,10.57,6.09,-1.62,-2.90
1970,-6.75,-3.66,-1.69,5.68,10.20,14.28,16.07,17.12,11.20,6.04,-0.08,-5.23
1971,-8.34,-4.89,0.31,5.50,10.22,14.70,16.28,15.38,10.40,5.29,0.79,-2.95
1972,-8.83,-11.32,-2.47,3.42,7.03,13.33,15.23,13.84,10.49,4.86,0.22,-6.56
1973,-10.28,-5.20,-1.46,4.72,8.77,15.68,16.80,15.85,11.09,5.19,0.13,-5.52
1974,-8.48,-9.00,0.56,5.56,8.39,13.43,16.75,14.84,10.69,3.73,-1.18,-6.69
1975,-8.21,-7.21,-2.06,3.32,7.92,13.90,16.39,15.90,11.45,5.00,-3.05,-5.51
1976,-5.55,-6.62,-3.44,3.41,8.76,13.47,17.15,15.68,11.41,5.57,-2.60,-5.96
1977,-11.33,-6.22,2.58,5.77,8.61,15.06,17.14,15.79,11.27,6.24,1.08,-4.06
1978,-8.19,-5.83,-2.57,5.21,9.84,14.78,16.54,15.78,11.93,6.31,-2.13,-3.02
1979,-6.26,-4.63,-2.18,5.88,5.66,13.94,17.46,15.17,11.59,6.92,-1.34,-3.83
1980,-8.37,-6.76,-2.42,6.27,9.57,14.32,17.13,15.81,11.19,5.80,0.95,-3.78
1981,-6.18,-4.62,0.23,4.90,9.26,13.28,16.88,15.48,11.19,4.15,-0.34,-3.67
1982,-6.79,-7.76,-2.77,4.54,8.52,13.84,16.51,15.61,10.29,5.51,-2.48,-6.36
1983,-7.04,-4.75,-3.29,2.82,8.90,13.75,17.53,17.40,12.29,5.15,0.94,-5.14
1984,-7.45,-9.59,0.88,4.58,9.87,15.59,17.17,17.23,10.42,4.41,0.36,-7.18
1985,-7.20,-2.84,-0.19,5.28,8.67,15.14,17.60,15.66,11.80,4.90,-0.37,-4.62
1986,-6.59,-5.28,-3.15,4.10,8.96,13.96,16.76,15.18,11.82,6.35,-0.63,-5.74
1987,-4.40,-3.69,0.59,3.78,7.56,13.13,16.63,16.92,12.59,4.10,0.23,-3.02
1988,-5.36,-4.52,-0.68,6.28,10.22,14.60,17.80,15.98,11.97,5.28,1.42,-2.64
1989,-8.00,-7.62,-0.98,2.78,7.00,13.62,16.55,15.56,11.43,6.55,-0.18,-2.87
1990,-6.49,-5.22,-1.29,3.47,10.88,15.05,16.99,16.82,13.03,5.40,0.98,-5.38
1991,-7.51,-6.32,-1.42,3.50,6.97,13.75,17.31,16.10,11.57,5.28,-0.43,-3.20
1992,-6.44,-5.09,-2.40,2.46,6.17,13.60,16.20,14.95,10.21,4.91,0.52,-2.95
1993,-7.62,-3.55,-2.33,4.34,8.92,13.80,16.19,15.73,11.75,4.38,-0.74,-4.26
1994,-6.27,-6.88,0.75,2.89,8.94,14.88,16.23,16.32,9.24,4.70,1.72,-5.02
1995,-6.55,-4.72,-1.89,2.78,8.45,14.41,16.94,16.11,11.04,5.60,0.64,-5.67
1996,-7.68,-5.19,-0.83,4.27,7.55,13.64,16.82,15.36,12.34,5.05,-1.96,-3.91
1997,-6.35,-5.90,-1.52,3.25,6.45,14.21,17.37,15.74,12.08,5.64,-1.93,-5.43
1998,-7.25,-6.36,-2.05,5.51,8.19,13.87,17.04,15.82,11.59,6.22,-0.04,-3.55
1999,-6.51,-2.49,-0.72,5.33,9.28,14.65,17.14,16.57,12.93,7.05,0.15,-3.47
2000,-6.14,-6.11,-0.96,7.46,11.96,14.01,16.75,16.18,11.67,5.90,-1.01,-3.54
2001,-7.61,-4.59,0.17,5.83,11.93,14.83,16.43,15.79,11.35,6.12,0.76,-3.17
2002,-5.54,-4.94,0.92,5.04,9.62,14.14,17.03,16.74,11.19,7.14,0.45,-6.21
2003,-5.88,-5.02,-1.06,4.40,6.85,14.05,16.83,16.03,11.71,6.33,-0.93,-4.64
2004,-5.11,-2.91,2.08,5.54,9.67,14.04,16.75,15.98,12.04,4.34,1.45,-4.31
2005,-7.34,-7.14,0.95,4.35,7.05,14.47,16.99,15.85,12.74,6.40,-0.53,-3.98
2006,-7.97,-1.84,0.61,2.73,11.90,14.14,17.25,16.03,11.63,8.38,0.36,-6.21
2007,-6.44,-4.02,-1.01,7.88,9.86,14.62,16.60,16.12,12.10,4.50,0.71,-5.85
2008,-11.36,-6.98,3.46,5.06,11.35,15.98,17.21,15.75,12.01,7.14,-0.52,-4.06
2009,-5.69,-3.23,1.19,2.76,9.56,13.05,17.15,17.02,12.13,5.65,-0.94,-4.38
2010,-4.37,-5.44,2.31,6.97,9.10,13.64,16.19,15.86,10.99,7.80,-0.22,-5.19
2011,-6.83,-5.48,0.24,5.63,11.65,15.69,17.00,16.55,11.55,6.50,-1.33,-7.17
2012,-8.14,-8.44,-1.09,4.90,9.11,14.40,17.89,16.42,11.30,6.01,-1.00,-5.45
2013,-6.14,-4.58,0.10,3.91,9.65,15.22,17.85,16.30,13.29,6.47,-0.13,-4.89
2014,-5.24,-8.09,-0.47,4.11,9.11,15.24,17.51,16.71,13.50,6.12,-1.20,-5.05
2015,-5.78,-3.60,-1.53,4.92,9.18,15.37,17.51,15.57,11.09,6.83,-0.50,-4.46
2016,-4.03,-3.61,-0.28,5.03,9.95,15.73,17.72,16.38,13.57,5.99,-1.37,-3.62
2017,-7.03,-5.89,-0.63,5.31,11.06,15.62,17.62,16.26,12.19,7.29,0.63,-4.80
2018,-5.27,-3.76,3.33,5.80,8.93,15.34,18.36,17.16,12.41,5.57,-0.53,-4.02
2019,-5.43,-5.28,-0.03,5.08,8.94,13.67,18.48,16.20,13.06,6.52,-2.33,-4.03
2020,-7.73,-3.39,0.11,3.93,9.40,14.23,17.72,16.70,10.96,4.62,-2.18,-7.06
