Variable:,tas
Country:,Afghanistan
Subnational-unit:,Farah
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.39,7.80,14.20,19.10,23.91,28.01,30.38,28.08,23.53,15.51,12.40,8.30
1902,6.67,7.07,12.83,17.79,24.79,29.60,29.92,28.94,23.16,17.27,11.42,7.83
1903,3.06,8.26,7.29,16.87,22.82,29.01,30.00,28.48,23.93,18.78,9.93,4.84
1904,-2.10,9.54,12.80,16.58,23.50,27.65,29.82,28.42,23.07,15.55,13.34,8.22
1905,2.62,4.44,9.06,18.67,23.84,29.12,29.84,28.22,23.10,19.34,11.71,6.01
1906,3.90,5.83,12.29,15.86,23.90,28.94,29.54,29.26,23.02,18.89,11.72,8.06
1907,5.04,5.61,12.46,18.85,21.91,26.83,30.19,27.59,22.96,15.20,9.47,7.06
1908,4.96,6.71,11.07,17.63,22.38,28.53,30.36,28.19,23.24,15.81,12.12,6.72
1909,2.78,7.69,13.40,19.45,23.31,28.10,29.48,28.59,23.10,16.94,14.49,7.99
1910,5.74,7.96,11.10,17.36,24.51,27.74,30.23,28.24,22.67,17.45,10.65,3.69
1911,1.91,7.68,11.05,17.60,23.67,29.07,29.63,28.38,23.29,16.11,9.74,4.93
1912,4.54,9.63,12.63,18.18,23.12,28.81,30.25,27.46,21.63,18.72,10.60,5.97
1913,5.82,4.74,10.54,16.20,25.07,27.83,30.89,27.58,23.57,17.86,11.71,8.83
1914,8.94,7.27,13.87,18.68,23.36,30.11,30.15,28.33,24.15,18.56,11.31,4.46
1915,7.42,7.25,16.47,17.80,25.52,29.09,29.35,29.70,25.10,17.38,12.98,8.14
1916,6.44,4.97,12.39,18.45,23.57,26.28,29.55,29.99,23.35,15.96,7.34,6.79
1917,8.28,9.66,12.62,19.00,26.05,28.02,29.57,28.31,22.90,15.71,9.91,4.73
1918,5.10,7.31,10.75,15.94,23.83,26.90,30.27,27.23,23.27,17.50,11.17,6.45
1919,4.29,6.85,11.62,18.45,21.70,28.55,30.27,28.30,23.20,17.40,11.12,6.51
1920,6.02,3.19,13.04,15.89,22.05,27.48,28.84,27.37,23.63,18.33,8.54,1.28
1921,5.32,6.77,10.31,19.07,21.77,28.07,30.27,26.88,22.42,17.44,10.90,7.23
1922,6.31,6.41,13.03,18.86,23.11,28.11,29.70,27.80,23.28,18.43,12.41,7.74
1923,4.71,7.17,13.12,16.60,22.82,27.95,28.93,28.51,20.74,17.33,9.41,4.45
1924,5.59,7.22,13.22,17.36,21.30,27.06,29.33,28.34,22.27,17.33,10.77,4.92
1925,2.34,4.13,14.80,18.70,24.50,29.10,30.29,28.47,23.36,18.19,10.72,9.60
1926,6.00,8.09,12.89,15.85,24.22,27.50,29.38,29.63,23.67,17.60,8.10,7.77
1927,2.44,5.82,10.67,18.55,24.12,28.60,30.82,28.86,23.82,19.85,10.77,6.91
1928,2.59,6.81,9.49,19.12,24.01,28.38,28.41,26.58,21.76,16.93,11.36,5.87
1929,0.53,5.07,12.96,20.30,23.52,27.18,29.22,26.84,24.52,16.33,9.90,1.83
1930,-1.46,4.21,11.97,17.17,23.28,28.68,30.60,27.67,21.56,16.85,12.43,4.29
1931,3.75,1.47,12.68,19.04,21.85,26.68,29.47,28.71,23.66,16.64,9.49,5.36
1932,4.37,8.25,12.99,19.80,22.28,27.61,29.78,26.76,22.78,16.04,9.27,1.86
1933,1.72,7.82,10.12,17.23,24.25,27.87,30.50,28.31,22.16,16.66,11.54,7.48
1934,-0.36,8.87,11.95,17.02,20.89,28.50,29.50,28.83,22.16,16.32,9.01,6.83
1935,1.34,8.74,12.52,18.03,22.41,26.11,29.62,29.17,22.73,17.54,8.87,5.92
1936,3.18,8.23,10.36,17.74,24.71,29.13,29.73,27.84,23.98,19.74,10.64,4.84
1937,2.13,7.50,9.97,16.09,23.60,28.40,30.63,28.99,23.50,16.97,9.67,5.13
1938,6.04,8.74,11.43,19.89,25.38,27.59,28.93,28.14,23.13,17.20,9.61,6.26
1939,5.82,7.24,11.10,15.27,22.74,30.29,29.79,28.01,24.03,17.83,12.05,9.11
1940,6.58,9.22,10.74,18.96,23.62,29.27,30.71,27.71,23.86,19.48,12.34,8.49
1941,5.12,10.73,15.03,19.34,25.29,29.60,29.79,29.09,23.54,19.97,11.44,7.24
1942,6.23,6.12,13.39,18.13,24.62,28.44,30.42,27.38,22.67,18.75,13.27,5.38
1943,3.33,6.07,10.01,17.05,22.94,27.28,30.24,28.57,22.69,16.75,10.56,8.47
