Variable:,tas
Country:,Afghanistan
Subnational-unit:,Faryab
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.20,3.07,9.37,13.94,18.58,22.19,26.27,23.86,19.17,9.11,8.53,4.52
1902,2.83,2.17,6.89,12.10,20.16,25.26,25.80,24.72,18.72,12.05,6.54,3.74
1903,-1.77,2.73,1.21,11.29,17.51,24.00,25.58,24.40,19.51,13.56,5.34,0.89
1904,-6.80,4.64,7.33,11.28,18.47,23.44,25.88,24.44,18.34,10.06,8.90,4.29
1905,-2.07,-1.58,2.94,13.38,18.96,24.31,26.01,24.28,18.87,14.46,7.15,1.85
1906,-1.06,0.77,6.80,10.39,18.99,24.59,25.78,25.50,18.49,13.63,7.34,4.13
1907,0.36,0.20,6.50,13.90,16.58,21.72,26.10,23.89,18.17,9.44,4.60,3.13
1908,0.63,1.43,5.24,12.60,17.47,23.50,26.76,24.20,18.79,9.99,7.95,2.66
1909,-2.43,2.61,8.04,15.04,18.61,23.57,25.56,24.80,18.67,11.55,10.55,4.53
1910,1.72,3.25,5.17,12.12,19.95,23.16,26.76,24.50,18.29,11.95,5.84,-2.47
1911,-2.04,2.71,5.66,12.57,18.90,24.77,25.48,24.29,18.94,10.49,4.72,0.15
1912,-0.16,4.57,6.79,13.64,18.14,24.11,26.53,23.28,16.89,13.66,5.91,1.99
1913,1.72,-0.14,4.56,10.70,20.45,23.37,27.36,23.56,19.16,12.86,6.96,4.70
1914,4.84,2.16,8.10,13.75,18.62,26.02,26.62,24.57,20.16,13.15,6.93,-0.01
1915,3.06,2.09,11.51,13.14,21.20,24.86,25.56,25.79,20.73,12.40,8.59,4.13
1916,2.39,-0.07,7.27,13.89,18.81,21.57,25.93,26.34,18.96,11.02,2.31,2.59
1917,4.46,5.44,7.46,14.30,21.90,23.39,25.85,24.61,18.79,10.89,5.64,1.03
1918,0.66,2.06,5.08,11.21,19.43,23.33,26.52,24.03,19.02,12.38,5.07,0.10
1919,-3.14,1.19,5.43,13.94,17.33,23.59,26.33,24.30,17.78,12.37,6.65,2.82
1920,1.78,-2.29,6.85,10.25,16.74,22.77,25.02,23.41,18.93,12.96,3.50,-3.35
1921,0.49,1.30,4.17,13.87,16.65,22.76,26.26,22.82,17.87,12.42,6.14,3.19
1922,1.96,2.02,7.77,13.80,18.17,23.35,25.75,23.89,18.87,13.13,7.88,3.88
1923,0.31,2.06,7.50,11.65,18.07,23.41,24.77,24.90,15.97,12.06,4.75,-0.13
1924,0.99,2.48,7.44,12.34,15.74,22.21,25.78,24.50,17.93,12.36,6.04,0.70
1925,-2.34,-1.46,9.09,13.21,19.76,24.68,26.73,24.41,18.99,13.26,6.01,6.23
1926,2.12,3.12,7.86,10.62,19.49,22.85,25.52,26.04,19.70,12.36,2.53,3.71
1927,-2.42,0.69,4.62,13.91,19.27,24.06,27.15,24.90,19.36,14.96,5.85,2.92
1928,-2.55,1.63,3.31,13.54,19.27,23.96,24.55,22.64,17.06,11.76,6.88,1.63
1929,-4.35,-0.19,7.79,15.66,18.31,22.73,25.46,23.05,20.26,10.83,5.25,-3.18
1930,-6.43,-0.78,6.41,11.94,18.47,24.21,27.10,23.71,17.04,11.78,8.13,0.18
1931,-0.68,-4.26,7.45,14.19,16.56,22.06,25.86,24.84,20.06,11.84,4.46,0.94
