Variable:,tas
Country:,Afghanistan
Subnational-unit:,Ghazni
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.94,-2.31,4.39,8.12,12.58,17.14,20.08,19.30,15.29,8.21,4.33,-0.39
1902,-1.93,-1.66,3.21,7.52,13.94,18.53,19.89,19.43,14.85,8.95,3.11,-1.19
1903,-5.18,-1.85,-1.20,6.01,11.59,18.22,19.59,19.06,15.75,9.82,2.01,-2.56
1904,-8.14,-0.66,2.84,7.19,12.51,17.97,20.03,19.39,14.64,7.41,4.04,-0.34
1905,-5.52,-5.60,-0.63,7.57,13.37,18.34,20.01,19.25,14.80,10.10,3.41,-2.03
1906,-5.11,-3.75,1.95,6.02,13.31,18.21,20.08,20.21,14.61,10.00,3.70,-0.18
1907,-2.84,-3.47,1.74,7.97,11.06,16.28,20.04,18.77,14.86,7.58,2.21,-1.58
1908,-3.02,-2.34,1.97,7.88,12.00,18.05,20.33,18.55,14.25,7.34,3.44,-1.94
1909,-5.63,-2.86,3.27,9.07,12.59,17.94,19.37,19.55,14.13,8.38,5.35,-0.69
1910,-3.29,-1.67,1.55,6.84,13.82,17.72,20.23,19.39,14.79,8.57,2.11,-4.61
1911,-4.38,-1.88,1.42,7.46,13.28,18.80,19.88,19.37,15.37,8.38,0.92,-2.89
1912,-3.65,-0.42,2.25,8.23,12.38,18.12,20.52,18.63,13.37,9.60,2.14,-1.93
1913,-2.50,-3.45,0.43,6.77,13.33,17.39,20.26,18.82,14.50,8.98,2.54,-0.59
1914,-0.51,-2.62,2.98,8.23,12.77,19.64,20.36,19.15,15.89,8.66,3.01,-3.51
1915,-2.74,-3.04,5.87,8.26,15.39,18.68,19.72,20.23,16.30,9.33,4.02,-1.06
1916,-2.00,-3.50,3.77,8.78,12.18,17.10,19.58,20.11,14.90,8.20,-0.29,-1.88
1917,-1.52,0.08,3.06,7.63,13.34,17.54,19.55,18.88,14.44,7.65,1.62,-2.35
1918,-4.06,-2.10,1.81,6.32,13.64,17.60,20.34,19.20,14.50,8.73,2.05,-2.87
1919,-5.15,-3.34,2.34,8.02,12.07,18.33,20.18,18.85,13.88,8.47,2.29,-2.00
1920,-3.43,-4.55,2.62,6.51,10.75,16.86,19.59,18.53,15.04,9.37,1.78,-3.66
1921,-3.52,-2.93,2.72,9.15,12.47,17.45,20.00,18.19,14.31,8.40,2.62,-0.75
1922,-3.15,-1.99,3.40,8.48,12.22,17.51,19.95,19.09,14.70,8.57,2.99,-1.00
1923,-3.80,-2.55,3.20,7.75,11.92,17.90,18.94,18.94,13.33,8.20,1.60,-2.76
1924,-3.77,-2.13,3.36,7.76,10.29,17.22,20.05,19.09,13.85,8.80,2.35,-2.11
1925,-5.31,-4.60,4.08,8.95,12.92,17.91,20.01,18.82,14.80,9.25,2.11,-0.40
1926,-2.95,-1.16,2.68,5.96,12.09,17.46,20.03,19.82,15.20,8.59,-0.25,-1.26
1927,-5.73,-3.60,1.04,8.09,12.48,17.53,20.57,19.43,14.97,10.43,2.45,-1.00
1928,-4.87,-2.07,1.42,8.30,13.43,17.96,19.39,18.36,13.75,8.94,2.99,-2.22
1929,-6.61,-4.10,4.18,9.81,12.54,17.44,19.43,18.36,15.91,7.90,2.11,-4.82
1930,-8.34,-4.26,2.73,6.79,12.62,17.91,20.40,18.89,13.69,8.71,3.76,-2.67
1931,-2.84,-5.56,3.26,9.69,11.70,16.94,19.09,20.07,15.55,9.37,2.11,-2.19
1932,-2.59,-1.92,3.77,9.92,11.72,18.15,20.68,18.43,15.52,8.41,2.48,-3.50
1933,-6.60,-1.40,1.76,6.69,13.01,18.25,21.03,18.76,14.37,8.80,3.38,-0.14
1934,-7.84,0.62,2.32,7.87,10.35,18.06,20.00,19.76,14.70,7.98,1.89,-0.73
1935,-6.52,-1.58,2.93,5.74,12.01,16.55,19.94,19.24,14.73,8.18,1.71,-1.96
1936,-5.30,-0.63,0.93,7.20,15.20,18.31,20.01,19.23,15.77,9.98,2.08,-2.64
1937,-5.86,-1.70,0.98,6.17,13.12,18.46,20.07,19.69,15.18,7.88,1.70,-3.13
1938,-4.09,-2.73,2.05,8.95,15.64,17.35,19.96,19.62,14.80,8.80,1.11,-1.55
1939,-3.11,-2.57,-0.13,5.33,12.64,18.75,20.28,19.57,15.87,9.38,3.49,0.63
1940,-2.26,-0.59,1.39,7.68,13.05,18.75,20.88,18.84,14.71,10.26,3.98,-0.92
1941,-4.14,0.37,5.44,9.82,14.60,18.90,20.01,20.23,14.73,11.91,3.73,-0.62
1942,-4.41,-2.90,4.56,9.42,13.36,17.72,20.04,18.90,14.62,9.68,5.30,-2.27
1943,-4.62,-1.52,2.66,7.02,11.78,17.49,20.11,19.47,15.39,8.57,3.01,0.63
1944,-3.42,-2.12,4.64,8.35,13.96,18.02,21.32,19.15,13.91,8.65,3.18,-4.47
1945,-5.74,-3.48,2.48,6.95,11.99,18.03,19.84,19.56,15.56,9.11,3.39,-2.08
1946,-3.57,0.31,3.35,11.77,15.28,18.38,20.47,19.46,15.29,10.76,1.02,-4.30
1947,-3.21,-1.41,5.34,9.71,13.72,18.22,19.93,20.48,16.09,9.28,5.62,-1.03
1948,-2.06,-1.31,2.59,9.08,14.76,17.40,20.83,19.30,15.24,8.96,1.76,-2.31
1949,-5.18,-2.18,3.13,9.31,14.24,16.02,20.36,18.42,15.61,7.12,0.73,-1.55
1950,-4.70,-5.00,1.67,5.56,12.72,17.78,20.32,18.92,13.73,8.74,0.82,-4.27
1951,-4.04,-3.51,1.62,6.36,12.46,16.07,19.73,18.95,15.73,11.84,3.84,0.46
1952,-2.95,-0.17,2.81,9.57,12.67,18.36,19.90,18.84,14.44,8.39,2.08,-1.76
1953,-3.34,0.89,4.58,8.66,13.22,18.23,20.60,19.07,14.91,8.15,2.82,0.11
1954,-4.00,-2.28,2.61,8.42,13.59,17.67,19.79,19.43,15.27,7.64,2.43,-1.89
1955,-3.23,0.30,4.68,6.97,10.50,17.26,20.59,19.60,15.38,8.54,4.03,-0.08
1956,-3.31,-1.04,2.62,8.50,15.13,16.90,19.17,17.96,15.22,8.12,2.65,-1.95
1957,-5.36,-3.54,2.51,5.47,10.25,16.53,19.49,18.54,13.95,8.03,2.03,-1.31
