Variable:,tas
Country:,Afghanistan
Subnational-unit:,Ghor
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.78,-1.97,4.12,8.02,12.28,16.42,20.52,18.66,14.10,4.85,3.34,-0.44
1902,-2.10,-2.73,1.91,6.38,13.72,19.13,20.08,19.41,13.63,7.27,1.54,-1.21
1903,-6.44,-2.10,-3.59,5.48,11.21,18.00,19.88,19.05,14.43,8.63,0.29,-3.82
1904,-11.11,-0.33,2.28,5.50,12.04,17.37,20.17,19.14,13.35,5.29,3.63,-0.62
1905,-6.65,-6.12,-1.92,7.53,12.63,18.28,20.17,18.96,13.67,9.39,2.02,-2.95
1906,-5.60,-4.04,1.71,4.65,12.55,18.42,19.93,20.13,13.44,8.77,2.12,-0.74
1907,-4.21,-4.45,1.55,7.96,10.35,15.86,20.34,18.54,13.30,4.87,-0.31,-1.78
1908,-4.05,-3.33,0.35,6.78,11.10,17.61,20.90,18.86,13.65,5.36,2.67,-2.24
1909,-6.86,-2.44,2.81,9.00,12.17,17.56,19.78,19.42,13.48,6.75,5.04,-0.55
1910,-3.30,-1.88,0.22,6.22,13.47,17.17,20.85,19.12,13.23,7.14,0.75,-6.65
1911,-6.65,-2.23,0.69,6.71,12.57,18.72,19.80,19.05,13.89,5.98,-0.22,-4.29
1912,-4.84,-0.35,1.76,7.67,11.78,18.04,20.71,18.11,11.86,8.72,0.89,-2.79
1913,-3.08,-4.93,-0.37,5.03,13.88,17.35,21.41,18.34,13.94,7.91,1.81,-0.23
1914,-0.15,-2.76,2.94,7.82,12.21,19.90,20.78,19.12,14.92,8.22,1.73,-4.68
1915,-1.82,-2.75,6.22,7.25,14.74,18.70,19.73,20.41,15.53,7.53,3.40,-0.73
1916,-2.45,-4.81,2.19,7.93,12.36,15.74,20.06,20.87,13.84,6.17,-2.49,-2.21
1917,-0.65,0.30,2.38,8.25,14.88,17.39,19.98,19.21,13.63,5.96,0.37,-3.78
1918,-4.35,-2.73,0.30,5.23,13.14,17.06,20.74,18.63,13.72,7.38,0.89,-3.21
1919,-5.85,-3.47,0.92,7.66,11.01,17.90,20.66,18.94,13.26,7.32,1.17,-2.51
1920,-3.38,-6.61,1.94,4.94,10.49,16.76,19.56,18.16,13.93,8.06,-1.12,-6.78
