Variable:,tas
Country:,Afghanistan
Subnational-unit:,Hilmand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.84,8.50,15.83,21.11,26.24,30.58,32.54,30.16,25.18,18.23,13.43,9.12
1902,7.56,8.90,15.23,20.73,26.82,30.91,32.34,30.71,24.90,18.93,12.92,8.63
1903,4.97,9.22,11.06,19.35,25.49,31.03,32.24,30.43,25.56,19.78,11.58,6.83
1904,2.19,10.35,14.55,19.88,26.00,30.05,32.04,30.39,24.97,17.79,13.92,9.16
1905,4.62,6.84,12.14,20.73,26.53,30.92,32.12,30.23,24.77,19.96,13.05,7.77
1906,5.67,7.59,14.17,19.04,26.34,30.82,31.86,30.82,24.80,19.84,13.20,9.16
1907,6.83,7.72,14.49,20.90,24.82,29.49,32.41,29.72,24.73,17.57,11.71,8.18
1908,6.60,8.64,13.63,20.28,25.26,30.74,32.07,29.83,24.53,17.93,12.84,7.73
1909,5.03,8.82,14.99,21.08,25.66,30.39,31.61,30.12,24.46,18.58,14.40,8.49
1910,6.55,9.23,13.65,19.75,26.34,30.18,31.82,29.98,24.42,18.75,12.01,6.06
1911,4.79,9.31,13.52,20.14,26.17,30.92,31.86,30.21,25.09,18.41,11.34,7.25
1912,6.35,10.38,14.51,20.81,25.89,30.90,32.39,29.74,23.84,19.57,11.98,7.73
1913,7.23,7.32,13.02,19.67,26.77,30.27,32.37,29.68,24.79,19.19,12.75,9.23
1914,9.02,8.40,14.99,20.88,26.02,31.62,32.06,30.13,25.58,19.56,12.88,6.56
1915,7.72,8.60,17.01,20.30,27.33,31.15,31.92,31.11,26.07,18.99,13.61,8.86
1916,7.57,7.23,14.84,20.81,25.78,29.50,31.83,31.07,24.87,17.81,9.78,7.99
1917,8.45,10.55,14.55,20.71,27.19,30.31,31.84,29.95,24.33,17.63,11.29,6.86
1918,6.22,8.99,13.57,19.11,26.33,29.73,32.42,29.88,24.59,18.83,12.28,7.50
1919,5.74,8.45,14.21,20.62,25.24,30.74,32.37,30.05,24.41,18.59,12.16,7.71
1920,6.85,6.71,14.92,19.41,24.82,29.94,31.63,29.62,25.24,19.57,11.39,5.50
1921,6.65,8.64,14.09,21.56,25.31,30.51,32.33,29.29,24.40,18.75,12.38,8.63
1922,7.08,8.41,14.94,21.19,25.59,30.30,32.16,29.92,24.90,19.14,12.91,8.66
1923,6.26,8.54,15.09,19.86,25.30,30.33,31.49,30.16,23.32,18.65,11.23,6.63
1924,6.56,8.93,15.42,20.27,24.45,29.82,31.90,30.10,24.03,18.67,12.00,7.24
