Variable:,tas
Country:,Afghanistan
Subnational-unit:,Hirat
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.50,5.17,11.11,15.68,20.25,24.34,27.40,25.14,20.61,11.42,9.95,6.22
1902,4.30,3.92,9.09,13.88,21.40,26.70,26.85,26.18,20.19,14.00,8.47,5.58
1903,0.08,5.30,3.19,13.24,19.14,25.74,26.96,25.68,21.02,15.78,7.06,2.11
1904,-5.71,6.66,9.33,12.80,19.89,24.39,26.88,25.59,20.03,12.21,10.89,5.80
1905,-0.37,0.89,5.05,15.07,20.11,25.90,26.95,25.44,20.35,16.58,9.02,3.38
1906,0.79,2.61,8.72,12.00,20.28,25.70,26.62,26.57,20.02,15.85,8.95,5.63
1907,2.11,2.15,8.72,15.37,18.07,23.30,27.32,24.84,19.90,11.62,6.41,4.57
1908,2.03,3.45,7.29,14.08,18.63,25.12,27.65,25.50,20.49,12.22,9.67,4.36
1909,-0.54,4.66,10.04,16.22,19.75,24.77,26.53,25.89,20.32,13.69,12.37,5.86
1910,3.25,5.01,7.40,13.80,21.21,24.39,27.64,25.52,19.81,14.27,7.84,0.01
1911,-1.19,4.54,7.36,13.98,20.10,25.95,26.71,25.60,20.34,12.54,6.75,1.86
1912,1.58,6.70,9.06,14.53,19.36,25.59,27.39,24.51,18.59,15.76,7.74,3.23
1913,3.12,1.33,6.82,12.26,21.66,24.47,28.32,24.78,20.74,14.69,8.99,6.54
1914,6.56,4.30,10.47,15.14,19.73,26.97,27.32,25.57,21.32,15.36,8.48,1.62
1915,4.87,4.12,13.42,14.25,22.15,25.83,26.31,26.99,22.45,14.20,10.41,5.77
1916,3.77,1.61,8.77,14.90,20.00,22.60,26.63,27.42,20.44,12.74,4.07,4.26
1917,6.01,6.93,9.28,15.77,22.83,24.61,26.60,25.61,20.18,12.50,7.22,2.02
1918,2.51,4.15,6.94,12.07,20.14,23.49,27.35,24.26,20.55,14.46,8.14,3.38
1919,0.80,3.64,7.58,15.08,17.59,25.22,27.36,25.49,20.20,14.30,8.54,4.11
1920,3.57,-0.65,9.39,11.61,18.13,23.94,25.60,24.41,20.71,15.24,5.04,-2.70
1921,2.49,3.53,5.94,15.33,17.77,24.51,27.30,23.81,19.29,14.37,8.04,4.68
1922,3.70,3.41,9.65,15.30,19.51,24.69,26.58,24.90,20.36,15.57,10.05,5.39
1923,1.84,4.14,9.53,12.70,19.30,24.60,25.83,25.82,17.49,14.19,6.52,1.46
1924,2.87,4.11,9.47,13.59,17.26,23.58,26.31,25.65,19.40,14.28,8.04,1.87
1925,-0.87,0.72,11.56,14.84,21.09,25.90,27.43,25.66,20.58,15.11,7.94,7.72
1926,3.39,4.81,9.56,12.09,20.91,23.96,26.26,27.07,20.98,14.49,4.78,5.30
1927,-0.93,2.50,6.85,15.07,20.48,25.36,27.98,26.12,20.94,17.10,7.98,4.20
1928,-0.89,3.45,5.22,15.37,20.37,25.12,25.23,23.54,18.69,13.72,8.61,3.11
1929,-2.91,1.49,9.38,16.97,19.89,23.80,26.27,23.92,21.74,13.09,7.03,-2.04
1930,-4.88,0.73,8.48,13.54,19.69,25.48,27.82,24.85,18.50,13.63,9.80,1.30
1931,0.37,-2.64,9.24,15.41,17.90,23.35,26.81,25.76,21.12,13.47,6.16,2.38
