Variable:,tas
Country:,Afghanistan
Subnational-unit:,Jawzjan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.14,6.30,13.08,18.15,23.31,26.66,30.59,28.06,23.31,12.92,12.20,7.60
1902,6.13,5.63,10.56,16.11,24.85,29.89,30.07,28.90,22.82,15.86,10.13,6.92
1903,1.49,6.03,4.79,15.38,22.14,28.49,29.93,28.55,23.72,17.18,8.92,4.06
1904,-3.37,8.03,10.98,15.46,23.23,28.17,30.19,28.63,22.44,13.64,12.42,7.62
1905,1.21,1.69,6.50,17.50,23.74,28.74,30.19,28.34,22.91,18.13,10.72,5.05
1906,2.19,4.08,10.43,14.48,23.68,29.34,29.99,29.65,22.62,17.26,11.02,7.35
1907,3.71,3.71,10.09,18.24,21.33,26.37,30.39,28.06,22.15,13.23,8.28,6.25
1908,4.00,4.58,8.82,16.85,22.32,28.16,31.19,28.28,22.77,13.67,11.49,5.44
1909,0.80,5.78,11.78,19.52,23.45,28.26,29.95,28.92,22.65,15.26,13.93,7.63
1910,5.10,6.82,8.80,16.32,24.79,27.89,31.17,28.70,22.41,15.61,9.42,0.55
1911,1.59,6.17,9.63,16.76,23.81,29.44,29.76,28.45,23.04,14.21,8.23,3.23
1912,3.20,7.86,10.33,18.07,22.84,28.63,30.79,27.54,20.95,17.43,9.41,5.25
1913,5.26,3.38,8.28,14.87,25.22,28.07,31.59,27.71,23.13,16.59,10.41,7.85
1914,8.20,5.63,11.73,18.13,23.52,30.79,31.21,28.81,24.49,16.53,10.51,3.03
1915,6.35,5.43,15.34,17.54,26.05,29.60,29.97,29.86,24.76,16.09,12.16,7.34
1916,5.80,3.28,11.12,18.31,23.62,26.25,30.27,30.34,23.04,14.72,5.86,5.74
1917,7.83,8.94,11.18,18.55,26.74,28.02,30.17,28.75,22.84,14.76,9.31,4.38
1918,3.84,5.37,8.83,15.59,24.24,28.26,30.84,28.37,23.05,16.14,8.17,2.54
1919,-0.63,4.35,9.06,18.22,22.35,28.11,30.64,28.45,21.54,16.18,10.25,6.12
1920,5.11,1.16,10.31,14.32,21.40,27.41,29.36,27.52,22.89,16.65,7.18,-0.22
1921,3.70,4.59,7.93,18.05,21.44,27.28,30.57,27.04,21.95,16.24,9.72,6.36
1922,5.27,5.56,11.50,18.05,22.93,27.97,30.08,28.05,22.94,16.81,11.42,7.16
1923,3.62,5.44,11.18,16.00,22.83,28.09,29.07,29.08,20.04,15.76,8.32,3.07
1924,4.29,5.96,11.10,16.66,20.42,26.88,30.21,28.73,22.04,16.14,9.62,4.00
1925,1.09,1.88,12.67,17.40,24.53,29.29,31.17,28.61,23.05,17.14,9.53,9.52
1926,5.62,6.62,11.70,14.85,24.23,27.50,29.83,30.24,23.87,16.06,6.03,6.94
1927,0.86,4.13,8.16,18.24,24.03,28.69,31.43,28.97,23.36,18.59,9.50,6.30
1928,0.75,5.01,7.00,17.65,24.05,28.62,29.00,26.94,21.08,15.54,10.55,4.82
1929,-1.27,3.25,11.65,19.96,22.88,27.40,29.78,27.28,24.24,14.42,8.92,-0.25
1930,-2.97,2.87,10.15,16.09,23.39,28.88,31.54,27.83,21.05,15.55,11.88,3.40
1931,2.95,-0.70,11.23,18.47,21.26,26.69,29.85,28.84,24.14,15.82,8.04,3.72
