Variable:,tas
Country:,Afghanistan
Subnational-unit:,Kabul
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.70,-2.05,4.97,8.59,12.69,16.86,19.89,19.66,16.18,9.24,5.75,0.14
1902,-1.58,-1.28,3.52,7.92,14.32,18.83,19.78,19.65,15.85,10.38,4.36,-0.56
1903,-4.73,-1.96,-0.61,6.61,11.88,18.16,19.43,19.53,16.76,11.18,3.65,-1.84
1904,-7.56,-0.58,3.42,8.06,13.07,18.65,20.10,19.76,15.42,8.80,5.55,0.35
1905,-5.06,-5.92,-0.61,7.60,13.63,18.35,20.20,19.45,16.18,11.86,5.05,-1.28
1906,-5.29,-3.55,2.50,6.42,13.67,18.53,20.03,20.55,15.52,11.27,5.17,0.91
1907,-2.54,-3.67,1.41,8.56,11.23,16.07,19.93,19.54,15.75,8.96,3.84,-0.89
1908,-2.65,-2.46,2.20,8.73,12.46,17.83,20.81,19.28,15.48,8.60,5.28,-0.89
1909,-5.74,-2.86,3.82,9.90,13.08,18.10,19.48,20.11,15.27,9.91,6.90,0.10
1910,-2.70,-1.45,1.87,7.43,14.35,18.04,20.71,20.07,16.00,9.97,3.56,-4.67
1911,-3.90,-1.88,1.90,8.03,13.65,19.05,19.73,19.64,16.40,9.52,2.20,-2.60
1912,-3.27,-0.20,2.65,9.25,12.82,18.45,20.82,19.11,14.41,11.15,3.55,-1.20
1913,-1.98,-3.06,0.86,7.46,13.80,17.77,20.50,19.14,15.50,10.57,3.77,-0.06
1914,-0.23,-2.01,3.25,8.82,13.28,19.79,20.65,19.79,17.14,9.52,4.60,-2.77
1915,-2.70,-2.96,6.60,8.97,15.96,18.88,19.61,20.51,17.50,11.01,5.56,-0.37
1916,-1.82,-3.48,4.66,9.90,12.95,17.30,19.73,20.54,15.91,10.15,1.04,-1.39
1917,-0.78,0.79,3.68,8.29,13.94,17.58,19.68,19.42,15.66,9.09,2.82,-1.94
1918,-3.80,-2.06,1.98,6.79,14.35,18.15,20.42,19.83,15.57,10.23,2.86,-3.12
1919,-5.83,-3.66,2.37,8.68,12.48,18.55,20.25,19.28,14.55,10.04,3.74,-1.38
1920,-3.03,-5.00,2.63,6.51,10.62,16.94,19.67,18.91,15.92,10.83,2.79,-3.66
1921,-3.37,-3.16,2.82,9.84,12.70,17.32,20.00,18.46,15.16,9.82,3.97,-0.13
1922,-2.72,-1.51,4.06,9.08,12.54,17.58,19.98,19.56,15.71,10.02,4.52,-0.19
1923,-3.49,-2.44,3.56,8.32,12.29,18.25,18.76,19.50,14.03,9.46,2.86,-2.57
1924,-3.58,-1.88,3.65,8.41,10.07,17.38,20.39,19.60,14.81,10.34,3.66,-1.71
1925,-5.29,-4.89,4.61,9.34,13.40,18.12,20.08,19.05,15.80,10.84,3.31,0.50
1926,-2.30,-0.92,3.31,6.21,12.44,17.47,19.94,20.44,16.38,9.98,0.76,-0.61
1927,-5.65,-3.34,1.38,8.90,12.79,17.88,20.70,19.81,15.93,12.17,3.90,-0.42
