Variable:,tas
Country:,Afghanistan
Subnational-unit:,Kandahar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.75,6.89,14.37,19.45,24.73,29.31,31.33,29.14,24.00,17.44,11.98,7.80
1902,6.38,7.73,14.08,19.48,25.32,29.27,31.26,29.53,23.67,17.50,11.57,7.27
1903,4.06,7.64,10.27,17.80,24.05,29.73,31.04,29.23,24.33,18.12,10.26,5.88
1904,2.05,8.71,13.02,18.86,24.62,28.87,30.90,29.24,23.80,16.59,12.14,7.82
1905,3.62,5.67,10.83,19.00,25.33,29.49,31.05,29.16,23.58,18.23,11.74,6.75
1906,4.46,6.12,12.49,17.88,25.11,29.32,30.91,29.63,23.52,18.18,11.93,7.96
1907,6.00,6.47,12.80,19.21,23.37,28.26,31.34,28.51,23.51,16.44,10.71,6.85
1908,5.65,7.47,12.43,19.03,23.94,29.39,30.64,28.39,22.98,16.47,11.14,6.37
1909,4.00,7.08,13.45,19.39,24.13,29.11,30.27,28.84,22.87,17.06,12.55,6.95
1910,5.14,7.83,12.34,18.18,24.83,28.91,30.38,28.71,23.27,17.14,10.50,5.17
1911,4.27,7.98,12.00,18.68,24.85,29.49,30.83,29.10,23.94,17.18,9.75,6.39
1912,5.43,8.84,12.95,19.39,24.61,29.57,31.23,28.62,22.62,17.81,10.44,6.69
1913,6.18,6.34,11.49,18.63,24.99,28.88,30.89,28.53,23.34,17.62,11.13,7.57
1914,7.47,6.83,13.13,19.34,24.74,29.99,30.69,28.86,24.17,17.64,11.51,5.55
1915,6.04,7.01,15.09,19.03,25.96,29.79,30.96,29.86,24.71,17.64,11.88,7.42
1916,6.41,6.16,13.87,19.51,24.11,28.48,30.65,29.49,23.54,16.39,8.63,6.67
1917,6.80,8.99,13.12,18.77,24.79,28.86,30.53,28.50,22.85,16.14,9.76,6.04
1918,4.88,7.74,12.36,17.67,25.03,28.50,31.26,28.95,23.19,17.27,10.86,6.27
1919,4.75,6.87,13.02,19.04,24.02,29.56,31.14,28.77,22.94,17.04,10.63,6.47
1920,5.49,5.83,13.41,18.26,23.13,28.35,30.54,28.44,23.99,18.01,10.50,5.32
1921,5.51,7.29,13.43,20.35,24.31,29.13,31.07,28.18,23.20,17.09,11.03,7.60
1922,5.67,7.41,13.57,19.74,24.10,28.88,31.05,28.85,23.50,17.24,11.19,7.36
1923,5.16,7.10,13.73,18.85,23.78,29.03,30.31,28.70,22.38,16.97,9.93,5.88
1924,5.13,7.61,14.14,19.04,22.90,28.65,30.93,28.88,22.66,17.11,10.52,6.49
1925,3.76,5.41,14.40,20.39,24.72,29.11,30.83,28.99,23.68,17.98,10.56,7.93
1926,5.77,8.77,12.99,17.51,24.02,29.12,31.16,29.37,23.64,17.12,9.05,7.28
