Variable:,tas
Country:,Afghanistan
Subnational-unit:,Kapisa
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.75,-3.04,3.46,6.83,10.79,14.93,18.09,17.94,14.64,7.91,4.69,-0.95
1902,-2.55,-2.31,2.00,6.09,12.41,17.02,18.00,17.96,14.46,9.14,3.26,-1.63
1903,-5.77,-3.12,-2.20,4.81,9.97,16.28,17.62,17.83,15.22,9.92,2.65,-2.92
1904,-8.56,-1.59,1.97,6.35,11.24,16.83,18.32,18.01,13.84,7.45,4.56,-0.75
1905,-6.04,-7.06,-2.19,5.83,11.70,16.50,18.61,17.71,14.79,10.64,4.05,-2.35
1906,-6.42,-4.56,1.06,4.65,11.81,16.75,18.17,18.83,14.09,9.94,4.20,-0.12
1907,-3.43,-4.81,-0.21,6.85,9.37,14.13,18.10,17.88,14.24,7.60,2.83,-1.90
1908,-3.65,-3.51,0.62,6.97,10.62,15.86,19.12,17.63,14.11,7.25,4.29,-1.97
1909,-6.94,-3.92,2.29,8.23,11.16,16.25,17.72,18.41,13.76,8.60,5.91,-0.96
1910,-3.65,-2.46,0.34,5.66,12.48,16.18,18.96,18.41,14.54,8.69,2.50,-5.86
1911,-4.94,-2.91,0.42,6.27,11.77,17.17,17.87,17.91,14.91,8.20,1.10,-3.79
1912,-4.29,-1.14,1.17,7.61,10.97,16.63,19.12,17.41,12.96,9.92,2.50,-2.25
1913,-2.95,-3.92,-0.58,5.75,11.96,16.00,18.86,17.34,14.01,9.32,2.72,-1.11
1914,-1.21,-2.99,1.67,7.11,11.41,18.02,18.94,18.11,15.71,8.26,3.60,-3.82
1915,-3.71,-4.02,5.18,7.22,14.07,17.05,17.80,18.83,16.09,9.79,4.61,-1.38
1916,-2.90,-4.68,3.27,8.31,11.20,15.43,18.11,18.85,14.49,9.01,-0.02,-2.47
1917,-1.64,-0.12,2.22,6.68,12.13,15.70,17.97,17.76,14.29,7.87,1.84,-3.04
1918,-4.90,-3.16,0.52,5.08,12.52,16.43,18.67,18.21,14.19,8.99,1.68,-4.49
1919,-7.11,-4.74,0.72,6.98,10.61,16.68,18.50,17.63,13.09,8.84,2.72,-2.44
1920,-3.98,-6.16,0.99,4.64,8.68,15.09,17.87,17.23,14.32,9.55,1.68,-4.91
1921,-4.44,-4.26,1.22,8.07,10.78,15.41,18.22,16.73,13.69,8.59,2.95,-1.22
1922,-3.70,-2.48,2.64,7.36,10.66,15.75,18.20,17.88,14.29,8.81,3.57,-1.22
1923,-4.45,-3.46,2.07,6.59,10.41,16.40,16.97,17.93,12.49,8.19,1.90,-3.72
1924,-4.62,-2.86,2.15,6.66,8.13,15.50,18.63,17.91,13.39,9.14,2.65,-2.84
1925,-6.35,-6.01,3.24,7.57,11.51,16.30,18.38,17.33,14.37,9.59,2.27,-0.48
1926,-3.25,-1.93,1.87,4.47,10.60,15.56,18.17,18.78,14.99,8.69,-0.37,-1.73
1927,-6.69,-4.36,-0.15,7.21,10.93,16.10,19.02,18.13,14.49,10.94,2.90,-1.52
1928,-6.09,-3.16,-0.23,6.81,12.19,16.58,17.67,17.21,13.14,9.34,3.64,-3.02
