Variable:,tas
Country:,Afghanistan
Subnational-unit:,Khost
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.56,3.61,10.23,14.20,18.97,23.18,24.25,23.60,20.99,15.39,11.05,5.89
1902,4.41,4.59,9.51,14.09,20.36,24.11,24.35,23.72,20.79,15.69,9.95,5.08
1903,1.76,3.72,5.81,12.38,18.31,24.21,23.87,23.41,21.49,16.32,9.25,4.36
1904,-0.04,5.08,8.89,14.24,19.39,24.34,24.37,23.70,20.39,14.59,10.73,5.97
1905,1.33,0.38,5.47,13.19,20.22,24.11,24.69,23.93,21.23,16.75,10.75,4.99
1906,1.28,2.36,7.96,12.73,20.30,24.04,24.54,24.30,20.44,16.32,10.85,6.68
1907,4.22,2.51,6.98,13.92,17.71,22.20,24.50,23.39,20.69,14.76,9.74,4.93
1908,3.64,3.84,8.16,14.61,18.91,23.75,24.68,23.01,20.16,14.19,10.27,4.94
1909,1.02,2.92,9.16,15.00,19.21,23.93,23.65,23.73,19.82,15.22,11.93,5.49
1910,3.08,4.48,7.76,13.22,20.31,23.70,24.48,23.60,20.86,15.22,9.11,2.28
1911,2.76,4.14,7.39,13.82,19.94,24.55,24.40,23.89,21.29,15.29,7.82,3.90
1912,3.06,5.20,8.29,14.73,19.21,24.23,25.03,23.00,19.47,16.12,9.05,4.76
1913,4.01,3.35,6.65,13.88,19.64,23.41,24.52,23.30,20.37,15.82,9.35,5.48
1914,5.44,3.64,8.38,14.40,19.64,25.12,24.57,23.60,21.71,14.52,10.05,3.55
1915,3.18,2.92,11.20,14.72,22.04,24.53,24.28,24.49,22.37,16.33,10.78,5.39
1916,4.52,2.73,10.62,15.65,18.99,23.24,24.23,24.13,20.69,15.42,7.25,4.63
1917,4.64,6.41,9.29,13.41,19.20,23.31,23.79,22.95,20.17,14.42,8.44,4.78
1918,2.28,4.04,7.83,12.32,20.58,23.57,24.67,23.82,20.22,15.42,8.88,3.37
1919,1.19,2.42,8.33,14.08,18.71,24.40,24.45,23.10,19.39,15.12,9.08,4.39
1920,3.14,1.46,8.43,12.52,16.59,22.35,23.94,22.85,20.89,16.19,8.95,3.07
1921,3.11,2.92,9.29,15.82,19.44,23.19,24.33,22.49,20.08,14.97,9.69,6.01
1922,3.25,4.65,9.76,14.83,18.82,23.29,24.37,23.62,20.42,14.98,9.81,5.59
1923,2.77,3.44,9.36,14.33,18.44,23.97,23.15,23.11,19.19,14.62,8.55,3.76
1924,2.40,4.08,9.62,14.28,16.18,23.45,24.78,23.52,19.52,15.53,9.15,4.68
1925,1.23,1.46,10.11,15.57,19.50,23.43,24.08,23.14,20.80,16.15,8.73,5.92
1926,3.87,5.42,8.67,12.07,18.17,23.50,24.55,24.03,20.92,15.12,6.80,4.96
1927,1.03,2.52,7.36,14.25,18.71,23.42,24.65,23.60,20.59,16.84,9.62,5.46
1928,1.70,4.12,7.67,14.39,20.33,23.89,23.86,22.91,19.47,15.82,10.17,4.22
1929,0.72,2.00,10.62,16.01,19.23,23.71,23.72,23.10,21.49,14.77,9.55,1.58
1930,-0.37,2.42,9.18,13.19,19.30,23.54,24.37,23.52,19.87,15.60,10.31,4.21
1931,4.06,1.14,9.57,16.19,18.59,23.12,23.34,24.59,21.51,16.54,9.27,4.64
1932,4.09,4.04,9.89,16.12,18.21,24.30,25.18,22.99,21.69,15.52,9.83,3.86
1933,0.11,4.94,8.32,12.89,19.44,24.34,25.44,22.97,20.27,15.72,10.34,6.49
1934,-0.16,6.94,8.59,14.40,17.18,24.03,24.45,24.01,20.90,15.02,9.17,5.93
1935,0.44,4.34,9.16,11.65,19.01,22.99,24.44,23.51,20.95,15.11,9.35,4.66
1936,1.53,5.44,7.27,13.44,22.09,24.05,24.35,23.70,21.51,16.56,9.22,4.32
1937,1.53,4.45,7.66,12.77,19.78,24.62,24.07,24.22,21.13,14.61,8.63,3.54
1938,1.90,2.38,7.97,15.02,22.32,23.20,24.67,24.13,20.65,15.62,8.34,5.06
1939,3.19,3.27,5.78,11.84,19.59,24.31,24.72,24.12,21.90,16.21,10.19,6.67
1940,4.11,5.21,7.85,13.81,19.77,24.49,25.28,23.18,20.48,16.57,10.85,5.50
1941,2.35,5.93,11.14,16.26,21.10,24.74,24.38,24.63,20.50,18.70,10.75,5.86
1942,2.03,3.41,10.89,15.87,19.89,23.76,24.25,23.45,20.63,16.19,11.93,4.59
1943,2.27,4.69,9.33,13.47,18.37,23.54,24.50,24.03,21.70,15.63,10.24,6.86
1944,2.78,3.53,10.17,14.62,20.69,23.79,25.65,23.42,19.82,15.32,10.05,3.07
1945,0.96,2.74,8.66,13.22,18.73,24.10,24.38,23.87,21.59,15.98,10.26,4.38
1946,3.42,6.40,9.32,18.18,21.71,24.30,25.06,24.11,21.39,17.48,8.51,2.65
1947,2.47,4.33,11.40,16.36,20.65,24.33,24.54,24.65,21.92,15.76,12.05,5.32
1948,3.61,4.07,8.53,15.38,21.14,23.04,24.72,23.33,21.17,15.99,8.81,4.62
1949,2.38,3.31,9.15,15.90,21.31,21.77,24.53,22.94,21.90,14.42,7.87,4.71
1950,2.20,1.41,7.44,11.90,19.16,23.83,24.48,23.06,19.28,15.17,8.43,2.67
1951,2.60,3.07,8.04,12.18,18.70,22.06,23.99,23.28,21.61,18.38,11.06,6.88
1952,3.50,5.76,8.68,15.93,19.42,24.24,23.85,23.21,20.68,15.64,9.45,4.96
1953,2.72,6.65,11.22,15.23,19.84,24.19,24.83,23.20,20.58,15.28,10.01,7.18
1954,2.02,3.81,9.13,14.72,20.21,23.77,23.99,23.95,21.15,14.00,9.53,4.90
1955,2.84,6.05,10.89,13.14,16.64,23.49,24.66,23.46,20.94,15.42,10.61,6.09
1956,2.87,5.09,8.57,14.88,22.20,23.11,23.20,22.27,21.31,14.95,9.47,4.96
1957,1.50,2.74,8.37,11.68,16.51,22.33,24.18,22.83,20.18,14.72,9.05,5.05
1958,5.11,4.71,10.18,16.74,18.28,23.62,24.96,23.57,20.88,15.86,9.40,6.32
1959,2.46,2.45,9.90,14.44,18.63,24.31,23.31,24.09,22.07,17.39,9.23,4.78
1960,3.41,7.60,7.19,12.21,18.62,24.14,24.40,24.36,21.06,15.74,9.26,4.79
1961,4.07,2.59,9.53,13.93,19.63,23.54,24.23,23.50,22.17,15.14,8.31,4.52
1962,2.90,5.64,9.69,14.78,18.76,23.43,24.33,23.54,19.36,14.73,8.56,4.23
1963,4.06,7.06,9.31,13.91,17.28,24.65,24.99,23.68,20.64,17.00,10.15,5.24
1964,-0.14,3.90,10.91,14.44,18.57,22.65,23.63,23.88,20.75,14.41,8.59,3.38
1965,4.54,4.10,9.18,11.30,17.34,22.96,23.52,22.32,20.13,16.87,11.05,3.68
1966,5.05,7.13,9.05,12.71,18.70,24.04,23.67,23.42,19.60,14.75,8.05,4.15
1967,1.78,5.81,8.19,12.88,17.26,23.33,24.46,22.81,20.69,14.25,9.58,4.38
1968,1.34,1.96,9.33,14.27,16.36,23.45,24.08,22.98,20.93,14.70,9.44,4.42
