Variable:,tas
Country:,Afghanistan
Subnational-unit:,Kunar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.14,1.10,7.41,10.95,15.47,19.50,21.82,21.68,18.58,12.49,9.27,3.70
1902,2.23,2.19,6.21,10.43,17.07,21.37,21.92,21.68,18.39,13.47,7.90,3.00
1903,-0.80,1.23,2.16,8.99,14.76,20.83,21.39,21.49,19.19,14.18,7.33,1.97
1904,-3.27,2.70,6.01,10.74,15.97,21.36,22.14,21.69,17.79,11.88,8.99,4.00
1905,-1.15,-2.70,1.95,9.89,16.58,21.05,22.42,21.57,18.85,14.81,8.77,2.50
1906,-1.51,-0.23,5.11,9.24,16.77,21.17,22.27,22.29,18.09,14.08,8.87,4.62
1907,1.62,-0.31,3.78,10.82,14.17,18.73,22.01,21.49,18.25,12.13,7.63,2.86
1908,1.22,0.94,4.87,11.22,15.48,20.46,22.87,21.19,17.97,11.71,8.68,2.79
1909,-1.92,0.33,6.18,12.24,15.97,20.67,21.45,22.03,17.68,13.02,10.36,3.68
1910,1.07,1.92,4.49,9.90,17.17,20.66,22.72,21.99,18.58,12.98,7.17,-0.72
1911,0.18,1.43,4.45,10.49,16.56,21.57,21.90,21.66,18.91,12.72,5.76,1.21
1912,0.72,3.29,5.30,11.84,15.78,21.17,22.92,21.17,16.95,14.08,7.16,2.58
1913,1.95,0.65,3.51,10.26,16.48,20.27,22.55,21.15,17.89,13.65,7.26,3.48
1914,3.50,1.37,5.59,11.20,16.17,22.31,22.72,21.81,19.60,12.44,8.23,1.15
1915,0.99,0.30,8.74,11.50,18.91,21.47,21.83,22.46,20.15,14.08,9.17,3.37
1916,1.89,-0.25,7.54,12.70,15.89,20.06,21.98,22.39,18.44,13.38,4.78,2.31
1917,2.72,4.30,6.35,10.51,16.72,20.24,21.95,21.47,18.21,12.37,6.53,2.19
1918,-0.28,1.29,4.61,9.20,17.60,21.14,22.57,22.11,18.19,13.28,6.18,0.10
1919,-2.38,-0.52,4.66,11.07,15.49,21.23,22.32,21.29,16.96,13.02,7.25,2.29
1920,1.03,-1.62,4.81,8.67,13.12,19.47,21.78,20.93,18.26,13.88,6.44,-0.05
1921,0.42,0.01,5.58,12.42,15.76,19.78,22.08,20.55,17.79,12.78,7.57,3.68
1922,1.06,2.25,6.82,11.59,15.41,20.17,22.17,21.69,18.29,12.97,8.11,3.62
1923,0.41,0.90,6.21,10.93,15.09,20.97,20.78,21.45,16.65,12.41,6.63,1.12
