Variable:,tas
Country:,Afghanistan
Subnational-unit:,Kunduz
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.85,5.70,13.23,17.81,22.77,26.04,29.53,27.79,23.47,14.76,12.70,6.99
1902,5.62,5.75,10.79,16.15,24.39,29.37,29.11,28.12,23.13,17.04,10.71,6.44
1903,1.17,5.42,5.65,15.37,21.69,27.64,28.74,27.97,23.98,18.07,9.77,4.18
1904,-2.67,7.64,11.44,15.93,22.92,28.22,29.36,28.04,22.55,14.53,12.93,7.23
1905,1.12,1.19,6.57,16.82,23.18,27.79,29.41,27.88,23.42,19.25,11.54,5.04
1906,0.99,3.84,10.69,14.86,23.14,28.66,29.04,29.17,22.95,18.12,11.49,7.57
1907,3.74,3.76,9.84,18.11,21.08,25.65,29.25,27.87,22.43,14.60,9.61,5.85
1908,3.97,4.55,9.51,17.22,22.24,27.48,30.70,28.09,23.03,14.74,12.21,5.55
1909,0.17,5.06,11.85,19.70,23.33,28.07,29.21,28.65,22.94,16.37,14.27,7.46
1910,4.60,6.51,9.53,16.49,24.69,27.87,30.71,28.75,23.23,16.58,10.11,0.73
1911,2.44,5.90,9.94,17.00,23.57,29.26,28.83,28.09,23.53,15.49,8.71,3.13
1912,3.11,7.47,10.43,18.63,22.57,28.32,30.11,27.30,21.38,18.34,10.11,5.28
1913,4.90,4.04,8.65,15.35,24.48,27.89,30.61,27.44,23.15,17.44,10.56,7.35
1914,7.32,5.96,11.68,18.08,23.19,30.24,30.48,28.34,24.75,16.89,11.19,3.26
1915,4.89,4.94,15.61,17.85,25.83,29.05,29.25,29.17,25.09,17.57,12.66,6.83
1916,4.95,2.97,11.96,18.77,23.36,26.79,29.49,29.57,23.23,16.41,6.78,5.13
1917,7.18,8.97,11.59,18.12,25.78,27.56,29.24,28.15,23.30,15.97,9.87,4.40
1918,2.75,5.26,9.62,15.94,24.37,28.34,29.98,28.27,23.03,17.07,8.67,2.35
1919,-0.54,3.77,9.69,17.99,22.64,28.07,29.89,27.98,21.71,17.09,10.66,5.70
1920,4.39,1.65,10.18,14.62,20.77,26.89,28.89,26.99,22.82,17.47,8.41,1.08
1921,3.07,4.09,9.32,18.45,21.87,26.53,29.53,26.66,22.31,16.80,10.40,6.31
1922,4.44,5.94,11.99,18.08,22.52,27.52,29.37,27.86,23.22,17.19,11.53,6.77
1923,3.20,5.23,11.53,16.79,22.43,27.83,28.16,28.39,20.74,16.30,9.09,3.27
1924,3.31,5.85,11.44,17.06,19.87,26.63,29.78,28.15,22.20,17.21,10.12,4.36
1925,1.08,2.07,12.73,17.76,23.69,28.75,30.27,27.74,23.08,17.98,10.04,8.21
1926,4.96,6.70,11.79,14.90,23.32,26.97,29.04,29.54,24.12,16.96,6.78,6.48
1927,0.24,4.16,8.64,18.28,23.30,27.95,30.50,28.35,23.26,19.50,10.18,6.10
1928,0.80,4.97,8.01,17.29,23.78,28.31,28.48,26.66,21.41,16.89,11.29,4.48
1929,-1.92,2.91,12.24,20.18,22.23,27.20,29.03,27.42,24.33,15.32,9.86,-0.09
1930,-2.64,3.24,10.73,16.10,23.32,28.56,30.91,27.48,21.36,16.68,12.70,3.03
1931,3.34,1.04,11.64,18.89,21.41,26.71,28.80,28.43,24.30,17.42,9.30,4.03
1932,3.90,4.78,12.61,19.72,21.99,28.21,30.78,26.99,23.50,16.14,9.40,1.23
1933,-1.12,6.26,9.08,16.97,24.15,27.75,31.00,28.45,22.93,16.99,11.14,6.35
1934,-2.60,7.85,10.76,16.41,19.82,27.82,29.17,28.38,22.06,16.07,8.72,5.99
1935,-1.24,6.50,10.62,16.28,22.64,25.79,29.73,28.60,22.53,17.08,8.74,4.37
1936,1.47,7.19,8.98,16.51,24.93,28.96,29.79,27.59,24.23,18.80,10.54,4.11
1937,0.41,6.31,8.73,15.32,23.33,28.54,29.93,28.59,23.66,16.45,8.51,3.62
1938,3.52,5.71,9.58,18.85,26.11,27.19,28.83,28.12,22.65,17.07,8.92,5.36
1939,3.90,5.16,8.58,14.57,23.50,29.22,30.19,28.01,23.58,17.27,11.50,8.27
1940,5.02,7.42,9.64,18.13,23.12,29.11,30.20,27.67,23.25,18.72,11.70,6.49
1941,2.61,8.47,13.71,18.71,25.24,29.85,29.52,29.04,23.48,20.22,11.47,5.96
1942,2.76,4.34,12.36,18.02,23.87,27.76,30.36,27.92,22.90,18.05,13.11,4.86
