Variable:,tas
Country:,Afghanistan
Subnational-unit:,Laghman
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.41,1.81,8.55,12.41,16.95,21.05,23.48,23.10,19.80,13.31,9.77,4.07
1902,2.52,2.69,7.30,11.84,18.55,22.92,23.41,23.11,19.68,14.35,8.45,3.38
1903,-0.52,1.81,3.25,10.42,16.22,22.36,23.00,22.91,20.39,15.07,7.85,2.24
1904,-3.09,3.31,7.15,12.08,17.45,22.88,23.70,23.12,19.01,12.73,9.58,4.28
1905,-0.87,-2.01,3.12,11.34,18.05,22.57,24.00,23.11,20.00,15.76,9.26,2.84
1906,-1.20,0.35,6.24,10.42,18.15,22.71,23.62,23.84,19.29,15.01,9.36,4.95
1907,1.90,0.21,4.95,12.31,15.64,20.28,23.51,22.95,19.48,13.03,8.07,3.16
1908,1.51,1.51,6.00,12.62,16.93,21.98,24.47,22.66,19.27,12.56,9.22,3.08
1909,-1.66,0.94,7.43,13.67,17.37,22.23,23.08,23.51,18.90,13.85,10.90,4.00
1910,1.38,2.51,5.62,11.32,18.65,22.18,24.29,23.44,19.78,13.87,7.66,-0.48
1911,0.40,2.03,5.63,11.90,18.02,23.11,23.38,23.05,20.10,13.60,6.27,1.43
1912,0.92,3.78,6.42,13.22,17.23,22.67,24.49,22.59,18.19,15.00,7.65,2.86
1913,2.20,1.12,4.64,11.60,17.99,21.92,24.19,22.60,19.19,14.54,7.85,3.82
1914,3.83,1.91,6.75,12.70,17.64,23.85,24.28,23.28,20.82,13.38,8.76,1.37
1915,1.34,0.91,10.13,12.90,20.34,23.01,23.41,23.93,21.36,14.97,9.67,3.67
1916,2.22,0.32,8.62,14.06,17.36,21.57,23.50,23.85,19.68,14.26,5.31,2.66
1917,3.25,4.81,7.51,12.12,18.10,21.71,23.39,22.82,19.40,13.15,6.98,2.28
1918,0.15,1.83,5.73,10.62,18.84,22.47,24.09,23.40,19.38,14.17,6.79,0.58
1919,-1.89,0.14,5.89,12.52,16.84,22.78,23.89,22.73,18.22,13.97,7.79,2.58
1920,1.14,-1.16,6.09,10.22,14.70,21.01,23.28,22.33,19.51,14.76,6.87,0.26
1921,0.73,0.65,6.61,13.72,17.12,21.39,23.66,21.85,18.90,13.70,8.08,3.94
1922,1.42,2.60,7.85,12.93,16.85,21.71,23.67,23.03,19.49,13.90,8.60,3.87
1923,0.66,1.51,7.32,12.23,16.56,22.47,22.37,23.00,17.83,13.37,7.08,1.44
1924,0.43,2.11,7.42,12.37,14.18,21.65,24.15,23.03,18.52,14.35,7.70,2.41
1925,-1.11,-0.91,8.37,13.29,17.74,22.19,23.70,22.44,19.58,14.84,7.23,4.43
1926,1.93,3.11,6.98,10.12,16.60,21.70,23.68,23.82,20.16,13.87,4.94,3.28
1927,-1.40,0.61,5.20,12.72,17.05,22.09,24.36,23.22,19.67,15.97,8.06,3.57
1928,-0.95,1.89,5.07,12.41,18.52,22.59,23.09,22.39,18.37,14.56,8.77,2.07
1929,-2.14,-0.39,8.61,14.43,17.23,21.84,23.38,22.81,20.68,13.22,7.95,-1.05
1930,-3.65,-0.26,7.12,11.15,17.57,22.39,24.31,22.94,18.47,14.08,9.37,1.68
1931,1.86,-1.17,7.53,14.09,16.15,21.21,22.66,23.85,20.66,15.23,7.66,2.21
1932,1.70,1.64,8.04,14.32,16.15,22.50,24.78,22.41,20.53,14.02,8.11,1.27
1933,-2.44,2.82,5.90,11.14,17.77,22.74,25.04,22.83,19.29,14.46,8.84,4.35
1934,-3.29,4.79,6.64,12.19,14.73,22.39,23.84,23.59,19.64,13.64,7.40,3.85
1935,-2.31,2.43,6.91,10.17,16.95,20.98,23.93,23.21,19.82,13.94,7.40,2.64
1936,-0.68,3.61,4.97,11.52,19.84,22.91,23.88,23.03,20.68,15.46,7.67,1.99
1937,-1.37,2.51,5.52,10.62,17.67,22.98,23.60,23.62,19.99,13.37,6.77,1.54
1938,0.11,0.64,5.35,13.22,20.36,21.62,23.60,23.43,19.23,14.27,6.68,3.07
1939,1.05,1.31,3.85,9.64,17.56,23.12,24.19,23.32,20.40,14.69,8.87,5.06
