Variable:,tas
Country:,Afghanistan
Subnational-unit:,Logar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.61,-2.11,4.61,8.19,12.29,16.65,19.32,19.00,15.67,9.11,5.40,0.04
1902,-1.63,-1.34,3.44,7.70,13.82,18.24,19.14,19.02,15.29,9.94,4.08,-0.71
1903,-4.62,-1.96,-0.59,6.27,11.51,17.88,18.87,18.80,16.18,10.70,3.39,-1.83
1904,-7.17,-0.64,3.13,7.80,12.66,18.19,19.44,19.10,14.96,8.49,5.11,0.17
1905,-4.93,-5.77,-0.62,7.21,13.36,17.97,19.50,18.89,15.52,11.33,4.77,-1.28
1906,-5.00,-3.55,2.20,6.21,13.41,18.00,19.42,19.83,15.00,10.86,4.91,0.73
1907,-2.33,-3.52,1.30,8.01,10.92,15.84,19.39,18.79,15.23,8.76,3.63,-1.02
1908,-2.62,-2.36,2.15,8.37,12.13,17.60,19.96,18.51,14.84,8.37,4.78,-1.04
1909,-5.34,-2.89,3.54,9.32,12.67,17.71,18.82,19.35,14.65,9.51,6.44,-0.12
1910,-2.82,-1.47,1.76,7.13,13.87,17.55,19.86,19.26,15.45,9.56,3.22,-4.28
1911,-3.66,-1.84,1.64,7.70,13.29,18.57,19.22,19.07,15.87,9.36,1.92,-2.46
1912,-3.18,-0.37,2.47,8.78,12.47,18.03,20.02,18.43,13.85,10.58,3.23,-1.30
1913,-2.00,-3.04,0.66,7.26,13.21,17.23,19.73,18.63,14.95,10.13,3.49,-0.25
1914,-0.36,-2.13,2.94,8.40,12.91,19.20,19.87,19.08,16.47,8.98,4.25,-2.72
1915,-2.72,-2.97,6.06,8.63,15.58,18.43,19.07,19.86,16.92,10.57,5.15,-0.47
1916,-1.70,-3.25,4.54,9.57,12.50,16.95,19.05,19.75,15.35,9.74,0.88,-1.41
1917,-1.01,0.63,3.44,7.70,13.18,17.15,18.96,18.62,14.95,8.69,2.56,-1.78
1918,-3.71,-2.01,1.78,6.37,13.88,17.57,19.75,19.09,14.96,9.76,2.80,-2.85
1919,-5.37,-3.55,2.34,8.24,12.03,18.14,19.56,18.53,14.05,9.47,3.43,-1.46
1920,-3.02,-4.86,2.47,6.23,10.17,16.44,19.00,18.21,15.43,10.36,2.61,-3.49
1921,-3.27,-3.09,2.78,9.45,12.39,16.95,19.35,17.81,14.65,9.35,3.68,-0.16
1922,-2.71,-1.52,3.80,8.67,12.13,17.15,19.34,18.90,15.15,9.53,4.17,-0.32
1923,-3.46,-2.45,3.35,7.98,11.84,17.79,18.12,18.62,13.57,9.04,2.63,-2.52
1924,-3.53,-1.91,3.49,8.01,9.68,17.03,19.73,18.91,14.23,9.87,3.36,-1.66
1925,-5.10,-4.75,4.38,9.03,12.90,17.48,19.36,18.41,15.27,10.37,3.01,0.23
1926,-2.34,-0.93,2.93,5.94,11.89,17.23,19.38,19.61,15.73,9.55,0.72,-0.78
1927,-5.40,-3.39,1.30,8.37,12.30,17.36,19.91,19.09,15.38,11.51,3.62,-0.48
