Variable:,tas
Country:,Afghanistan
Subnational-unit:,Nangarhar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.80,4.83,11.42,15.27,20.05,24.04,25.60,24.95,22.35,16.21,12.59,7.12
1902,5.80,5.86,10.37,14.82,21.65,25.72,25.63,25.02,22.15,17.02,11.33,6.41
1903,2.90,4.92,6.46,13.30,19.35,25.34,25.08,24.74,22.86,17.72,10.73,5.42
1904,0.84,6.37,10.11,15.08,20.55,25.75,25.82,25.03,21.65,15.52,12.29,7.34
1905,2.58,1.29,6.22,14.19,21.42,25.44,26.14,25.06,22.47,18.24,12.13,6.02
1906,2.23,3.56,9.10,13.57,21.47,25.54,25.94,25.64,21.69,17.74,12.28,7.99
1907,5.30,3.51,7.88,15.00,18.83,23.38,25.72,24.75,21.89,15.98,11.11,6.19
1908,4.82,4.89,9.05,15.64,20.11,25.01,26.32,24.44,21.50,15.44,11.88,6.16
1909,2.02,4.10,10.25,16.42,20.55,25.28,25.02,25.29,21.24,16.62,13.64,7.02
1910,4.64,5.71,8.71,14.25,21.74,25.04,26.14,25.23,22.17,16.57,10.46,3.04
1911,3.95,5.28,8.61,14.78,21.16,26.01,25.65,25.03,22.64,16.40,9.21,4.73
1912,4.31,6.61,9.42,16.07,20.42,25.61,26.53,24.44,20.73,17.62,10.54,6.00
1913,5.50,4.49,7.63,14.80,20.97,24.80,26.06,24.61,21.65,17.22,10.72,6.84
1914,7.01,4.98,9.51,15.49,20.75,26.63,26.18,25.05,23.19,16.01,11.58,4.62
1915,4.61,4.11,12.60,15.77,23.45,25.91,25.56,25.74,23.77,17.72,12.34,6.67
1916,5.61,3.71,11.69,16.80,20.30,24.56,25.63,25.58,21.99,16.86,8.33,5.81
1917,6.18,7.91,10.43,14.64,21.00,24.68,25.43,24.53,21.67,15.90,9.91,5.84
1918,3.58,5.19,8.72,13.43,22.00,25.21,26.14,25.28,21.72,16.82,9.82,3.91
1919,1.70,3.37,9.16,15.36,19.99,25.72,25.93,24.54,20.66,16.56,10.59,5.68
1920,4.42,2.30,9.24,13.17,17.72,23.84,25.40,24.20,22.13,17.50,9.90,3.70
1921,4.19,3.96,9.86,16.73,20.40,24.34,25.71,23.75,21.38,16.32,11.02,7.13
1922,4.65,5.97,10.88,15.86,20.00,24.55,25.80,24.93,21.86,16.51,11.42,6.93
1923,4.08,4.70,10.32,15.22,19.66,25.38,24.38,24.61,20.30,16.01,10.01,4.64
1924,3.63,5.33,10.47,15.28,17.21,24.69,26.21,24.85,20.88,17.01,10.52,5.67
1925,2.30,2.45,11.24,16.32,20.85,24.88,25.67,24.34,22.03,17.51,9.98,7.42
1926,5.28,6.50,9.88,13.02,19.56,24.78,25.92,25.45,22.37,16.53,7.97,6.28
1927,2.14,3.75,8.26,15.42,20.00,24.85,26.21,24.96,21.97,18.38,10.93,6.72
1928,2.52,5.21,8.31,15.28,21.60,25.33,25.19,24.18,20.72,17.23,11.63,5.24
1929,1.48,2.99,11.63,17.34,20.44,24.91,25.27,24.67,23.00,16.01,10.89,2.33
1930,0.29,3.11,10.13,14.23,20.73,25.06,26.24,24.90,20.88,16.89,12.03,5.13
1931,5.28,2.26,10.55,17.12,19.61,24.36,24.67,25.81,22.90,17.98,10.62,5.53
1932,5.18,5.00,10.86,17.17,19.40,25.59,26.75,24.25,23.02,16.83,11.18,4.65
1933,1.12,6.11,9.06,13.93,20.77,25.64,27.01,24.50,21.68,17.12,11.64,7.59
1934,0.76,8.02,9.61,15.22,18.16,25.38,25.87,25.40,22.21,16.32,10.38,7.02
1935,1.45,5.47,10.05,12.79,20.13,24.29,25.91,24.94,22.27,16.53,10.56,5.82
1936,2.69,6.67,8.16,14.46,23.16,25.59,25.87,24.98,22.92,17.90,10.53,5.39
1937,2.32,5.67,8.64,13.69,20.88,25.80,25.47,25.39,22.29,15.97,9.86,4.68
1938,3.14,3.61,8.68,16.00,23.54,24.44,25.87,25.24,21.76,16.99,9.71,6.26
1939,4.32,4.49,6.78,12.70,20.74,25.67,26.16,25.13,22.96,17.41,11.64,8.04
1940,5.50,6.59,8.85,14.88,20.83,25.80,26.55,24.34,21.80,17.95,12.22,6.73
1941,3.55,7.21,12.17,17.05,22.31,26.27,25.68,25.78,21.84,20.02,12.12,6.97
1942,3.16,4.48,11.88,16.73,21.00,24.93,25.78,24.61,21.87,17.50,13.46,5.74
1943,3.38,5.87,10.09,14.32,19.40,24.63,25.86,25.20,22.83,16.84,11.54,8.00
1944,4.06,4.77,11.41,15.64,21.87,24.99,27.22,24.87,21.17,16.67,11.43,3.95
1945,2.10,3.82,9.49,14.27,19.81,25.39,25.86,25.24,22.97,17.42,11.67,5.52
1946,4.58,7.68,10.38,19.04,22.91,25.55,26.33,25.24,22.69,18.87,9.80,3.72
1947,3.73,5.52,12.48,17.29,21.76,25.55,25.86,25.92,23.02,16.82,13.10,6.01
1948,4.63,5.30,9.05,15.68,21.71,23.99,26.01,24.75,22.39,17.16,10.24,4.94
1949,3.09,4.40,9.62,16.32,21.98,22.87,26.01,24.16,22.96,15.88,9.34,5.66
1950,3.10,2.26,8.97,12.93,20.41,25.41,26.11,24.65,20.89,16.53,9.65,3.99
1951,3.70,3.78,9.04,13.53,19.99,23.47,25.15,24.63,22.90,19.51,12.38,8.31
1952,4.73,7.04,9.32,16.73,20.53,25.42,25.27,24.64,22.08,17.09,10.52,6.41
1953,4.08,7.72,11.72,15.91,21.05,25.40,26.42,24.44,22.11,16.30,10.90,7.72
1954,3.05,4.75,9.75,15.78,21.26,24.82,25.12,25.05,22.54,15.63,10.50,5.24
1955,3.88,7.50,11.79,13.90,18.06,24.84,25.81,25.04,22.34,16.56,12.24,7.47
1956,3.67,6.25,9.62,16.08,23.58,24.68,25.58,23.86,22.68,16.41,11.23,5.85
1957,2.54,3.32,9.32,12.83,17.86,23.74,25.50,24.23,21.69,16.02,10.13,5.81
1958,6.19,5.74,11.12,17.24,19.06,24.88,26.44,24.66,22.28,17.08,10.62,7.76
1959,3.64,3.50,10.68,15.64,19.61,25.40,24.89,25.42,23.45,18.75,10.62,5.49
1960,4.53,8.85,8.29,13.21,19.66,25.35,25.82,25.50,22.22,16.99,10.29,5.37
1961,5.30,3.61,10.32,15.10,21.44,24.94,25.96,24.74,23.39,16.44,9.76,5.61
1962,4.05,6.81,11.20,15.71,19.86,24.72,25.72,24.85,20.79,16.14,9.86,5.43
1963,5.47,8.26,10.34,15.18,18.84,25.95,25.98,24.51,21.79,18.23,11.05,6.31
1964,0.64,4.64,11.48,15.01,19.43,24.04,24.77,24.75,22.08,15.85,10.23,4.29
1965,5.29,4.71,9.52,12.67,18.92,24.36,24.87,23.37,21.34,18.27,12.43,4.92
1966,6.44,8.58,9.92,13.78,19.80,25.64,24.91,24.76,20.97,16.07,9.63,5.60
1967,2.89,6.52,9.10,13.91,18.48,24.71,25.72,24.18,22.07,15.51,10.92,5.82
1968,2.60,3.46,10.55,15.21,18.06,24.96,25.74,24.52,22.38,16.04,11.07,5.42
1969,2.90,3.86,12.66,14.40,18.83,24.74,25.61,24.89,21.52,17.68,11.01,7.59
1970,4.83,6.88,9.83,17.14,22.10,25.58,25.07,25.91,22.24,17.91,11.51,6.48
1971,3.66,6.29,11.68,17.35,21.98,25.72,25.45,24.53,21.02,17.03,12.23,7.95
1972,4.04,1.56,9.19,14.66,19.27,24.54,24.63,23.62,21.12,16.24,12.09,5.87
1973,2.38,6.34,9.20,15.99,20.66,26.80,25.69,24.63,22.39,16.68,11.78,5.86
1974,3.70,2.79,11.83,17.11,20.45,24.21,25.50,24.37,21.43,15.92,10.54,4.22
1975,2.49,3.21,8.64,14.78,19.91,24.51,24.70,24.72,21.96,17.14,9.31,6.17
1976,4.92,4.32,7.94,14.78,20.71,24.22,26.23,23.83,21.84,17.28,10.11,6.02
1977,1.52,4.75,13.07,16.79,19.97,25.38,26.01,24.64,22.11,18.09,12.72,6.90
1978,2.88,4.82,8.24,15.98,22.30,26.15,24.93,24.88,22.47,17.67,10.40,7.35
1979,4.92,5.86,8.83,17.27,17.72,24.94,26.43,24.07,21.85,18.04,11.03,6.99
1980,3.55,4.67,8.33,17.28,21.26,25.43,25.95,24.55,21.72,17.33,12.17,7.16
1981,4.85,6.00,10.75,16.46,21.25,24.41,25.27,24.05,21.83,15.79,11.16,6.91
1982,4.62,2.88,7.95,15.58,19.71,24.68,25.84,24.45,21.03,16.69,10.18,4.74
