Variable:,tas
Country:,Afghanistan
Subnational-unit:,Nimroz
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.52,11.54,18.36,23.75,28.75,32.66,34.09,31.76,27.22,20.88,16.06,11.53
1902,10.05,11.65,17.90,23.30,29.15,33.03,33.86,32.27,27.04,21.57,15.73,11.30
1903,7.65,12.25,13.78,22.10,28.04,33.08,33.85,32.08,27.63,22.51,14.43,9.29
1904,4.46,13.26,17.40,22.34,28.48,31.95,33.57,31.93,27.06,20.45,16.85,11.73
1905,7.27,9.78,15.02,23.47,28.85,33.09,33.70,31.79,26.86,22.73,15.87,10.29
1906,8.38,10.56,17.03,21.69,28.83,32.90,33.45,32.42,26.96,22.60,16.02,11.67
1907,9.35,10.59,17.46,23.55,27.29,31.55,33.93,31.30,26.81,20.15,14.41,10.84
1908,9.16,11.40,16.36,22.73,27.66,32.81,33.73,31.59,26.83,20.63,15.79,10.42
1909,7.62,11.87,17.83,23.68,28.10,32.36,33.23,31.77,26.73,21.26,17.45,11.18
1910,9.32,12.11,16.35,22.38,28.73,32.09,33.41,31.56,26.46,21.52,14.97,9.21
1911,6.89,12.08,16.24,22.68,28.50,32.90,33.34,31.81,27.13,20.90,14.35,9.73
1912,8.93,13.38,17.43,23.27,28.29,32.96,33.94,31.29,25.98,22.36,14.91,10.21
1913,9.66,9.93,15.91,22.06,29.42,32.29,34.10,31.21,27.07,21.91,15.74,11.92
1914,11.70,11.32,17.95,23.47,28.47,33.67,33.68,31.77,27.75,22.40,15.65,9.15
1915,10.56,11.58,19.87,22.73,29.62,33.12,33.44,32.75,28.27,21.59,16.53,11.49
1916,10.08,10.01,17.46,23.28,28.35,31.34,33.42,32.80,27.09,20.47,12.65,10.66
1917,11.18,13.34,17.25,23.51,30.23,32.45,33.54,31.75,26.67,20.32,14.28,9.24
1918,9.00,11.83,16.19,21.67,28.61,31.70,33.88,31.32,26.82,21.61,15.27,10.29
1919,8.50,11.53,16.98,23.34,27.59,32.61,33.89,31.80,26.76,21.36,15.26,10.44
1920,9.65,9.25,17.87,21.81,27.48,32.15,33.12,31.26,27.41,22.32,13.96,7.27
1921,9.35,11.51,16.33,23.98,27.43,32.59,33.96,30.90,26.57,21.57,15.26,11.08
1922,9.90,11.03,17.65,23.76,28.07,32.44,33.70,31.52,27.14,22.10,16.03,11.39
1923,8.92,11.51,17.88,22.19,27.84,32.32,33.14,31.94,25.40,21.51,14.13,9.13
1924,9.38,11.76,18.17,22.74,27.03,31.77,33.33,31.76,26.30,21.41,14.97,9.64
1925,7.23,9.39,18.95,23.88,29.02,33.07,33.98,32.04,27.07,22.24,15.03,12.48
1926,9.72,12.64,17.49,21.46,28.74,32.18,33.53,32.67,27.17,21.67,13.39,11.48
1927,7.52,10.65,16.15,23.38,28.90,32.74,34.28,32.07,27.41,23.07,15.19,11.05
1928,7.68,11.58,15.76,24.10,28.83,32.56,32.91,30.85,26.12,21.37,15.52,10.19
1929,6.32,10.40,17.99,24.61,28.50,31.81,33.14,30.61,27.67,20.83,14.52,7.66
1930,4.79,9.83,16.93,22.44,28.25,32.82,33.88,31.25,26.03,21.18,16.05,9.29
1931,8.50,6.50,17.43,24.15,26.94,30.82,32.97,32.53,27.30,20.89,14.04,9.71
1932,8.95,12.56,17.83,24.37,26.98,31.64,33.38,30.35,26.75,20.29,14.31,6.18
1933,6.16,12.37,15.27,21.92,28.90,32.26,34.10,31.59,25.91,20.77,15.83,11.97
1934,5.48,13.79,16.62,22.28,25.95,32.72,33.42,32.35,26.51,20.51,14.16,11.08
1935,6.02,13.27,17.62,22.40,27.08,30.24,33.15,32.45,26.49,21.33,14.03,10.31
1936,7.43,12.97,15.23,22.68,29.97,33.04,33.34,31.63,27.83,23.23,14.65,8.99
