Variable:,tas
Country:,Afghanistan
Subnational-unit:,Nuristan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.37,-6.11,-0.08,3.06,6.90,10.76,14.36,14.43,11.26,4.68,2.01,-3.33
1902,-5.12,-5.21,-1.55,2.27,8.54,13.08,14.30,14.41,11.09,6.06,0.52,-3.94
1903,-8.31,-6.15,-5.82,1.12,6.07,12.15,13.85,14.31,11.89,6.84,-0.07,-5.34
1904,-10.85,-4.62,-1.49,2.60,7.44,12.86,14.63,14.52,10.45,4.25,1.88,-3.09
1905,-8.61,-10.12,-5.79,2.11,8.04,12.44,14.96,14.29,11.49,7.55,1.47,-4.74
1906,-8.94,-7.56,-2.39,1.20,8.21,12.82,14.59,15.25,10.79,6.75,1.57,-2.47
1907,-5.83,-7.72,-3.69,3.12,5.64,10.30,14.42,14.40,10.87,4.69,0.28,-4.27
1908,-6.13,-6.54,-2.71,3.39,6.99,12.02,15.49,14.13,10.76,4.27,1.51,-4.36
1909,-9.39,-7.00,-1.24,4.60,7.43,12.32,14.03,14.90,10.39,5.45,3.31,-3.29
1910,-6.09,-5.41,-3.24,2.10,8.64,12.16,15.27,14.90,11.25,5.61,-0.13,-8.06
1911,-7.26,-5.95,-3.09,2.54,7.87,13.23,14.28,14.44,11.59,5.06,-1.58,-6.31
1912,-6.73,-4.11,-2.39,4.03,7.06,12.57,15.45,13.85,9.59,6.82,-0.21,-4.65
1913,-5.50,-6.82,-4.00,2.31,8.06,11.99,15.19,13.99,10.62,6.17,-0.04,-3.44
1914,-3.66,-6.00,-1.88,3.39,7.55,14.10,15.26,14.54,12.37,5.17,0.92,-6.08
1915,-6.30,-7.03,1.45,3.66,10.40,13.12,14.16,15.36,12.79,6.74,1.94,-3.76
1916,-5.44,-7.75,-0.02,4.88,7.50,11.63,14.49,15.34,11.19,6.02,-2.66,-4.88
1917,-4.42,-3.01,-1.16,2.89,8.40,11.85,14.45,14.48,11.04,4.95,-0.79,-5.27
1918,-7.63,-6.14,-2.92,1.45,9.02,12.74,15.03,14.91,10.89,5.94,-1.22,-7.17
1919,-9.93,-7.88,-2.95,3.31,6.99,12.78,14.86,14.23,9.65,5.75,0.10,-4.73
1920,-6.20,-9.10,-2.70,0.87,4.74,11.15,14.20,13.74,10.90,6.50,-0.93,-7.47
1921,-6.98,-7.38,-2.22,4.46,7.09,11.21,14.56,13.40,10.45,5.47,0.31,-3.55
1922,-6.21,-5.23,-0.72,3.73,6.91,11.82,14.60,14.51,10.99,5.70,0.90,-3.47
1923,-7.02,-6.43,-1.32,3.02,6.65,12.56,13.27,14.48,9.25,5.07,-0.68,-6.13
1924,-7.20,-5.78,-1.25,3.12,4.15,11.69,15.14,14.53,10.13,6.11,-0.08,-5.08
1925,-8.85,-8.92,-0.26,3.95,7.81,12.33,14.80,13.90,11.00,6.54,-0.51,-3.00
1926,-5.70,-4.84,-1.49,0.91,6.87,11.77,14.60,15.33,11.66,5.64,-2.88,-4.16
1927,-9.29,-7.31,-3.62,3.52,7.12,12.21,15.29,14.70,11.13,7.76,0.30,-3.85
1928,-8.71,-6.11,-3.72,3.15,8.58,12.71,14.03,13.78,9.76,6.33,1.01,-5.38
1929,-10.21,-8.39,-0.24,5.21,7.06,11.93,14.36,14.22,12.16,4.89,0.13,-8.79
1930,-11.46,-8.29,-1.66,1.91,7.62,12.46,15.35,14.39,9.89,5.81,1.69,-5.85
1931,-5.98,-9.40,-1.23,4.69,6.10,11.17,13.40,15.29,12.00,6.79,-0.21,-5.46
1932,-6.08,-6.61,-0.59,5.04,6.06,12.51,15.76,13.82,11.79,5.55,0.12,-6.85
1933,-10.53,-5.21,-3.01,2.04,7.88,12.62,16.03,14.37,10.73,6.12,0.91,-3.23
1934,-11.08,-3.29,-2.01,2.78,4.63,12.44,14.67,14.92,11.07,5.16,-0.72,-3.61
1935,-10.22,-5.46,-1.85,1.09,6.96,10.84,14.82,14.70,11.02,5.64,-0.46,-4.97
1936,-8.48,-4.35,-3.68,2.28,9.72,13.02,14.84,14.39,12.13,7.24,-0.09,-5.43
1937,-9.02,-5.41,-3.12,1.41,7.72,13.03,14.56,15.10,11.45,5.14,-1.07,-6.03
