Variable:,tas
Country:,Afghanistan
Subnational-unit:,Paktika
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.91,2.32,9.41,13.70,18.62,23.41,24.94,24.07,20.54,14.51,9.24,4.22
1902,2.54,3.30,9.01,13.85,19.70,23.79,24.97,24.30,20.26,14.40,8.42,3.36
1903,0.17,2.75,5.35,11.96,17.98,24.23,24.52,23.89,21.01,14.98,7.56,2.71
1904,-1.33,3.92,8.02,13.83,18.79,23.99,24.83,24.10,20.17,13.53,8.90,4.15
1905,-0.32,-0.21,5.09,12.70,19.74,23.90,25.06,24.19,20.39,15.15,8.99,3.25
1906,-0.12,1.10,7.12,12.45,19.71,23.74,25.09,24.63,20.00,15.08,9.21,4.74
1907,2.45,1.59,6.80,13.30,17.31,22.41,25.10,23.51,20.12,13.58,8.17,3.15
1908,1.88,2.88,7.61,13.91,18.25,23.87,24.76,23.24,19.37,13.09,8.29,3.02
1909,-0.27,1.83,8.40,14.08,18.51,23.73,24.03,24.02,19.25,13.93,9.85,3.55
1910,1.10,3.27,7.24,12.63,19.49,23.58,24.56,23.91,20.23,13.93,7.48,1.34
1911,1.03,3.10,6.61,13.22,19.36,24.25,24.86,24.10,20.73,14.18,6.37,2.72
1912,1.48,4.13,7.59,14.05,18.81,24.10,25.36,23.53,18.99,14.60,7.46,3.17
1913,2.24,2.08,5.89,13.50,18.89,23.26,24.69,23.55,19.68,14.41,7.73,3.64
1914,3.43,2.09,7.58,13.81,19.16,24.73,24.85,23.88,20.97,13.46,8.50,2.07
1915,1.42,1.76,10.08,14.02,21.09,24.34,24.85,24.78,21.55,15.03,8.97,3.64
1916,2.72,1.86,9.74,14.77,18.23,23.31,24.63,24.36,20.09,13.90,5.72,2.99
1917,2.71,4.87,8.35,12.71,18.38,23.24,24.26,23.23,19.34,13.02,6.75,3.12
1918,0.63,3.04,7.23,11.72,19.75,23.18,25.10,24.07,19.61,14.04,7.50,2.17
1919,0.17,1.49,7.83,13.43,18.14,24.17,24.91,23.47,19.05,13.72,7.41,2.77
1920,1.30,0.67,7.96,12.32,16.38,22.32,24.40,23.25,20.42,14.85,7.69,1.89
1921,1.51,2.07,9.07,15.17,18.99,23.29,24.84,22.93,19.63,13.60,7.99,4.35
1922,1.50,3.27,8.88,14.22,18.25,23.14,24.91,23.95,19.91,13.61,8.07,3.82
1923,1.09,2.30,8.68,13.73,17.78,23.79,23.84,23.38,18.86,13.40,6.87,2.40
1924,0.80,2.82,9.06,13.69,16.16,23.34,25.14,23.86,19.01,14.02,7.48,3.06
1925,-0.41,0.43,9.35,15.12,18.76,23.29,24.54,23.56,20.25,14.72,7.26,4.02
1926,1.89,4.26,7.71,11.68,17.56,23.55,25.13,24.26,20.27,13.81,5.56,3.41
1927,-0.46,1.38,6.81,13.49,18.20,23.28,25.09,23.82,20.07,15.18,7.95,3.85
1928,0.42,3.17,7.46,14.07,19.60,23.61,24.40,23.30,19.12,14.54,8.37,2.72
1929,-0.43,1.20,9.79,15.21,18.82,23.55,24.18,23.36,20.83,13.65,7.94,0.57
1930,-1.56,1.58,8.34,12.71,18.67,23.34,24.68,23.80,19.65,14.24,8.40,2.78
1931,2.24,0.02,8.64,15.45,18.02,22.77,23.61,24.76,20.62,14.73,7.72,3.33
1932,2.59,3.00,9.10,15.62,17.62,23.93,25.22,23.22,20.93,13.90,8.18,2.30
1933,-1.09,3.57,7.61,12.21,18.71,24.06,25.58,22.92,19.41,14.13,8.64,4.96
1934,-1.78,5.86,7.73,13.88,16.73,23.92,24.94,24.40,20.44,13.41,7.58,4.38
1935,-1.07,3.38,8.62,11.08,18.10,22.34,24.63,23.58,20.06,13.35,7.72,3.09
1936,-0.25,4.18,6.54,12.91,21.45,23.77,24.64,23.99,20.91,15.12,7.26,2.52
1937,-0.35,3.23,6.87,12.20,19.17,24.28,24.63,24.57,20.42,13.05,7.29,1.84
1938,0.47,1.97,7.82,14.67,21.56,22.93,25.04,24.46,20.29,14.16,6.40,3.33
1939,1.91,2.51,5.36,11.25,18.69,24.16,24.94,24.37,21.37,14.74,8.60,5.18
1940,2.43,4.10,6.86,13.09,19.24,24.14,25.67,23.38,19.92,15.32,9.27,3.87
1941,0.94,5.11,10.85,15.91,20.51,24.26,24.85,24.97,19.79,17.12,9.00,4.47
1942,0.45,2.28,10.07,15.34,19.26,23.50,24.52,23.52,19.83,14.80,10.35,2.71
1943,0.23,3.45,8.58,12.86,17.80,23.17,24.70,24.22,20.87,14.04,8.55,5.45
1944,1.29,2.42,9.48,14.02,19.82,23.71,25.72,23.54,19.15,13.93,8.51,1.48
1945,-0.61,1.86,8.26,12.55,18.18,23.77,24.60,24.09,20.83,14.25,8.60,2.88
1946,1.58,5.16,8.48,17.73,21.13,24.24,25.45,24.28,20.63,15.99,6.54,0.85
1947,1.29,3.35,10.38,15.59,19.81,23.98,24.75,24.99,21.36,14.45,10.76,3.83
1948,2.34,3.24,8.15,15.03,20.78,22.97,25.32,23.70,20.58,14.58,7.00,3.30
1949,0.55,2.64,8.64,15.26,20.65,21.60,24.91,23.08,21.19,12.77,6.08,3.28
1950,0.60,0.22,6.69,11.32,18.56,23.31,24.82,23.33,18.90,13.98,6.62,0.84
1951,1.02,2.06,7.27,11.71,18.20,21.92,24.58,23.62,20.95,17.17,9.27,5.22
1952,1.87,4.60,8.21,15.40,18.77,24.04,24.39,23.33,19.76,13.84,7.62,3.19
1953,1.23,5.60,10.70,14.65,19.15,23.90,25.08,23.69,20.10,13.77,8.49,5.64
1954,0.72,2.73,8.41,14.09,19.57,23.51,24.51,24.20,20.60,12.64,8.08,3.38
1955,1.34,4.88,10.21,12.70,16.22,23.03,25.17,23.87,20.53,13.95,8.85,4.58
1956,1.48,4.02,8.00,14.14,21.22,22.57,23.24,22.41,20.56,13.46,7.68,3.38
1957,0.06,1.98,7.70,11.09,15.81,22.07,24.56,23.28,19.25,13.56,7.76,3.70
1958,3.65,3.73,9.69,16.27,17.76,23.54,25.36,24.13,20.47,14.38,7.69,4.77
1959,1.10,1.78,9.55,13.95,18.16,23.96,23.64,24.48,21.66,15.94,7.65,3.01
1960,2.00,6.52,6.51,11.62,17.92,23.94,24.71,24.63,20.53,14.27,7.61,3.10
1961,2.31,1.57,8.98,13.08,18.91,23.11,24.57,23.87,21.76,13.75,6.70,3.13
1962,1.25,4.59,8.81,14.30,18.30,23.24,24.82,23.92,18.89,13.37,7.00,2.62
1963,2.26,6.27,8.61,13.53,16.77,24.39,25.37,24.22,20.17,15.64,8.71,3.73
1964,-1.89,3.13,10.33,14.02,18.15,22.48,24.21,24.37,20.18,12.77,6.76,1.57
1965,3.14,3.28,8.48,10.65,16.87,22.60,24.06,22.79,19.65,15.81,9.62,2.20
1966,3.59,6.17,8.35,12.13,18.17,23.79,24.09,23.66,19.15,13.65,6.07,2.42
1967,0.03,4.97,7.64,12.45,16.77,23.02,24.95,23.12,20.24,13.18,8.17,2.67
1968,-0.11,0.85,8.63,13.67,15.71,23.12,24.32,23.11,20.03,13.43,7.67,3.00
1969,0.91,2.34,11.62,13.82,17.18,23.77,25.08,23.60,19.59,14.73,8.33,4.68
1970,1.56,3.72,7.40,15.48,20.13,24.00,24.24,24.97,20.33,15.14,8.07,3.80
1971,0.30,3.46,9.23,15.78,20.23,23.79,24.01,23.77,19.04,13.49,8.96,4.75
1972,0.61,-1.34,7.77,12.97,17.46,23.10,23.70,22.28,18.84,13.14,8.96,3.05
1973,-0.49,2.87,8.12,14.63,19.38,24.95,24.18,23.38,20.45,13.69,8.19,2.61
1974,0.37,-0.10,10.57,15.33,18.18,22.40,24.50,23.47,19.79,12.25,7.35,1.86
1975,-0.02,1.19,6.81,13.08,18.29,22.66,23.55,23.74,20.03,14.36,6.66,3.87
1976,2.37,2.69,6.30,13.13,18.67,22.45,24.91,22.78,19.85,14.99,6.91,2.88
1977,-1.39,2.91,11.47,14.54,17.99,23.35,24.80,23.66,19.73,15.71,10.07,4.79
1978,0.21,2.86,6.72,14.40,20.57,24.44,23.32,23.57,20.14,14.55,7.90,4.70
1979,1.95,3.33,6.33,15.52,15.86,23.40,25.25,22.60,19.64,14.84,7.88,3.85
1980,0.18,2.75,6.65,15.63,19.12,23.02,24.71,23.77,19.84,14.84,8.66,4.54
1981,1.30,3.57,8.48,14.96,19.18,22.90,24.33,23.44,20.24,13.19,7.91,4.28
1982,1.68,0.46,5.74,13.56,17.32,22.91,24.55,23.47,19.20,14.38,7.86,2.37
1983,1.17,2.68,6.04,11.12,18.50,22.85,24.70,24.24,20.95,13.81,8.78,2.94
1984,0.23,0.47,10.59,14.35,20.54,24.86,24.19,24.18,18.98,13.06,8.62,3.24
1985,1.38,5.28,10.36,14.30,19.07,23.99,24.88,23.40,20.16,13.44,8.50,3.49
1986,0.85,2.36,6.61,13.90,18.19,23.40,23.92,22.67,19.78,14.89,8.50,2.68
1987,3.26,4.72,8.89,14.37,16.71,22.53,24.81,24.79,21.42,14.14,9.41,4.84
1988,3.32,5.34,8.37,16.18,21.14,23.71,25.04,23.93,20.66,14.53,9.23,5.04
1989,0.87,1.63,7.33,12.48,17.62,22.82,23.86,23.18,19.94,14.87,8.79,4.72
1990,2.90,3.22,7.77,13.50,20.97,24.03,24.93,24.39,21.54,14.14,9.46,3.58
1991,1.40,2.07,7.92,12.77,17.24,23.28,25.30,24.02,20.16,13.51,8.46,5.09
1992,1.77,2.87,7.04,11.68,17.05,23.34,23.96,22.80,18.87,14.04,8.75,5.49
1993,0.42,5.70,6.82,14.11,20.00,23.18,23.76,23.83,20.51,13.49,9.52,4.98
1994,2.04,2.40,9.94,12.74,19.13,24.00,23.83,23.70,18.21,13.07,9.76,3.59
1995,1.17,3.56,6.90,11.73,18.49,23.74,24.14,23.36,19.74,14.76,8.44,3.02
1996,0.85,4.07,9.18,14.48,17.27,22.41,24.38,23.04,20.83,13.48,7.26,3.00
1997,0.72,2.96,7.57,11.90,15.97,22.14,24.53,22.99,20.42,12.31,7.62,2.58
1998,1.16,2.67,7.20,15.04,18.88,23.14,24.60,23.93,20.06,15.73,8.24,4.37
1999,1.32,3.95,9.00,15.91,19.87,23.79,25.14,23.62,21.56,15.69,9.89,4.66
2000,1.51,1.91,8.12,16.87,22.38,23.19,24.27,23.47,20.01,15.38,8.58,4.67
2001,0.92,3.81,9.10,14.86,21.57,23.24,24.18,23.48,20.17,15.15,9.16,5.28
2002,1.92,2.84,9.68,15.34,20.67,23.65,24.94,24.08,19.38,15.12,9.09,3.84
2003,1.64,3.40,8.47,14.86,17.72,24.00,24.20,23.59,20.17,14.29,7.58,4.05
2004,2.15,4.75,11.95,16.37,19.63,23.12,24.77,23.63,20.49,12.99,9.63,4.81
2005,0.47,1.53,9.27,13.65,16.92,23.69,24.45,23.80,20.93,15.01,8.34,3.74
2006,1.26,7.12,9.44,10.66,22.26,23.03,25.31,23.26,20.46,16.57,9.03,3.06
2007,1.76,4.14,8.51,17.66,20.12,23.29,24.28,23.94,20.54,13.65,9.65,3.02
2008,-0.46,2.55,12.16,14.27,20.97,24.67,24.79,22.87,20.50,16.38,9.06,4.83
2009,2.72,5.23,10.00,13.92,20.44,22.71,25.01,25.14,20.96,14.58,7.83,3.69
2010,2.82,3.56,12.37,17.66,19.90,22.63,24.01,23.27,19.83,16.32,8.62,2.91
2011,0.83,3.56,10.00,14.45,21.79,24.70,24.62,23.48,19.67,15.42,9.60,2.66
2012,0.21,0.99,8.77,13.69,19.16,23.59,25.77,23.77,19.96,14.39,8.13,4.03
2013,1.27,3.08,8.79,14.21,20.17,24.44,25.59,23.70,21.70,16.59,8.73,3.90
2014,2.37,1.90,7.89,13.81,18.34,24.71,25.66,24.75,21.66,15.56,8.66,3.13
